Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
47,19,0.8417606315789473,[71; 28; 72; 95; 66; 56; 8; 24; 34; 14; 25; 73; 68; 70; 76; 81; 12; 7; 16; 10; 19; 53; 64; 58; 62; 87; 59; 60; 50; 42; 57; 86; 89; 97; 20; 43; 51; 54; 46; 35; 77; 48; 63; 79; 69; 74; 67; 5; 2; 11; 18; 4; 91; 45; 83; 85; 75; 6; 33; 44; 32; 52; 36; 1; 3; 15; 0; 9; 78; 38; 47; 82; 96; 39; 55; 92; 61; 49; 84; 40; 23; 30; 22; 27; 41; 13; 80; 31; 94; 65; 98; 26; 37; 29; 17; 21; 88; 99; 93; 90],[[71; 28; 72; 95; 66; 56]; [8; 24; 34; 14; 25]; [73; 68; 70; 76; 81]; [12; 7; 16; 10; 19]; [53; 64; 58; 62; 87]; [59; 60; 50; 42; 57]; [86; 89; 97; 20; 43; 51]; [54; 46; 35; 77; 48]; [63; 79; 69; 74; 67]; [5; 2; 11; 18; 4]; [91; 45; 83; 85; 75; 6]; [33; 44; 32; 52; 36]; [1; 3; 15; 0; 9]; [78; 38; 47; 82; 96; 39]; [55; 92; 61; 49; 84; 40]; [23; 30; 22; 27; 41]; [13; 80; 31; 94; 65; 98]; [26; 37; 29; 17; 21]; [88; 99; 93; 90]],[99800; 92800; 81300; 95300; 83400; 85700; 99900; 86000; 82200; 97300; 100000; 88600; 97900; 99900; 100000; 90800; 100000; 91400; 61300],4700,4702,0.2083747386932373
38,19,0.8481654736842106,[73; 13; 88; 37; 74; 93; 87; 63; 25; 33; 82; 90; 29; 15; 26; 19; 28; 4; 20; 3; 5; 18; 39; 38; 30; 52; 49; 70; 46; 45; 50; 67; 80; 60; 59; 44; 92; 48; 16; 85; 53; 86; 78; 62; 65; 89; 94; 77; 2; 1; 10; 14; 6; 36; 42; 55; 43; 57; 61; 0; 98; 69; 91; 75; 41; 56; 84; 58; 79; 68; 34; 71; 81; 66; 54; 83; 76; 51; 72; 64; 95; 27; 35; 31; 47; 22; 32; 9; 11; 7; 8; 21; 12; 40; 23; 24; 17; 97; 96; 99],[[73; 13; 88; 37; 74; 93]; [87; 63; 25; 33; 82; 90]; [29; 15; 26; 19; 28]; [4; 20; 3; 5; 18]; [39; 38; 30; 52; 49]; [70; 46; 45; 50; 67]; [80; 60; 59; 44; 92; 48]; [16; 85; 53; 86; 78]; [62; 65; 89; 94; 77]; [2; 1; 10; 14; 6]; [36; 42; 55; 43; 57]; [61; 0; 98; 69; 91; 75]; [41; 56; 84; 58; 79; 68]; [34; 71; 81; 66; 54; 83]; [76; 51; 72; 64; 95; 27]; [35; 31; 47; 22; 32]; [9; 11; 7; 8; 21]; [12; 40; 23; 24; 17]; [97; 96; 99]],[100000; 99900; 92200; 96600; 88200; 85500; 99900; 83400; 80200; 97600; 87100; 100000; 100000; 99800; 99900; 89900; 95600; 92500; 45300],3800,3802,0.15622472763061523
54,18,0.9295768888888891,[25; 40; 29; 38; 24; 12; 27; 7; 17; 5; 77; 53; 61; 39; 32; 72; 42; 58; 67; 91; 57; 47; 82; 66; 78; 75; 31; 96; 60; 14; 89; 87; 37; 65; 46; 74; 88; 36; 81; 68; 84; 4; 99; 63; 73; 59; 90; 85; 49; 55; 52; 16; 13; 22; 19; 23; 8; 9; 0; 1; 2; 28; 33; 11; 35; 21; 30; 45; 34; 44; 48; 76; 64; 56; 70; 79; 50; 51; 83; 80; 86; 95; 20; 3; 6; 10; 15; 54; 62; 26; 41; 94; 98; 71; 43; 18; 69; 92; 93; 97],[[25; 40; 29; 38; 24]; [12; 27; 7; 17; 5]; [77; 53; 61; 39; 32]; [72; 42; 58; 67; 91; 57]; [47; 82; 66; 78; 75; 31]; [96; 60; 14; 89; 87; 37]; [65; 46; 74; 88; 36; 81]; [68; 84; 4; 99; 63; 73]; [59; 90; 85; 49; 55; 52]; [16; 13; 22; 19; 23]; [8; 9; 0; 1; 2]; [28; 33; 11; 35; 21]; [30; 45; 34; 44; 48]; [76; 64; 56; 70; 79; 50]; [51; 83; 80; 86; 95; 20]; [3; 6; 10; 15; 54]; [62; 26; 41; 94; 98; 71]; [43; 18; 69; 92; 93; 97]],[90100; 95000; 85800; 99800; 100000; 99800; 99600; 100000; 99900; 93800; 98400; 91600; 88400; 99900; 98600; 94600; 99500; 98800],5400,5402,0.23435115814208984
44,19,0.8482611578947369,[74; 37; 84; 11; 73; 99; 38; 45; 72; 87; 86; 53; 94; 64; 56; 78; 57; 23; 36; 19; 31; 27; 41; 67; 33; 43; 65; 8; 0; 5; 2; 1; 14; 32; 4; 7; 20; 42; 93; 69; 68; 83; 12; 6; 25; 9; 40; 77; 63; 35; 60; 85; 52; 46; 66; 81; 75; 70; 15; 18; 13; 17; 3; 21; 24; 16; 22; 29; 91; 30; 82; 54; 61; 59; 55; 48; 28; 47; 34; 89; 51; 76; 26; 50; 92; 97; 58; 90; 71; 10; 62; 39; 88; 80; 44; 49; 79; 98; 96; 95],[[74; 37; 84; 11; 73; 99]; [38; 45; 72; 87; 86; 53]; [94; 64; 56; 78; 57]; [23; 36; 19; 31; 27]; [41; 67; 33; 43; 65]; [8; 0; 5; 2; 1]; [14; 32; 4; 7; 20]; [42; 93; 69; 68; 83]; [12; 6; 25; 9; 40]; [77; 63; 35; 60; 85]; [52; 46; 66; 81; 75; 70]; [15; 18; 13; 17; 3]; [21; 24; 16; 22; 29]; [91; 30; 82; 54; 61; 59]; [55; 48; 28; 47; 34]; [89; 51; 76; 26; 50; 92]; [97; 58; 90; 71; 10; 62]; [39; 88; 80; 44; 49; 79]; [98; 96; 95]],[100000; 100000; 82100; 91200; 86500; 98700; 94700; 81900; 94000; 83100; 100000; 95600; 92300; 100000; 88100; 99900; 100000; 100000; 45500],4400,4402,0.18584656715393066
64,19,0.8567595789473685,[16; 17; 12; 30; 36; 10; 29; 21; 26; 18; 71; 84; 72; 54; 88; 15; 7; 4; 13; 11; 60; 46; 85; 77; 44; 68; 39; 48; 51; 35; 49; 43; 66; 55; 70; 62; 20; 8; 19; 23; 22; 81; 47; 52; 40; 45; 86; 37; 1; 89; 74; 97; 2; 9; 5; 6; 3; 69; 33; 90; 73; 83; 32; 78; 63; 59; 50; 42; 92; 27; 28; 31; 24; 41; 76; 65; 93; 79; 80; 0; 94; 87; 64; 14; 91; 34; 53; 75; 56; 82; 61; 58; 57; 67; 25; 38; 98; 96; 95; 99],[[16; 17; 12; 30; 36]; [10; 29; 21; 26; 18]; [71; 84; 72; 54; 88]; [15; 7; 4; 13; 11]; [60; 46; 85; 77; 44; 68]; [39; 48; 51; 35; 49]; [43; 66; 55; 70; 62]; [20; 8; 19; 23; 22]; [81; 47; 52; 40; 45]; [86; 37; 1; 89; 74; 97]; [2; 9; 5; 6; 3]; [69; 33; 90; 73; 83; 32]; [78; 63; 59; 50; 42; 92]; [27; 28; 31; 24; 41]; [76; 65; 93; 79; 80; 0]; [94; 87; 64; 14; 91; 34]; [53; 75; 56; 82; 61; 58]; [57; 67; 25; 38; 98; 96]; [95; 99]],[92700; 92900; 81100; 96300; 100000; 87900; 84600; 93800; 86000; 100000; 98100; 100000; 100000; 90200; 100000; 99900; 100000; 99900; 30200],6400,6402,0.2734062671661377
38,19,0.8564469473684211,[83; 67; 10; 51; 81; 99; 26; 90; 46; 65; 76; 78; 52; 45; 44; 28; 23; 69; 57; 50; 58; 72; 19; 15; 29; 31; 40; 73; 25; 80; 71; 88; 47; 77; 12; 49; 93; 66; 85; 87; 64; 39; 94; 38; 55; 60; 42; 84; 43; 98; 70; 53; 56; 63; 74; 16; 8; 17; 7; 13; 68; 91; 97; 24; 59; 37; 35; 41; 33; 32; 36; 5; 11; 9; 14; 3; 6; 2; 1; 4; 0; 27; 18; 30; 21; 48; 20; 54; 82; 89; 79; 61; 22; 62; 95; 75; 92; 34; 96; 86],[[83; 67; 10; 51; 81; 99]; [26; 90; 46; 65; 76; 78]; [52; 45; 44; 28; 23]; [69; 57; 50; 58; 72]; [19; 15; 29; 31; 40]; [73; 25; 80; 71; 88; 47]; [77; 12; 49; 93; 66; 85]; [87; 64; 39; 94; 38]; [55; 60; 42; 84; 43; 98]; [70; 53; 56; 63; 74]; [16; 8; 17; 7; 13]; [68; 91; 97; 24; 59; 37]; [35; 41; 33; 32; 36]; [5; 11; 9; 14; 3]; [6; 2; 1; 4; 0]; [27; 18; 30; 21; 48]; [20; 54; 82; 89; 79; 61]; [22; 62; 95; 75; 92; 34]; [96; 86]],[99900; 100000; 89000; 84200; 91600; 99900; 100000; 83000; 99900; 83900; 95500; 100000; 89300; 96800; 99100; 91000; 99900; 99800; 30800],3800,3802,0.1778104305267334
44,19,0.847947052631579,[12; 23; 16; 27; 17; 18; 6; 14; 3; 0; 70; 66; 80; 19; 95; 38; 36; 40; 52; 25; 71; 37; 45; 68; 81; 83; 73; 72; 47; 46; 61; 63; 67; 53; 69; 85; 41; 34; 29; 24; 20; 57; 97; 98; 79; 62; 1; 82; 74; 39; 35; 59; 89; 77; 28; 49; 65; 58; 86; 75; 87; 21; 54; 55; 94; 42; 76; 51; 84; 30; 43; 11; 33; 26; 64; 5; 9; 8; 7; 22; 10; 15; 13; 4; 2; 50; 88; 96; 31; 60; 56; 32; 78; 93; 44; 48; 90; 92; 91; 99],[[12; 23; 16; 27; 17]; [18; 6; 14; 3; 0]; [70; 66; 80; 19; 95]; [38; 36; 40; 52; 25]; [71; 37; 45; 68; 81; 83]; [73; 72; 47; 46; 61]; [63; 67; 53; 69; 85]; [41; 34; 29; 24; 20]; [57; 97; 98; 79; 62; 1]; [82; 74; 39; 35; 59; 89]; [77; 28; 49; 65; 58]; [86; 75; 87; 21; 54; 55]; [94; 42; 76; 51; 84; 30]; [43; 11; 33; 26; 64]; [5; 9; 8; 7; 22]; [10; 15; 13; 4; 2]; [50; 88; 96; 31; 60; 56]; [32; 78; 93; 44; 48; 90]; [92; 91; 99]],[93500; 97200; 83000; 88900; 100000; 84300; 82900; 90700; 99900; 100000; 85100; 100000; 100000; 89700; 96000; 96900; 100000; 99800; 45700],4400,4402,0.18763041496276855
55,19,0.8480311578947368,[13; 24; 14; 25; 32; 58; 10; 73; 85; 65; 91; 49; 56; 67; 52; 44; 4; 0; 1; 2; 5; 42; 38; 30; 27; 40; 93; 47; 29; 26; 88; 92; 18; 15; 8; 12; 17; 59; 60; 51; 62; 54; 76; 81; 55; 74; 72; 23; 48; 34; 37; 46; 9; 3; 20; 6; 11; 68; 71; 84; 50; 78; 31; 28; 22; 19; 33; 35; 80; 86; 57; 61; 64; 79; 89; 16; 75; 21; 99; 82; 53; 94; 69; 45; 43; 41; 77; 66; 36; 97; 63; 39; 83; 70; 98; 7; 87; 96; 90; 95],[[13; 24; 14; 25; 32]; [58; 10; 73; 85; 65; 91]; [49; 56; 67; 52; 44]; [4; 0; 1; 2; 5]; [42; 38; 30; 27; 40]; [93; 47; 29; 26; 88; 92]; [18; 15; 8; 12; 17]; [59; 60; 51; 62; 54]; [76; 81; 55; 74; 72]; [23; 48; 34; 37; 46]; [9; 3; 20; 6; 11]; [68; 71; 84; 50; 78]; [31; 28; 22; 19; 33]; [35; 80; 86; 57; 61; 64]; [79; 89; 16; 75; 21; 99]; [82; 53; 94; 69; 45; 43]; [41; 77; 66; 36; 97; 63]; [39; 83; 70; 98; 7; 87]; [96; 90; 95]],[92700; 100000; 86000; 99100; 89100; 99900; 95200; 85000; 81600; 89100; 96500; 82200; 91300; 100000; 100000; 100000; 100000; 100000; 45900],5500,5502,0.2238457202911377
51,19,0.8480014736842104,[94; 57; 40; 92; 19; 79; 65; 77; 71; 78; 73; 7; 6; 13; 10; 5; 49; 35; 39; 54; 44; 18; 30; 9; 15; 21; 64; 28; 59; 83; 70; 81; 60; 56; 82; 43; 84; 58; 41; 11; 91; 98; 95; 50; 29; 27; 38; 42; 32; 31; 26; 23; 16; 34; 88; 69; 66; 46; 61; 53; 47; 76; 55; 80; 75; 63; 74; 85; 86; 24; 33; 45; 36; 48; 68; 93; 62; 37; 87; 25; 72; 67; 51; 22; 52; 99; 97; 0; 14; 3; 17; 2; 8; 20; 1; 4; 12; 89; 90; 96],[[94; 57; 40; 92; 19; 79]; [65; 77; 71; 78; 73]; [7; 6; 13; 10; 5]; [49; 35; 39; 54; 44]; [18; 30; 9; 15; 21]; [64; 28; 59; 83; 70; 81]; [60; 56; 82; 43; 84; 58]; [41; 11; 91; 98; 95; 50]; [29; 27; 38; 42; 32]; [31; 26; 23; 16; 34]; [88; 69; 66; 46; 61]; [53; 47; 76; 55; 80; 75]; [63; 74; 85; 86; 24]; [33; 45; 36; 48; 68]; [93; 62; 37; 87; 25; 72]; [67; 51; 22; 52; 99; 97]; [0; 14; 3; 17; 2]; [8; 20; 1; 4; 12]; [89; 90; 96]],[100000; 81400; 96800; 87600; 93700; 100000; 99900; 100000; 89500; 91500; 83000; 100000; 82500; 87300; 100000; 100000; 97500; 96700; 46200],5100,5102,0.22689342498779297
56,19,0.8381931578947368,[15; 24; 16; 29; 23; 13; 1; 17; 9; 2; 36; 35; 28; 33; 32; 5; 7; 3; 4; 0; 69; 61; 82; 86; 47; 34; 88; 87; 93; 65; 10; 12; 14; 8; 18; 63; 60; 71; 49; 53; 56; 44; 54; 64; 52; 48; 45; 43; 51; 40; 67; 92; 70; 66; 76; 11; 68; 80; 59; 73; 94; 25; 22; 30; 21; 20; 50; 41; 26; 37; 38; 81; 58; 72; 31; 62; 75; 19; 90; 55; 85; 57; 78; 74; 6; 96; 91; 42; 77; 39; 95; 89; 46; 27; 79; 98; 84; 99; 97; 83],[[15; 24; 16; 29; 23]; [13; 1; 17; 9; 2]; [36; 35; 28; 33; 32]; [5; 7; 3; 4; 0]; [69; 61; 82; 86; 47]; [34; 88; 87; 93; 65]; [10; 12; 14; 8; 18]; [63; 60; 71; 49; 53]; [56; 44; 54; 64; 52]; [48; 45; 43; 51; 40]; [67; 92; 70; 66; 76]; [11; 68; 80; 59; 73; 94]; [25; 22; 30; 21; 20]; [50; 41; 26; 37; 38]; [81; 58; 72; 31; 62; 75]; [19; 90; 55; 85; 57; 78]; [74; 6; 96; 91; 42; 77]; [39; 95; 89; 46; 27; 79]; [98; 84; 99; 97; 83]],[92800; 97100; 89700; 98300; 82300; 81000; 95500; 84800; 85900; 87700; 81100; 100000; 92000; 88700; 100000; 100000; 100000; 100000; 76700],5600,5602,0.2391035556793213
