Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
11,33,0.8159000000000002,[49; 8; 5; 42; 20; 19; 41; 12; 38; 4; 9; 48; 25; 35; 14; 32; 34; 23; 27; 36; 0; 28; 30; 31; 29; 33; 15; 6; 47; 24; 37; 17; 45; 7; 13; 46; 18; 39; 26; 16; 43; 22; 40; 2; 10; 1; 44; 21; 3; 11],[[49; 8]; [5]; [42; 20]; [19; 41]; [12]; [38]; [4]; [9; 48]; [25; 35]; [14]; [32; 34]; [23]; [27; 36]; [0]; [28]; [30; 31]; [29; 33]; [15]; [6; 47]; [24; 37]; [17; 45]; [7]; [13; 46]; [18; 39]; [26]; [16; 43]; [22; 40]; [2]; [10]; [1]; [44; 21]; [3]; [11]],[9600; 9400; 8900; 9100; 8500; 3800; 9700; 9700; 10000; 8100; 9600; 6300; 9500; 10000; 5500; 10000; 10000; 8000; 10000; 10000; 9100; 9100; 9500; 10000; 5800; 10000; 9400; 9800; 8800; 9900; 8600; 9700; 8700],550,552,0.01564621925354004
11,33,0.8168939393939394,[27; 15; 13; 45; 2; 25; 37; 47; 11; 19; 3; 4; 7; 6; 48; 23; 44; 46; 14; 22; 0; 26; 35; 21; 39; 18; 40; 20; 41; 8; 38; 28; 9; 10; 32; 31; 30; 17; 42; 16; 43; 12; 5; 49; 1; 24; 36; 33; 29; 34],[[27]; [15]; [13; 45]; [2]; [25; 37]; [47; 11]; [19]; [3]; [4]; [7]; [6; 48]; [23; 44; 46]; [14]; [22]; [0]; [26; 35]; [21; 39]; [18; 40]; [20; 41]; [8]; [38; 28]; [9]; [10]; [32; 31]; [30]; [17; 42]; [16; 43]; [12]; [5; 49]; [1]; [24; 36]; [33; 29]; [34]],[5600; 8000; 10000; 9800; 9800; 9500; 6700; 9700; 9700; 9100; 9900; 9700; 8100; 6400; 10000; 9900; 9600; 10000; 9100; 9100; 9300; 9000; 8800; 10000; 5000; 9400; 10000; 8500; 9900; 9900; 10000; 10000; 4600],550,552,0.031247377395629883
8,33,0.8125242424242423,[48; 29; 35; 11; 46; 44; 21; 10; 18; 43; 49; 27; 37; 5; 23; 9; 15; 19; 40; 24; 36; 28; 12; 1; 13; 2; 3; 26; 0; 8; 47; 25; 38; 32; 31; 20; 39; 14; 7; 4; 22; 42; 41; 17; 30; 6; 33; 34; 45; 16],[[48; 29; 35]; [11]; [46; 44; 21]; [10]; [18; 43; 49]; [27; 37]; [5]; [23]; [9]; [15]; [19; 40]; [24; 36]; [28]; [12]; [1]; [13]; [2]; [3]; [26]; [0]; [8; 47]; [25; 38]; [32; 31]; [20; 39]; [14]; [7]; [4]; [22; 42]; [41; 17]; [30]; [6]; [33; 34]; [45; 16]],[9900; 8700; 10000; 8800; 9600; 9500; 9400; 6300; 9000; 8000; 9700; 10000; 5500; 8500; 9900; 8100; 9800; 9700; 5800; 10000; 9900; 9700; 10000; 9700; 8100; 9100; 9700; 8600; 9600; 5000; 9200; 9500; 9800],400,402,0.015623807907104492
9,32,0.8535531249999998,[4; 34; 32; 1; 5; 21; 39; 2; 38; 27; 37; 28; 23; 15; 46; 0; 3; 10; 8; 49; 11; 12; 47; 30; 31; 48; 9; 19; 44; 18; 42; 33; 29; 16; 45; 14; 7; 35; 26; 43; 20; 41; 17; 22; 40; 6; 13; 25; 24; 36],[[4]; [34; 32]; [1]; [5]; [21; 39]; [2]; [38; 27]; [37; 28]; [23]; [15; 46]; [0]; [3]; [10]; [8; 49]; [11]; [12; 47]; [30; 31]; [48; 9]; [19; 44]; [18; 42]; [33; 29]; [16; 45]; [14]; [7]; [35; 26]; [43; 20]; [41; 17]; [22; 40]; [6]; [13]; [25]; [24; 36]],[9700; 9600; 9900; 9400; 9600; 9800; 9400; 9400; 6300; 9400; 10000; 9700; 8800; 9600; 8700; 9300; 10000; 9700; 8700; 9200; 10000; 9800; 8100; 9100; 9900; 8800; 9600; 9400; 9200; 8100; 5900; 10000],450,452,0.02067399024963379
1,33,0.8107606060606061,[27; 35; 13; 19; 40; 0; 25; 37; 12; 47; 49; 9; 24; 38; 16; 46; 48; 21; 43; 31; 34; 5; 14; 45; 4; 1; 15; 44; 3; 17; 20; 42; 23; 6; 2; 10; 29; 39; 26; 8; 28; 36; 22; 41; 7; 32; 30; 18; 33; 11],[[27; 35]; [13]; [19; 40]; [0]; [25; 37]; [12; 47; 49]; [9]; [24; 38]; [16; 46; 48]; [21; 43]; [31; 34]; [5]; [14; 45]; [4]; [1]; [15; 44]; [3]; [17]; [20; 42]; [23]; [6]; [2]; [10]; [29; 39]; [26]; [8]; [28; 36]; [22; 41]; [7]; [32; 30]; [18]; [33]; [11]],[9700; 8100; 9700; 10000; 9800; 9800; 9000; 9900; 10000; 8700; 9600; 9400; 10000; 9700; 9900; 10000; 9700; 7200; 8900; 6300; 9200; 9800; 8800; 8100; 5800; 9100; 9400; 8800; 9100; 10000; 7000; 4900; 8700],50,52,0.0
8,32,0.8555968750000001,[5; 26; 46; 14; 45; 10; 11; 7; 13; 32; 33; 15; 44; 6; 49; 24; 38; 28; 35; 16; 43; 9; 47; 27; 37; 0; 19; 20; 18; 40; 2; 29; 34; 3; 22; 25; 36; 17; 42; 4; 30; 31; 23; 41; 1; 12; 8; 48; 21; 39],[[5]; [26; 46]; [14; 45]; [10]; [11]; [7]; [13]; [32; 33]; [15; 44]; [6; 49]; [24; 38]; [28; 35]; [16; 43]; [9; 47]; [27; 37]; [0]; [19]; [20]; [18; 40]; [2]; [29; 34]; [3]; [22]; [25; 36]; [17; 42]; [4]; [30; 31]; [23; 41]; [1]; [12]; [8; 48]; [21; 39]],[9400; 7200; 10000; 8800; 8700; 9100; 8100; 9900; 10000; 9700; 9900; 9600; 10000; 9800; 9500; 10000; 6700; 6700; 10000; 9800; 9700; 9700; 6400; 9800; 9400; 9700; 10000; 8700; 9900; 8500; 9800; 9600],400,402,0.0
13,33,0.8161969696969698,[30; 32; 24; 36; 21; 25; 42; 45; 17; 41; 14; 13; 7; 38; 5; 9; 8; 2; 6; 47; 4; 1; 18; 15; 44; 28; 39; 46; 34; 29; 0; 19; 40; 3; 22; 35; 27; 48; 49; 10; 23; 20; 11; 43; 16; 33; 31; 12; 26; 37],[[30; 32]; [24; 36]; [21]; [25; 42; 45]; [17; 41]; [14]; [13]; [7]; [38]; [5]; [9]; [8]; [2]; [6; 47]; [4]; [1]; [18]; [15; 44]; [28; 39; 46]; [34; 29]; [0]; [19; 40]; [3]; [22]; [35; 27]; [48; 49; 10]; [23]; [20]; [11]; [43; 16]; [33; 31]; [12]; [26; 37]],[10000; 10000; 6600; 10000; 9600; 8100; 8100; 9100; 3800; 9400; 9000; 9100; 9800; 10000; 9700; 9900; 7000; 10000; 9900; 9700; 10000; 9700; 9700; 6400; 9700; 10000; 6300; 6700; 8700; 10000; 9900; 8500; 9700],650,652,0.015622854232788086
10,33,0.8220454545454545,[8; 48; 0; 18; 42; 47; 5; 38; 27; 6; 49; 28; 3; 2; 21; 39; 17; 43; 13; 45; 19; 40; 44; 10; 7; 15; 4; 36; 24; 12; 46; 29; 33; 23; 35; 25; 30; 32; 22; 11; 1; 16; 26; 37; 41; 20; 9; 31; 34; 14],[[8; 48]; [0]; [18; 42; 47]; [5]; [38; 27]; [6; 49]; [28]; [3]; [2]; [21; 39]; [17; 43]; [13; 45]; [19; 40]; [44]; [10]; [7]; [15]; [4]; [36; 24]; [12; 46]; [29; 33]; [23]; [35; 25]; [30; 32]; [22]; [11]; [1]; [16]; [26; 37]; [41; 20]; [9]; [31; 34]; [14]],[9800; 10000; 10000; 9400; 9400; 9700; 5500; 9700; 9800; 9600; 9300; 10000; 9700; 2000; 8800; 9100; 8000; 9700; 10000; 9900; 10000; 6300; 10000; 10000; 6400; 8700; 9900; 7900; 9700; 9100; 9000; 9600; 8100],500,502,0.031246423721313477
11,33,0.8155666666666667,[1; 12; 21; 17; 42; 26; 36; 33; 30; 6; 48; 2; 0; 22; 43; 29; 37; 35; 25; 9; 16; 44; 7; 47; 20; 41; 38; 24; 34; 18; 40; 45; 15; 4; 23; 3; 27; 28; 31; 32; 19; 39; 14; 10; 49; 11; 5; 46; 13; 8],[[1]; [12]; [21]; [17; 42]; [26; 36]; [33; 30]; [6; 48]; [2]; [0]; [22; 43]; [29; 37]; [35; 25]; [9]; [16; 44]; [7; 47]; [20; 41]; [38; 24]; [34]; [18; 40]; [45; 15]; [4]; [23]; [3]; [27]; [28]; [31; 32]; [19; 39]; [14]; [10; 49]; [11]; [5]; [46; 13]; [8]],[9900; 8500; 6600; 9400; 9700; 9900; 9900; 9800; 10000; 8500; 9000; 10000; 9000; 9900; 9900; 9100; 9900; 4600; 10000; 9900; 9700; 6300; 9700; 5600; 5500; 10000; 9700; 8100; 9300; 8700; 9400; 9500; 9100],550,552,0.015624046325683594
12,33,0.8146333333333335,[3; 8; 24; 37; 10; 48; 49; 27; 14; 7; 9; 47; 2; 1; 26; 35; 16; 44; 18; 39; 38; 28; 20; 43; 19; 30; 25; 36; 4; 5; 15; 29; 33; 46; 42; 23; 31; 34; 22; 41; 21; 40; 0; 13; 45; 12; 32; 6; 11; 17],[[3]; [8]; [24; 37]; [10; 48; 49]; [27]; [14]; [7]; [9; 47]; [2]; [1]; [26; 35]; [16; 44]; [18; 39]; [38; 28]; [20; 43]; [19]; [30]; [25; 36]; [4]; [5]; [15]; [29; 33]; [46; 42; 23]; [31; 34]; [22; 41]; [21; 40]; [0]; [13; 45]; [12]; [32]; [6]; [11]; [17]],[9700; 9100; 10000; 10000; 5600; 8100; 9100; 9800; 9800; 9900; 9900; 9900; 10000; 9300; 8800; 6700; 5000; 9800; 9700; 9400; 8000; 10000; 9900; 9600; 8800; 9600; 10000; 10000; 8500; 5000; 9200; 8700; 7200],600,602,0.031246185302734375
