Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
3,28,0.7535785714285713,[41; 18; 42; 35; 44; 19; 7; 45; 13; 34; 10; 37; 8; 43; 29; 16; 36; 0; 48; 20; 46; 31; 24; 4; 33; 32; 27; 49; 9; 23; 17; 38; 1; 6; 40; 2; 47; 14; 5; 26; 25; 3; 12; 11; 39; 21; 30; 22; 15; 28],[[41; 18; 42]; [35; 44; 19]; [7; 45]; [13; 34]; [10; 37]; [8; 43]; [29; 16]; [36]; [0; 48]; [20; 46; 31]; [24]; [4]; [33; 32; 27; 49]; [9]; [23]; [17; 38]; [1]; [6; 40]; [2; 47]; [14]; [5]; [26; 25]; [3]; [12]; [11; 39]; [21; 30]; [22]; [15; 28]],[9600; 9900; 8600; 9600; 10000; 9300; 9700; 2700; 10000; 10000; 5100; 8200; 10000; 7500; 5500; 8700; 9400; 9900; 9800; 6500; 8100; 9300; 9000; 7000; 9600; 9000; 5700; 9900],150,152,0.0
2,27,0.7916962962962962,[22; 43; 38; 1; 49; 28; 44; 36; 37; 13; 47; 45; 46; 0; 48; 16; 32; 14; 33; 17; 35; 8; 40; 19; 30; 4; 42; 18; 20; 6; 2; 11; 24; 29; 10; 15; 27; 9; 39; 21; 31; 5; 41; 7; 3; 26; 25; 34; 12; 23],[[22; 43; 38]; [1; 49]; [28; 44; 36; 37]; [13; 47; 45; 46]; [0; 48]; [16; 32]; [14; 33]; [17; 35]; [8; 40]; [19; 30]; [4; 42]; [18]; [20]; [6]; [2]; [11]; [24; 29]; [10]; [15; 27]; [9; 39]; [21; 31]; [5; 41]; [7]; [3]; [26; 25]; [34; 12]; [23]],[9800; 9800; 10000; 9300; 10000; 9300; 9500; 9100; 9500; 9200; 9900; 6000; 5900; 8000; 9100; 7200; 8500; 7400; 9900; 9900; 9000; 10000; 7700; 9000; 9300; 9800; 5500],100,102,0.0
11,26,0.8456307692307692,[29; 18; 8; 38; 15; 28; 2; 4; 42; 7; 46; 27; 21; 22; 45; 36; 40; 19; 9; 39; 23; 35; 44; 48; 37; 17; 5; 0; 49; 25; 24; 12; 32; 34; 26; 10; 43; 47; 31; 16; 20; 3; 1; 14; 33; 11; 13; 30; 6; 41],[[29; 18]; [8; 38]; [15; 28]; [2]; [4; 42]; [7; 46]; [27; 21]; [22; 45; 36]; [40; 19]; [9; 39]; [23; 35; 44; 48]; [37; 17]; [5]; [0; 49]; [25; 24]; [12; 32]; [34; 26]; [10; 43; 47]; [31; 16]; [20]; [3]; [1]; [14; 33]; [11]; [13; 30]; [6; 41]],[9400; 10000; 9900; 9100; 9900; 8600; 9400; 9300; 7900; 9900; 9800; 8900; 8100; 10000; 9800; 10000; 7400; 9800; 9500; 5900; 9000; 9400; 9500; 7200; 10000; 9900],550,552,0.025836467742919922
13,26,0.8455615384615385,[25; 26; 4; 44; 17; 27; 21; 49; 36; 5; 41; 46; 2; 32; 16; 18; 29; 7; 42; 33; 12; 22; 3; 11; 37; 13; 43; 9; 40; 15; 28; 14; 34; 47; 19; 30; 6; 24; 39; 35; 23; 20; 31; 45; 1; 0; 48; 38; 8; 10],[[25; 26]; [4; 44]; [17; 27]; [21; 49; 36]; [5; 41]; [46; 2]; [32; 16]; [18; 29]; [7; 42]; [33; 12]; [22]; [3]; [11; 37]; [13; 43]; [9; 40]; [15; 28]; [14; 34; 47]; [19; 30]; [6]; [24; 39]; [35; 23]; [20; 31; 45]; [1]; [0; 48]; [38; 8]; [10]],[9300; 9300; 9900; 8900; 10000; 10000; 9300; 9400; 9400; 10000; 5700; 9000; 9800; 8500; 9400; 9900; 10000; 9200; 8000; 7500; 8300; 10000; 9400; 10000; 10000; 7400],650,652,0.02066326141357422
2,26,0.8412923076923078,[18; 33; 48; 8; 39; 25; 36; 38; 16; 29; 13; 40; 45; 20; 41; 49; 44; 47; 21; 30; 17; 35; 0; 22; 32; 4; 23; 28; 6; 15; 31; 19; 27; 46; 14; 5; 42; 3; 2; 12; 37; 24; 26; 9; 11; 34; 43; 7; 10; 1],[[18; 33; 48]; [8; 39]; [25; 36; 38]; [16; 29]; [13; 40; 45]; [20; 41; 49; 44; 47]; [21; 30]; [17; 35]; [0]; [22; 32]; [4]; [23; 28]; [6]; [15; 31]; [19; 27]; [46; 14]; [5; 42]; [3]; [2]; [12; 37]; [24; 26]; [9]; [11; 34]; [43; 7]; [10]; [1]],[9400; 10000; 9800; 9700; 9600; 10000; 9000; 9100; 9600; 8700; 8200; 9100; 8000; 9500; 9600; 7400; 9800; 9000; 9100; 9600; 9700; 7500; 10000; 9400; 7400; 9400],100,102,0.004032135009765625
9,27,0.7953481481481482,[29; 37; 27; 49; 39; 20; 43; 19; 3; 11; 47; 44; 46; 23; 2; 1; 17; 41; 42; 13; 33; 22; 31; 45; 12; 34; 9; 8; 4; 0; 15; 28; 6; 26; 24; 14; 32; 18; 35; 16; 30; 48; 7; 10; 38; 21; 36; 5; 40; 25],[[29; 37; 27; 49]; [39; 20; 43]; [19]; [3]; [11; 47; 44; 46]; [23]; [2]; [1]; [17; 41; 42]; [13; 33]; [22; 31; 45]; [12; 34]; [9]; [8]; [4]; [0]; [15; 28]; [6]; [26; 24]; [14; 32]; [18; 35]; [16; 30; 48]; [7]; [10; 38]; [21; 36]; [5; 40]; [25]],[10000; 10000; 6000; 9000; 9900; 5500; 9100; 9400; 9900; 9800; 9800; 9800; 7500; 7600; 8200; 9600; 9900; 8000; 9700; 9500; 8800; 9900; 7700; 9800; 8500; 10000; 4700],450,452,0.0
14,26,0.8486846153846153,[20; 28; 7; 38; 9; 2; 26; 13; 34; 17; 29; 35; 23; 42; 5; 40; 48; 0; 32; 12; 43; 11; 6; 44; 47; 18; 49; 30; 21; 33; 1; 14; 37; 19; 36; 45; 39; 22; 41; 46; 4; 15; 27; 16; 31; 3; 24; 25; 10; 8],[[20; 28]; [7]; [38; 9]; [2]; [26]; [13; 34]; [17; 29]; [35; 23; 42]; [5; 40]; [48; 0]; [32; 12]; [43; 11]; [6; 44; 47]; [18; 49; 30]; [21; 33]; [1]; [14; 37]; [19; 36; 45]; [39; 22; 41]; [46; 4]; [15; 27]; [16; 31]; [3]; [24; 25]; [10]; [8]],[9500; 7700; 9900; 9100; 4600; 9600; 9700; 10000; 10000; 10000; 10000; 8900; 9800; 9600; 8800; 9400; 9100; 9600; 10000; 9100; 9900; 9500; 9000; 9800; 7400; 7600],700,702,0.015622615814208984
10,26,0.8450692307692308,[34; 11; 18; 49; 44; 39; 36; 47; 24; 4; 17; 6; 42; 14; 3; 8; 37; 10; 48; 19; 27; 20; 32; 45; 2; 5; 41; 21; 33; 15; 30; 13; 31; 40; 7; 26; 25; 1; 38; 16; 29; 22; 9; 43; 0; 23; 28; 46; 12; 35],[[34; 11]; [18; 49; 44; 39]; [36; 47; 24]; [4]; [17]; [6; 42]; [14]; [3]; [8]; [37; 10]; [48; 19; 27]; [20; 32; 45]; [2]; [5; 41]; [21; 33]; [15; 30]; [13; 31]; [40; 7]; [26; 25]; [1]; [38; 16]; [29; 22]; [9; 43]; [0]; [23; 28; 46]; [12; 35]],[10000; 9900; 8500; 8200; 6300; 9700; 6500; 9000; 7600; 10000; 10000; 9800; 9100; 10000; 8800; 9500; 10000; 9600; 9300; 9400; 8700; 9100; 9200; 9600; 10000; 9800],500,502,0.015622854232788086
17,27,0.8086814814814814,[37; 4; 42; 8; 38; 21; 29; 47; 6; 40; 49; 32; 16; 17; 27; 22; 33; 44; 0; 15; 28; 7; 41; 1; 48; 12; 34; 13; 31; 14; 30; 24; 25; 5; 43; 9; 2; 46; 26; 36; 19; 39; 18; 10; 23; 3; 45; 11; 35; 20],[[37]; [4; 42]; [8; 38]; [21; 29; 47]; [6; 40]; [49; 32; 16]; [17; 27]; [22; 33; 44]; [0]; [15; 28]; [7; 41]; [1; 48]; [12; 34]; [13; 31]; [14; 30]; [24; 25]; [5; 43]; [9]; [2; 46]; [26; 36]; [19; 39]; [18]; [10]; [23]; [3; 45]; [11; 35]; [20]],[2600; 9900; 10000; 9900; 9900; 9700; 9900; 9800; 9600; 9900; 9600; 9800; 9800; 10000; 9700; 9800; 9800; 7500; 10000; 7300; 8400; 6000; 7400; 5500; 9900; 10000; 5900],850,852,0.015625715255737305
3,26,0.8448692307692307,[23; 27; 9; 38; 6; 24; 34; 41; 12; 13; 49; 35; 10; 42; 46; 19; 18; 31; 47; 17; 43; 40; 7; 0; 3; 36; 45; 48; 22; 14; 30; 11; 37; 4; 44; 5; 8; 39; 16; 32; 21; 29; 26; 25; 2; 1; 20; 33; 15; 28],[[23; 27]; [9; 38]; [6]; [24; 34; 41]; [12]; [13; 49; 35]; [10; 42; 46]; [19]; [18; 31; 47]; [17; 43; 40]; [7]; [0]; [3]; [36; 45; 48; 22]; [14; 30]; [11; 37]; [4; 44]; [5]; [8; 39]; [16; 32]; [21; 29]; [26; 25]; [2]; [1]; [20; 33]; [15; 28]],[9100; 9900; 8000; 9800; 7000; 10000; 10000; 6000; 9900; 9900; 7700; 9600; 9000; 9700; 9700; 9800; 9300; 8100; 10000; 9300; 9200; 9300; 9100; 9400; 8900; 9900],150,152,0.0
