Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
19,33,0.8558575757575759,[4; 33; 19; 43; 14; 28; 32; 7; 15; 18; 45; 3; 30; 29; 10; 5; 17; 44; 35; 38; 49; 9; 39; 25; 48; 16; 1; 21; 41; 47; 22; 42; 23; 27; 36; 0; 37; 26; 12; 20; 46; 2; 11; 13; 6; 8; 34; 31; 24; 40],[[4]; [33]; [19; 43]; [14]; [28; 32]; [7]; [15]; [18; 45]; [3]; [30; 29]; [10]; [5]; [17; 44]; [35; 38; 49]; [9]; [39; 25]; [48; 16]; [1]; [21; 41]; [47; 22]; [42; 23]; [27; 36]; [0]; [37; 26]; [12]; [20; 46]; [2]; [11]; [13]; [6]; [8]; [34; 31]; [24; 40]],[9400; 4300; 9900; 8100; 9900; 8900; 8100; 9700; 9700; 9700; 8500; 9300; 9800; 9900; 8900; 10000; 9900; 9900; 10000; 9200; 9400; 9800; 10000; 10000; 8400; 9700; 9800; 8500; 8300; 9100; 8900; 8700; 9600],950,952,0.031245946884155273
16,33,0.8510818181818179,[3; 8; 39; 25; 40; 24; 9; 10; 16; 49; 12; 0; 17; 45; 27; 36; 33; 42; 44; 7; 4; 38; 26; 15; 14; 11; 1; 29; 35; 18; 21; 41; 6; 2; 37; 34; 48; 28; 31; 13; 23; 47; 30; 32; 22; 19; 46; 43; 20; 5],[[3]; [8]; [39; 25]; [40; 24]; [9]; [10]; [16; 49]; [12]; [0]; [17; 45]; [27; 36]; [33; 42; 44]; [7]; [4]; [38; 26]; [15]; [14]; [11]; [1]; [29; 35]; [18]; [21; 41]; [6]; [2]; [37; 34; 48]; [28; 31]; [13]; [23; 47]; [30; 32]; [22]; [19; 46]; [43; 20]; [5]],[9700; 8900; 10000; 9600; 8900; 8500; 9900; 8400; 10000; 9700; 9800; 9400; 8900; 9400; 10000; 8100; 8100; 8500; 9900; 9000; 7300; 10000; 9100; 9800; 10000; 9900; 8300; 9100; 9300; 6900; 9700; 9900; 9300],800,802,0.03124856948852539
12,34,0.8160558823529411,[35; 27; 20; 42; 33; 30; 3; 36; 48; 41; 39; 24; 9; 1; 28; 32; 21; 40; 23; 29; 31; 44; 0; 4; 14; 16; 7; 19; 43; 11; 25; 15; 2; 12; 34; 37; 49; 10; 5; 46; 17; 18; 47; 6; 8; 22; 45; 38; 26; 13],[[35; 27]; [20; 42]; [33; 30]; [3]; [36; 48; 41]; [39; 24]; [9]; [1]; [28; 32]; [21]; [40; 23]; [29; 31]; [44]; [0]; [4]; [14]; [16]; [7]; [19; 43]; [11]; [25]; [15]; [2]; [12]; [34; 37; 49]; [10]; [5]; [46; 17]; [18; 47]; [6]; [8]; [22; 45]; [38; 26]; [13]],[10000; 9900; 9100; 9700; 9000; 10000; 8900; 9900; 9900; 7000; 10000; 9400; 2500; 10000; 9400; 8100; 7800; 8900; 9900; 8500; 6400; 8100; 9800; 8400; 10000; 8500; 9300; 9700; 9600; 9100; 8900; 9300; 10000; 8300],600,602,0.015622377395629883
6,33,0.8523000000000001,[43; 29; 44; 5; 9; 26; 37; 24; 34; 48; 38; 0; 21; 45; 4; 14; 1; 41; 22; 18; 46; 3; 16; 49; 17; 2; 10; 15; 19; 42; 32; 28; 25; 39; 6; 7; 11; 8; 23; 40; 20; 47; 27; 36; 33; 35; 30; 31; 13; 12],[[43; 29; 44]; [5]; [9]; [26; 37]; [24]; [34; 48; 38]; [0]; [21; 45]; [4]; [14]; [1]; [41; 22]; [18; 46]; [3]; [16; 49]; [17]; [2]; [10]; [15]; [19; 42]; [32; 28]; [25; 39]; [6]; [7]; [11]; [8]; [23; 40]; [20; 47]; [27; 36]; [33; 35]; [30; 31]; [13]; [12]],[10000; 9300; 8900; 10000; 6400; 10000; 10000; 9400; 9400; 8100; 9900; 9900; 9700; 9700; 9900; 7300; 9800; 8500; 8100; 9900; 9900; 10000; 9100; 8900; 8500; 8900; 10000; 9600; 9800; 8400; 9300; 8300; 8400],300,302,0.0
6,33,0.850918181818182,[17; 49; 22; 46; 6; 5; 40; 37; 42; 15; 10; 47; 19; 34; 36; 13; 3; 1; 35; 27; 26; 38; 2; 18; 44; 29; 33; 0; 12; 21; 45; 7; 4; 8; 9; 24; 39; 28; 31; 14; 11; 30; 32; 48; 16; 20; 43; 23; 41; 25],[[17; 49]; [22; 46]; [6]; [5]; [40; 37; 42]; [15]; [10]; [47; 19]; [34; 36]; [13]; [3]; [1]; [35; 27]; [26; 38]; [2]; [18; 44]; [29; 33]; [0]; [12]; [21; 45]; [7]; [4]; [8]; [9]; [24; 39]; [28; 31]; [14]; [11]; [30; 32]; [48; 16]; [20; 43]; [23; 41]; [25]],[9400; 9300; 9100; 9300; 9500; 8100; 8500; 9600; 8100; 8300; 9700; 9900; 10000; 10000; 9800; 9800; 9200; 10000; 8400; 9400; 8900; 9400; 8900; 8900; 10000; 9900; 8100; 8500; 9300; 9900; 9900; 9800; 6400],300,302,0.0
14,33,0.8488151515151515,[18; 43; 4; 27; 37; 20; 42; 15; 29; 33; 5; 14; 12; 25; 41; 31; 28; 17; 44; 16; 26; 38; 9; 2; 7; 11; 34; 40; 45; 13; 10; 47; 19; 48; 22; 49; 21; 1; 3; 24; 39; 30; 35; 8; 6; 32; 36; 0; 46; 23],[[18; 43]; [4]; [27; 37]; [20; 42]; [15]; [29; 33]; [5]; [14]; [12]; [25; 41]; [31; 28]; [17; 44]; [16]; [26; 38]; [9]; [2]; [7]; [11]; [34; 40; 45]; [13]; [10]; [47; 19]; [48; 22]; [49; 21]; [1]; [3]; [24; 39]; [30; 35]; [8]; [6]; [32; 36]; [0]; [46; 23]],[9900; 9400; 9600; 9900; 8100; 9200; 9300; 8100; 8400; 9400; 9900; 9800; 7800; 10000; 8900; 9800; 8900; 8500; 9800; 8300; 8500; 9600; 9000; 9100; 9900; 9700; 10000; 8900; 8900; 9100; 8400; 10000; 9200],700,702,0.031246423721313477
6,34,0.8110264705882355,[19; 47; 39; 25; 4; 26; 3; 15; 0; 21; 45; 6; 5; 44; 38; 37; 49; 16; 1; 7; 20; 46; 34; 33; 23; 40; 27; 35; 13; 17; 48; 30; 43; 42; 22; 41; 10; 8; 11; 14; 12; 31; 2; 29; 36; 9; 28; 32; 24; 18],[[19; 47]; [39; 25]; [4]; [26]; [3]; [15]; [0]; [21; 45]; [6]; [5]; [44; 38; 37]; [49; 16]; [1]; [7]; [20; 46]; [34; 33]; [23; 40]; [27; 35]; [13]; [17; 48]; [30; 43; 42]; [22; 41]; [10]; [8]; [11]; [14]; [12]; [31]; [2]; [29; 36]; [9]; [28; 32]; [24]; [18]],[9600; 10000; 9400; 6300; 9700; 8100; 10000; 9400; 9100; 9300; 9900; 9900; 9900; 8900; 9700; 8500; 10000; 10000; 8300; 9400; 10000; 9900; 8500; 8900; 8500; 8100; 8400; 4500; 9800; 8800; 8900; 9900; 6400; 7300],300,302,0.015624523162841797
2,35,0.769877142857143,[41; 26; 40; 23; 48; 6; 22; 43; 31; 32; 9; 2; 28; 33; 21; 47; 24; 44; 0; 30; 38; 11; 3; 10; 14; 7; 34; 46; 42; 4; 16; 49; 25; 45; 35; 37; 20; 15; 1; 39; 27; 18; 12; 29; 36; 17; 8; 13; 5; 19],[[41; 26]; [40; 23]; [48]; [6]; [22; 43]; [31; 32]; [9]; [2]; [28; 33]; [21; 47]; [24; 44]; [0]; [30; 38]; [11]; [3]; [10]; [14]; [7]; [34; 46; 42]; [4]; [16; 49]; [25; 45]; [35; 37]; [20]; [15]; [1]; [39; 27]; [18]; [12]; [29; 36]; [17]; [8]; [13]; [5]; [19]],[9300; 10000; 2100; 9100; 9500; 9000; 8900; 9800; 9700; 9300; 8900; 10000; 8500; 8500; 9700; 8500; 8100; 8900; 9200; 9400; 9900; 8800; 7800; 7300; 8100; 9900; 9500; 7300; 8400; 8800; 7300; 8900; 8300; 9300; 7300],100,102,0.0
2,33,0.8486515151515152,[18; 47; 36; 28; 26; 38; 32; 29; 20; 43; 7; 14; 23; 48; 35; 30; 8; 9; 12; 3; 21; 41; 6; 24; 42; 13; 4; 39; 25; 1; 33; 46; 40; 5; 27; 37; 34; 31; 22; 44; 11; 0; 15; 49; 19; 45; 17; 2; 10; 16],[[18; 47]; [36; 28]; [26; 38]; [32; 29]; [20; 43]; [7]; [14]; [23; 48]; [35; 30]; [8]; [9]; [12]; [3]; [21; 41]; [6]; [24; 42]; [13]; [4]; [39; 25]; [1]; [33; 46; 40]; [5]; [27; 37]; [34; 31]; [22; 44]; [11]; [0]; [15]; [49; 19]; [45; 17]; [2]; [10]; [16]],[9600; 9300; 10000; 9400; 9900; 8900; 8100; 8900; 8900; 8900; 8900; 8400; 9700; 10000; 9100; 9000; 8300; 9400; 10000; 9900; 9900; 9300; 9600; 8700; 9400; 8500; 10000; 8100; 9400; 9700; 9800; 8500; 7800],100,102,0.0
12,33,0.849239393939394,[21; 41; 5; 6; 1; 11; 9; 10; 28; 45; 49; 18; 42; 40; 25; 23; 46; 17; 44; 3; 12; 32; 33; 16; 2; 0; 8; 4; 29; 34; 22; 47; 14; 27; 35; 30; 36; 39; 24; 48; 20; 31; 38; 13; 37; 26; 19; 43; 7; 15],[[21; 41]; [5]; [6]; [1]; [11]; [9]; [10]; [28; 45; 49]; [18; 42]; [40; 25]; [23; 46]; [17; 44]; [3]; [12]; [32; 33]; [16]; [2]; [0]; [8]; [4]; [29; 34]; [22; 47]; [14]; [27; 35]; [30; 36]; [39; 24]; [48; 20]; [31; 38]; [13]; [37; 26]; [19; 43]; [7]; [15]],[10000; 9300; 9100; 9900; 8500; 8900; 8500; 9900; 9900; 9600; 9200; 9800; 9700; 8400; 8800; 7800; 9800; 10000; 8900; 9400; 9100; 9200; 8100; 10000; 8700; 10000; 9400; 8200; 8300; 10000; 9900; 8900; 8100],600,602,0.015624046325683594
