Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
2,24,0.8048582175925926,[2; 7; 35; 12; 46; 16; 30; 4; 42; 43; 13; 29; 25; 24; 17; 36; 44; 39; 27; 20; 49; 5; 47; 38; 14; 1; 40; 22; 23; 3; 48; 45; 37; 32; 18; 19; 28; 11; 31; 9; 33; 0; 41; 10; 34; 6; 8; 26; 21; 15],[[2]; [7; 35]; [12; 46]; [16; 30]; [4; 42; 43]; [13; 29]; [25; 24]; [17; 36; 44; 39]; [27; 20; 49]; [5; 47; 38]; [14]; [1; 40]; [22; 23]; [3; 48; 45]; [37; 32; 18]; [19; 28]; [11; 31]; [9; 33]; [0; 41]; [10; 34]; [6]; [8]; [26; 21]; [15]],[9500; 11300; 8100; 11500; 11900; 11700; 11500; 11600; 12000; 11600; 7200; 11200; 11700; 10600; 11800; 12000; 11500; 11400; 11300; 10600; 8800; 8300; 11600; 7000],100,102,0.0
6,24,0.808365162037037,[5; 35; 20; 25; 12; 43; 40; 27; 21; 49; 19; 8; 38; 10; 36; 46; 47; 4; 37; 48; 6; 33; 11; 30; 9; 34; 44; 1; 41; 24; 23; 18; 28; 13; 31; 2; 45; 42; 39; 17; 15; 3; 0; 32; 7; 14; 16; 29; 22; 26],[[5; 35]; [20; 25]; [12; 43; 40]; [27; 21; 49]; [19]; [8; 38]; [10; 36; 46; 47]; [4; 37; 48]; [6; 33]; [11; 30]; [9; 34]; [44; 1; 41]; [24; 23]; [18; 28]; [13; 31]; [2; 45; 42]; [39; 17]; [15]; [3]; [0]; [32; 7]; [14]; [16; 29]; [22; 26]],[11600; 12000; 10300; 11700; 6600; 10100; 11700; 11800; 11900; 11900; 11200; 12000; 11600; 12000; 11300; 11800; 8300; 7000; 9100; 9800; 11800; 7200; 11500; 11500],300,302,0.010177850723266602
6,25,0.7602972222222221,[17; 47; 44; 39; 40; 11; 30; 16; 36; 42; 14; 29; 49; 27; 25; 46; 1; 41; 48; 8; 43; 37; 18; 28; 7; 32; 10; 31; 3; 35; 0; 38; 13; 12; 15; 5; 45; 4; 34; 9; 22; 23; 20; 26; 21; 19; 24; 2; 6; 33],[[17; 47; 44; 39; 40]; [11; 30]; [16; 36; 42]; [14; 29; 49]; [27; 25; 46]; [1; 41; 48]; [8; 43; 37]; [18; 28]; [7; 32]; [10; 31]; [3; 35]; [0; 38]; [13]; [12]; [15]; [5; 45]; [4; 34]; [9]; [22; 23]; [20; 26]; [21]; [19]; [24]; [2]; [6; 33]],[11600; 11900; 10800; 11900; 12000; 11700; 11800; 12000; 11800; 11800; 11700; 11600; 7200; 7300; 7000; 9900; 12000; 8300; 11700; 11900; 6000; 6600; 5800; 9500; 11900],300,302,0.010114669799804688
9,25,0.7577138888888888,[5; 44; 37; 21; 24; 7; 47; 36; 20; 40; 38; 45; 48; 46; 15; 2; 43; 22; 25; 11; 32; 19; 8; 33; 42; 6; 41; 12; 10; 31; 14; 16; 13; 29; 49; 18; 28; 1; 39; 4; 34; 0; 17; 30; 3; 35; 26; 23; 27; 9],[[5; 44; 37]; [21; 24]; [7; 47; 36]; [20; 40; 38; 45; 48; 46]; [15]; [2; 43]; [22; 25]; [11; 32]; [19]; [8; 33]; [42; 6; 41]; [12]; [10; 31]; [14]; [16]; [13; 29; 49]; [18; 28]; [1; 39]; [4; 34]; [0]; [17; 30]; [3; 35]; [26; 23]; [27]; [9]],[12000; 11800; 11900; 12000; 7000; 10900; 11600; 10500; 6600; 11400; 11700; 7300; 11800; 7200; 7000; 11900; 12000; 11200; 12000; 9800; 11200; 11700; 11400; 5500; 8300],450,452,0.01323843002319336
21,25,0.7591249999999999,[33; 45; 20; 41; 49; 48; 0; 42; 26; 24; 16; 12; 30; 40; 13; 32; 15; 17; 9; 22; 25; 14; 37; 35; 43; 39; 5; 3; 44; 47; 27; 7; 18; 28; 6; 46; 38; 23; 21; 2; 36; 19; 1; 8; 29; 11; 4; 34; 10; 31],[[33; 45; 20; 41; 49]; [48; 0; 42]; [26; 24]; [16]; [12; 30]; [40; 13; 32]; [15]; [17]; [9]; [22; 25]; [14; 37; 35]; [43; 39; 5]; [3; 44; 47]; [27]; [7]; [18; 28]; [6; 46; 38]; [23; 21]; [2; 36]; [19]; [1]; [8]; [29; 11]; [4; 34]; [10; 31]],[12000; 11800; 11400; 7000; 11800; 11900; 7000; 6700; 8300; 11600; 11900; 12000; 10800; 5500; 8700; 12000; 11400; 11800; 11900; 6600; 9600; 8300; 11900; 12000; 11800],1050,1052,0.03802156448364258
4,26,0.7086404914529912,[37; 0; 4; 41; 47; 49; 1; 43; 45; 28; 20; 33; 46; 2; 38; 22; 21; 17; 36; 35; 3; 44; 48; 19; 13; 30; 26; 25; 11; 32; 42; 8; 5; 29; 16; 12; 10; 31; 6; 9; 34; 27; 24; 7; 39; 23; 18; 14; 40; 15],[[37; 0]; [4; 41; 47; 49]; [1; 43; 45]; [28; 20]; [33; 46]; [2; 38]; [22; 21]; [17; 36; 35]; [3; 44; 48]; [19]; [13; 30]; [26; 25]; [11; 32; 42]; [8]; [5]; [29; 16]; [12]; [10; 31]; [6]; [9; 34]; [27; 24]; [7; 39]; [23]; [18]; [14; 40]; [15]],[11900; 11600; 11900; 11700; 3900; 11300; 11900; 11700; 10600; 6600; 11700; 11300; 11900; 8300; 9000; 11500; 7300; 11800; 8800; 11200; 11300; 10300; 5800; 6600; 8800; 7000],200,202,0.022980928421020508
5,25,0.7582472222222221,[9; 44; 49; 39; 46; 4; 37; 47; 29; 14; 5; 41; 43; 13; 36; 19; 0; 38; 18; 21; 25; 8; 16; 31; 40; 15; 34; 2; 42; 45; 17; 24; 23; 7; 33; 3; 35; 22; 27; 10; 12; 6; 32; 20; 28; 11; 30; 48; 1; 26],[[9; 44; 49; 39; 46]; [4; 37; 47]; [29; 14]; [5; 41; 43]; [13; 36]; [19]; [0; 38]; [18]; [21; 25]; [8]; [16; 31]; [40; 15; 34]; [2; 42; 45]; [17]; [24; 23]; [7; 33]; [3; 35]; [22; 27]; [10]; [12]; [6; 32]; [20; 28]; [11; 30]; [48; 1]; [26]],[11800; 12000; 11700; 11900; 9600; 6600; 11600; 6600; 11700; 8300; 11100; 11500; 11800; 6700; 11600; 11800; 11700; 11400; 7700; 7300; 11900; 11700; 11900; 10200; 5600],250,252,0.015694141387939453
11,25,0.7586694444444444,[37; 16; 34; 5; 38; 45; 46; 0; 2; 36; 3; 39; 48; 7; 32; 21; 22; 1; 43; 6; 33; 19; 18; 26; 28; 47; 49; 11; 31; 23; 27; 12; 40; 20; 25; 15; 29; 8; 24; 13; 30; 44; 9; 35; 17; 10; 4; 42; 41; 14],[[37; 16; 34]; [5; 38; 45]; [46; 0]; [2; 36]; [3; 39; 48]; [7; 32]; [21; 22]; [1; 43]; [6; 33]; [19]; [18]; [26; 28; 47; 49]; [11; 31]; [23; 27]; [12; 40]; [20; 25]; [15; 29]; [8]; [24]; [13; 30]; [44; 9; 35]; [17]; [10]; [4; 42; 41]; [14]],[12000; 11700; 10600; 11900; 11300; 11800; 11900; 11000; 11900; 6600; 6600; 12000; 11500; 11300; 8900; 12000; 11500; 8300; 5800; 11700; 11800; 6700; 7700; 12000; 7200],550,552,0.034297943115234375
8,24,0.8105758101851851,[17; 4; 19; 28; 5; 37; 47; 24; 23; 49; 2; 42; 10; 41; 43; 46; 12; 35; 39; 15; 40; 33; 18; 9; 20; 25; 30; 16; 38; 44; 7; 48; 27; 26; 45; 13; 31; 14; 11; 29; 22; 21; 3; 34; 8; 32; 36; 1; 0; 6],[[17]; [4]; [19; 28]; [5; 37; 47]; [24; 23; 49]; [2; 42]; [10; 41; 43; 46]; [12; 35; 39]; [15; 40; 33]; [18]; [9]; [20; 25]; [30; 16]; [38; 44; 7; 48]; [27; 26; 45]; [13; 31]; [14]; [11; 29]; [22; 21]; [3; 34]; [8; 32]; [36; 1]; [0]; [6]],[6700; 9100; 12000; 11900; 11800; 10900; 11400; 11500; 11700; 6600; 8300; 12000; 11500; 12000; 12000; 11300; 7200; 11900; 11900; 12000; 11400; 12000; 9800; 8800],400,402,0.032062530517578125
13,26,0.7068936965811966,[19; 8; 37; 42; 27; 41; 45; 31; 5; 40; 47; 23; 7; 32; 18; 6; 33; 29; 11; 4; 44; 14; 2; 38; 30; 24; 39; 9; 35; 3; 10; 22; 21; 36; 34; 17; 1; 20; 25; 28; 48; 26; 49; 43; 0; 46; 13; 15; 12; 16],[[19]; [8; 37; 42]; [27; 41; 45; 31]; [5; 40; 47]; [23]; [7; 32]; [18]; [6; 33]; [29; 11]; [4; 44]; [14]; [2; 38]; [30; 24; 39]; [9; 35]; [3]; [10]; [22; 21]; [36; 34; 17]; [1]; [20; 25]; [28; 48; 26; 49]; [43; 0; 46]; [13]; [15]; [12]; [16]],[6600; 11800; 12000; 11400; 5800; 11800; 6600; 11900; 11900; 10000; 7200; 11300; 11900; 10900; 9100; 7700; 11900; 12000; 9600; 12000; 11800; 12000; 7200; 7000; 7300; 7000],650,652,0.03137707710266113
