Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
19,26,0.8747996794871794,[46; 22; 39; 36; 16; 3; 47; 2; 5; 30; 18; 14; 45; 1; 21; 24; 15; 40; 6; 44; 8; 41; 10; 38; 31; 29; 19; 28; 25; 34; 48; 35; 11; 17; 32; 13; 43; 20; 23; 26; 27; 37; 9; 42; 7; 0; 49; 4; 12; 33],[[46; 22; 39]; [36; 16]; [3; 47]; [2]; [5]; [30; 18]; [14; 45]; [1]; [21; 24]; [15; 40]; [6; 44]; [8; 41]; [10; 38]; [31; 29]; [19; 28]; [25; 34; 48]; [35; 11]; [17; 32]; [13; 43]; [20; 23]; [26; 27]; [37; 9]; [42; 7]; [0; 49]; [4]; [12; 33]],[12000; 11300; 12000; 9900; 9100; 11900; 9800; 10000; 11600; 10700; 11600; 11500; 11500; 10200; 11700; 12000; 12000; 11800; 10400; 12000; 10600; 12000; 11500; 12000; 9800; 12000],950,952,0.07811188697814941
26,26,0.8785924145299145,[28; 39; 42; 34; 12; 35; 11; 19; 25; 5; 44; 46; 15; 30; 31; 41; 49; 18; 3; 48; 17; 9; 43; 47; 2; 45; 6; 1; 13; 33; 16; 37; 21; 24; 7; 40; 4; 14; 32; 23; 26; 20; 22; 8; 38; 36; 10; 29; 27; 0],[[28; 39; 42]; [34; 12]; [35; 11]; [19; 25]; [5; 44]; [46; 15]; [30; 31]; [41; 49; 18]; [3; 48]; [17]; [9; 43]; [47; 2]; [45; 6]; [1]; [13; 33]; [16; 37]; [21; 24]; [7; 40]; [4]; [14; 32]; [23; 26]; [20; 22]; [8; 38]; [36; 10]; [29; 27]; [0]],[11900; 12000; 12000; 12000; 11700; 9700; 10200; 12000; 12000; 7000; 11200; 12000; 11600; 10000; 11800; 11000; 11600; 11900; 9800; 12000; 11100; 12000; 12000; 12000; 10400; 10000],1300,1302,0.09853887557983398
12,27,0.8277494855967078,[41; 26; 40; 39; 10; 1; 49; 22; 21; 19; 45; 15; 33; 28; 0; 20; 31; 12; 36; 11; 35; 18; 30; 13; 34; 14; 38; 7; 42; 4; 27; 25; 43; 9; 8; 46; 23; 24; 3; 48; 37; 16; 2; 17; 32; 5; 47; 6; 44; 29],[[41; 26; 40]; [39; 10]; [1; 49]; [22; 21]; [19; 45]; [15; 33]; [28]; [0]; [20; 31]; [12; 36]; [11; 35]; [18; 30]; [13; 34]; [14; 38]; [7; 42]; [4]; [27; 25]; [43; 9]; [8; 46]; [23; 24]; [3; 48]; [37; 16]; [2]; [17; 32]; [5; 47]; [6; 44]; [29]],[12000; 11500; 12000; 11700; 9200; 11700; 5100; 10000; 11300; 11700; 12000; 11900; 11800; 10900; 11500; 9800; 10700; 11200; 10800; 11500; 12000; 11000; 9900; 11800; 11200; 11600; 5100],600,602,0.04751777648925781
10,27,0.8300643004115226,[40; 45; 30; 28; 25; 11; 41; 5; 44; 24; 20; 19; 26; 12; 34; 21; 39; 47; 0; 49; 17; 37; 46; 1; 43; 16; 13; 36; 4; 14; 33; 42; 8; 6; 48; 10; 35; 2; 3; 23; 22; 32; 15; 18; 29; 31; 27; 7; 9; 38],[[40; 45; 30]; [28; 25]; [11; 41]; [5; 44]; [24; 20]; [19; 26]; [12; 34]; [21; 39; 47]; [0; 49]; [17; 37]; [46]; [1]; [43; 16]; [13; 36]; [4]; [14; 33]; [42; 8]; [6; 48]; [10; 35]; [2]; [3]; [23; 22]; [32; 15]; [18; 29]; [31; 27]; [7]; [9; 38]],[11200; 10500; 11000; 11700; 11900; 11900; 12000; 11700; 12000; 10900; 2500; 10000; 10200; 11500; 9800; 11700; 11400; 11100; 12000; 9900; 9900; 11600; 12000; 11900; 10400; 8400; 11800],500,502,0.03128862380981445
14,27,0.8252237654320987,[9; 3; 8; 42; 4; 49; 34; 14; 18; 30; 0; 41; 20; 45; 6; 44; 43; 39; 46; 12; 35; 16; 37; 27; 25; 31; 26; 28; 19; 17; 1; 5; 47; 33; 13; 15; 32; 23; 22; 29; 7; 40; 24; 21; 11; 38; 36; 10; 2; 48],[[9]; [3]; [8; 42]; [4; 49]; [34; 14]; [18; 30]; [0]; [41; 20; 45]; [6; 44]; [43; 39; 46]; [12; 35]; [16; 37]; [27; 25]; [31; 26]; [28; 19]; [17]; [1]; [5; 47]; [33; 13]; [15; 32]; [23; 22]; [29]; [7; 40]; [24; 21]; [11; 38]; [36; 10]; [2; 48]],[8100; 9900; 11400; 11800; 11700; 11900; 10000; 12000; 11600; 9300; 11700; 11000; 10700; 10400; 11700; 7000; 10000; 11200; 11800; 12000; 11600; 5100; 11900; 11600; 11500; 12000; 12000],700,702,0.04687213897705078
6,27,0.8211239711934156,[27; 38; 29; 24; 23; 45; 42; 0; 49; 37; 25; 44; 12; 41; 10; 1; 13; 33; 19; 28; 14; 34; 16; 32; 6; 46; 21; 22; 2; 48; 39; 8; 30; 43; 17; 35; 4; 47; 3; 18; 31; 7; 9; 40; 11; 36; 15; 26; 20; 5],[[27; 38]; [29; 24]; [23; 45; 42]; [0; 49]; [37; 25; 44]; [12; 41]; [10]; [1]; [13; 33]; [19; 28]; [14; 34]; [16; 32]; [6; 46]; [21; 22]; [2; 48]; [39; 8]; [30; 43]; [17; 35]; [4; 47]; [3]; [18; 31]; [7]; [9; 40]; [11; 36]; [15]; [26; 20]; [5]],[9000; 10800; 11500; 12000; 11900; 10700; 7800; 10000; 11800; 11700; 11700; 11900; 11500; 11700; 12000; 12000; 8200; 11200; 11900; 9900; 11900; 8400; 11600; 12000; 7200; 11500; 9100],300,302,0.031247377395629883
21,27,0.8309182098765431,[48; 3; 25; 39; 45; 34; 13; 49; 2; 42; 41; 27; 28; 0; 16; 32; 43; 8; 17; 1; 47; 4; 11; 37; 9; 38; 15; 23; 22; 10; 35; 6; 46; 5; 44; 31; 18; 19; 20; 26; 24; 30; 40; 7; 21; 29; 36; 12; 33; 14],[[48; 3]; [25; 39; 45]; [34; 13]; [49; 2]; [42; 41; 27]; [28]; [0]; [16; 32]; [43; 8]; [17]; [1]; [47; 4]; [11; 37]; [9; 38]; [15]; [23; 22]; [10; 35]; [6; 46]; [5; 44]; [31; 18]; [19]; [20; 26]; [24; 30]; [40; 7]; [21; 29]; [36; 12]; [33; 14]],[12000; 11700; 11800; 11900; 11600; 5100; 10000; 11900; 11400; 7000; 10000; 11900; 11700; 11800; 7200; 11600; 12000; 11500; 11700; 11900; 6600; 11500; 10800; 11900; 11000; 11700; 11700],1050,1052,0.07811975479125977
13,27,0.820054012345679,[41; 44; 23; 5; 17; 3; 35; 30; 8; 45; 15; 32; 36; 38; 40; 37; 10; 13; 46; 47; 9; 39; 25; 20; 1; 11; 43; 12; 33; 14; 34; 22; 26; 2; 48; 19; 27; 29; 28; 49; 0; 4; 21; 24; 6; 7; 42; 31; 18; 16],[[41; 44; 23]; [5]; [17]; [3]; [35; 30]; [8; 45]; [15; 32]; [36; 38; 40]; [37; 10]; [13; 46; 47]; [9; 39]; [25; 20]; [1]; [11; 43]; [12; 33]; [14; 34]; [22; 26]; [2; 48]; [19; 27]; [29; 28]; [49; 0]; [4]; [21; 24]; [6]; [7; 42]; [31; 18]; [16]],[11600; 9100; 7000; 9900; 9300; 10900; 12000; 11400; 11700; 11900; 11800; 11600; 10000; 10900; 12000; 11700; 11100; 12000; 11900; 10200; 12000; 9800; 11600; 9000; 11500; 11900; 7100],650,652,0.04677462577819824
19,26,0.8768189102564103,[17; 39; 0; 49; 10; 35; 4; 47; 8; 38; 22; 42; 43; 6; 13; 34; 9; 2; 12; 33; 32; 15; 1; 5; 45; 30; 23; 26; 28; 16; 37; 29; 18; 3; 48; 19; 31; 7; 41; 27; 21; 46; 40; 24; 25; 20; 11; 36; 44; 14],[[17; 39]; [0; 49]; [10; 35]; [4; 47]; [8; 38]; [22; 42; 43]; [6]; [13; 34]; [9]; [2]; [12; 33]; [32; 15]; [1]; [5; 45]; [30; 23]; [26; 28]; [16; 37]; [29; 18]; [3; 48]; [19; 31]; [7; 41]; [27; 21]; [46; 40; 24]; [25; 20]; [11; 36]; [44; 14]],[10700; 12000; 12000; 11900; 12000; 12000; 9000; 11800; 8100; 9900; 12000; 12000; 10000; 11700; 10900; 10400; 11000; 11900; 12000; 11700; 11600; 11200; 11700; 11600; 12000; 9800],950,952,0.06256365776062012
11,27,0.8235519547325103,[2; 43; 26; 40; 27; 46; 12; 38; 25; 33; 48; 1; 49; 4; 47; 15; 28; 37; 44; 11; 36; 13; 35; 0; 45; 5; 3; 42; 8; 32; 14; 22; 24; 7; 41; 19; 31; 10; 16; 34; 9; 39; 6; 18; 30; 21; 29; 17; 23; 20],[[2]; [43; 26; 40]; [27; 46]; [12; 38]; [25; 33; 48]; [1; 49]; [4; 47]; [15]; [28; 37; 44]; [11; 36]; [13; 35]; [0]; [45; 5]; [3]; [42; 8]; [32; 14]; [22; 24]; [7; 41]; [19; 31]; [10]; [16; 34]; [9; 39]; [6]; [18; 30]; [21; 29]; [17]; [23; 20]],[9900; 11900; 7800; 11200; 12000; 12000; 11900; 7200; 11600; 12000; 11500; 10000; 11700; 9900; 11400; 12000; 11500; 11600; 11700; 7800; 11600; 11800; 9000; 11900; 11000; 7000; 12000],550,552,0.03423190116882324
