Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
14,31,0.7845094086021505,[12; 48; 45; 23; 26; 31; 20; 41; 29; 27; 11; 1; 17; 43; 24; 44; 2; 10; 21; 36; 0; 15; 47; 3; 7; 49; 16; 38; 6; 30; 40; 34; 9; 4; 18; 37; 14; 39; 8; 5; 35; 19; 25; 33; 46; 22; 32; 28; 13; 42],[[12; 48]; [45; 23]; [26; 31]; [20; 41]; [29; 27]; [11]; [1]; [17; 43]; [24; 44]; [2]; [10]; [21; 36]; [0]; [15; 47]; [3]; [7; 49]; [16; 38]; [6]; [30; 40]; [34]; [9]; [4]; [18; 37]; [14; 39]; [8]; [5]; [35; 19]; [25; 33]; [46; 22]; [32; 28]; [13; 42]],[11800; 10700; 12000; 11300; 12000; 8800; 9900; 11500; 10600; 9800; 8900; 11500; 9900; 11300; 9800; 12000; 12000; 9200; 9700; 4700; 8900; 9400; 11900; 12000; 9000; 9300; 12000; 11800; 10800; 11400; 12000],700,702,0.06290221214294434
23,31,0.788380376344086,[34; 24; 37; 18; 30; 29; 49; 8; 2; 3; 33; 26; 25; 32; 9; 28; 31; 21; 45; 14; 44; 11; 16; 36; 6; 12; 46; 42; 20; 7; 1; 17; 40; 13; 41; 43; 27; 4; 48; 0; 35; 19; 15; 39; 22; 38; 23; 47; 10; 5],[[34; 24]; [37; 18]; [30; 29]; [49; 8]; [2]; [3]; [33; 26]; [25; 32]; [9]; [28; 31]; [21; 45]; [14; 44]; [11]; [16; 36]; [6]; [12; 46]; [42; 20]; [7]; [1]; [17; 40]; [13; 41]; [43; 27]; [4]; [48]; [0]; [35; 19]; [15; 39]; [22; 38]; [23; 47]; [10]; [5]],[11600; 11900; 11400; 12000; 9800; 9800; 11600; 12000; 8900; 11600; 10900; 11600; 8800; 12000; 9200; 12000; 11300; 9000; 9900; 11700; 12000; 10100; 9400; 3400; 9900; 12000; 11900; 11500; 10500; 8900; 9300],1150,1152,0.09490799903869629
12,31,0.7855398745519713,[35; 20; 13; 42; 26; 47; 9; 10; 2; 18; 41; 5; 33; 30; 32; 25; 21; 34; 17; 38; 16; 45; 6; 8; 15; 44; 19; 43; 29; 28; 0; 27; 31; 36; 7; 49; 22; 37; 4; 12; 46; 40; 14; 39; 24; 11; 3; 48; 23; 1],[[35; 20]; [13; 42]; [26; 47]; [9]; [10]; [2]; [18; 41]; [5]; [33; 30]; [32; 25]; [21; 34]; [17; 38]; [16; 45]; [6]; [8]; [15; 44]; [19; 43]; [29; 28]; [0]; [27; 31]; [36]; [7; 49]; [22; 37]; [4]; [12; 46]; [40; 14]; [39; 24]; [11]; [3]; [48; 23]; [1]],[11900; 12000; 9900; 8900; 8900; 9800; 11500; 9300; 10900; 12000; 11900; 12000; 11400; 9200; 9000; 11500; 11300; 11700; 9900; 11900; 4300; 12000; 11500; 9400; 12000; 11900; 11000; 8800; 9800; 10400; 9900],600,602,0.06255054473876953
20,31,0.7833355734767026,[22; 34; 4; 28; 45; 7; 0; 31; 26; 24; 48; 1; 20; 40; 10; 49; 18; 39; 25; 32; 11; 44; 14; 19; 35; 16; 37; 2; 47; 33; 3; 13; 41; 21; 43; 15; 42; 5; 8; 29; 6; 23; 38; 27; 30; 46; 12; 17; 36; 9],[[22; 34]; [4]; [28; 45]; [7]; [0]; [31; 26]; [24; 48]; [1]; [20; 40]; [10; 49]; [18; 39]; [25; 32]; [11]; [44; 14]; [19; 35]; [16; 37]; [2]; [47; 33]; [3]; [13; 41]; [21; 43]; [15; 42]; [5]; [8]; [29]; [6]; [23; 38]; [27; 30]; [46; 12]; [17; 36]; [9]],[11900; 9400; 9700; 9000; 9900; 12000; 10300; 9900; 11400; 11900; 11700; 12000; 8800; 11600; 12000; 12000; 9800; 8700; 9800; 12000; 11000; 11700; 9300; 9000; 5700; 9200; 11300; 12000; 12000; 12000; 8900],1000,1002,0.0794520378112793
16,31,0.7804278673835126,[1; 2; 33; 26; 35; 19; 44; 20; 47; 24; 37; 18; 12; 9; 49; 25; 48; 32; 30; 38; 46; 43; 27; 29; 15; 40; 4; 14; 39; 6; 0; 11; 8; 10; 3; 13; 42; 7; 5; 23; 31; 28; 41; 16; 36; 17; 21; 34; 22; 45],[[1]; [2]; [33; 26]; [35; 19]; [44; 20]; [47; 24]; [37; 18]; [12]; [9; 49]; [25; 48]; [32; 30]; [38; 46; 43]; [27; 29]; [15; 40]; [4]; [14; 39]; [6]; [0]; [11]; [8]; [10]; [3]; [13; 42]; [7]; [5]; [23]; [31; 28]; [41; 16]; [36; 17]; [21; 34]; [22; 45]],[9900; 9800; 11600; 12000; 11100; 10400; 11900; 8400; 11900; 10000; 11100; 11700; 12000; 11800; 9400; 12000; 9200; 9900; 8800; 9000; 8900; 9800; 12000; 9000; 9300; 7000; 11600; 11600; 12000; 11900; 10900],800,802,0.06261253356933594
16,32,0.7470551215277778,[24; 35; 3; 0; 38; 20; 11; 10; 29; 28; 6; 7; 14; 40; 8; 49; 17; 37; 13; 41; 27; 9; 23; 31; 26; 21; 12; 46; 16; 48; 1; 19; 44; 30; 33; 5; 2; 18; 36; 39; 43; 47; 4; 22; 34; 45; 15; 25; 32; 42],[[24; 35]; [3]; [0]; [38; 20]; [11]; [10]; [29; 28]; [6]; [7]; [14; 40]; [8; 49]; [17; 37]; [13; 41]; [27]; [9]; [23]; [31; 26]; [21]; [12; 46]; [16; 48]; [1]; [19; 44]; [30; 33]; [5]; [2]; [18; 36]; [39; 43; 47]; [4]; [22; 34]; [45; 15]; [25; 32]; [42]],[11400; 9800; 9900; 11700; 8800; 8900; 11700; 9200; 9000; 11900; 12000; 12000; 12000; 6300; 8900; 7000; 12000; 7200; 12000; 11100; 9900; 11200; 10900; 9300; 9800; 11900; 11400; 9400; 11900; 11500; 12000; 3900],800,802,0.06248641014099121
12,31,0.785638440860215,[1; 12; 46; 2; 27; 29; 24; 30; 28; 43; 13; 7; 34; 22; 41; 21; 45; 23; 6; 10; 0; 20; 35; 49; 9; 8; 3; 39; 19; 36; 47; 44; 4; 32; 25; 16; 38; 17; 37; 18; 48; 33; 26; 40; 15; 14; 42; 5; 11; 31],[[1]; [12; 46]; [2]; [27; 29]; [24]; [30; 28]; [43; 13]; [7]; [34; 22]; [41; 21]; [45; 23]; [6]; [10]; [0]; [20; 35]; [49; 9]; [8]; [3]; [39; 19]; [36; 47; 44]; [4]; [32; 25]; [16; 38]; [17; 37]; [18; 48]; [33; 26]; [40; 15]; [14; 42]; [5]; [11]; [31]],[9900; 12000; 9800; 12000; 6900; 11700; 11900; 9000; 11900; 11100; 10700; 9200; 8900; 9900; 11900; 11900; 9000; 9800; 11600; 11500; 9400; 12000; 12000; 12000; 11000; 11600; 11800; 11800; 9300; 8800; 5600],600,602,0.0469205379486084
25,31,0.7896886200716844,[40; 24; 33; 44; 48; 9; 1; 42; 14; 10; 28; 30; 29; 27; 8; 25; 32; 12; 46; 35; 19; 11; 45; 13; 38; 17; 36; 16; 15; 39; 22; 43; 23; 47; 21; 34; 3; 5; 7; 49; 2; 0; 4; 37; 18; 20; 41; 6; 31; 26],[[40; 24]; [33; 44]; [48]; [9]; [1]; [42; 14]; [10]; [28; 30]; [29; 27]; [8]; [25; 32]; [12; 46]; [35; 19]; [11]; [45; 13]; [38; 17]; [36; 16]; [15; 39]; [22; 43]; [23; 47]; [21; 34]; [3]; [5]; [7; 49]; [2]; [0]; [4]; [37; 18]; [20; 41]; [6]; [31; 26]],[10900; 8900; 3400; 8900; 9900; 11800; 8900; 11700; 12000; 9000; 12000; 12000; 12000; 8800; 11800; 12000; 12000; 11900; 11000; 10500; 11900; 9800; 9300; 12000; 9800; 9900; 9400; 11900; 11300; 9200; 12000],1250,1252,0.09586596488952637
11,32,0.7443554687499999,[16; 38; 15; 46; 1; 11; 34; 43; 47; 7; 49; 10; 19; 5; 13; 41; 6; 24; 44; 26; 42; 23; 35; 18; 45; 17; 40; 22; 36; 27; 31; 3; 12; 25; 33; 20; 37; 21; 29; 28; 39; 14; 9; 32; 30; 0; 2; 8; 48; 4],[[16; 38]; [15; 46]; [1]; [11]; [34; 43; 47]; [7; 49]; [10]; [19]; [5]; [13; 41]; [6]; [24; 44]; [26; 42]; [23; 35]; [18; 45]; [17; 40]; [22; 36]; [27; 31]; [3]; [12]; [25; 33]; [20; 37]; [21]; [29; 28]; [39; 14]; [9]; [32; 30]; [0]; [2]; [8]; [48]; [4]],[12000; 11400; 9900; 8800; 12000; 12000; 8900; 7500; 9300; 12000; 9200; 10600; 10300; 11500; 11300; 11700; 11500; 11900; 9800; 8400; 11800; 11700; 7200; 11700; 12000; 8900; 11100; 9900; 9800; 9000; 3400; 9400],550,552,0.04686784744262695
14,31,0.7837880824372759,[17; 38; 3; 2; 47; 19; 42; 13; 4; 27; 30; 39; 43; 46; 29; 1; 14; 40; 7; 12; 48; 16; 11; 24; 41; 20; 37; 15; 44; 0; 21; 35; 26; 33; 28; 31; 22; 45; 34; 23; 9; 49; 10; 36; 18; 8; 32; 25; 6; 5],[[17; 38]; [3]; [2]; [47; 19]; [42; 13]; [4]; [27; 30]; [39; 43; 46]; [29]; [1]; [14; 40]; [7]; [12; 48]; [16]; [11]; [24; 41]; [20; 37]; [15; 44]; [0]; [21; 35]; [26; 33]; [28; 31]; [22; 45]; [34; 23]; [9; 49]; [10]; [36; 18]; [8]; [32; 25]; [6]; [5]],[12000; 9800; 9800; 11000; 12000; 9400; 12000; 11500; 5700; 9900; 11900; 9000; 11800; 7700; 8800; 10800; 11700; 11500; 9900; 11700; 11600; 11600; 10900; 11700; 11900; 8900; 11900; 9000; 12000; 9200; 9300],700,702,0.06533360481262207
