Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
19,11,0.8762143636363636,[11; 31; 13; 37; 25; 20; 29; 39; 27; 3; 40; 0; 12; 36; 30; 8; 17; 22; 44; 2; 41; 4; 47; 33; 1; 15; 49; 18; 35; 7; 10; 38; 34; 32; 16; 23; 43; 14; 24; 9; 19; 42; 46; 5; 6; 21; 28; 26; 45; 48],[[11; 31; 13; 37; 25]; [20; 29; 39; 27; 3]; [40; 0; 12; 36; 30]; [8; 17; 22; 44]; [2; 41; 4; 47; 33]; [1; 15; 49; 18; 35]; [7; 10; 38; 34; 32]; [16; 23; 43; 14; 24]; [9; 19; 42; 46; 5]; [6; 21; 28; 26; 45]; [48]],[99800; 100000; 100000; 80600; 100000; 100000; 100000; 99300; 100000; 99000; 16300],950,952,0.03122425079345703
17,11,0.855756,[12; 20; 6; 45; 35; 29; 18; 1; 9; 26; 24; 39; 7; 28; 37; 11; 0; 30; 40; 5; 14; 21; 34; 48; 13; 46; 22; 19; 15; 41; 3; 36; 27; 10; 8; 32; 43; 33; 17; 2; 42; 25; 31; 16; 38; 23; 4; 47; 44; 49],[[12; 20; 6; 45; 35]; [29; 18; 1; 9]; [26; 24; 39; 7; 28]; [37; 11; 0; 30; 40]; [5; 14; 21; 34; 48]; [13; 46; 22; 19; 15]; [41; 3; 36; 27]; [10; 8; 32; 43; 33]; [17; 2; 42; 25; 31]; [16; 38; 23; 4; 47]; [44; 49]],[100000; 86300; 99100; 100000; 100000; 99800; 78700; 99300; 100000; 98800; 33000],850,852,0.031238794326782227
19,11,0.8554458181818181,[15; 49; 3; 33; 22; 1; 48; 4; 41; 37; 6; 25; 27; 39; 26; 2; 35; 30; 29; 43; 14; 13; 32; 18; 34; 16; 10; 40; 21; 7; 12; 23; 17; 11; 28; 0; 36; 46; 42; 24; 38; 9; 8; 5; 19; 31; 44; 20; 47; 45],[[15; 49; 3; 33; 22]; [1; 48; 4; 41; 37]; [6; 25; 27; 39]; [26; 2; 35; 30; 29]; [43; 14; 13; 32; 18]; [34; 16; 10; 40; 21]; [7; 12; 23; 17]; [11; 28; 0; 36; 46]; [42; 24; 38; 9; 8]; [5; 19; 31; 44; 20]; [47; 45]],[100000; 99100; 80400; 99300; 99200; 99400; 86000; 99300; 100000; 99500; 32800],950,952,0.03110814094543457
28,11,0.8548927272727272,[25; 22; 3; 39; 29; 35; 41; 11; 17; 0; 20; 37; 12; 49; 30; 38; 19; 8; 23; 32; 16; 15; 24; 28; 33; 36; 10; 27; 21; 4; 5; 9; 48; 26; 7; 6; 42; 44; 2; 43; 47; 13; 18; 14; 34; 31; 45; 1; 40; 46],[[25; 22; 3; 39; 29]; [35; 41; 11; 17]; [0; 20; 37; 12; 49]; [30; 38; 19; 8; 23]; [32; 16; 15; 24; 28]; [33; 36; 10; 27; 21]; [4; 5; 9; 48]; [26; 7; 6; 42; 44]; [2; 43; 47; 13; 18]; [14; 34; 31; 45; 1]; [40; 46]],[100000; 78200; 100000; 99700; 99500; 98800; 86700; 100000; 99600; 98700; 33800],1400,1402,0.031246423721313477
13,11,0.8742396363636362,[43; 2; 48; 32; 20; 0; 39; 14; 26; 42; 15; 28; 12; 34; 27; 21; 25; 35; 18; 17; 16; 31; 45; 5; 22; 9; 41; 23; 29; 19; 37; 3; 13; 46; 24; 38; 30; 47; 7; 1; 8; 36; 11; 10; 4; 6; 40; 33; 49; 44],[[43; 2; 48; 32; 20]; [0; 39; 14; 26; 42]; [15; 28; 12; 34; 27]; [21; 25; 35; 18; 17]; [16; 31; 45; 5; 22]; [9; 41; 23; 29; 19]; [37; 3; 13; 46; 24]; [38; 30; 47; 7; 1]; [8; 36; 11; 10]; [4; 6; 40; 33; 49]; [44]],[95700; 99500; 99900; 99200; 99800; 99400; 99600; 100000; 85600; 99600; 16700],650,652,0.015697479248046875
15,11,0.8738401818181818,[31; 27; 15; 7; 39; 12; 8; 48; 44; 11; 3; 43; 30; 34; 14; 25; 0; 23; 49; 26; 1; 6; 47; 32; 42; 37; 22; 16; 10; 33; 17; 20; 13; 28; 24; 45; 36; 21; 5; 9; 35; 41; 2; 40; 19; 18; 4; 29; 46; 38],[[31; 27; 15; 7; 39]; [12; 8; 48; 44; 11]; [3; 43; 30; 34; 14]; [25; 0; 23; 49; 26]; [1; 6; 47; 32; 42]; [37; 22; 16; 10; 33]; [17; 20; 13; 28]; [24; 45; 36; 21; 5]; [9; 35; 41; 2; 40]; [19; 18; 4; 29; 46]; [38]],[100000; 99900; 99300; 99800; 99300; 99800; 81900; 98100; 99400; 99900; 17600],750,752,0.015716075897216797
16,11,0.8734970909090911,[29; 34; 37; 14; 31; 21; 7; 19; 20; 49; 5; 9; 43; 15; 44; 18; 16; 26; 11; 0; 23; 28; 42; 25; 27; 13; 30; 48; 10; 1; 40; 35; 2; 45; 6; 36; 24; 38; 17; 8; 33; 4; 32; 46; 12; 3; 22; 39; 47; 41],[[29; 34; 37; 14; 31]; [21; 7; 19; 20; 49]; [5; 9; 43; 15]; [44; 18; 16; 26; 11]; [0; 23; 28; 42; 25]; [27; 13; 30; 48; 10]; [1; 40; 35; 2; 45]; [6; 36; 24; 38; 17]; [8; 33; 4; 32; 46]; [12; 3; 22; 39; 47]; [41]],[94800; 100000; 84700; 100000; 99600; 99400; 99600; 99900; 99900; 99700; 17400],800,802,0.031281471252441406
20,11,0.8415847272727273,[25; 13; 7; 35; 41; 10; 21; 3; 4; 27; 17; 36; 14; 24; 30; 6; 39; 8; 45; 42; 11; 37; 22; 0; 38; 20; 31; 28; 9; 26; 19; 34; 23; 32; 1; 16; 46; 43; 2; 47; 5; 29; 15; 18; 12; 40; 33; 49; 44; 48],[[25; 13; 7; 35; 41]; [10; 21; 3; 4]; [27; 17; 36; 14; 24]; [30; 6; 39; 8; 45]; [42; 11; 37; 22]; [0; 38; 20; 31; 28]; [9; 26; 19; 34]; [23; 32; 1; 16; 46]; [43; 2; 47; 5; 29]; [15; 18; 12; 40; 33]; [49; 44; 48]],[99800; 90700; 99800; 99300; 76600; 99400; 80800; 99800; 99900; 99600; 49300],1000,1002,0.03124690055847168
11,11,0.855784,[37; 12; 36; 24; 10; 25; 28; 18; 3; 43; 33; 8; 15; 41; 23; 27; 13; 4; 34; 6; 48; 2; 35; 7; 5; 20; 47; 49; 39; 22; 16; 42; 1; 17; 26; 29; 21; 32; 19; 14; 31; 11; 40; 44; 30; 38; 9; 0; 46; 45],[[37; 12; 36; 24; 10]; [25; 28; 18; 3; 43]; [33; 8; 15; 41]; [23; 27; 13; 4]; [34; 6; 48; 2; 35]; [7; 5; 20; 47; 49]; [39; 22; 16; 42; 1]; [17; 26; 29; 21; 32]; [19; 14; 31; 11; 40]; [44; 30; 38; 9; 0]; [46; 45]],[100000; 100000; 80000; 85300; 99900; 99800; 99200; 98100; 99900; 100000; 32800],550,552,0.016397714614868164
15,11,0.8685987272727274,[33; 46; 16; 0; 21; 40; 25; 15; 37; 1; 11; 9; 48; 32; 4; 30; 31; 20; 45; 27; 8; 28; 19; 35; 29; 44; 7; 23; 34; 49; 10; 17; 24; 26; 6; 12; 39; 47; 18; 38; 14; 42; 22; 5; 2; 36; 3; 43; 41; 13],[[33; 46; 16; 0; 21]; [40; 25; 15; 37; 1]; [11; 9; 48; 32]; [4; 30; 31; 20; 45]; [27; 8; 28; 19; 35]; [29; 44; 7; 23; 34]; [49; 10; 17; 24; 26]; [6; 12; 39; 47; 18]; [38; 14; 42; 22; 5]; [2; 36; 3; 43; 41]; [13]],[99900; 100000; 79600; 97900; 99500; 96900; 99600; 100000; 99900; 99900; 21800],750,752,0.015703439712524414
