Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
1,8,0.848290875,[48; 47; 25; 3; 22; 37; 31; 42; 46; 45; 32; 1; 11; 43; 44; 4; 15; 17; 13; 10; 8; 49; 14; 16; 26; 20; 19; 27; 2; 38; 7; 28; 24; 30; 39; 0; 9; 29; 34; 35; 18; 5; 6; 23; 41; 40; 33; 36; 21; 12],[[48; 47; 25; 3; 22; 37; 31; 42; 46; 45]; [32; 1; 11; 43; 44; 4]; [15; 17; 13; 10; 8; 49]; [14; 16; 26; 20; 19; 27]; [2; 38; 7; 28; 24; 30]; [39; 0; 9; 29; 34; 35]; [18; 5; 6; 23; 41; 40]; [33; 36; 21; 12]],[98300; 94700; 98500; 97200; 98900; 89700; 95900; 55300],50,52,0.0
1,8,0.8647278749999999,[15; 12; 10; 27; 1; 25; 37; 17; 21; 4; 41; 44; 2; 36; 8; 16; 28; 47; 46; 48; 3; 19; 6; 34; 32; 43; 45; 5; 14; 30; 31; 26; 38; 33; 9; 18; 23; 13; 11; 49; 22; 20; 35; 29; 40; 7; 39; 42; 0; 24],[[15; 12; 10; 27; 1]; [25; 37; 17; 21; 4; 41; 44]; [2; 36; 8; 16; 28; 47; 46; 48]; [3; 19; 6; 34; 32; 43; 45]; [5; 14; 30; 31; 26; 38; 33]; [9; 18; 23; 13; 11; 49]; [22; 20; 35; 29; 40; 7; 39; 42]; [0; 24]],[98200; 95200; 99800; 98500; 99300; 96100; 100000; 41400],50,52,0.0
1,8,0.847229875,[31; 37; 42; 40; 41; 2; 35; 18; 46; 19; 45; 28; 22; 38; 9; 24; 12; 36; 1; 14; 26; 30; 17; 3; 20; 49; 39; 33; 16; 8; 7; 6; 21; 48; 32; 29; 43; 44; 23; 10; 11; 34; 25; 47; 13; 5; 0; 4; 27; 15],[[31; 37; 42; 40; 41; 2; 35; 18; 46]; [19; 45; 28; 22; 38; 9; 24]; [12; 36; 1; 14; 26; 30]; [17; 3; 20; 49; 39; 33; 16]; [8; 7; 6; 21; 48; 32]; [29; 43; 44; 23; 10; 11; 34]; [25; 47; 13; 5; 0]; [4; 27; 15]],[98600; 98200; 98500; 97400; 99200; 92300; 87200; 57100],50,52,0.0
1,8,0.865991125,[6; 30; 3; 14; 17; 46; 41; 10; 35; 23; 26; 39; 19; 48; 45; 9; 13; 4; 44; 22; 38; 47; 15; 40; 5; 12; 0; 42; 49; 36; 8; 7; 31; 18; 43; 2; 37; 29; 32; 34; 25; 33; 24; 11; 16; 20; 28; 21; 27; 1],[[6; 30; 3; 14; 17; 46]; [41; 10; 35; 23; 26; 39; 19; 48; 45]; [9; 13; 4; 44; 22; 38; 47]; [15; 40; 5; 12; 0]; [42; 49; 36; 8; 7; 31; 18; 43]; [2; 37; 29; 32; 34; 25; 33]; [24; 11; 16; 20; 28; 21]; [27; 1]],[99800; 100000; 99600; 95300; 98800; 94800; 99600; 40600],50,52,0.0
1,8,0.864481125,[19; 14; 11; 37; 2; 49; 43; 4; 46; 8; 13; 6; 44; 33; 47; 34; 18; 41; 20; 16; 32; 45; 48; 5; 24; 3; 21; 42; 39; 36; 26; 25; 31; 23; 15; 28; 22; 12; 9; 1; 30; 0; 17; 7; 35; 27; 38; 10; 40; 29],[[19; 14; 11; 37; 2; 49; 43]; [4; 46; 8; 13; 6; 44]; [33; 47; 34; 18; 41; 20; 16; 32; 45]; [48; 5; 24; 3; 21; 42; 39]; [36; 26; 25; 31; 23; 15; 28]; [22; 12; 9; 1; 30]; [0; 17; 7; 35; 27; 38]; [10; 40; 29]],[98600; 99500; 98600; 99000; 97300; 95300; 98700; 41500],50,52,0.0
1,8,0.862057125,[22; 23; 41; 48; 27; 25; 36; 31; 37; 13; 46; 4; 18; 16; 14; 0; 43; 38; 9; 2; 35; 21; 32; 15; 17; 6; 39; 45; 1; 24; 8; 44; 19; 33; 3; 10; 29; 42; 28; 34; 49; 26; 12; 7; 5; 20; 11; 47; 40; 30],[[22; 23; 41; 48; 27; 25; 36; 31; 37]; [13; 46; 4; 18; 16; 14]; [0; 43; 38; 9; 2; 35]; [21; 32; 15; 17; 6; 39; 45]; [1; 24; 8; 44; 19; 33]; [3; 10; 29; 42; 28; 34; 49]; [26; 12; 7; 5; 20]; [11; 47; 40; 30]],[100000; 99200; 99200; 98200; 97400; 93300; 97800; 43400],50,52,0.015677928924560547
1,8,0.848216375,[49; 47; 36; 23; 46; 42; 21; 16; 32; 29; 2; 35; 48; 38; 22; 34; 12; 39; 20; 6; 5; 33; 10; 28; 13; 27; 25; 15; 19; 9; 43; 7; 31; 37; 44; 40; 41; 45; 8; 18; 30; 26; 4; 0; 3; 24; 1; 14; 17; 11],[[49; 47; 36; 23; 46; 42; 21; 16; 32; 29]; [2; 35; 48; 38; 22; 34; 12; 39]; [20; 6; 5; 33; 10]; [28; 13; 27; 25; 15; 19]; [9; 43; 7; 31; 37; 44; 40; 41; 45]; [8; 18; 30; 26; 4]; [0; 3; 24; 1]; [14; 17; 11]],[98500; 99800; 95600; 96300; 99000; 90900; 93000; 55400],50,52,0.0
1,8,0.861774125,[1; 47; 12; 23; 13; 22; 38; 30; 28; 29; 32; 33; 27; 24; 2; 3; 15; 19; 43; 41; 0; 10; 11; 36; 17; 49; 7; 39; 5; 4; 37; 46; 48; 6; 9; 14; 18; 34; 42; 20; 31; 16; 26; 8; 35; 44; 40; 21; 45; 25],[[1; 47; 12; 23; 13; 22]; [38; 30; 28; 29; 32; 33; 27; 24]; [2; 3; 15; 19; 43; 41]; [0; 10; 11; 36; 17; 49]; [7; 39; 5; 4; 37; 46; 48]; [6; 9; 14; 18; 34; 42]; [20; 31; 16; 26; 8; 35; 44]; [40; 21; 45; 25]],[98400; 99600; 99900; 95300; 96100; 98300; 97400; 43500],50,52,0.0
1,8,0.852845375,[4; 0; 29; 1; 43; 48; 10; 34; 5; 19; 26; 33; 49; 24; 15; 11; 28; 36; 14; 46; 2; 21; 27; 20; 17; 41; 32; 16; 38; 31; 8; 42; 18; 37; 7; 44; 30; 39; 23; 25; 22; 45; 13; 3; 47; 40; 6; 9; 12; 35],[[4; 0; 29; 1; 43; 48]; [10; 34; 5; 19; 26; 33; 49]; [24; 15; 11; 28; 36; 14; 46]; [2; 21; 27; 20; 17; 41]; [32; 16; 38; 31; 8; 42; 18]; [37; 7; 44; 30; 39; 23; 25]; [22; 45; 13; 3; 47; 40; 6]; [9; 12; 35]],[99200; 99600; 98700; 97400; 94600; 87900; 99500; 51600],50,52,0.0
1,8,0.8587236249999999,[13; 20; 8; 4; 35; 47; 45; 27; 28; 40; 36; 12; 37; 10; 49; 48; 17; 15; 11; 9; 22; 43; 16; 29; 1; 25; 21; 42; 24; 46; 14; 3; 31; 39; 33; 32; 41; 38; 6; 23; 18; 26; 0; 2; 7; 19; 44; 5; 34; 30],[[13; 20; 8; 4; 35; 47; 45]; [27; 28; 40; 36; 12; 37; 10; 49; 48]; [17; 15; 11; 9; 22; 43]; [16; 29; 1; 25; 21; 42]; [24; 46; 14; 3; 31; 39; 33]; [32; 41; 38; 6; 23; 18; 26]; [0; 2; 7; 19; 44]; [5; 34; 30]],[100000; 99900; 99900; 93800; 93400; 97900; 97500; 46100],50,52,0.005214214324951172
