Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
1,6,0.8668791666666666,[28; 36; 11; 14; 17; 31; 0; 39; 43; 46; 6; 4; 26; 33; 35; 42; 7; 18; 13; 20; 2; 38; 49; 8; 21; 44; 48; 10; 30; 34; 25; 37; 23; 9; 19; 40; 32; 47; 29; 22; 24; 27; 5; 12; 41; 1; 15; 16; 3; 45],[[28; 36; 11; 14; 17; 31; 0; 39; 43]; [46; 6; 4; 26; 33; 35; 42; 7; 18]; [13; 20; 2; 38; 49; 8; 21; 44; 48]; [10; 30; 34; 25; 37; 23; 9; 19; 40]; [32; 47; 29; 22; 24; 27; 5; 12; 41]; [1; 15; 16; 3; 45]],[99300; 99900; 97400; 98200; 97600; 59300],50,52,0.023073196411132812
1,6,0.8593441666666667,[9; 38; 23; 2; 24; 20; 44; 17; 35; 11; 8; 49; 15; 43; 3; 40; 22; 33; 4; 48; 0; 21; 45; 31; 12; 32; 34; 36; 7; 37; 1; 26; 18; 19; 6; 5; 10; 47; 46; 39; 29; 30; 41; 14; 13; 27; 25; 28; 16; 42],[[9; 38; 23; 2; 24; 20; 44; 17; 35]; [11; 8; 49; 15; 43; 3; 40; 22; 33]; [4; 48; 0; 21; 45; 31; 12; 32; 34]; [36; 7; 37; 1; 26; 18; 19; 6]; [5; 10; 47; 46; 39; 29; 30; 41; 14]; [13; 27; 25; 28; 16; 42]],[99800; 99100; 98700; 91900; 95900; 66300],50,52,0.0
1,6,0.8667154999999999,[41; 9; 6; 23; 32; 46; 17; 36; 10; 39; 37; 15; 31; 4; 47; 44; 11; 5; 8; 49; 22; 42; 19; 1; 16; 34; 40; 21; 45; 43; 25; 13; 29; 38; 14; 18; 30; 3; 7; 20; 26; 27; 48; 33; 24; 0; 28; 35; 12; 2],[[41; 9; 6; 23; 32; 46; 17; 36; 10]; [39; 37; 15; 31; 4; 47; 44; 11; 5]; [8; 49; 22; 42; 19; 1; 16; 34; 40]; [21; 45; 43; 25; 13; 29; 38; 14; 18]; [30; 3; 7; 20; 26; 27; 48; 33; 24]; [0; 28; 35; 12; 2]],[98800; 98200; 98700; 97200; 99400; 59400],50,52,0.0
1,6,0.8625215,[45; 41; 14; 23; 34; 16; 0; 26; 37; 43; 6; 4; 29; 7; 27; 32; 1; 21; 48; 47; 11; 2; 10; 30; 31; 19; 5; 3; 44; 20; 25; 36; 38; 17; 22; 28; 24; 35; 46; 39; 13; 12; 18; 15; 40; 33; 42; 9; 8; 49],[[45; 41; 14; 23; 34; 16; 0; 26; 37]; [43; 6; 4; 29; 7; 27; 32; 1]; [21; 48; 47; 11; 2; 10; 30; 31; 19]; [5; 3; 44; 20; 25; 36; 38; 17; 22]; [28; 24; 35; 46; 39; 13; 12; 18; 15]; [40; 33; 42; 9; 8; 49]],[97800; 92400; 99400; 100000; 98800; 63300],50,52,0.0
1,6,0.8689898333333334,[35; 14; 32; 4; 42; 20; 43; 6; 48; 11; 16; 34; 46; 3; 41; 21; 15; 38; 24; 28; 39; 7; 17; 5; 49; 8; 36; 37; 23; 1; 47; 29; 22; 9; 19; 33; 18; 12; 13; 31; 30; 26; 27; 25; 45; 44; 0; 2; 40; 10],[[35; 14; 32; 4; 42; 20; 43; 6; 48]; [11; 16; 34; 46; 3; 41; 21; 15; 38]; [24; 28; 39; 7; 17; 5; 49; 8; 36]; [37; 23; 1; 47; 29; 22; 9; 19; 33]; [18; 12; 13; 31; 30; 26; 27; 25; 45]; [44; 0; 2; 40; 10]],[97400; 99000; 99700; 99100; 98800; 57700],50,52,0.0
1,6,0.8590551666666667,[33; 18; 5; 17; 46; 26; 41; 27; 34; 2; 3; 39; 23; 24; 22; 48; 40; 42; 38; 14; 30; 45; 10; 21; 29; 1; 36; 11; 8; 9; 12; 44; 28; 13; 19; 49; 31; 47; 4; 35; 20; 7; 15; 16; 43; 25; 32; 37; 0; 6],[[33; 18; 5; 17; 46; 26; 41; 27; 34]; [2; 3; 39; 23; 24; 22; 48; 40; 42]; [38; 14; 30; 45; 10; 21; 29; 1; 36]; [11; 8; 9; 12; 44; 28; 13; 19]; [49; 31; 47; 4; 35; 20; 7; 15; 16]; [43; 25; 32; 37; 0; 6]],[97500; 97400; 98600; 92800; 99100; 66300],50,52,0.0
1,6,0.8586941666666666,[17; 42; 28; 32; 9; 29; 18; 45; 1; 40; 22; 13; 27; 37; 36; 0; 26; 41; 6; 31; 5; 46; 33; 49; 24; 38; 43; 16; 4; 7; 20; 23; 10; 12; 25; 3; 44; 48; 35; 8; 39; 15; 2; 34; 47; 21; 14; 30; 11; 19],[[17; 42; 28; 32; 9; 29; 18; 45; 1]; [40; 22; 13; 27; 37; 36; 0; 26; 41]; [6; 31; 5; 46; 33; 49; 24; 38; 43]; [16; 4; 7; 20; 23; 10; 12; 25]; [3; 44; 48; 35; 8; 39; 15; 2; 34]; [47; 21; 14; 30; 11; 19]],[99800; 97100; 94600; 94800; 98800; 66600],50,52,0.015558481216430664
1,6,0.8753628333333333,[23; 49; 41; 3; 9; 39; 4; 2; 47; 45; 29; 7; 21; 5; 37; 25; 13; 32; 44; 40; 18; 33; 27; 30; 14; 8; 1; 17; 6; 46; 20; 43; 28; 0; 26; 34; 16; 42; 12; 19; 36; 22; 15; 10; 48; 24; 35; 31; 38; 11],[[23; 49; 41; 3; 9; 39; 4; 2; 47]; [45; 29; 7; 21; 5; 37; 25; 13; 32]; [44; 40; 18; 33; 27; 30; 14; 8; 1]; [17; 6; 46; 20; 43; 28; 0; 26; 34]; [16; 42; 12; 19; 36; 22; 15; 10; 48]; [24; 35; 31; 38; 11]],[100000; 99400; 100000; 99600; 99400; 53300],50,52,0.0
1,6,0.8570618333333334,[7; 27; 44; 40; 37; 41; 14; 33; 36; 13; 49; 4; 12; 19; 17; 35; 5; 2; 42; 30; 23; 48; 24; 16; 29; 22; 3; 10; 39; 46; 25; 9; 11; 38; 31; 26; 6; 28; 45; 15; 32; 18; 47; 8; 43; 20; 21; 0; 1; 34],[[7; 27; 44; 40; 37; 41; 14; 33; 36]; [13; 49; 4; 12; 19; 17; 35; 5]; [2; 42; 30; 23; 48; 24; 16; 29; 22]; [3; 10; 39; 46; 25; 9; 11; 38; 31]; [26; 6; 28; 45; 15; 32; 18; 47; 8]; [43; 20; 21; 0; 1; 34]],[94000; 92500; 97900; 99700; 99000; 68600],50,52,0.0
1,6,0.8614315,[30; 2; 9; 48; 24; 42; 39; 3; 46; 13; 44; 18; 32; 6; 33; 31; 23; 12; 8; 22; 28; 45; 20; 11; 16; 25; 43; 4; 15; 40; 27; 14; 21; 17; 41; 36; 10; 0; 7; 34; 49; 47; 1; 26; 29; 5; 19; 38; 35; 37],[[30; 2; 9; 48; 24; 42; 39; 3; 46]; [13; 44; 18; 32; 6; 33; 31; 23; 12]; [8; 22; 28; 45; 20; 11; 16; 25; 43]; [4; 15; 40; 27; 14; 21; 17; 41; 36]; [10; 0; 7; 34; 49; 47; 1; 26]; [29; 5; 19; 38; 35; 37]],[97700; 99600; 99500; 99900; 90300; 64700],50,52,0.0
