Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
13,75,0.7664066666666668,[57; 90; 37; 84; 63; 42; 47; 92; 12; 41; 99; 9; 32; 8; 17; 30; 72; 75; 95; 62; 20; 38; 35; 2; 94; 48; 91; 46; 40; 50; 24; 29; 67; 81; 13; 7; 51; 96; 64; 83; 43; 45; 97; 33; 79; 74; 58; 87; 28; 71; 76; 6; 11; 82; 65; 4; 77; 73; 66; 27; 18; 23; 54; 31; 68; 60; 85; 0; 53; 88; 16; 15; 19; 56; 86; 3; 49; 89; 1; 52; 93; 36; 25; 39; 5; 22; 78; 70; 61; 69; 80; 26; 44; 21; 14; 10; 34; 98; 55; 59],[[57; 90]; [37]; [84; 63]; [42]; [47; 92]; [12]; [41; 99]; [9]; [32]; [8]; [17]; [30]; [72; 75]; [95; 62]; [20]; [38]; [35]; [2]; [94; 48]; [91; 46]; [40]; [50]; [24]; [29]; [67; 81]; [13]; [7]; [51; 96]; [64; 83]; [43]; [45; 97]; [33]; [79; 74]; [58; 87]; [28]; [71; 76]; [6]; [11]; [82; 65]; [4]; [77; 73]; [66]; [27]; [18]; [23]; [54]; [31]; [68]; [60; 85]; [0]; [53; 88]; [16]; [15]; [19]; [56; 86]; [3]; [49; 89]; [1]; [52; 93]; [36]; [25]; [39]; [5]; [22]; [78; 70]; [61]; [69; 80]; [26]; [44]; [21]; [14]; [10]; [34]; [98; 55]; [59]],[9500; 7100; 9900; 6800; 9900; 9400; 10000; 9400; 7400; 9600; 8700; 7500; 9900; 9000; 8600; 7000; 7300; 9900; 9600; 10000; 6900; 6100; 8300; 7500; 10000; 9300; 9600; 9400; 9800; 6800; 10000; 7300; 9700; 10000; 7500; 9900; 9700; 9400; 10000; 9800; 9700; 5500; 7900; 8700; 8400; 6000; 7400; 5400; 10000; 10000; 9900; 8900; 9000; 8700; 10000; 9900; 10000; 10000; 9500; 7200; 8200; 6900; 9800; 8400; 9900; 5800; 10000; 8000; 6800; 8400; 9100; 9400; 7300; 9200; 5900],1300,1302,0.1884148120880127
20,76,0.750551315789474,[96; 53; 3; 11; 55; 87; 5; 24; 51; 94; 34; 31; 36; 73; 79; 13; 68; 30; 69; 0; 6; 39; 35; 40; 99; 77; 75; 49; 92; 9; 2; 54; 22; 14; 4; 33; 12; 58; 88; 76; 37; 26; 20; 43; 29; 59; 61; 83; 27; 52; 93; 66; 23; 32; 42; 98; 57; 91; 16; 19; 63; 44; 28; 25; 15; 97; 45; 17; 41; 78; 81; 38; 46; 95; 7; 18; 21; 62; 84; 50; 80; 67; 65; 82; 72; 71; 60; 85; 86; 56; 47; 90; 70; 74; 64; 8; 10; 89; 48; 1],[[96; 53]; [3]; [11]; [55; 87]; [5]; [24]; [51; 94]; [34]; [31]; [36]; [73; 79]; [13]; [68]; [30]; [69]; [0]; [6]; [39]; [35]; [40; 99]; [77; 75]; [49; 92]; [9]; [2]; [54]; [22]; [14]; [4]; [33]; [12]; [58; 88]; [76]; [37]; [26]; [20]; [43]; [29]; [59]; [61; 83]; [27]; [52; 93]; [66]; [23]; [32]; [42; 98]; [57; 91]; [16]; [19]; [63]; [44]; [28]; [25]; [15]; [97; 45]; [17]; [41]; [78; 81]; [38]; [46; 95]; [7]; [18]; [21]; [62; 84]; [50]; [80; 67]; [65; 82]; [72; 71]; [60; 85]; [86; 56]; [47; 90]; [70; 74]; [64]; [8]; [10]; [89; 48]; [1]],[9400; 9900; 9400; 10000; 9800; 8300; 9400; 7300; 7400; 7200; 9700; 9300; 5400; 7500; 5400; 10000; 9700; 6900; 7300; 10000; 9700; 9700; 9400; 9900; 6000; 8400; 9100; 9800; 7300; 9400; 9800; 4900; 7100; 8000; 8600; 6800; 7500; 5900; 10000; 7900; 9500; 5500; 8400; 7400; 10000; 9500; 8900; 8700; 5700; 6800; 7500; 8200; 9000; 10000; 8700; 6900; 9400; 7000; 9800; 9600; 8700; 8400; 9900; 6100; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 5600; 9600; 9400; 10000; 10000],2000,2002,0.2818140983581543
17,75,0.7671293333333337,[36; 34; 4; 75; 70; 22; 48; 90; 17; 45; 95; 60; 87; 91; 47; 56; 92; 43; 51; 89; 69; 32; 16; 46; 94; 42; 98; 2; 33; 14; 67; 80; 3; 64; 38; 37; 8; 71; 76; 7; 12; 10; 66; 29; 19; 24; 73; 74; 21; 20; 0; 28; 1; 39; 99; 57; 93; 62; 84; 9; 44; 6; 68; 81; 58; 15; 27; 31; 50; 88; 35; 5; 53; 96; 54; 40; 23; 65; 82; 25; 11; 41; 79; 78; 49; 97; 30; 55; 59; 86; 61; 83; 13; 63; 85; 52; 72; 77; 26; 18],[[36]; [34]; [4]; [75; 70]; [22]; [48; 90]; [17]; [45; 95]; [60; 87]; [91; 47]; [56; 92]; [43]; [51; 89]; [69]; [32]; [16]; [46; 94]; [42; 98]; [2]; [33]; [14]; [67; 80]; [3]; [64]; [38]; [37]; [8]; [71; 76]; [7]; [12]; [10]; [66]; [29]; [19]; [24]; [73; 74]; [21]; [20]; [0]; [28]; [1]; [39; 99]; [57; 93]; [62; 84]; [9]; [44]; [6]; [68; 81]; [58]; [15]; [27]; [31]; [50; 88]; [35]; [5]; [53; 96]; [54]; [40]; [23]; [65; 82]; [25]; [11]; [41]; [79; 78]; [49; 97]; [30]; [55]; [59; 86]; [61; 83]; [13]; [63; 85]; [52]; [72; 77]; [26]; [18]],[7200; 7300; 9800; 10000; 8400; 9800; 8700; 10000; 9900; 10000; 9400; 6800; 9800; 5400; 7400; 8900; 9800; 10000; 9900; 7300; 9100; 10000; 9900; 5600; 7000; 7100; 9600; 9900; 9600; 9400; 9400; 5500; 7500; 8700; 8300; 9800; 8400; 8600; 10000; 7500; 10000; 10000; 9400; 9900; 9400; 6800; 9700; 10000; 6000; 9000; 7900; 7400; 9900; 7300; 9800; 9400; 6000; 6900; 8400; 10000; 8200; 9400; 6900; 9600; 9600; 7500; 6000; 9900; 10000; 9300; 9800; 6100; 9800; 8000; 8700],1700,1702,0.23668789863586426
18,76,0.7512907894736846,[48; 89; 22; 12; 34; 28; 63; 21; 16; 9; 14; 32; 25; 2; 60; 7; 23; 55; 97; 50; 88; 26; 15; 73; 1; 18; 13; 58; 86; 49; 90; 33; 3; 40; 6; 43; 41; 99; 78; 76; 47; 94; 31; 42; 98; 54; 70; 74; 24; 19; 4; 27; 65; 82; 45; 95; 29; 10; 69; 35; 53; 51; 92; 46; 93; 79; 75; 38; 11; 59; 85; 30; 68; 80; 61; 84; 56; 96; 0; 39; 62; 83; 87; 57; 71; 72; 44; 66; 64; 20; 5; 36; 8; 37; 52; 91; 81; 67; 17; 77],[[48; 89]; [22]; [12]; [34]; [28]; [63]; [21]; [16]; [9]; [14]; [32]; [25]; [2]; [60]; [7]; [23]; [55; 97]; [50; 88]; [26]; [15]; [73]; [1]; [18]; [13]; [58; 86]; [49; 90]; [33]; [3]; [40]; [6]; [43]; [41; 99]; [78; 76]; [47; 94]; [31]; [42; 98]; [54]; [70; 74]; [24]; [19]; [4]; [27]; [65; 82]; [45; 95]; [29]; [10]; [69]; [35]; [53]; [51; 92]; [46; 93]; [79; 75]; [38]; [11]; [59; 85]; [30]; [68; 80]; [61; 84]; [56; 96]; [0]; [39]; [62; 83]; [87; 57]; [71; 72]; [44]; [66]; [64]; [20]; [5]; [36]; [8]; [37]; [52; 91]; [81; 67]; [17]; [77]],[10000; 8400; 9400; 7300; 7500; 5700; 8400; 8900; 9400; 9100; 7400; 8200; 9900; 5900; 9600; 8400; 9300; 9900; 8000; 9000; 4900; 10000; 8700; 9300; 10000; 9800; 7300; 9900; 6900; 9700; 6800; 10000; 9700; 9800; 7400; 10000; 6000; 10000; 8300; 8700; 9800; 7900; 10000; 10000; 7500; 9400; 5400; 7300; 6100; 9500; 9900; 9700; 7000; 9400; 10000; 7500; 10000; 10000; 9300; 10000; 6900; 9900; 10000; 10000; 6800; 5500; 5600; 8600; 9800; 7200; 9600; 7100; 9600; 10000; 8700; 4800],1800,1802,0.246551513671875
12,76,0.7493407894736844,[80; 67; 36; 21; 74; 75; 51; 96; 61; 83; 56; 26; 54; 86; 68; 85; 33; 6; 62; 93; 42; 98; 22; 76; 77; 45; 94; 18; 40; 3; 39; 11; 12; 44; 99; 49; 91; 17; 35; 23; 82; 65; 69; 73; 70; 41; 43; 9; 59; 87; 2; 1; 27; 55; 89; 28; 13; 58; 97; 25; 38; 47; 95; 31; 24; 10; 8; 32; 72; 71; 15; 20; 79; 78; 60; 48; 90; 37; 19; 52; 64; 88; 7; 5; 30; 66; 4; 53; 63; 84; 14; 0; 46; 92; 16; 29; 34; 57; 81; 50],[[80; 67]; [36]; [21]; [74; 75]; [51; 96]; [61; 83]; [56]; [26]; [54; 86]; [68; 85]; [33]; [6]; [62; 93]; [42; 98]; [22]; [76; 77]; [45; 94]; [18]; [40]; [3]; [39]; [11]; [12]; [44; 99]; [49; 91]; [17]; [35]; [23]; [82; 65]; [69]; [73; 70]; [41]; [43]; [9]; [59; 87]; [2]; [1]; [27]; [55; 89]; [28]; [13]; [58; 97]; [25]; [38]; [47; 95]; [31]; [24]; [10]; [8]; [32]; [72; 71]; [15]; [20]; [79; 78]; [60]; [48; 90]; [37]; [19]; [52]; [64; 88]; [7]; [5]; [30]; [66]; [4]; [53]; [63; 84]; [14]; [0]; [46; 92]; [16]; [29]; [34]; [57]; [81]; [50]],[10000; 7200; 8400; 9800; 9400; 10000; 6000; 8000; 10000; 9500; 7300; 9700; 9100; 10000; 8400; 9700; 10000; 8700; 6900; 9900; 6900; 9400; 9400; 9900; 9800; 8700; 7300; 8400; 10000; 5400; 10000; 6900; 6800; 9400; 9900; 9900; 10000; 7900; 9700; 7500; 9300; 9300; 8200; 7000; 9800; 7400; 8300; 9400; 9600; 7400; 10000; 9000; 8600; 9600; 5900; 9800; 7100; 8700; 6100; 9400; 9600; 9800; 7500; 5500; 9800; 6100; 9900; 9100; 10000; 9900; 8900; 7500; 7300; 6000; 4600; 6100],1200,1202,0.17222285270690918
23,75,0.766934666666667,[39; 57; 86; 14; 85; 63; 40; 99; 77; 74; 81; 67; 17; 23; 43; 98; 95; 52; 64; 32; 53; 94; 83; 61; 62; 84; 21; 48; 96; 42; 76; 73; 18; 45; 97; 51; 91; 11; 37; 69; 80; 35; 8; 26; 28; 1; 27; 44; 15; 22; 33; 55; 87; 5; 82; 65; 29; 72; 78; 41; 36; 24; 60; 88; 47; 93; 20; 49; 16; 79; 70; 56; 66; 0; 3; 4; 12; 2; 7; 13; 10; 75; 71; 25; 59; 9; 19; 68; 58; 89; 50; 30; 46; 92; 31; 34; 54; 90; 6; 38],[[39]; [57; 86]; [14]; [85; 63]; [40; 99]; [77; 74]; [81; 67]; [17]; [23]; [43; 98]; [95; 52]; [64]; [32]; [53; 94]; [83; 61]; [62; 84]; [21]; [48; 96]; [42]; [76; 73]; [18]; [45; 97]; [51; 91]; [11]; [37]; [69; 80]; [35]; [8]; [26]; [28]; [1]; [27]; [44]; [15]; [22]; [33]; [55; 87]; [5]; [82; 65]; [29]; [72; 78]; [41]; [36]; [24]; [60; 88]; [47; 93]; [20]; [49]; [16]; [79; 70]; [56]; [66]; [0]; [3]; [4]; [12]; [2]; [7]; [13]; [10]; [75; 71]; [25]; [59]; [9]; [19]; [68]; [58; 89]; [50]; [30]; [46; 92]; [31]; [34]; [54; 90]; [6]; [38]],[6900; 10000; 9100; 9800; 10000; 9700; 10000; 8700; 8400; 10000; 9400; 5600; 7400; 9400; 10000; 9900; 8400; 9600; 6800; 9800; 8700; 10000; 9600; 9400; 7100; 10000; 7300; 9600; 8000; 7500; 10000; 7900; 6800; 9000; 8400; 7300; 10000; 9800; 10000; 7500; 9800; 6900; 7200; 8300; 9700; 9900; 8600; 6300; 8900; 9900; 6000; 5500; 10000; 9900; 9800; 9400; 9900; 9600; 9300; 9400; 9900; 8200; 5900; 9400; 8700; 5400; 9700; 6100; 7500; 9900; 7400; 7300; 9500; 9700; 7000],2300,2302,0.3128085136413574
20,75,0.7664626666666668,[34; 4; 30; 78; 79; 38; 47; 91; 39; 69; 81; 50; 92; 5; 32; 48; 97; 83; 68; 46; 90; 58; 87; 11; 56; 93; 55; 86; 24; 18; 2; 19; 8; 36; 3; 27; 40; 12; 31; 49; 89; 76; 70; 52; 98; 67; 80; 1; 26; 37; 35; 22; 16; 42; 66; 61; 41; 99; 65; 82; 14; 10; 25; 95; 60; 57; 53; 88; 43; 23; 28; 9; 7; 33; 73; 75; 21; 29; 13; 62; 84; 15; 6; 44; 0; 17; 74; 71; 96; 51; 94; 45; 20; 77; 72; 59; 85; 54; 64; 63],[[34]; [4]; [30]; [78; 79]; [38]; [47; 91]; [39]; [69; 81]; [50; 92]; [5]; [32]; [48; 97]; [83; 68]; [46; 90]; [58; 87]; [11]; [56; 93]; [55; 86]; [24]; [18]; [2]; [19]; [8]; [36]; [3]; [27]; [40]; [12]; [31]; [49; 89]; [76; 70]; [52; 98]; [67; 80]; [1]; [26]; [37]; [35]; [22]; [16]; [42]; [66]; [61]; [41; 99]; [65; 82]; [14]; [10]; [25]; [95; 60]; [57]; [53; 88]; [43]; [23]; [28]; [9]; [7]; [33]; [73; 75]; [21]; [29]; [13]; [62; 84]; [15]; [6]; [44]; [0]; [17]; [74; 71]; [96; 51]; [94; 45]; [20]; [77; 72]; [59; 85]; [54]; [64]; [63]],[7300; 9800; 7500; 9600; 7000; 10000; 6900; 10000; 9500; 9800; 7400; 9600; 9600; 10000; 10000; 9400; 9400; 10000; 8300; 8700; 9900; 8700; 9600; 7200; 9900; 7900; 6900; 9400; 7400; 10000; 10000; 9300; 10000; 10000; 8000; 7100; 7300; 8400; 8900; 6800; 5500; 5800; 10000; 10000; 9100; 9400; 8200; 9200; 6000; 9900; 6800; 8400; 7500; 9400; 9600; 7300; 9800; 8400; 7500; 9300; 9900; 9000; 9700; 6800; 10000; 8700; 9900; 9400; 10000; 8600; 9800; 10000; 6000; 5600; 5700],2000,2002,0.28174901008605957
16,76,0.7504407894736843,[65; 15; 6; 0; 26; 41; 85; 59; 17; 98; 44; 94; 49; 52; 97; 46; 96; 42; 99; 63; 32; 70; 74; 27; 16; 31; 51; 88; 73; 71; 83; 55; 86; 35; 23; 7; 47; 90; 50; 28; 12; 40; 66; 34; 9; 61; 84; 20; 37; 18; 39; 21; 56; 81; 69; 2; 30; 10; 64; 82; 87; 67; 36; 62; 80; 68; 29; 4; 25; 8; 75; 76; 11; 45; 95; 5; 93; 58; 1; 79; 78; 24; 33; 38; 13; 53; 92; 48; 91; 43; 3; 89; 57; 22; 54; 77; 72; 14; 19; 60],[[65]; [15]; [6]; [0]; [26]; [41]; [85; 59]; [17]; [98; 44]; [94; 49]; [52; 97]; [46; 96]; [42; 99]; [63]; [32]; [70; 74]; [27]; [16]; [31]; [51; 88]; [73; 71]; [83]; [55; 86]; [35]; [23]; [7]; [47; 90]; [50]; [28]; [12]; [40]; [66]; [34]; [9]; [61; 84]; [20]; [37]; [18]; [39]; [21]; [56]; [81; 69]; [2]; [30]; [10]; [64; 82]; [87; 67]; [36]; [62]; [80; 68]; [29]; [4]; [25]; [8]; [75; 76]; [11]; [45; 95]; [5]; [93; 58]; [1]; [79; 78]; [24]; [33]; [38]; [13]; [53; 92]; [48; 91]; [43]; [3]; [89; 57]; [22]; [54]; [77; 72]; [14]; [19]; [60]],[5600; 9000; 9700; 10000; 8000; 6900; 10000; 8700; 10000; 9600; 9400; 9800; 9900; 5700; 7400; 10000; 7900; 8900; 7400; 9900; 9900; 4200; 10000; 7300; 8400; 9600; 10000; 6100; 7500; 9400; 6900; 5500; 7300; 9400; 10000; 8600; 7100; 8700; 6900; 8400; 6000; 10000; 9900; 7500; 9400; 10000; 9400; 7200; 5700; 10000; 7500; 9800; 8200; 9600; 9800; 9400; 10000; 9800; 9400; 10000; 9600; 8300; 7300; 7000; 9300; 9500; 9800; 6800; 9900; 9700; 8400; 6000; 9800; 9100; 8700; 5900],1600,1602,0.22020936012268066
11,76,0.7508723684210528,[63; 84; 85; 39; 55; 88; 5; 15; 9; 78; 76; 30; 29; 42; 98; 38; 69; 81; 24; 48; 90; 72; 75; 66; 27; 49; 92; 64; 57; 87; 0; 2; 52; 91; 61; 83; 47; 94; 1; 60; 86; 26; 74; 77; 58; 93; 37; 35; 31; 20; 50; 89; 25; 10; 17; 18; 41; 99; 36; 7; 13; 51; 67; 80; 43; 96; 46; 34; 22; 56; 11; 65; 82; 6; 12; 8; 33; 28; 45; 97; 19; 73; 71; 68; 59; 16; 14; 3; 4; 53; 44; 32; 70; 79; 54; 95; 23; 40; 62; 21],[[63; 84]; [85]; [39]; [55; 88]; [5]; [15]; [9]; [78; 76]; [30]; [29]; [42; 98]; [38]; [69; 81]; [24]; [48; 90]; [72; 75]; [66]; [27]; [49; 92]; [64]; [57; 87]; [0]; [2]; [52; 91]; [61; 83]; [47; 94]; [1]; [60; 86]; [26]; [74; 77]; [58; 93]; [37]; [35]; [31]; [20]; [50; 89]; [25]; [10]; [17]; [18]; [41; 99]; [36]; [7]; [13]; [51]; [67; 80]; [43]; [96; 46]; [34]; [22]; [56]; [11]; [65; 82]; [6]; [12]; [8]; [33]; [28]; [45; 97]; [19]; [73; 71]; [68]; [59]; [16]; [14]; [3]; [4]; [53]; [44]; [32]; [70; 79]; [54; 95]; [23]; [40]; [62]; [21]],[9900; 4100; 6900; 9800; 9800; 9000; 9400; 9700; 7500; 7500; 10000; 7000; 10000; 8300; 9800; 9900; 5500; 7900; 9700; 5600; 10000; 10000; 9900; 9600; 10000; 9800; 10000; 9900; 8000; 9700; 9400; 7100; 7300; 7400; 8600; 9800; 8200; 9400; 8700; 8700; 10000; 7200; 9600; 9300; 6100; 10000; 6800; 9800; 7300; 8400; 6000; 9400; 10000; 9700; 9400; 9600; 7300; 7500; 10000; 8700; 9900; 5400; 5900; 8900; 9100; 9900; 9800; 6100; 6800; 7400; 9900; 9300; 8400; 6900; 5700; 8400],1100,1102,0.15726161003112793
15,76,0.7504407894736843,[17; 27; 55; 96; 40; 34; 64; 82; 81; 69; 11; 49; 90; 66; 83; 31; 61; 32; 58; 87; 18; 47; 95; 14; 41; 99; 53; 93; 63; 84; 23; 74; 71; 19; 44; 98; 1; 16; 30; 79; 56; 6; 12; 22; 5; 20; 54; 65; 7; 39; 29; 94; 45; 15; 38; 52; 97; 26; 46; 92; 3; 4; 70; 75; 10; 37; 68; 21; 13; 2; 43; 33; 8; 67; 0; 77; 78; 50; 91; 62; 25; 24; 48; 89; 73; 72; 36; 42; 76; 80; 51; 88; 57; 86; 59; 85; 60; 35; 9; 28],[[17]; [27]; [55; 96]; [40]; [34]; [64; 82]; [81; 69]; [11]; [49; 90]; [66; 83]; [31]; [61]; [32]; [58; 87]; [18]; [47; 95]; [14]; [41; 99]; [53; 93]; [63; 84]; [23]; [74; 71]; [19]; [44; 98]; [1]; [16]; [30]; [79]; [56]; [6]; [12]; [22]; [5]; [20]; [54]; [65]; [7]; [39]; [29]; [94; 45]; [15]; [38]; [52; 97]; [26]; [46; 92]; [3]; [4]; [70; 75]; [10]; [37]; [68]; [21]; [13]; [2]; [43]; [33]; [8]; [67]; [0]; [77; 78]; [50; 91]; [62]; [25]; [24]; [48; 89]; [73; 72]; [36]; [42]; [76; 80]; [51; 88]; [57; 86]; [59; 85]; [60]; [35]; [9]; [28]],[8700; 7900; 9300; 6900; 7300; 10000; 10000; 9400; 9800; 9700; 7400; 5800; 7400; 10000; 8700; 9800; 9100; 10000; 9500; 9900; 8400; 9900; 8700; 10000; 10000; 8900; 7500; 4800; 6000; 9700; 9400; 8400; 9800; 8600; 6000; 5600; 9600; 6900; 7500; 10000; 9000; 7000; 9400; 8000; 9900; 9900; 9800; 10000; 9400; 7100; 5400; 8400; 9300; 9900; 6800; 7300; 9600; 5400; 10000; 9600; 9600; 5700; 8200; 8300; 10000; 9900; 7200; 6800; 9500; 9900; 10000; 10000; 5900; 7300; 9400; 7500],1500,1502,0.2192234992980957
