Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
27,44,0.9039520202020199,[50; 88; 71; 80; 98; 33; 35; 22; 72; 99; 92; 68; 20; 91; 97; 47; 75; 78; 31; 57; 90; 3; 83; 67; 56; 60; 0; 86; 29; 38; 15; 65; 96; 43; 32; 82; 58; 49; 13; 73; 10; 74; 21; 64; 27; 45; 6; 76; 4; 84; 95; 37; 46; 94; 11; 77; 36; 52; 89; 2; 7; 81; 16; 66; 42; 44; 87; 12; 48; 8; 55; 23; 34; 40; 26; 54; 9; 93; 53; 24; 5; 79; 14; 70; 25; 51; 1; 85; 61; 18; 41; 69; 19; 59; 28; 62; 30; 39; 17; 63],[[50; 88; 71; 80; 98]; [33; 35]; [22; 72; 99; 92]; [68; 20]; [91; 97; 47; 75; 78]; [31; 57; 90]; [3; 83]; [67; 56; 60]; [0; 86]; [29; 38]; [15; 65]; [96; 43; 32]; [82; 58; 49]; [13; 73]; [10; 74]; [21; 64]; [27; 45]; [6; 76]; [4; 84; 95]; [37; 46; 94]; [11; 77]; [36; 52; 89]; [2]; [7; 81]; [16; 66]; [42; 44; 87]; [12]; [48]; [8]; [55; 23]; [34; 40]; [26; 54]; [9; 93]; [53; 24]; [5; 79]; [14; 70]; [25; 51]; [1; 85]; [61; 18]; [41; 69]; [19; 59]; [28; 62]; [30; 39]; [17; 63]],[12000; 12000; 11900; 11100; 11900; 11800; 12000; 11800; 11700; 12000; 11900; 11900; 11800; 11500; 11800; 11300; 11800; 12000; 12000; 11800; 11500; 12000; 9700; 11800; 11900; 12000; 8700; 4900; 8900; 11900; 11800; 11700; 9900; 12000; 12000; 11700; 11900; 11600; 11900; 8700; 11900; 10300; 12000; 11900],2700,2702,0.34931302070617676
33,45,0.8726512345679011,[87; 63; 41; 91; 13; 69; 68; 57; 61; 96; 50; 77; 75; 92; 95; 29; 59; 99; 89; 98; 8; 72; 15; 70; 27; 46; 2; 86; 6; 21; 90; 74; 16; 66; 23; 58; 18; 82; 88; 45; 36; 0; 85; 42; 30; 97; 20; 73; 94; 3; 10; 76; 14; 67; 34; 43; 12; 24; 54; 80; 1; 84; 38; 79; 62; 40; 35; 9; 71; 4; 51; 31; 93; 56; 52; 37; 33; 11; 55; 49; 83; 5; 81; 32; 39; 19; 44; 28; 7; 78; 17; 60; 65; 22; 26; 53; 64; 47; 25; 48],[[87; 63; 41; 91]; [13; 69]; [68; 57; 61; 96]; [50; 77; 75; 92; 95]; [29; 59; 99; 89; 98]; [8; 72]; [15; 70]; [27; 46]; [2; 86]; [6]; [21; 90; 74]; [16; 66]; [23; 58]; [18; 82; 88]; [45; 36]; [0; 85]; [42; 30; 97]; [20; 73; 94]; [3]; [10; 76]; [14; 67]; [34; 43]; [12]; [24; 54]; [80]; [1; 84]; [38; 79; 62]; [40; 35]; [9; 71]; [4]; [51; 31; 93]; [56; 52]; [37; 33]; [11]; [55; 49; 83]; [5; 81]; [32; 39]; [19]; [44; 28]; [7; 78]; [17; 60]; [65; 22]; [26; 53]; [64; 47]; [25; 48]],[11900; 11700; 11900; 12000; 12000; 12000; 11600; 11800; 11500; 9300; 11700; 11900; 11700; 12000; 11000; 11800; 11900; 11700; 9600; 11600; 11900; 11400; 8700; 11900; 2600; 11800; 12000; 11600; 12000; 9400; 12000; 9400; 11800; 8800; 11900; 11900; 11900; 7800; 11800; 11900; 12000; 11000; 11800; 8700; 12000],3300,3302,0.4091002941131592
37,44,0.9018371212121212,[98; 27; 48; 97; 10; 90; 96; 91; 26; 39; 36; 51; 80; 56; 13; 67; 44; 32; 50; 49; 42; 28; 57; 60; 76; 94; 41; 53; 86; 45; 62; 70; 35; 33; 14; 78; 5; 81; 89; 3; 18; 93; 7; 82; 38; 40; 95; 2; 17; 63; 99; 37; 29; 1; 87; 20; 71; 92; 11; 75; 19; 59; 85; 0; 25; 68; 88; 66; 16; 34; 52; 23; 55; 12; 74; 22; 73; 46; 69; 64; 8; 79; 6; 77; 21; 61; 43; 54; 84; 15; 65; 24; 58; 30; 31; 47; 83; 4; 72; 9],[[98; 27; 48]; [97; 10; 90; 96; 91]; [26]; [39; 36]; [51; 80; 56]; [13; 67]; [44; 32]; [50; 49]; [42; 28]; [57; 60; 76; 94]; [41; 53; 86]; [45; 62; 70]; [35; 33]; [14; 78]; [5; 81]; [89; 3]; [18; 93]; [7; 82]; [38; 40; 95]; [2]; [17; 63; 99]; [37; 29]; [1; 87]; [20; 71; 92]; [11; 75]; [19; 59]; [85; 0]; [25; 68; 88]; [66; 16]; [34; 52]; [23; 55]; [12; 74]; [22; 73]; [46; 69; 64]; [8; 79]; [6; 77]; [21; 61]; [43; 54; 84]; [15; 65]; [24; 58]; [30]; [31; 47]; [83; 4]; [72; 9]],[11800; 12000; 7100; 11600; 12000; 11900; 11400; 9700; 11900; 11900; 12000; 12000; 12000; 11100; 11900; 10900; 9200; 11800; 11900; 9700; 12000; 12000; 11200; 12000; 11600; 11900; 11800; 11800; 11900; 10900; 11900; 11600; 10500; 12000; 11500; 12000; 11300; 12000; 11900; 11700; 6300; 11200; 11800; 12000],3700,3702,0.4732091426849365
26,43,0.9365697674418603,[67; 77; 50; 96; 2; 87; 29; 41; 98; 17; 81; 90; 99; 71; 10; 19; 94; 72; 54; 23; 3; 95; 4; 79; 43; 34; 13; 66; 59; 21; 97; 53; 33; 93; 46; 47; 89; 14; 68; 37; 49; 92; 18; 75; 26; 48; 40; 64; 83; 30; 38; 0; 85; 51; 44; 27; 42; 15; 65; 9; 86; 88; 1; 22; 61; 7; 60; 58; 63; 45; 28; 80; 5; 35; 36; 11; 70; 8; 78; 16; 69; 20; 74; 91; 6; 76; 62; 84; 32; 39; 31; 25; 52; 73; 12; 24; 55; 56; 82; 57],[[67; 77; 50; 96]; [2; 87]; [29; 41; 98]; [17; 81; 90; 99]; [71; 10]; [19; 94; 72]; [54; 23]; [3; 95]; [4; 79]; [43; 34]; [13; 66]; [59; 21; 97]; [53; 33; 93]; [46; 47; 89]; [14; 68]; [37; 49; 92]; [18; 75]; [26; 48]; [40; 64; 83]; [30; 38]; [0; 85]; [51; 44]; [27; 42]; [15; 65]; [9; 86; 88]; [1]; [22; 61]; [7]; [60; 58; 63]; [45; 28]; [80; 5]; [35; 36]; [11; 70]; [8; 78]; [16; 69]; [20; 74; 91]; [6; 76]; [62; 84; 32]; [39; 31]; [25; 52]; [73; 12]; [24; 55]; [56; 82; 57]],[11300; 11200; 12000; 12000; 12000; 11900; 11900; 10100; 12000; 11400; 12000; 12000; 11800; 11400; 11900; 11800; 11000; 12000; 11800; 12000; 11800; 10000; 12000; 11900; 12000; 9700; 11200; 9300; 11900; 11700; 12000; 11800; 12000; 11500; 11600; 11800; 12000; 12000; 11900; 11900; 11700; 11900; 11500],2600,2602,0.34923529624938965
15,44,0.9001452020202021,[24; 53; 25; 87; 98; 0; 97; 86; 14; 94; 81; 18; 63; 61; 23; 90; 50; 36; 99; 93; 71; 75; 46; 69; 16; 1; 85; 20; 73; 91; 26; 58; 96; 35; 49; 92; 4; 79; 39; 55; 88; 59; 44; 80; 3; 51; 84; 45; 5; 78; 47; 41; 11; 70; 8; 74; 22; 68; 12; 43; 32; 42; 31; 37; 65; 76; 54; 33; 89; 9; 10; 72; 29; 56; 40; 30; 7; 77; 17; 62; 15; 67; 21; 57; 64; 28; 13; 66; 2; 60; 19; 6; 83; 52; 95; 27; 48; 82; 34; 38],[[24; 53]; [25; 87; 98]; [0; 97; 86]; [14; 94; 81]; [18; 63]; [61; 23]; [90; 50; 36; 99]; [93; 71; 75; 46]; [69; 16]; [1; 85]; [20; 73; 91]; [26; 58; 96]; [35; 49; 92]; [4; 79]; [39; 55; 88]; [59; 44; 80]; [3]; [51; 84; 45]; [5; 78]; [47; 41]; [11; 70]; [8; 74]; [22; 68]; [12]; [43; 32]; [42; 31]; [37; 65; 76]; [54; 33; 89]; [9]; [10; 72]; [29; 56]; [40; 30]; [7; 77]; [17; 62]; [15; 67]; [21; 57]; [64; 28]; [13; 66]; [2]; [60; 19]; [6; 83]; [52; 95; 27]; [48; 82]; [34; 38]],[12000; 8800; 12000; 12000; 11900; 11000; 12000; 12000; 11600; 11600; 11900; 11900; 12000; 12000; 11600; 11900; 9600; 12000; 12000; 10500; 12000; 11800; 10900; 8700; 11500; 11500; 11900; 12000; 8900; 12000; 10900; 12000; 12000; 11900; 11800; 12000; 10300; 12000; 9700; 11600; 11700; 12000; 7400; 11800],1500,1502,0.18882369995117188
44,44,0.9067171717171717,[94; 3; 83; 44; 62; 97; 18; 60; 96; 59; 90; 34; 54; 91; 95; 37; 33; 36; 1; 6; 81; 87; 22; 73; 89; 41; 48; 57; 25; 40; 43; 4; 79; 47; 26; 49; 11; 55; 24; 75; 8; 16; 69; 66; 13; 9; 77; 14; 68; 35; 15; 99; 65; 29; 38; 67; 42; 71; 93; 32; 52; 64; 19; 12; 86; 88; 31; 50; 85; 2; 27; 78; 76; 10; 72; 39; 30; 20; 74; 92; 56; 23; 5; 80; 53; 51; 82; 70; 46; 63; 21; 58; 28; 45; 98; 61; 17; 7; 0; 84],[[94; 3]; [83; 44; 62; 97]; [18; 60]; [96; 59; 90; 34]; [54; 91; 95; 37]; [33; 36]; [1]; [6; 81]; [87; 22; 73]; [89; 41; 48]; [57; 25]; [40; 43]; [4; 79]; [47]; [26; 49]; [11]; [55; 24]; [75; 8]; [16; 69]; [66; 13]; [9; 77]; [14; 68]; [35]; [15; 99; 65]; [29; 38]; [67; 42; 71]; [93; 32; 52]; [64; 19]; [12; 86; 88]; [31; 50]; [85; 2]; [27; 78; 76]; [10; 72]; [39; 30]; [20; 74; 92]; [56; 23]; [5; 80]; [53; 51; 82]; [70; 46; 63]; [21; 58]; [28; 45; 98]; [61; 17]; [7]; [0; 84]],[10600; 11600; 12000; 11800; 12000; 12000; 9700; 11800; 12000; 11700; 11500; 11000; 12000; 5000; 12000; 8800; 11900; 11700; 11600; 12000; 11600; 11900; 5900; 12000; 12000; 11800; 12000; 11500; 11800; 11000; 11600; 12000; 12000; 12000; 11800; 11900; 12000; 12000; 12000; 12000; 11900; 11900; 9300; 12000],4400,4402,0.5822787284851074
23,43,0.93640826873385,[35; 38; 96; 76; 6; 80; 40; 78; 94; 59; 32; 89; 99; 23; 56; 20; 63; 95; 44; 43; 90; 11; 69; 30; 53; 93; 42; 28; 13; 65; 21; 58; 9; 71; 12; 77; 46; 39; 91; 7; 82; 83; 3; 1; 85; 97; 54; 25; 18; 74; 41; 57; 84; 0; 87; 19; 75; 92; 5; 16; 70; 34; 55; 33; 36; 72; 10; 79; 37; 64; 8; 73; 2; 22; 61; 45; 50; 17; 67; 47; 27; 49; 29; 24; 62; 31; 51; 14; 66; 48; 26; 15; 68; 81; 4; 52; 88; 98; 86; 60],[[35; 38; 96]; [76; 6]; [80; 40; 78; 94]; [59; 32; 89; 99]; [23; 56]; [20; 63; 95]; [44; 43; 90]; [11; 69]; [30; 53; 93]; [42; 28]; [13; 65]; [21; 58]; [9; 71]; [12; 77]; [46; 39; 91]; [7; 82]; [83; 3]; [1; 85; 97]; [54; 25]; [18; 74]; [41; 57; 84]; [0; 87]; [19; 75; 92]; [5]; [16; 70]; [34; 55]; [33; 36]; [72; 10]; [79; 37; 64]; [8; 73]; [2]; [22; 61]; [45; 50]; [17; 67]; [47; 27]; [49; 29]; [24; 62]; [31; 51]; [14; 66]; [48; 26]; [15; 68]; [81; 4]; [52; 88; 98; 86; 60]],[12000; 12000; 11900; 11700; 11900; 11900; 11700; 12000; 12000; 11900; 12000; 12000; 12000; 11400; 12000; 11800; 12000; 11900; 11700; 11100; 12000; 11400; 11800; 9400; 11600; 10700; 12000; 12000; 12000; 11900; 9700; 11200; 9900; 11600; 11700; 11200; 11000; 11000; 12000; 12000; 11800; 11900; 11900],2300,2302,0.2989773750305176
11,44,0.9005239898989899,[16; 75; 72; 20; 94; 98; 0; 93; 57; 33; 88; 44; 52; 90; 23; 81; 85; 4; 80; 70; 83; 40; 97; 65; 69; 42; 24; 53; 7; 77; 36; 54; 87; 15; 73; 59; 56; 82; 5; 78; 30; 43; 96; 35; 51; 8; 79; 14; 67; 28; 48; 95; 41; 29; 18; 64; 37; 46; 92; 2; 84; 49; 68; 39; 34; 99; 6; 76; 22; 62; 47; 38; 89; 26; 58; 10; 21; 63; 11; 12; 71; 1; 45; 32; 3; 86; 25; 50; 13; 66; 19; 61; 31; 55; 91; 9; 74; 17; 60; 27],[[16; 75]; [72; 20; 94; 98]; [0; 93]; [57; 33; 88]; [44; 52; 90]; [23; 81; 85]; [4; 80]; [70; 83; 40; 97]; [65; 69; 42]; [24; 53]; [7; 77]; [36; 54; 87]; [15; 73]; [59; 56; 82]; [5; 78]; [30; 43; 96]; [35; 51]; [8; 79]; [14; 67]; [28; 48; 95]; [41; 29]; [18; 64]; [37; 46; 92]; [2; 84]; [49; 68]; [39; 34; 99]; [6; 76]; [22; 62]; [47; 38; 89]; [26; 58]; [10]; [21; 63]; [11]; [12; 71]; [1]; [45; 32]; [3; 86]; [25; 50]; [13; 66]; [19; 61]; [31; 55; 91]; [9; 74]; [17; 60]; [27]],[11200; 12000; 10900; 11800; 11200; 11700; 12000; 11600; 12000; 12000; 12000; 12000; 11400; 11200; 12000; 12000; 10700; 11500; 11900; 12000; 11800; 11900; 12000; 11800; 8300; 11900; 12000; 11200; 12000; 11500; 8900; 11300; 8800; 11800; 9700; 11300; 11400; 11900; 12000; 11500; 12000; 11800; 12000; 6700],1100,1102,0.14069151878356934
39,44,0.9079071969696966,[3; 90; 91; 22; 86; 85; 99; 51; 45; 75; 57; 52; 4; 79; 49; 35; 92; 12; 77; 68; 17; 96; 6; 87; 66; 14; 37; 47; 89; 50; 54; 78; 0; 84; 58; 25; 23; 61; 94; 16; 70; 95; 32; 43; 11; 71; 9; 76; 97; 59; 65; 73; 88; 41; 31; 53; 24; 19; 63; 10; 74; 34; 36; 93; 15; 82; 8; 72; 55; 48; 42; 27; 44; 28; 1; 39; 29; 21; 62; 26; 56; 2; 30; 40; 18; 64; 69; 7; 80; 33; 38; 98; 67; 13; 81; 46; 5; 83; 60; 20],[[3; 90; 91]; [22; 86; 85; 99]; [51; 45]; [75; 57; 52]; [4; 79]; [49; 35; 92]; [12; 77]; [68; 17; 96]; [6; 87]; [66; 14]; [37; 47; 89]; [50; 54; 78]; [0; 84]; [58; 25]; [23; 61; 94]; [16; 70]; [95; 32; 43]; [11; 71]; [9; 76; 97]; [59; 65; 73; 88]; [41; 31]; [53; 24]; [19; 63]; [10; 74]; [34; 36]; [93; 15; 82]; [8; 72]; [55; 48]; [42; 27]; [44; 28]; [1]; [39; 29]; [21; 62]; [26; 56]; [2]; [30; 40]; [18; 64]; [69]; [7; 80]; [33; 38; 98]; [67; 13]; [81; 46]; [5; 83]; [60; 20]],[12000; 11300; 9900; 12000; 12000; 12000; 11400; 12000; 10800; 12000; 12000; 12000; 12000; 11500; 12000; 11600; 12000; 11900; 11900; 11900; 11700; 12000; 11500; 11800; 12000; 11900; 12000; 9500; 12000; 11800; 9700; 12000; 11300; 11700; 9700; 12000; 11900; 3200; 11900; 12000; 11900; 7600; 11800; 11500],3900,3902,0.48590540885925293
19,44,0.9031155303030303,[46; 55; 85; 96; 52; 33; 94; 12; 72; 98; 32; 38; 30; 74; 90; 93; 50; 68; 62; 25; 48; 63; 47; 69; 0; 3; 19; 87; 80; 99; 53; 24; 41; 77; 64; 7; 81; 8; 73; 9; 75; 97; 17; 60; 92; 6; 91; 59; 22; 84; 42; 58; 86; 21; 83; 44; 35; 11; 76; 95; 5; 78; 51; 26; 56; 37; 1; 2; 10; 82; 31; 39; 13; 65; 15; 4; 79; 36; 34; 29; 57; 88; 20; 70; 49; 18; 66; 40; 54; 89; 16; 67; 27; 43; 28; 45; 61; 23; 71; 14],[[46; 55; 85; 96]; [52; 33; 94]; [12; 72; 98]; [32; 38]; [30; 74; 90; 93]; [50; 68; 62]; [25; 48]; [63; 47; 69]; [0]; [3]; [19; 87; 80; 99]; [53; 24]; [41; 77; 64]; [7; 81]; [8; 73]; [9; 75; 97]; [17; 60]; [92; 6; 91]; [59; 22]; [84; 42; 58]; [86; 21; 83]; [44; 35]; [11; 76; 95]; [5; 78]; [51; 26]; [56; 37]; [1]; [2]; [10; 82]; [31; 39]; [13; 65]; [15]; [4; 79]; [36; 34]; [29; 57; 88]; [20; 70]; [49]; [18; 66]; [40; 54; 89]; [16; 67]; [27; 43]; [28; 45]; [61; 23]; [71; 14]],[12000; 11900; 12000; 11900; 11400; 11900; 12000; 11900; 9900; 9600; 12000; 12000; 11900; 11800; 11900; 12000; 12000; 11700; 11600; 11800; 11800; 11100; 12000; 12000; 11900; 10300; 9700; 9700; 11400; 11900; 12000; 8400; 12000; 12000; 12000; 10900; 4900; 11700; 11600; 11800; 12000; 11700; 11000; 11600],1900,1902,0.23685622215270996
