Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
32,42,0.905444775132275,[63; 80; 29; 96; 8; 82; 86; 23; 55; 81; 15; 9; 76; 88; 98; 17; 61; 0; 75; 2; 84; 90; 13; 67; 92; 45; 35; 22; 57; 94; 99; 21; 4; 72; 93; 34; 44; 7; 71; 62; 46; 59; 97; 14; 65; 20; 87; 91; 74; 11; 73; 28; 47; 41; 30; 16; 58; 5; 77; 89; 51; 25; 37; 42; 85; 18; 60; 38; 39; 83; 48; 31; 24; 56; 52; 27; 12; 54; 1; 78; 95; 64; 19; 50; 43; 33; 40; 26; 53; 66; 32; 36; 79; 49; 68; 10; 69; 6; 70; 3],[[63; 80; 29; 96]; [8; 82; 86]; [23; 55]; [81; 15]; [9; 76; 88; 98]; [17; 61]; [0; 75]; [2; 84; 90]; [13; 67]; [92; 45; 35]; [22; 57; 94; 99]; [21]; [4; 72]; [93; 34; 44]; [7; 71]; [62; 46; 59; 97]; [14; 65]; [20; 87; 91; 74]; [11; 73]; [28; 47]; [41; 30]; [16; 58]; [5; 77; 89]; [51; 25]; [37; 42; 85]; [18; 60]; [38; 39; 83]; [48; 31]; [24; 56]; [52; 27]; [12]; [54]; [1; 78; 95]; [64; 19]; [50; 43]; [33; 40]; [26; 53]; [66; 32]; [36; 79; 49]; [68; 10]; [69; 6]; [70; 3]],[11900; 11900; 11800; 9800; 12000; 11700; 12000; 12000; 12000; 11700; 11900; 7700; 11700; 11900; 11600; 12000; 12000; 11900; 11100; 11900; 12000; 11900; 11900; 12000; 11900; 11700; 12000; 11600; 11700; 11600; 8900; 4200; 12000; 11400; 9600; 11700; 11600; 9700; 12000; 11900; 11900; 12000],3200,3202,0.5249526500701904
31,42,0.8989798280423278,[68; 18; 11; 70; 94; 26; 50; 19; 76; 85; 90; 24; 60; 92; 31; 58; 82; 23; 59; 91; 39; 35; 14; 71; 93; 28; 45; 83; 8; 81; 22; 56; 96; 36; 34; 2; 32; 65; 72; 16; 57; 97; 6; 80; 84; 4; 89; 63; 61; 44; 43; 77; 42; 74; 95; 55; 38; 9; 25; 53; 48; 29; 12; 20; 78; 73; 15; 66; 10; 0; 3; 86; 87; 67; 13; 30; 47; 21; 7; 5; 69; 33; 98; 37; 27; 49; 1; 79; 17; 64; 75; 51; 40; 99; 62; 52; 54; 88; 41; 46],[[68; 18]; [11; 70; 94]; [26; 50]; [19; 76; 85; 90]; [24; 60; 92]; [31; 58; 82]; [23; 59; 91]; [39; 35]; [14; 71; 93]; [28; 45]; [83; 8; 81]; [22; 56; 96]; [36; 34]; [2]; [32; 65; 72]; [16; 57; 97]; [6; 80; 84]; [4; 89]; [63; 61; 44]; [43; 77; 42]; [74; 95; 55; 38]; [9]; [25; 53]; [48; 29]; [12]; [20; 78; 73]; [15; 66]; [10]; [0]; [3; 86; 87]; [67; 13]; [30; 47]; [21]; [7]; [5; 69]; [33; 98; 37]; [27; 49]; [1; 79]; [17; 64]; [75; 51; 40; 99]; [62; 52; 54]; [88; 41; 46]],[11100; 11700; 11800; 12000; 11900; 11900; 12000; 11400; 11700; 12000; 12000; 11800; 12000; 9900; 12000; 12000; 12000; 10300; 12000; 12000; 11800; 9000; 11800; 11700; 8900; 11900; 11700; 9000; 10000; 12000; 12000; 11600; 7700; 9200; 12000; 11900; 11800; 11600; 11500; 11900; 12000; 11200],3100,3102,0.38249945640563965
7,42,0.8987814153439153,[80; 49; 86; 67; 92; 20; 65; 97; 93; 11; 72; 47; 31; 94; 1; 76; 98; 51; 43; 88; 85; 6; 77; 89; 5; 73; 59; 15; 29; 63; 87; 13; 68; 7; 69; 23; 62; 91; 18; 60; 39; 36; 10; 48; 37; 78; 96; 2; 83; 33; 38; 21; 66; 90; 99; 0; 75; 9; 79; 81; 3; 71; 4; 74; 35; 44; 41; 46; 82; 40; 45; 84; 27; 52; 95; 24; 53; 25; 61; 30; 56; 16; 57; 34; 55; 12; 70; 50; 26; 22; 54; 58; 17; 19; 28; 42; 32; 14; 64; 8],[[80; 49; 86; 67; 92]; [20; 65; 97; 93]; [11; 72]; [47; 31; 94]; [1; 76; 98]; [51; 43; 88; 85]; [6; 77; 89]; [5; 73]; [59; 15]; [29; 63; 87]; [13; 68]; [7; 69]; [23; 62; 91]; [18; 60]; [39; 36]; [10]; [48; 37; 78; 96]; [2; 83]; [33; 38]; [21; 66; 90; 99]; [0; 75]; [9; 79; 81]; [3; 71]; [4; 74]; [35; 44]; [41; 46; 82]; [40; 45; 84]; [27; 52; 95]; [24; 53]; [25; 61]; [30; 56]; [16; 57]; [34; 55]; [12; 70]; [50; 26]; [22; 54]; [58; 17]; [19]; [28]; [42; 32]; [14; 64]; [8]],[11200; 12000; 11200; 12000; 11900; 12000; 11800; 11500; 12000; 11400; 11800; 11900; 11800; 11700; 11100; 9000; 12000; 11300; 11700; 11900; 12000; 12000; 12000; 11500; 11200; 11500; 11500; 11900; 12000; 11000; 10800; 11900; 10300; 11300; 11800; 11900; 11900; 8100; 7100; 11600; 12000; 9200],700,702,0.0893852710723877
11,42,0.8974619708994711,[26; 96; 88; 73; 86; 39; 91; 80; 55; 95; 99; 1; 75; 10; 85; 37; 33; 97; 4; 92; 78; 22; 54; 98; 51; 45; 77; 8; 69; 52; 29; 11; 12; 74; 27; 49; 28; 53; 0; 90; 87; 17; 64; 23; 56; 30; 41; 19; 13; 38; 46; 82; 94; 21; 65; 89; 2; 76; 47; 36; 81; 20; 63; 93; 3; 7; 83; 84; 44; 34; 5; 70; 58; 32; 79; 57; 43; 68; 24; 60; 25; 50; 35; 48; 16; 62; 6; 59; 40; 67; 9; 71; 42; 31; 18; 61; 15; 72; 66; 14],[[26; 96; 88; 73; 86]; [39; 91; 80; 55; 95; 99]; [1; 75]; [10; 85]; [37; 33; 97]; [4; 92; 78]; [22; 54; 98]; [51; 45; 77]; [8; 69]; [52; 29]; [11]; [12; 74]; [27; 49]; [28; 53]; [0; 90; 87]; [17; 64]; [23; 56]; [30; 41]; [19]; [13]; [38; 46; 82; 94]; [21; 65; 89]; [2; 76]; [47; 36; 81]; [20; 63; 93]; [3]; [7; 83; 84]; [44; 34]; [5; 70]; [58; 32; 79]; [57; 43; 68]; [24; 60]; [25; 50]; [35; 48]; [16; 62]; [6]; [59; 40; 67]; [9; 71]; [42; 31]; [18; 61]; [15; 72]; [66; 14]],[12000; 12000; 12000; 10300; 11900; 11800; 12000; 11100; 11900; 11300; 8900; 11000; 11800; 11400; 11900; 11500; 11700; 12000; 8100; 8900; 12000; 11900; 11700; 12000; 12000; 9600; 11900; 11300; 11700; 11700; 11700; 11200; 12000; 10900; 11600; 9200; 12000; 11400; 12000; 11700; 10700; 12000],1100,1102,0.1415255069732666
23,42,0.8987681878306879,[10; 73; 90; 91; 99; 39; 95; 40; 88; 9; 77; 3; 89; 85; 96; 97; 20; 28; 45; 11; 86; 12; 69; 16; 62; 63; 55; 50; 21; 67; 87; 19; 72; 79; 4; 81; 18; 65; 23; 64; 38; 56; 70; 13; 71; 92; 31; 60; 82; 17; 59; 53; 46; 74; 57; 43; 68; 98; 6; 78; 15; 61; 29; 47; 33; 37; 0; 75; 51; 25; 5; 80; 30; 44; 1; 76; 27; 7; 84; 2; 83; 14; 66; 34; 36; 49; 48; 8; 22; 54; 94; 32; 42; 24; 58; 93; 52; 26; 41; 35],[[10; 73; 90]; [91; 99; 39; 95; 40]; [88; 9; 77]; [3; 89; 85; 96; 97]; [20]; [28; 45]; [11; 86]; [12; 69]; [16; 62]; [63; 55; 50]; [21; 67; 87]; [19; 72; 79]; [4; 81]; [18; 65]; [23; 64]; [38; 56; 70]; [13; 71; 92]; [31; 60; 82]; [17; 59]; [53; 46; 74]; [57; 43; 68; 98]; [6; 78]; [15; 61]; [29; 47]; [33; 37]; [0; 75]; [51; 25]; [5; 80]; [30; 44]; [1; 76]; [27]; [7; 84]; [2; 83]; [14; 66]; [34; 36]; [49; 48]; [8]; [22; 54]; [94; 32; 42]; [24; 58; 93]; [52; 26]; [41; 35]],[12000; 11700; 11800; 12000; 8000; 12000; 10200; 11600; 11600; 12000; 11900; 12000; 10800; 11500; 11000; 11700; 12000; 11700; 11800; 11300; 11800; 10900; 11900; 11700; 11800; 12000; 12000; 10800; 11900; 11800; 7200; 10500; 11300; 12000; 12000; 9400; 9200; 11900; 12000; 12000; 11700; 11300],2300,2302,0.2978699207305908
22,42,0.8987152777777778,[43; 60; 97; 76; 83; 96; 49; 28; 95; 21; 92; 61; 13; 67; 52; 72; 84; 10; 78; 89; 4; 71; 35; 39; 7; 69; 91; 99; 31; 56; 1; 77; 17; 58; 38; 48; 82; 55; 32; 80; 44; 46; 16; 62; 27; 64; 88; 94; 11; 68; 2; 85; 90; 50; 41; 15; 73; 81; 6; 74; 93; 30; 42; 8; 70; 0; 75; 34; 36; 25; 51; 19; 20; 65; 5; 87; 14; 66; 22; 63; 18; 57; 3; 79; 12; 26; 59; 37; 33; 45; 29; 9; 54; 24; 23; 53; 86; 98; 47; 40],[[43; 60; 97; 76; 83; 96]; [49; 28; 95]; [21; 92; 61]; [13; 67]; [52; 72; 84]; [10; 78; 89]; [4; 71]; [35; 39]; [7; 69]; [91; 99; 31; 56]; [1; 77]; [17; 58]; [38; 48; 82]; [55; 32; 80]; [44; 46]; [16; 62]; [27; 64; 88; 94]; [11; 68]; [2; 85; 90]; [50; 41]; [15; 73; 81]; [6; 74; 93]; [30; 42]; [8; 70]; [0; 75]; [34; 36]; [25; 51]; [19]; [20; 65]; [5; 87]; [14; 66]; [22; 63]; [18; 57]; [3; 79]; [12]; [26; 59]; [37; 33]; [45; 29]; [9]; [54; 24]; [23; 53]; [86; 98; 47; 40]],[12000; 12000; 11900; 12000; 8000; 11600; 11800; 11400; 11900; 11600; 11700; 11900; 11500; 12000; 10000; 11600; 12000; 11800; 12000; 9700; 12000; 11900; 12000; 11600; 12000; 12000; 12000; 8100; 11300; 10400; 12000; 11100; 11900; 11200; 8900; 10900; 11800; 11800; 9000; 11900; 12000; 11500],2200,2202,0.3359799385070801
33,42,0.9061491402116402,[83; 6; 84; 70; 7; 94; 82; 26; 61; 42; 65; 4; 76; 90; 43; 44; 77; 10; 69; 68; 9; 51; 29; 14; 64; 11; 79; 80; 28; 47; 96; 58; 50; 59; 15; 60; 88; 0; 97; 98; 19; 67; 13; 75; 87; 2; 74; 27; 48; 45; 95; 5; 81; 86; 71; 12; 92; 33; 3; 72; 99; 46; 34; 89; 8; 73; 20; 56; 16; 66; 41; 37; 85; 38; 36; 52; 30; 22; 53; 62; 17; 32; 39; 78; 1; 21; 63; 91; 24; 55; 93; 49; 31; 23; 40; 35; 25; 54; 18; 57],[[83; 6; 84]; [70; 7; 94]; [82; 26]; [61; 42; 65]; [4; 76; 90]; [43; 44; 77]; [10; 69]; [68; 9]; [51; 29]; [14; 64]; [11; 79; 80]; [28; 47; 96]; [58; 50; 59]; [15; 60]; [88; 0; 97; 98]; [19; 67]; [13; 75; 87]; [2; 74]; [27; 48]; [45; 95]; [5; 81; 86]; [71; 12; 92]; [33]; [3; 72; 99]; [46; 34; 89]; [8; 73]; [20; 56]; [16; 66]; [41; 37; 85]; [38; 36]; [52; 30]; [22; 53]; [62; 17]; [32; 39]; [78; 1]; [21; 63; 91]; [24; 55]; [93; 49; 31]; [23]; [40; 35]; [25; 54]; [18; 57]],[11900; 12000; 8700; 12000; 12000; 11900; 11700; 11900; 11400; 12000; 12000; 12000; 11800; 11900; 11300; 11200; 12000; 12000; 12000; 5200; 12000; 12000; 6400; 12000; 12000; 11400; 12000; 11500; 11900; 11100; 11200; 12000; 11600; 11700; 11700; 11800; 11800; 12000; 7700; 11400; 11700; 11900],3300,3302,0.4378974437713623
14,43,0.8635125968992252,[13; 71; 91; 92; 55; 38; 95; 88; 7; 73; 93; 35; 70; 75; 81; 96; 24; 53; 36; 50; 80; 44; 51; 69; 47; 56; 82; 8; 83; 15; 66; 99; 98; 97; 43; 59; 64; 42; 2; 78; 94; 37; 49; 77; 3; 84; 21; 67; 87; 25; 54; 6; 72; 1; 86; 41; 31; 17; 63; 32; 57; 26; 76; 68; 0; 79; 74; 16; 85; 12; 20; 60; 22; 65; 89; 28; 46; 10; 52; 27; 11; 39; 33; 14; 58; 19; 23; 61; 90; 4; 30; 45; 9; 48; 29; 62; 18; 5; 34; 40],[[13; 71; 91]; [92; 55; 38; 95; 88]; [7; 73; 93]; [35; 70; 75; 81; 96]; [24; 53]; [36; 50; 80]; [44; 51]; [69; 47; 56]; [82; 8; 83]; [15; 66; 99; 98; 97]; [43; 59; 64]; [42]; [2; 78; 94]; [37; 49; 77]; [3; 84]; [21; 67; 87]; [25; 54]; [6; 72]; [1; 86]; [41; 31]; [17; 63]; [32; 57]; [26; 76; 68]; [0; 79]; [74; 16; 85]; [12]; [20; 60]; [22; 65; 89]; [28; 46]; [10]; [52; 27]; [11]; [39; 33]; [14]; [58; 19]; [23; 61; 90]; [4]; [30; 45]; [9]; [48; 29]; [62; 18]; [5]; [34; 40]],[12000; 11500; 12000; 12000; 12000; 11800; 9600; 11500; 12000; 12000; 12000; 5200; 12000; 11700; 10900; 11900; 11700; 11500; 11300; 12000; 11600; 10100; 12000; 11600; 11600; 8900; 11500; 11900; 12000; 9000; 11600; 8900; 11700; 8700; 11800; 12000; 9400; 11700; 9000; 11700; 11600; 9300; 11500],1400,1402,0.1878523826599121
23,42,0.8983019179894178,[56; 20; 37; 39; 84; 27; 48; 42; 40; 82; 99; 41; 35; 95; 10; 68; 96; 5; 91; 79; 0; 75; 38; 55; 22; 63; 89; 9; 71; 93; 26; 52; 13; 78; 33; 44; 2; 86; 30; 64; 80; 3; 77; 50; 47; 70; 72; 11; 6; 29; 67; 85; 92; 81; 7; 88; 90; 97; 34; 46; 19; 60; 94; 61; 16; 98; 53; 23; 1; 43; 74; 66; 87; 12; 69; 4; 73; 8; 49; 36; 83; 14; 15; 65; 51; 28; 32; 45; 24; 54; 17; 58; 31; 62; 76; 18; 57; 25; 21; 59],[[56; 20]; [37; 39; 84]; [27; 48]; [42; 40; 82; 99]; [41; 35; 95]; [10; 68; 96]; [5; 91; 79]; [0; 75]; [38; 55]; [22; 63; 89]; [9; 71; 93]; [26; 52]; [13; 78]; [33; 44]; [2; 86]; [30; 64; 80]; [3; 77]; [50; 47; 70]; [72; 11]; [6]; [29; 67; 85; 92]; [81; 7; 88]; [90; 97; 34; 46]; [19; 60; 94]; [61; 16; 98]; [53; 23]; [1]; [43; 74; 66; 87]; [12; 69]; [4; 73]; [8]; [49; 36; 83]; [14]; [15; 65]; [51; 28]; [32; 45]; [24; 54]; [17; 58]; [31; 62; 76]; [18; 57]; [25]; [21; 59]],[12000; 12000; 12000; 12000; 11600; 12000; 11600; 12000; 9400; 12000; 12000; 11700; 10600; 11500; 11200; 11600; 11300; 11700; 11200; 9200; 12000; 11700; 12000; 12000; 11800; 12000; 10000; 11600; 11600; 11600; 9200; 11800; 8700; 11700; 11600; 11300; 11900; 11900; 12000; 11900; 7500; 11300],2300,2302,0.2994046211242676
7,42,0.8998561507936507,[2; 74; 19; 4; 71; 96; 26; 51; 97; 99; 62; 89; 21; 12; 72; 90; 33; 41; 94; 1; 76; 0; 80; 24; 53; 7; 79; 87; 28; 64; 83; 47; 34; 16; 69; 92; 17; 63; 6; 70; 18; 58; 98; 11; 67; 44; 66; 59; 48; 56; 8; 86; 81; 36; 49; 84; 42; 38; 82; 27; 57; 91; 9; 68; 15; 65; 29; 45; 30; 61; 78; 10; 73; 39; 35; 93; 3; 85; 88; 31; 46; 95; 5; 37; 55; 75; 23; 54; 20; 32; 43; 13; 14; 60; 22; 40; 50; 77; 52; 25],[[2; 74]; [19]; [4; 71; 96]; [26; 51; 97; 99]; [62; 89; 21]; [12; 72; 90]; [33; 41; 94]; [1; 76]; [0; 80]; [24; 53]; [7; 79; 87]; [28; 64; 83]; [47; 34]; [16; 69; 92]; [17; 63]; [6; 70]; [18; 58; 98]; [11; 67]; [44; 66; 59]; [48; 56]; [8; 86; 81]; [36; 49; 84]; [42; 38; 82]; [27; 57; 91]; [9; 68]; [15; 65]; [29; 45]; [30; 61; 78]; [10; 73]; [39; 35; 93]; [3; 85; 88]; [31; 46; 95]; [5]; [37; 55; 75]; [23; 54]; [20]; [32; 43]; [13]; [14]; [60; 22]; [40; 50; 77]; [52; 25]],[12000; 8100; 11900; 12000; 12000; 12000; 12000; 11800; 11500; 12000; 11900; 11800; 11000; 11600; 11600; 11600; 12000; 12000; 12000; 8800; 11900; 11700; 11900; 11600; 11900; 11700; 11800; 12000; 11200; 12000; 12000; 12000; 9300; 11500; 11900; 8000; 11500; 8900; 8700; 11200; 11500; 11900],700,702,0.09373974800109863
