Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
42,42,0.9259862433862432,[74; 72; 90; 66; 0; 48; 58; 87; 22; 86; 78; 42; 73; 76; 6; 89; 95; 21; 80; 83; 5; 64; 32; 44; 25; 37; 70; 24; 91; 34; 4; 69; 18; 81; 3; 59; 28; 36; 50; 17; 13; 63; 1; 61; 12; 93; 77; 9; 55; 51; 14; 16; 53; 45; 82; 62; 29; 33; 39; 27; 65; 84; 43; 68; 85; 40; 54; 11; 79; 8; 60; 2; 99; 20; 94; 98; 88; 67; 30; 19; 75; 97; 31; 38; 15; 56; 10; 52; 46; 92; 71; 41; 23; 47; 96; 49; 35; 26; 7; 57],[[74; 72; 90]; [66; 0]; [48; 58; 87]; [22; 86; 78]; [42; 73; 76]; [6; 89; 95]; [21; 80; 83]; [5; 64]; [32; 44]; [25; 37]; [70; 24; 91]; [34]; [4; 69]; [18; 81]; [3; 59]; [28; 36]; [50; 17]; [13; 63]; [1; 61]; [12; 93; 77]; [9; 55]; [51; 14]; [16; 53]; [45; 82; 62]; [29; 33]; [39; 27]; [65; 84; 43]; [68; 85; 40]; [54; 11]; [79; 8]; [60; 2]; [99; 20; 94; 98]; [88; 67; 30]; [19; 75; 97]; [31; 38]; [15; 56]; [10; 52]; [46; 92; 71]; [41; 23]; [47; 96; 49]; [35; 26]; [7; 57]],[10900; 14500; 14800; 15000; 14700; 14800; 14900; 14200; 14500; 15000; 14800; 7300; 13900; 12300; 14900; 14800; 15000; 13900; 15000; 15000; 14900; 15000; 14700; 14800; 14900; 14900; 14800; 14700; 14900; 13000; 15000; 14700; 14900; 14700; 14700; 14600; 15000; 13100; 15000; 15000; 15000; 15000],4200,4202,0.5212459564208984
25,42,0.9233259259259258,[74; 51; 84; 99; 20; 73; 94; 34; 85; 66; 14; 78; 95; 12; 62; 29; 36; 10; 86; 93; 5; 80; 44; 70; 40; 71; 77; 41; 75; 76; 28; 46; 38; 27; 32; 43; 63; 1; 9; 55; 59; 3; 35; 33; 11; 53; 30; 31; 16; 52; 7; 61; 26; 67; 91; 2; 88; 97; 24; 37; 54; 13; 4; 60; 18; 56; 45; 68; 6; 92; 90; 8; 89; 48; 72; 69; 42; 87; 65; 21; 98; 64; 0; 19; 49; 79; 96; 57; 81; 22; 47; 17; 58; 15; 50; 82; 83; 23; 25; 39],[[74; 51; 84; 99]; [20; 73; 94]; [34; 85; 66]; [14; 78; 95]; [12; 62]; [29; 36]; [10; 86; 93]; [5; 80]; [44; 70]; [40; 71; 77]; [41; 75; 76]; [28; 46]; [38; 27]; [32; 43]; [63; 1]; [9; 55]; [59; 3]; [35; 33]; [11; 53]; [30; 31]; [16; 52]; [7; 61]; [26; 67; 91]; [2; 88; 97]; [24; 37]; [54; 13]; [4; 60]; [18; 56]; [45; 68]; [6; 92; 90]; [8; 89]; [48; 72; 69]; [42; 87; 65]; [21; 98; 64]; [0]; [19; 49]; [79; 96; 57; 81]; [22; 47]; [17; 58]; [15; 50]; [82; 83; 23]; [25; 39]],[14900; 14500; 15000; 14900; 14100; 14800; 14800; 13000; 11200; 14800; 14600; 14200; 14900; 14500; 14600; 14900; 14900; 14600; 14900; 15000; 14800; 14700; 14900; 15000; 15000; 14800; 14800; 14500; 10900; 14900; 12600; 14800; 14800; 15000; 10000; 15000; 14300; 14800; 14400; 15000; 14400; 15000],2500,2502,0.312150239944458
16,43,0.8881478036175711,[11; 94; 82; 35; 36; 50; 54; 83; 37; 26; 44; 72; 87; 30; 61; 92; 66; 80; 64; 95; 27; 38; 15; 52; 7; 60; 29; 47; 51; 41; 99; 0; 76; 46; 21; 22; 78; 89; 28; 73; 77; 23; 63; 43; 67; 81; 39; 34; 13; 68; 19; 55; 8; 70; 16; 56; 20; 48; 31; 32; 14; 58; 9; 88; 93; 5; 85; 96; 24; 40; 12; 97; 79; 98; 74; 4; 62; 17; 91; 57; 6; 1; 65; 75; 49; 25; 45; 2; 53; 18; 90; 42; 84; 33; 71; 86; 3; 59; 10; 69],[[11; 94; 82]; [35; 36]; [50; 54; 83]; [37; 26]; [44; 72; 87]; [30; 61; 92]; [66; 80; 64; 95]; [27; 38]; [15; 52]; [7; 60]; [29; 47]; [51; 41; 99]; [0; 76]; [46; 21]; [22; 78; 89]; [28; 73; 77]; [23; 63]; [43; 67; 81]; [39; 34]; [13; 68]; [19; 55]; [8; 70]; [16; 56]; [20; 48]; [31; 32]; [14; 58]; [9; 88; 93]; [5; 85; 96]; [24; 40]; [12; 97; 79]; [98; 74]; [4; 62]; [17; 91]; [57; 6]; [1; 65]; [75; 49]; [25; 45]; [2]; [53; 18]; [90; 42; 84]; [33; 71; 86]; [3; 59]; [10; 69]],[14800; 14500; 14700; 14900; 14200; 15000; 14700; 14900; 14800; 14800; 14100; 14900; 13700; 14900; 14800; 15000; 12600; 14700; 14500; 13500; 14200; 13800; 14600; 14800; 15000; 14500; 14700; 15000; 15000; 14800; 6000; 14500; 11900; 15000; 14500; 10100; 14400; 9800; 14600; 13200; 14600; 14900; 13600],1600,1602,0.2055652141571045
50,42,0.9278169312169314,[8; 64; 12; 52; 3; 57; 34; 28; 16; 50; 65; 48; 37; 18; 73; 98; 72; 29; 90; 0; 66; 44; 40; 20; 46; 38; 25; 5; 83; 99; 4; 58; 47; 85; 32; 30; 77; 41; 67; 75; 24; 80; 33; 26; 9; 53; 27; 81; 74; 23; 42; 15; 69; 43; 95; 79; 92; 17; 76; 94; 70; 78; 35; 54; 71; 59; 11; 56; 36; 39; 31; 62; 93; 22; 82; 84; 7; 60; 19; 88; 86; 14; 55; 13; 51; 21; 49; 10; 68; 6; 87; 96; 45; 63; 91; 89; 2; 97; 61; 1],[[8; 64]; [12; 52]; [3; 57]; [34; 28]; [16; 50]; [65; 48]; [37]; [18; 73; 98]; [72; 29; 90]; [0; 66]; [44; 40]; [20; 46]; [38; 25]; [5; 83; 99]; [4; 58]; [47; 85]; [32; 30]; [77; 41; 67]; [75; 24; 80]; [33; 26]; [9; 53]; [27; 81; 74]; [23; 42]; [15; 69]; [43; 95; 79; 92]; [17; 76; 94]; [70; 78; 35]; [54; 71; 59]; [11; 56]; [36; 39]; [31; 62; 93]; [22; 82; 84]; [7; 60]; [19; 88; 86]; [14; 55]; [13; 51]; [21; 49]; [10; 68]; [6; 87; 96]; [45; 63; 91]; [89; 2; 97]; [61; 1]],[14200; 14900; 15000; 14900; 15000; 11000; 7200; 15000; 14600; 14500; 14200; 15000; 15000; 14800; 14900; 9700; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 13400; 15000; 15000; 15000; 15000; 14800; 14400; 14700; 14800; 14800; 14900; 14700; 15000; 14600; 13600; 14900; 14100; 15000; 15000],5000,5002,0.6109776496887207
33,42,0.9275460317460316,[4; 60; 5; 57; 2; 96; 89; 19; 49; 10; 52; 67; 87; 30; 0; 97; 91; 41; 90; 74; 26; 38; 47; 39; 56; 16; 75; 85; 23; 77; 44; 70; 46; 22; 28; 36; 58; 40; 95; 9; 59; 37; 81; 68; 33; 29; 20; 86; 80; 11; 69; 42; 65; 82; 48; 66; 72; 24; 83; 73; 78; 13; 94; 93; 88; 7; 35; 27; 84; 34; 71; 8; 18; 63; 14; 55; 53; 43; 99; 6; 98; 3; 61; 21; 45; 32; 31; 1; 62; 15; 50; 92; 64; 25; 51; 12; 17; 54; 79; 76],[[4; 60]; [5; 57]; [2; 96; 89]; [19; 49]; [10; 52]; [67; 87; 30]; [0; 97; 91]; [41; 90; 74]; [26; 38]; [47; 39]; [56; 16]; [75; 85; 23]; [77; 44; 70]; [46; 22]; [28; 36]; [58; 40; 95]; [9; 59]; [37; 81; 68]; [33; 29]; [20; 86; 80]; [11; 69]; [42; 65; 82]; [48; 66; 72]; [24; 83; 73]; [78; 13; 94]; [93; 88; 7]; [35; 27]; [84; 34; 71]; [8]; [18; 63]; [14; 55]; [53; 43; 99]; [6; 98]; [3; 61]; [21; 45]; [32; 31]; [1; 62]; [15; 50]; [92; 64; 25]; [51; 12]; [17; 54]; [79; 76]],[14800; 15000; 15000; 15000; 15000; 15000; 15000; 13900; 14900; 13700; 14600; 14900; 14700; 14900; 14800; 14700; 14700; 14800; 14900; 15000; 13600; 15000; 15000; 14900; 14900; 14900; 15000; 14600; 9600; 13700; 14700; 14600; 11700; 14700; 14900; 15000; 14800; 15000; 14800; 15000; 14700; 7100],3300,3302,0.4071624279022217
33,42,0.9260603174603175,[10; 92; 81; 8; 94; 91; 71; 46; 68; 19; 55; 89; 26; 69; 45; 2; 93; 90; 66; 12; 16; 76; 95; 38; 52; 99; 31; 62; 98; 6; 75; 37; 28; 67; 72; 85; 82; 7; 61; 43; 27; 0; 65; 22; 87; 32; 36; 97; 21; 88; 83; 86; 33; 29; 35; 24; 42; 57; 4; 17; 51; 53; 18; 39; 40; 11; 79; 96; 3; 60; 20; 48; 14; 54; 47; 30; 23; 41; 50; 15; 5; 58; 1; 64; 13; 56; 78; 34; 74; 9; 63; 70; 77; 44; 59; 49; 80; 25; 84; 73],[[10; 92; 81]; [8; 94; 91]; [71; 46; 68]; [19; 55]; [89; 26; 69]; [45]; [2; 93; 90]; [66; 12]; [16; 76; 95]; [38; 52; 99]; [31; 62; 98]; [6; 75]; [37; 28]; [67; 72; 85; 82]; [7; 61]; [43; 27]; [0; 65]; [22; 87]; [32; 36]; [97; 21; 88]; [83; 86; 33]; [29; 35]; [24; 42]; [57; 4]; [17; 51]; [53; 18]; [39; 40]; [11; 79; 96]; [3; 60]; [20; 48]; [14; 54]; [47; 30]; [23; 41]; [50; 15]; [5; 58]; [1; 64]; [13; 56]; [78; 34; 74]; [9; 63]; [70; 77; 44]; [59; 49; 80]; [25; 84; 73]],[15000; 14600; 15000; 14200; 15000; 6600; 15000; 13700; 15000; 14900; 14500; 13400; 14800; 15000; 14700; 14700; 14600; 11400; 14700; 13500; 13700; 14900; 14900; 15000; 14900; 14600; 14400; 14900; 14800; 14800; 14800; 14000; 15000; 15000; 14900; 14500; 14700; 14700; 14100; 14700; 15000; 14900],3300,3302,0.40707898139953613
50,42,0.9264433862433861,[45; 22; 66; 82; 72; 87; 56; 14; 38; 26; 86; 63; 91; 69; 16; 68; 3; 59; 37; 65; 88; 15; 50; 19; 74; 5; 75; 28; 34; 81; 98; 9; 21; 76; 89; 6; 90; 94; 46; 32; 24; 47; 31; 30; 18; 52; 41; 29; 36; 27; 0; 92; 96; 2; 61; 33; 84; 71; 70; 35; 79; 78; 10; 99; 67; 42; 77; 43; 23; 11; 54; 8; 62; 40; 25; 83; 85; 55; 39; 97; 64; 48; 1; 73; 12; 51; 17; 53; 4; 58; 20; 49; 13; 60; 7; 57; 93; 95; 80; 44],[[45; 22]; [66; 82; 72; 87]; [56; 14]; [38; 26]; [86; 63; 91; 69]; [16; 68]; [3; 59]; [37; 65; 88]; [15; 50]; [19; 74]; [5; 75]; [28; 34]; [81; 98; 9]; [21; 76; 89]; [6; 90; 94]; [46; 32]; [24; 47]; [31; 30]; [18; 52]; [41; 29]; [36; 27]; [0; 92; 96]; [2; 61]; [33; 84; 71]; [70; 35; 79]; [78; 10; 99]; [67; 42; 77]; [43; 23]; [11; 54]; [8; 62]; [40; 25]; [83; 85; 55]; [39; 97; 64]; [48]; [1; 73]; [12; 51]; [17; 53]; [4; 58]; [20; 49]; [13; 60]; [7; 57]; [93; 95; 80; 44]],[14900; 15000; 14700; 14900; 15000; 13400; 14900; 14800; 15000; 12600; 13400; 14900; 14800; 15000; 14700; 14100; 14300; 15000; 14700; 14700; 14900; 14600; 14900; 14600; 14900; 14800; 15000; 14900; 14900; 14500; 15000; 11900; 14000; 6400; 13800; 15000; 14700; 14900; 14700; 14400; 15000; 14900],5000,5002,0.6029675006866455
61,42,0.9297132275132273,[80; 15; 92; 67; 41; 78; 91; 63; 14; 51; 45; 22; 54; 10; 87; 99; 56; 71; 65; 47; 73; 9; 70; 32; 85; 72; 79; 20; 83; 4; 59; 18; 76; 35; 27; 25; 49; 37; 33; 43; 16; 52; 1; 68; 19; 88; 81; 0; 90; 98; 31; 38; 48; 21; 66; 74; 95; 69; 29; 34; 84; 96; 6; 55; 17; 60; 5; 50; 86; 77; 93; 30; 36; 44; 26; 12; 82; 94; 24; 39; 64; 46; 75; 7; 57; 8; 62; 42; 23; 13; 53; 3; 58; 28; 40; 11; 61; 2; 89; 97],[[80; 15; 92]; [67; 41; 78]; [91; 63]; [14; 51]; [45; 22]; [54; 10]; [87; 99; 56; 71]; [65; 47; 73]; [9; 70]; [32; 85; 72]; [79; 20; 83]; [4; 59]; [18; 76]; [35; 27]; [25; 49]; [37; 33]; [43]; [16; 52]; [1; 68]; [19; 88; 81]; [0; 90; 98]; [31; 38]; [48; 21]; [66; 74; 95; 69]; [29; 34]; [84; 96; 6]; [55; 17]; [60; 5]; [50; 86; 77; 93]; [30; 36]; [44; 26]; [12; 82; 94]; [24; 39]; [64; 46; 75]; [7; 57]; [8; 62]; [42; 23]; [13; 53]; [3; 58]; [28; 40]; [11; 61]; [2; 89; 97]],[14900; 15000; 7500; 15000; 14900; 14900; 14700; 15000; 13600; 14800; 15000; 14900; 12700; 15000; 14100; 14500; 7000; 14800; 14200; 15000; 15000; 14700; 14700; 14900; 14900; 15000; 14600; 14800; 14900; 14700; 14700; 14700; 15000; 15000; 15000; 14500; 15000; 14800; 14900; 14800; 14400; 15000],6100,6102,0.7369897365570068
27,43,0.8900640826873384,[2; 88; 99; 42; 55; 92; 64; 44; 86; 58; 43; 93; 49; 87; 7; 71; 27; 36; 63; 1; 41; 56; 98; 19; 72; 94; 21; 91; 74; 3; 66; 30; 39; 52; 9; 65; 4; 57; 31; 70; 83; 33; 29; 16; 78; 12; 82; 96; 25; 81; 75; 26; 34; 23; 48; 10; 89; 95; 17; 59; 24; 45; 18; 85; 6; 61; 14; 54; 32; 37; 11; 68; 35; 73; 79; 51; 80; 53; 20; 47; 38; 28; 22; 76; 90; 77; 13; 97; 50; 46; 0; 67; 8; 62; 5; 60; 40; 69; 84; 15],[[2; 88; 99]; [42; 55; 92]; [64; 44; 86]; [58; 43; 93]; [49; 87]; [7; 71]; [27; 36]; [63; 1]; [41; 56; 98]; [19; 72; 94]; [21; 91; 74]; [3; 66]; [30; 39]; [52]; [9; 65]; [4; 57]; [31; 70; 83]; [33; 29]; [16; 78]; [12; 82; 96]; [25; 81; 75]; [26; 34]; [23; 48]; [10; 89; 95]; [17; 59]; [24; 45]; [18; 85]; [6; 61]; [14; 54]; [32; 37]; [11; 68]; [35; 73; 79]; [51; 80; 53]; [20; 47]; [38; 28]; [22; 76; 90]; [77; 13; 97]; [50; 46]; [0; 67]; [8; 62]; [5; 60]; [40; 69; 84]; [15]],[14800; 15000; 14800; 14600; 9400; 13700; 14900; 14600; 14700; 15000; 15000; 14100; 14700; 5700; 14000; 15000; 14900; 14900; 12600; 14700; 14900; 15000; 14300; 14500; 14400; 14400; 12200; 14700; 14800; 14700; 13600; 14600; 14800; 14900; 14800; 14900; 14900; 12500; 14400; 14500; 14800; 14700; 9100],2700,2702,0.330672025680542
45,43,0.8929664082687335,[93; 77; 50; 82; 59; 53; 72; 13; 90; 25; 74; 89; 0; 65; 94; 9; 79; 2; 61; 36; 60; 99; 45; 21; 46; 70; 80; 15; 86; 92; 17; 98; 23; 41; 10; 52; 6; 57; 5; 58; 27; 39; 3; 96; 84; 18; 68; 47; 22; 49; 55; 83; 40; 66; 85; 31; 38; 91; 33; 62; 95; 67; 24; 78; 20; 88; 8; 73; 14; 56; 11; 54; 26; 37; 42; 29; 35; 28; 4; 63; 44; 76; 69; 12; 51; 64; 34; 87; 30; 32; 43; 1; 75; 48; 7; 81; 16; 19; 71; 97],[[93; 77; 50; 82]; [59; 53; 72]; [13; 90]; [25; 74; 89]; [0; 65]; [94; 9; 79]; [2; 61]; [36; 60; 99]; [45; 21]; [46; 70; 80]; [15; 86; 92]; [17; 98]; [23; 41]; [10; 52]; [6; 57]; [5; 58]; [27; 39]; [3; 96; 84]; [18; 68]; [47; 22]; [49; 55; 83]; [40; 66; 85]; [31; 38]; [91; 33; 62]; [95; 67; 24]; [78; 20; 88]; [8; 73]; [14; 56]; [11; 54]; [26; 37]; [42; 29]; [35; 28]; [4; 63]; [44; 76; 69]; [12; 51]; [64; 34; 87]; [30; 32]; [43]; [1; 75]; [48]; [7; 81]; [16]; [19; 71; 97]],[15000; 15000; 12100; 14700; 14600; 15000; 14900; 14400; 14900; 14200; 14700; 11200; 15000; 15000; 15000; 14900; 14900; 15000; 13300; 14800; 15000; 14900; 14700; 15000; 14400; 14900; 13500; 14700; 14900; 14900; 14700; 14900; 14300; 15000; 15000; 15000; 15000; 7000; 13700; 6400; 12900; 9100; 15000],4500,4502,0.5543439388275146
33,42,0.9254846560846559,[27; 42; 34; 35; 89; 71; 26; 75; 87; 39; 30; 37; 84; 96; 93; 3; 67; 99; 48; 49; 12; 54; 91; 22; 80; 11; 53; 4; 60; 1; 61; 44; 24; 6; 83; 97; 19; 76; 92; 78; 69; 40; 74; 81; 31; 10; 77; 95; 17; 86; 14; 52; 15; 56; 8; 59; 46; 32; 9; 66; 41; 23; 5; 94; 90; 20; 79; 88; 29; 33; 18; 82; 68; 45; 7; 58; 28; 38; 63; 85; 43; 25; 36; 21; 98; 64; 62; 0; 50; 16; 57; 55; 72; 13; 51; 70; 2; 73; 65; 47],[[27; 42]; [34; 35]; [89; 71; 26]; [75; 87; 39]; [30; 37]; [84; 96; 93]; [3; 67]; [99; 48; 49]; [12; 54]; [91; 22; 80]; [11; 53]; [4; 60]; [1; 61]; [44; 24]; [6; 83; 97]; [19; 76; 92]; [78; 69; 40]; [74; 81; 31]; [10; 77; 95]; [17; 86]; [14; 52]; [15; 56]; [8; 59]; [46; 32]; [9; 66]; [41; 23]; [5; 94; 90]; [20; 79; 88]; [29; 33]; [18; 82]; [68; 45]; [7; 58]; [28; 38]; [63; 85; 43]; [25; 36]; [21; 98; 64]; [62; 0]; [50; 16]; [57; 55; 72]; [13; 51]; [70; 2]; [73; 65; 47]],[14800; 14600; 14800; 14100; 14700; 7700; 14000; 14700; 14800; 14500; 14900; 14800; 15000; 14800; 15000; 14800; 15000; 14700; 15000; 12300; 14900; 14600; 14900; 14100; 13900; 15000; 14700; 14800; 14900; 12300; 10900; 14900; 14800; 14900; 15000; 15000; 14900; 15000; 15000; 15000; 14000; 15000],3300,3302,0.4076828956604004
52,42,0.9303079365079363,[11; 98; 78; 37; 65; 84; 49; 81; 87; 4; 57; 44; 88; 62; 12; 9; 54; 19; 72; 95; 39; 32; 0; 63; 21; 48; 42; 75; 86; 14; 52; 29; 35; 25; 69; 91; 26; 34; 55; 8; 64; 24; 36; 3; 59; 33; 28; 13; 77; 93; 27; 40; 15; 68; 22; 83; 80; 10; 56; 53; 96; 73; 85; 79; 82; 67; 74; 7; 60; 38; 51; 99; 5; 89; 97; 2; 61; 31; 30; 17; 58; 16; 76; 94; 43; 45; 47; 20; 41; 23; 71; 46; 70; 1; 66; 6; 90; 92; 18; 50],[[11; 98; 78]; [37; 65; 84]; [49; 81; 87]; [4; 57]; [44; 88; 62]; [12]; [9; 54]; [19; 72; 95]; [39; 32]; [0; 63]; [21; 48]; [42; 75; 86]; [14; 52]; [29; 35]; [25; 69; 91]; [26; 34]; [55]; [8; 64]; [24; 36]; [3; 59]; [33; 28]; [13; 77; 93]; [27; 40]; [15; 68]; [22; 83; 80]; [10; 56]; [53; 96; 73; 85]; [79; 82; 67; 74]; [7; 60]; [38; 51; 99]; [5; 89; 97]; [2; 61]; [31; 30]; [17; 58]; [16; 76; 94]; [43; 45]; [47; 20]; [41; 23]; [71; 46; 70]; [1; 66]; [6; 90; 92]; [18; 50]],[14900; 15000; 12700; 15000; 14900; 9200; 15000; 15000; 14700; 14700; 14700; 14100; 14900; 14900; 14900; 15000; 5500; 14200; 15000; 14900; 14900; 15000; 14900; 13400; 14900; 14800; 14900; 15000; 14800; 15000; 14800; 14900; 15000; 14400; 15000; 13600; 14900; 15000; 14900; 14400; 14900; 14900],5200,5202,0.6460235118865967
36,41,0.9637452574525746,[74; 50; 94; 88; 42; 25; 8; 85; 98; 37; 34; 19; 89; 81; 45; 20; 24; 41; 17; 77; 92; 13; 82; 26; 40; 73; 36; 75; 10; 57; 23; 66; 93; 49; 21; 2; 61; 7; 58; 4; 59; 11; 78; 96; 32; 80; 72; 46; 62; 83; 69; 0; 22; 87; 79; 1; 65; 64; 48; 76; 15; 56; 52; 14; 5; 84; 97; 43; 51; 95; 3; 63; 28; 39; 60; 53; 71; 91; 90; 16; 9; 54; 86; 99; 12; 55; 18; 68; 47; 70; 35; 29; 44; 31; 33; 30; 67; 6; 38; 27],[[74; 50; 94; 88]; [42; 25]; [8; 85; 98]; [37; 34]; [19; 89; 81]; [45; 20]; [24; 41]; [17; 77; 92]; [13; 82]; [26; 40]; [73; 36; 75]; [10; 57]; [23; 66; 93]; [49; 21]; [2; 61]; [7; 58]; [4; 59]; [11; 78; 96]; [32; 80; 72]; [46; 62; 83]; [69; 0]; [22; 87; 79]; [1; 65]; [64; 48; 76]; [15; 56]; [52; 14]; [5; 84; 97]; [43; 51; 95]; [3; 63]; [28; 39]; [60; 53; 71]; [91; 90; 16]; [9; 54]; [86; 99; 12]; [55; 18]; [68; 47; 70]; [35; 29]; [44; 31]; [33; 30]; [67; 6]; [38; 27]],[15000; 14900; 14900; 14500; 15000; 15000; 14900; 15000; 12500; 14900; 14900; 14700; 14700; 14600; 14900; 14900; 14900; 15000; 15000; 14700; 14300; 14800; 14500; 14700; 14600; 14900; 15000; 15000; 14300; 14800; 14900; 14800; 15000; 14400; 14500; 15000; 14900; 14500; 14800; 14000; 14900],3600,3602,0.44353675842285156
