Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
1,15,0.9118786666666665,[71; 78; 67; 89; 88; 24; 36; 49; 51; 42; 41; 2; 53; 64; 27; 22; 7; 93; 39; 15; 72; 97; 13; 20; 33; 59; 54; 87; 86; 65; 73; 98; 47; 31; 76; 18; 66; 85; 4; 99; 9; 23; 1; 0; 69; 58; 82; 52; 60; 94; 38; 96; 84; 77; 83; 5; 44; 48; 21; 90; 8; 12; 35; 81; 56; 79; 91; 95; 10; 6; 25; 74; 92; 46; 50; 68; 70; 16; 75; 17; 40; 57; 80; 37; 3; 63; 43; 61; 30; 11; 62; 14; 29; 28; 55; 19; 26; 32; 34; 45],[[71; 78; 67; 89; 88; 24; 36; 49; 51]; [42; 41; 2; 53; 64; 27]; [22; 7; 93; 39; 15; 72; 97]; [13; 20; 33; 59; 54; 87; 86]; [65; 73; 98; 47; 31; 76; 18; 66; 85]; [4; 99; 9; 23; 1]; [0; 69; 58; 82; 52; 60; 94; 38; 96]; [84; 77; 83; 5; 44; 48; 21; 90]; [8; 12; 35; 81; 56; 79; 91; 95]; [10; 6; 25; 74; 92; 46]; [50; 68; 70; 16; 75; 17; 40]; [57; 80; 37; 3; 63; 43; 61]; [30; 11; 62; 14; 29]; [28; 55; 19; 26; 32]; [34; 45]],[100000; 99600; 98600; 98500; 99700; 99100; 98900; 99700; 98500; 96000; 99400; 96400; 98600; 94900; 33700],100,102,0.015611648559570312
1,15,0.9160196,[38; 69; 62; 76; 77; 63; 28; 50; 91; 96; 30; 5; 81; 24; 78; 56; 99; 98; 93; 1; 64; 22; 58; 34; 70; 72; 17; 87; 73; 67; 33; 14; 92; 11; 12; 9; 10; 97; 13; 83; 27; 45; 21; 89; 86; 95; 31; 3; 82; 43; 39; 44; 40; 59; 42; 75; 6; 36; 84; 94; 19; 8; 54; 23; 60; 74; 29; 53; 41; 2; 80; 48; 90; 7; 51; 55; 16; 57; 85; 88; 0; 4; 79; 35; 61; 65; 18; 15; 37; 47; 71; 46; 26; 25; 49; 68; 20; 52; 66; 32],[[38; 69; 62; 76; 77; 63; 28; 50; 91; 96]; [30; 5; 81; 24; 78; 56; 99; 98; 93]; [1; 64; 22; 58; 34; 70]; [72; 17; 87; 73; 67; 33; 14; 92]; [11; 12; 9; 10; 97]; [13; 83; 27; 45; 21; 89; 86; 95]; [31; 3; 82; 43; 39; 44]; [40; 59; 42; 75; 6; 36; 84; 94]; [19; 8; 54; 23; 60; 74]; [29; 53; 41; 2; 80; 48; 90]; [7; 51; 55; 16; 57; 85; 88]; [0; 4; 79; 35; 61; 65]; [18; 15; 37; 47; 71; 46]; [26; 25; 49; 68; 20; 52]; [66; 32]],[99900; 99300; 96200; 99300; 99700; 99400; 98500; 99900; 99500; 99900; 95200; 96200; 100000; 99500; 29100],100,102,0.0
1,15,0.9061725333333334,[1; 32; 83; 29; 97; 67; 68; 77; 8; 57; 15; 19; 58; 84; 18; 22; 6; 9; 95; 26; 48; 55; 85; 24; 5; 46; 38; 72; 88; 78; 30; 53; 87; 70; 94; 51; 49; 82; 99; 33; 14; 39; 93; 2; 64; 27; 74; 73; 34; 90; 92; 12; 20; 40; 63; 31; 81; 54; 60; 65; 61; 75; 13; 80; 44; 96; 43; 41; 16; 28; 7; 37; 36; 35; 0; 79; 69; 76; 86; 3; 23; 52; 4; 71; 89; 66; 45; 10; 56; 17; 59; 98; 50; 42; 62; 11; 47; 91; 25; 21],[[1; 32; 83; 29; 97; 67; 68; 77]; [8; 57; 15; 19; 58; 84]; [18; 22; 6; 9; 95]; [26; 48; 55; 85; 24; 5]; [46; 38; 72; 88; 78; 30; 53; 87; 70; 94]; [51; 49; 82; 99; 33; 14; 39; 93]; [2; 64; 27; 74; 73; 34; 90; 92]; [12; 20; 40; 63; 31; 81]; [54; 60; 65; 61; 75; 13; 80; 44; 96]; [43; 41; 16; 28; 7]; [37; 36; 35; 0; 79; 69; 76]; [86; 3; 23; 52; 4; 71]; [89; 66; 45; 10; 56; 17; 59]; [98; 50; 42; 62; 11; 47; 91]; [25; 21]],[99500; 99200; 96100; 98700; 99400; 98600; 98400; 98300; 99900; 98600; 99900; 98400; 100000; 84300; 42300],100,102,0.015603780746459961
1,15,0.9051458666666667,[5; 32; 88; 16; 87; 40; 92; 94; 1; 35; 91; 96; 55; 48; 21; 71; 84; 77; 72; 11; 49; 98; 37; 75; 89; 97; 45; 20; 30; 73; 68; 60; 69; 93; 14; 0; 15; 34; 82; 67; 64; 9; 59; 52; 17; 78; 99; 38; 3; 76; 42; 53; 54; 63; 12; 36; 58; 2; 79; 44; 23; 66; 50; 57; 29; 74; 43; 18; 8; 70; 51; 47; 65; 86; 28; 85; 4; 46; 7; 80; 61; 62; 22; 33; 19; 56; 24; 39; 26; 6; 83; 90; 13; 25; 31; 10; 95; 41; 27; 81],[[5; 32; 88; 16; 87; 40; 92; 94]; [1; 35; 91; 96; 55; 48; 21]; [71; 84; 77; 72; 11; 49; 98; 37; 75; 89]; [97; 45; 20; 30; 73; 68; 60; 69; 93]; [14; 0; 15; 34; 82]; [67; 64; 9; 59; 52; 17; 78; 99]; [38; 3; 76; 42; 53; 54; 63]; [12; 36; 58; 2; 79; 44]; [23; 66; 50; 57; 29; 74; 43]; [18; 8; 70; 51; 47; 65; 86]; [28; 85; 4; 46; 7; 80]; [61; 62; 22; 33; 19; 56]; [24; 39; 26; 6; 83; 90]; [13; 25; 31; 10; 95]; [41; 27; 81]],[98000; 98200; 98800; 99300; 99100; 99900; 99500; 99900; 99800; 99100; 97400; 95300; 92600; 92100; 42600],100,102,0.0
1,15,0.9181764,[42; 83; 60; 35; 76; 31; 95; 85; 86; 84; 97; 14; 21; 22; 19; 69; 98; 4; 41; 40; 44; 2; 99; 51; 52; 46; 18; 8; 81; 93; 7; 33; 82; 1; 59; 72; 96; 53; 68; 39; 34; 25; 50; 87; 94; 55; 54; 56; 5; 79; 29; 66; 20; 23; 63; 80; 45; 89; 26; 6; 57; 0; 77; 13; 88; 28; 24; 70; 78; 32; 43; 74; 10; 67; 11; 71; 9; 92; 91; 58; 47; 62; 75; 12; 37; 49; 65; 73; 15; 38; 17; 90; 48; 3; 30; 61; 27; 16; 64; 36],[[42; 83; 60; 35; 76; 31; 95; 85; 86; 84; 97]; [14; 21; 22; 19; 69; 98]; [4; 41; 40; 44; 2; 99]; [51; 52; 46; 18; 8; 81; 93]; [7; 33; 82; 1; 59; 72; 96]; [53; 68; 39; 34; 25; 50; 87; 94]; [55; 54; 56; 5; 79; 29; 66]; [20; 23; 63; 80; 45; 89; 26]; [6; 57; 0; 77; 13; 88]; [28; 24; 70; 78; 32; 43; 74]; [10; 67; 11; 71; 9; 92; 91]; [58; 47; 62; 75; 12; 37; 49]; [65; 73; 15; 38; 17; 90; 48]; [3; 30; 61; 27; 16]; [64; 36]],[98500; 99600; 99100; 98500; 98700; 98400; 99400; 100000; 98600; 99000; 99000; 98600; 98700; 98900; 26600],100,102,0.0
1,15,0.9006674666666669,[41; 56; 52; 20; 79; 37; 76; 89; 46; 48; 22; 34; 14; 92; 99; 71; 62; 94; 73; 61; 78; 63; 30; 55; 91; 98; 11; 23; 33; 96; 32; 50; 44; 5; 18; 15; 68; 26; 12; 25; 27; 85; 88; 97; 36; 47; 1; 7; 77; 87; 84; 28; 10; 80; 51; 24; 53; 35; 86; 29; 70; 16; 49; 65; 45; 82; 39; 83; 90; 21; 59; 60; 72; 31; 57; 43; 38; 74; 93; 75; 95; 17; 3; 40; 69; 6; 19; 9; 66; 81; 13; 54; 64; 4; 0; 58; 42; 67; 2; 8],[[41; 56; 52; 20; 79; 37; 76; 89]; [46; 48; 22; 34; 14; 92; 99]; [71; 62; 94; 73; 61; 78; 63; 30; 55; 91; 98]; [11; 23; 33; 96; 32; 50]; [44; 5; 18; 15; 68]; [26; 12; 25; 27; 85; 88; 97]; [36; 47; 1; 7; 77; 87; 84]; [28; 10; 80; 51; 24; 53]; [35; 86; 29; 70; 16; 49; 65]; [45; 82; 39; 83; 90; 21; 59; 60; 72]; [31; 57; 43; 38; 74; 93; 75; 95]; [17; 3; 40; 69; 6]; [19; 9; 66; 81; 13; 54]; [64; 4; 0; 58; 42; 67]; [2; 8]],[98300; 97900; 95600; 99900; 95000; 97700; 99900; 99200; 97800; 99900; 84600; 97200; 99900; 98400; 50300],100,102,0.015628814697265625
1,15,0.9094544,[53; 42; 18; 81; 59; 34; 69; 91; 48; 9; 21; 0; 92; 75; 99; 10; 36; 6; 20; 76; 97; 98; 19; 78; 11; 8; 37; 93; 1; 56; 54; 41; 86; 68; 80; 82; 87; 5; 12; 16; 17; 88; 63; 61; 7; 79; 83; 55; 58; 71; 70; 3; 15; 57; 13; 74; 90; 94; 31; 64; 44; 51; 67; 33; 89; 96; 95; 49; 22; 72; 65; 50; 29; 73; 28; 26; 24; 25; 62; 77; 46; 66; 47; 32; 14; 35; 27; 39; 45; 85; 43; 23; 38; 40; 30; 4; 84; 52; 2; 60],[[53; 42; 18; 81; 59; 34; 69; 91]; [48; 9; 21; 0; 92; 75; 99]; [10; 36; 6; 20; 76; 97; 98]; [19; 78; 11; 8; 37; 93]; [1; 56; 54; 41; 86; 68; 80; 82; 87]; [5; 12; 16; 17; 88]; [63; 61; 7; 79; 83; 55; 58; 71; 70]; [3; 15; 57; 13; 74; 90; 94]; [31; 64; 44; 51; 67; 33; 89; 96; 95]; [49; 22; 72; 65; 50; 29; 73]; [28; 26; 24; 25; 62; 77]; [46; 66; 47; 32; 14; 35]; [27; 39; 45; 85; 43; 23]; [38; 40; 30; 4; 84; 52]; [2; 60]],[99800; 99900; 99800; 98200; 99100; 98600; 99300; 99400; 97900; 95600; 99600; 99200; 92600; 95800; 36800],100,102,0.0
1,15,0.9092607999999999,[86; 32; 33; 28; 13; 90; 81; 58; 18; 14; 84; 7; 95; 87; 93; 34; 61; 12; 54; 88; 29; 99; 82; 16; 4; 41; 49; 55; 79; 94; 57; 15; 63; 23; 11; 83; 98; 0; 9; 59; 72; 75; 70; 68; 92; 44; 25; 37; 73; 24; 80; 60; 77; 20; 36; 6; 31; 89; 8; 76; 46; 26; 91; 27; 74; 10; 1; 43; 40; 42; 97; 30; 38; 56; 69; 65; 19; 67; 50; 3; 64; 78; 47; 85; 48; 2; 22; 5; 66; 39; 35; 21; 53; 62; 52; 17; 96; 71; 51; 45],[[86; 32; 33; 28; 13; 90; 81]; [58; 18; 14; 84; 7; 95; 87; 93]; [34; 61; 12; 54; 88; 29; 99; 82]; [16; 4; 41; 49; 55; 79; 94]; [57; 15; 63; 23; 11; 83; 98]; [0; 9; 59; 72; 75; 70; 68; 92]; [44; 25; 37; 73; 24; 80; 60]; [77; 20; 36; 6; 31; 89]; [8; 76; 46; 26; 91; 27; 74]; [10; 1; 43; 40; 42; 97]; [30; 38; 56; 69; 65; 19; 67]; [50; 3; 64; 78; 47; 85; 48]; [2; 22; 5; 66; 39]; [35; 21; 53; 62; 52; 17; 96]; [71; 51; 45]],[98900; 99300; 98900; 100000; 98500; 98700; 99500; 95200; 99400; 99400; 99100; 90700; 97400; 99400; 37200],100,102,0.015697717666625977
1,15,0.8978825333333332,[29; 14; 99; 53; 46; 63; 87; 91; 77; 9; 98; 97; 82; 1; 17; 41; 4; 89; 35; 83; 26; 78; 47; 88; 2; 66; 75; 33; 6; 79; 96; 36; 38; 0; 73; 72; 62; 55; 21; 34; 48; 74; 5; 64; 15; 50; 58; 44; 3; 94; 92; 93; 16; 19; 49; 67; 84; 56; 57; 68; 37; 23; 10; 81; 25; 80; 20; 45; 13; 85; 39; 65; 51; 12; 42; 8; 60; 86; 90; 22; 70; 32; 54; 18; 61; 28; 76; 40; 31; 24; 52; 43; 69; 11; 30; 59; 7; 95; 27; 71],[[29; 14; 99; 53; 46; 63; 87; 91; 77]; [9; 98; 97; 82; 1; 17; 41]; [4; 89; 35; 83; 26; 78; 47; 88]; [2; 66; 75; 33; 6; 79; 96]; [36; 38; 0; 73; 72; 62; 55]; [21; 34; 48; 74; 5; 64]; [15; 50; 58; 44; 3; 94; 92; 93]; [16; 19; 49; 67; 84; 56; 57]; [68; 37; 23; 10; 81; 25]; [80; 20; 45; 13; 85; 39; 65]; [51; 12; 42; 8; 60; 86; 90]; [22; 70; 32; 54; 18; 61]; [28; 76; 40; 31; 24; 52]; [43; 69; 11; 30; 59]; [7; 95; 27; 71]],[98900; 100000; 99800; 96500; 97700; 97800; 98900; 98600; 98500; 98400; 98700; 94100; 97300; 79700; 56700],100,102,0.0
1,15,0.9107393333333333,[96; 67; 75; 86; 57; 32; 18; 80; 87; 85; 95; 22; 9; 61; 33; 46; 64; 44; 29; 34; 20; 56; 83; 92; 97; 52; 41; 8; 47; 55; 65; 66; 59; 82; 62; 49; 26; 19; 79; 99; 45; 94; 4; 78; 39; 27; 81; 77; 98; 31; 53; 63; 12; 0; 91; 23; 2; 5; 16; 88; 7; 17; 58; 1; 72; 84; 40; 76; 42; 11; 54; 14; 35; 73; 30; 71; 6; 60; 89; 90; 51; 3; 13; 43; 70; 69; 15; 68; 21; 74; 37; 36; 38; 50; 28; 10; 24; 93; 48; 25],[[96; 67; 75; 86; 57; 32; 18; 80; 87; 85; 95]; [22; 9; 61; 33; 46; 64]; [44; 29; 34; 20; 56; 83; 92; 97]; [52; 41; 8; 47; 55; 65; 66]; [59; 82; 62; 49; 26; 19; 79; 99]; [45; 94; 4; 78; 39; 27; 81; 77]; [98; 31; 53; 63; 12; 0; 91]; [23; 2; 5; 16; 88]; [7; 17; 58; 1; 72; 84]; [40; 76; 42; 11; 54; 14]; [35; 73; 30; 71; 6; 60; 89; 90]; [51; 3; 13; 43; 70; 69]; [15; 68; 21; 74; 37; 36]; [38; 50; 28; 10; 24; 93]; [48; 25]],[98000; 99900; 100000; 100000; 94100; 99900; 99300; 98800; 99000; 99000; 99100; 95500; 94800; 99000; 35200],100,102,0.015781641006469727
