Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
1,12,0.894199,[95; 78; 37; 82; 13; 33; 72; 45; 81; 31; 59; 68; 56; 11; 83; 8; 14; 6; 75; 61; 52; 71; 51; 80; 93; 28; 88; 30; 36; 42; 60; 43; 41; 24; 15; 96; 40; 69; 94; 32; 38; 87; 46; 67; 62; 54; 1; 76; 86; 20; 22; 99; 26; 90; 49; 48; 27; 7; 64; 79; 98; 25; 5; 0; 17; 77; 63; 3; 84; 4; 70; 44; 10; 39; 47; 89; 12; 23; 57; 16; 55; 73; 2; 66; 34; 65; 53; 35; 91; 85; 50; 9; 19; 97; 29; 74; 21; 18; 92; 58],[[95; 78; 37; 82; 13; 33; 72; 45; 81]; [31; 59; 68; 56; 11; 83; 8; 14]; [6; 75; 61; 52; 71; 51; 80; 93; 28]; [88; 30; 36; 42; 60; 43; 41; 24]; [15; 96; 40; 69; 94; 32; 38; 87; 46]; [67; 62; 54; 1; 76; 86; 20; 22; 99]; [26; 90; 49; 48; 27; 7; 64; 79; 98]; [25; 5; 0; 17; 77; 63; 3; 84]; [4; 70; 44; 10; 39; 47; 89; 12]; [23; 57; 16; 55; 73; 2; 66; 34]; [65; 53; 35; 91; 85; 50; 9; 19; 97]; [29; 74; 21; 18; 92; 58]],[98400; 93300; 99100; 91800; 98900; 100000; 99600; 95000; 93800; 93200; 99300; 67800],100,102,0.015615224838256836
1,12,0.9003165000000001,[8; 83; 9; 20; 7; 39; 18; 81; 52; 0; 69; 27; 72; 64; 34; 95; 87; 4; 49; 31; 99; 48; 84; 46; 30; 32; 62; 43; 45; 86; 76; 26; 80; 79; 23; 21; 19; 15; 53; 74; 22; 56; 38; 3; 50; 71; 90; 13; 65; 66; 96; 42; 94; 61; 68; 89; 40; 41; 17; 77; 37; 6; 16; 58; 35; 44; 14; 54; 59; 63; 1; 12; 5; 92; 91; 67; 97; 75; 33; 98; 36; 60; 82; 24; 57; 28; 85; 55; 51; 78; 29; 11; 88; 25; 70; 2; 73; 47; 10; 93],[[8; 83; 9; 20; 7; 39; 18; 81]; [52; 0; 69; 27; 72; 64; 34; 95; 87]; [4; 49; 31; 99; 48; 84; 46; 30]; [32; 62; 43; 45; 86; 76; 26; 80; 79]; [23; 21; 19; 15; 53; 74; 22; 56]; [38; 3; 50; 71; 90; 13; 65; 66; 96]; [42; 94; 61; 68; 89; 40; 41; 17; 77]; [37; 6; 16; 58; 35; 44; 14; 54]; [59; 63; 1; 12; 5; 92; 91; 67; 97]; [75; 33; 98; 36; 60; 82; 24; 57; 28]; [85; 55; 51; 78; 29; 11; 88; 25; 70]; [2; 73; 47; 10; 93]],[95700; 99400; 90400; 98900; 94900; 100000; 98800; 95800; 99600; 99700; 99900; 57100],100,102,0.0
1,12,0.8935431666666668,[2; 48; 41; 22; 85; 26; 68; 35; 34; 95; 7; 23; 94; 59; 73; 65; 64; 90; 6; 52; 11; 79; 17; 91; 98; 66; 12; 3; 4; 77; 89; 54; 76; 87; 97; 14; 53; 21; 25; 69; 50; 13; 10; 83; 81; 71; 63; 92; 55; 1; 72; 96; 40; 86; 37; 93; 27; 80; 57; 47; 39; 24; 67; 30; 46; 20; 15; 88; 62; 33; 56; 61; 49; 44; 32; 99; 42; 82; 0; 29; 84; 19; 78; 31; 38; 58; 75; 18; 8; 5; 9; 43; 74; 36; 70; 28; 16; 60; 51; 45],[[2; 48; 41; 22; 85; 26; 68; 35]; [34; 95; 7; 23; 94; 59; 73; 65; 64]; [90; 6; 52; 11; 79; 17; 91; 98; 66]; [12; 3; 4; 77; 89; 54; 76; 87; 97]; [14; 53; 21; 25; 69; 50; 13; 10]; [83; 81; 71; 63; 92; 55; 1; 72; 96]; [40; 86; 37; 93; 27; 80; 57; 47; 39]; [24; 67; 30; 46; 20; 15; 88; 62]; [33; 56; 61; 49; 44; 32; 99; 42; 82]; [0; 29; 84; 19; 78; 31; 38; 58]; [75; 18; 8; 5; 9; 43; 74; 36]; [70; 28; 16; 60; 51; 45]],[92900; 98700; 98700; 99600; 95700; 95200; 99600; 92300; 100000; 93000; 95500; 69000],100,102,0.0
1,12,0.8914003333333334,[32; 0; 77; 64; 52; 20; 58; 48; 26; 74; 87; 53; 4; 7; 84; 24; 11; 97; 12; 81; 36; 80; 85; 72; 45; 31; 37; 60; 30; 93; 5; 46; 15; 18; 63; 40; 43; 10; 50; 44; 96; 14; 78; 59; 13; 34; 27; 23; 8; 75; 83; 65; 94; 51; 73; 33; 1; 25; 6; 68; 57; 70; 41; 98; 16; 69; 71; 38; 66; 55; 22; 21; 91; 56; 89; 86; 3; 47; 88; 76; 19; 2; 42; 39; 61; 49; 92; 95; 9; 28; 17; 62; 82; 90; 29; 35; 54; 99; 67; 79],[[32; 0; 77; 64; 52; 20; 58; 48]; [26; 74; 87; 53; 4; 7; 84; 24]; [11; 97; 12; 81; 36; 80; 85; 72; 45]; [31; 37; 60; 30; 93; 5; 46; 15]; [18; 63; 40; 43; 10; 50; 44; 96]; [14; 78; 59; 13; 34; 27; 23; 8]; [75; 83; 65; 94; 51; 73; 33; 1; 25]; [6; 68; 57; 70; 41; 98; 16; 69; 71]; [38; 66; 55; 22; 21; 91; 56; 89; 86]; [3; 47; 88; 76; 19; 2; 42; 39]; [61; 49; 92; 95; 9; 28; 17; 62; 82]; [90; 29; 35; 54; 99; 67; 79]],[92500; 91700; 98900; 93400; 91700; 95800; 99300; 99800; 98900; 93700; 99600; 74900],100,102,0.015665531158447266
1,12,0.8955083333333334,[54; 77; 71; 58; 92; 25; 80; 21; 32; 57; 48; 66; 39; 14; 30; 95; 78; 72; 83; 79; 81; 9; 62; 20; 93; 55; 60; 34; 3; 5; 31; 11; 22; 1; 43; 2; 96; 4; 15; 91; 8; 35; 0; 7; 89; 17; 69; 82; 84; 26; 27; 98; 13; 97; 53; 28; 12; 29; 99; 10; 41; 76; 23; 64; 94; 38; 59; 90; 47; 24; 56; 75; 42; 19; 68; 16; 40; 87; 85; 18; 50; 61; 67; 37; 70; 33; 65; 52; 73; 51; 6; 46; 49; 86; 45; 63; 36; 44; 88; 74],[[54; 77; 71; 58; 92; 25; 80; 21; 32]; [57; 48; 66; 39; 14; 30; 95; 78; 72]; [83; 79; 81; 9; 62; 20; 93; 55; 60]; [34; 3; 5; 31; 11; 22; 1; 43]; [2; 96; 4; 15; 91; 8; 35; 0]; [7; 89; 17; 69; 82; 84; 26; 27; 98]; [13; 97; 53; 28; 12; 29; 99; 10]; [41; 76; 23; 64; 94; 38; 59; 90; 47]; [24; 56; 75; 42; 19; 68; 16; 40]; [87; 85; 18; 50; 61; 67; 37; 70; 33]; [65; 52; 73; 51; 6; 46; 49; 86]; [45; 63; 36; 44; 88; 74]],[99400; 99900; 98400; 99600; 95500; 99200; 91600; 98500; 93000; 99800; 89400; 65900],100,102,0.0
1,12,0.8912268333333335,[54; 30; 16; 91; 38; 25; 18; 23; 22; 8; 13; 67; 40; 1; 49; 90; 89; 3; 94; 50; 77; 21; 62; 84; 43; 37; 24; 53; 34; 7; 19; 0; 55; 71; 4; 85; 99; 11; 83; 70; 68; 63; 97; 79; 66; 42; 96; 20; 76; 73; 87; 10; 28; 93; 29; 52; 98; 95; 88; 61; 33; 15; 48; 35; 44; 2; 51; 17; 78; 69; 65; 12; 45; 82; 59; 26; 75; 6; 58; 56; 27; 57; 5; 39; 31; 36; 74; 46; 9; 32; 86; 14; 41; 60; 72; 80; 64; 81; 92; 47],[[54; 30; 16; 91; 38; 25; 18; 23]; [22; 8; 13; 67; 40; 1; 49; 90]; [89; 3; 94; 50; 77; 21; 62; 84; 43]; [37; 24; 53; 34; 7; 19; 0; 55]; [71; 4; 85; 99; 11; 83; 70; 68; 63]; [97; 79; 66; 42; 96; 20; 76; 73; 87]; [10; 28; 93; 29; 52; 98; 95; 88; 61]; [33; 15; 48; 35; 44; 2; 51; 17]; [78; 69; 65; 12; 45; 82; 59; 26; 75]; [6; 58; 56; 27; 57; 5; 39; 31]; [36; 74; 46; 9; 32; 86; 14; 41]; [60; 72; 80; 64; 81; 92; 47]],[93800; 94700; 98800; 96900; 97400; 94400; 96600; 96300; 99600; 95100; 92900; 73700],100,102,0.015621185302734375
1,12,0.8894655,[41; 43; 78; 20; 27; 51; 0; 65; 57; 49; 50; 53; 42; 73; 35; 61; 87; 79; 32; 52; 66; 92; 72; 71; 70; 22; 39; 34; 86; 23; 88; 29; 55; 64; 99; 30; 68; 82; 13; 97; 3; 8; 19; 69; 44; 10; 67; 24; 46; 58; 77; 31; 5; 38; 18; 15; 48; 63; 9; 11; 21; 90; 94; 96; 75; 84; 91; 81; 83; 2; 25; 89; 80; 54; 7; 17; 60; 85; 36; 28; 33; 4; 95; 98; 47; 6; 59; 14; 26; 76; 45; 40; 62; 74; 37; 56; 12; 1; 16; 93],[[41; 43; 78; 20; 27; 51; 0; 65]; [57; 49; 50; 53; 42; 73; 35; 61; 87]; [79; 32; 52; 66; 92; 72; 71; 70; 22]; [39; 34; 86; 23; 88; 29; 55; 64; 99]; [30; 68; 82; 13; 97; 3; 8; 19]; [69; 44; 10; 67; 24; 46; 58; 77]; [31; 5; 38; 18; 15; 48; 63; 9]; [11; 21; 90; 94; 96; 75; 84; 91; 81]; [83; 2; 25; 89; 80; 54; 7; 17]; [60; 85; 36; 28; 33; 4; 95; 98; 47]; [6; 59; 14; 26; 76; 45; 40; 62]; [74; 37; 56; 12; 1; 16; 93]],[93300; 99900; 97700; 98600; 93100; 91000; 97100; 93600; 91800; 99600; 93300; 81200],100,102,0.0
1,12,0.8961471666666666,[38; 12; 24; 51; 45; 0; 55; 60; 19; 88; 77; 79; 78; 91; 89; 99; 97; 98; 14; 43; 41; 69; 36; 37; 68; 58; 15; 52; 1; 16; 59; 4; 9; 34; 30; 63; 82; 70; 35; 6; 5; 17; 47; 10; 28; 56; 90; 71; 49; 72; 95; 66; 13; 57; 62; 27; 3; 8; 46; 85; 94; 39; 54; 20; 81; 53; 26; 76; 23; 11; 25; 32; 31; 21; 75; 2; 73; 48; 93; 29; 61; 7; 92; 86; 18; 80; 50; 65; 64; 67; 42; 44; 22; 87; 83; 40; 84; 74; 96; 33],[[38; 12; 24; 51; 45; 0; 55; 60]; [19; 88; 77; 79; 78; 91; 89; 99; 97; 98]; [14; 43; 41; 69; 36; 37; 68; 58]; [15; 52; 1; 16; 59; 4; 9; 34]; [30; 63; 82; 70; 35; 6; 5; 17]; [47; 10; 28; 56; 90; 71; 49; 72; 95]; [66; 13; 57; 62; 27; 3; 8; 46]; [85; 94; 39; 54; 20; 81; 53; 26; 76]; [23; 11; 25; 32; 31; 21; 75; 2]; [73; 48; 93; 29; 61; 7; 92; 86; 18]; [80; 50; 65; 64; 67; 42; 44; 22; 87]; [83; 40; 84; 74; 96; 33]],[94900; 99900; 91900; 98500; 93900; 99000; 94900; 98500; 96700; 98900; 99500; 63600],100,102,0.0
1,12,0.8947655000000001,[32; 27; 30; 63; 72; 65; 53; 23; 90; 49; 1; 96; 17; 83; 68; 48; 42; 31; 78; 5; 56; 97; 66; 52; 24; 84; 22; 88; 54; 51; 25; 73; 82; 15; 85; 70; 19; 37; 28; 40; 79; 12; 89; 6; 7; 33; 26; 8; 57; 10; 46; 36; 44; 76; 50; 4; 93; 98; 21; 99; 69; 9; 75; 16; 43; 14; 38; 67; 11; 86; 64; 58; 34; 71; 3; 81; 91; 61; 2; 95; 39; 87; 94; 60; 47; 59; 92; 62; 20; 55; 0; 13; 29; 41; 45; 35; 74; 18; 77; 80],[[32; 27; 30; 63; 72; 65; 53; 23]; [90; 49; 1; 96; 17; 83; 68; 48; 42]; [31; 78; 5; 56; 97; 66; 52; 24; 84]; [22; 88; 54; 51; 25; 73; 82; 15; 85]; [70; 19; 37; 28; 40; 79; 12; 89]; [6; 7; 33; 26; 8; 57; 10; 46]; [36; 44; 76; 50; 4; 93; 98; 21; 99]; [69; 9; 75; 16; 43; 14; 38; 67]; [11; 86; 64; 58; 34; 71; 3; 81; 91]; [61; 2; 95; 39; 87; 94; 60; 47; 59]; [92; 62; 20; 55; 0; 13; 29; 41]; [45; 35; 74; 18; 77; 80]],[91500; 99800; 100000; 99900; 91500; 98000; 98000; 93400; 99700; 97900; 93500; 67000],100,102,0.0
1,12,0.8943234999999999,[44; 43; 18; 95; 71; 2; 49; 34; 80; 36; 74; 17; 96; 81; 13; 33; 79; 61; 75; 60; 10; 0; 23; 1; 14; 57; 27; 12; 16; 69; 47; 53; 11; 56; 78; 73; 26; 3; 92; 5; 94; 55; 41; 83; 6; 25; 38; 22; 77; 29; 19; 20; 58; 98; 67; 54; 48; 63; 91; 46; 51; 9; 42; 45; 59; 72; 84; 31; 39; 68; 65; 15; 66; 62; 76; 99; 40; 82; 64; 30; 32; 85; 8; 87; 93; 7; 90; 88; 89; 52; 4; 21; 97; 37; 28; 35; 50; 86; 70; 24],[[44; 43; 18; 95; 71; 2; 49; 34]; [80; 36; 74; 17; 96; 81; 13; 33; 79]; [61; 75; 60; 10; 0; 23; 1; 14]; [57; 27; 12; 16; 69; 47; 53; 11]; [56; 78; 73; 26; 3; 92; 5; 94; 55]; [41; 83; 6; 25; 38; 22; 77; 29]; [19; 20; 58; 98; 67; 54; 48; 63; 91]; [46; 51; 9; 42; 45; 59; 72; 84]; [31; 39; 68; 65; 15; 66; 62; 76; 99]; [40; 82; 64; 30; 32; 85; 8; 87; 93]; [7; 90; 88; 89; 52; 4; 21; 97; 37]; [28; 35; 50; 86; 70; 24]],[91900; 99400; 96400; 94400; 99800; 93200; 98800; 90600; 99000; 99000; 99800; 67900],100,102,0.0
