Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
39,21,0.9161025361904761,[1; 18; 37; 3; 26; 5; 2; 59; 49; 23; 9; 29; 54; 43; 11; 53; 28; 41; 48; 56; 31; 39; 24; 33; 34; 35; 27; 10; 0; 30; 19; 8; 45; 20; 46; 57; 15; 36; 40; 47; 17; 16; 14; 13; 21; 51; 50; 4; 38; 6; 52; 32; 58; 7; 55; 12; 44; 42; 25; 22],[[1; 18; 37]; [3; 26; 5]; [2; 59; 49]; [23; 9; 29]; [54; 43; 11]; [53; 28; 41]; [48; 56; 31]; [39; 24]; [33; 34; 35]; [27; 10]; [0; 30; 19]; [8; 45; 20]; [46; 57; 15]; [36; 40]; [47; 17; 16]; [14; 13; 21]; [51; 50; 4]; [38; 6; 52]; [32; 58; 7]; [55; 12; 44]; [42; 25; 22]],[9690; 9950; 9990; 9960; 9900; 8280; 9970; 9920; 10000; 7170; 9940; 9990; 9929; 6550; 9908; 10000; 9790; 9989; 9080; 9990; 10000],2340,2342,0.07810807228088379
21,22,0.8555281199999999,[39; 24; 22; 18; 37; 3; 11; 23; 31; 9; 55; 56; 5; 38; 6; 52; 53; 58; 54; 19; 33; 7; 4; 44; 1; 42; 12; 47; 0; 35; 29; 26; 27; 14; 43; 41; 48; 32; 34; 10; 21; 16; 17; 57; 15; 25; 20; 8; 2; 59; 13; 51; 40; 30; 45; 50; 36; 49; 46; 28],[[39; 24]; [22; 18; 37]; [3; 11; 23]; [31; 9; 55]; [56; 5; 38]; [6; 52; 53]; [58; 54; 19]; [33; 7; 4]; [44; 1]; [42; 12]; [47; 0; 35]; [29; 26]; [27; 14; 43]; [41; 48; 32]; [34; 10; 21]; [16; 17]; [57; 15; 25]; [20; 8; 2]; [59; 13; 51]; [40; 30; 45]; [50; 36; 49]; [46; 28]],[9920; 9710; 9890; 9980; 9909; 9800; 9930; 9920; 5180; 9470; 9949; 5410; 9970; 10000; 9700; 6329; 9879; 9970; 9990; 10000; 9980; 5110],1260,1262,0.04684162139892578
23,22,0.8452821836363635,[45; 29; 59; 12; 7; 10; 56; 25; 8; 39; 24; 18; 34; 35; 42; 1; 57; 43; 30; 32; 2; 20; 40; 58; 21; 15; 6; 38; 46; 54; 41; 53; 48; 47; 14; 9; 19; 23; 4; 27; 52; 55; 11; 17; 50; 44; 13; 33; 26; 28; 0; 16; 37; 36; 49; 51; 31; 22; 5; 3],[[45; 29; 59]; [12; 7; 10]; [56; 25; 8]; [39; 24]; [18; 34; 35]; [42; 1]; [57; 43; 30]; [32; 2; 20]; [40; 58]; [21; 15]; [6; 38; 46]; [54; 41; 53]; [48; 47]; [14; 9; 19]; [23; 4]; [27; 52; 55]; [11; 17; 50]; [44; 13; 33]; [26; 28; 0]; [16; 37; 36]; [49; 51; 31]; [22; 5; 3]],[10000; 9790; 8930; 9920; 9900; 7450; 9849; 9970; 5530; 8260; 9959; 9980; 7649; 9800; 5410; 10000; 9839; 9860; 8680; 9270; 9950; 10000],1380,1382,0.04102373123168945
27,22,0.8511347672727273,[0; 59; 58; 32; 35; 2; 25; 47; 57; 23; 22; 27; 33; 11; 36; 44; 31; 37; 21; 55; 52; 38; 49; 17; 6; 9; 7; 54; 20; 41; 28; 39; 18; 40; 30; 1; 43; 24; 13; 51; 56; 14; 29; 26; 12; 3; 19; 8; 48; 16; 4; 42; 46; 34; 5; 45; 10; 50; 53; 15],[[0; 59; 58]; [32; 35; 2]; [25; 47; 57]; [23; 22]; [27; 33]; [11; 36; 44]; [31; 37]; [21; 55; 52]; [38; 49; 17]; [6; 9]; [7; 54; 20]; [41; 28]; [39; 18]; [40; 30; 1]; [43; 24; 13]; [51; 56; 14]; [29; 26; 12]; [3; 19; 8]; [48; 16; 4]; [42; 46; 34]; [5; 45; 10]; [50; 53; 15]],[9930; 10000; 9788; 5410; 9300; 9820; 5440; 9990; 9938; 8220; 9590; 5040; 9590; 8730; 9990; 9990; 10000; 10000; 9360; 10000; 9910; 9960],1620,1622,0.04692959785461426
18,22,0.8457638745454545,[49; 21; 43; 56; 14; 6; 5; 16; 57; 22; 4; 12; 51; 11; 46; 59; 23; 2; 34; 31; 18; 29; 25; 1; 54; 26; 9; 32; 10; 42; 37; 15; 13; 45; 40; 48; 39; 58; 50; 3; 20; 0; 38; 52; 27; 35; 19; 33; 44; 8; 7; 30; 36; 17; 28; 24; 41; 53; 47; 55],[[49; 21; 43]; [56; 14; 6]; [5; 16; 57]; [22; 4; 12]; [51; 11; 46]; [59; 23; 2]; [34; 31]; [18; 29; 25]; [1; 54; 26]; [9; 32]; [10; 42; 37]; [15; 13]; [45; 40]; [48; 39]; [58; 50; 3]; [20; 0; 38]; [52; 27; 35]; [19; 33; 44]; [8; 7; 30]; [36; 17]; [28; 24; 41]; [53; 47; 55]],[9980; 9790; 9879; 9770; 9890; 9930; 5460; 10000; 9340; 7690; 9970; 6220; 6340; 9060; 9990; 9769; 9970; 9980; 9710; 7679; 9970; 9609],1080,1082,0.031278133392333984
39,22,0.8630060199999998,[55; 33; 41; 17; 0; 20; 6; 38; 44; 45; 28; 31; 53; 43; 51; 56; 46; 9; 34; 16; 12; 1; 35; 18; 40; 36; 8; 57; 30; 52; 54; 11; 4; 23; 50; 48; 26; 49; 21; 47; 37; 42; 25; 14; 29; 27; 19; 22; 10; 32; 3; 39; 24; 7; 2; 5; 58; 59; 15; 13],[[55; 33; 41]; [17; 0; 20]; [6; 38; 44]; [45; 28; 31]; [53; 43; 51]; [56; 46; 9]; [34; 16; 12]; [1; 35; 18]; [40; 36; 8]; [57; 30; 52]; [54; 11; 4]; [23; 50; 48]; [26; 49]; [21; 47]; [37; 42; 25]; [14; 29]; [27; 19; 22]; [10; 32; 3]; [39; 24]; [7; 2; 5]; [58; 59; 15]; [13]],[10000; 9969; 9989; 9290; 9900; 9830; 9830; 9930; 9970; 9949; 9980; 9940; 5420; 8169; 9930; 5730; 9860; 9900; 9920; 9950; 9990; 2550],2340,2342,0.06248903274536133
28,22,0.8509556109090909,[19; 58; 51; 30; 40; 6; 5; 41; 31; 53; 45; 49; 28; 27; 25; 4; 52; 42; 43; 1; 34; 24; 39; 13; 33; 26; 23; 9; 29; 56; 54; 20; 2; 46; 47; 12; 14; 7; 48; 59; 15; 38; 16; 55; 18; 44; 50; 21; 11; 35; 36; 0; 22; 17; 3; 10; 8; 37; 57; 32],[[19; 58; 51]; [30; 40]; [6; 5; 41]; [31; 53; 45]; [49; 28]; [27; 25; 4]; [52; 42; 43]; [1; 34]; [24; 39]; [13; 33; 26]; [23; 9; 29]; [56; 54; 20]; [2; 46; 47]; [12; 14]; [7; 48; 59]; [15; 38; 16]; [55; 18; 44]; [50; 21]; [11; 35; 36]; [0; 22; 17]; [3; 10; 8]; [37; 57; 32]],[9850; 6160; 9960; 10000; 5410; 9720; 10000; 5110; 9920; 9790; 9960; 9940; 9979; 7450; 9990; 9799; 10000; 7640; 9970; 9829; 9900; 9619],1680,1682,0.04687166213989258
38,22,0.8512806299999998,[48; 59; 10; 5; 30; 55; 57; 47; 19; 8; 34; 23; 3; 52; 38; 39; 42; 2; 0; 13; 43; 7; 24; 37; 26; 54; 49; 20; 12; 4; 36; 18; 25; 21; 29; 27; 35; 44; 32; 56; 45; 28; 17; 58; 1; 9; 51; 50; 46; 53; 31; 15; 22; 16; 33; 6; 14; 11; 40; 41],[[48; 59; 10]; [5; 30; 55]; [57; 47; 19]; [8; 34; 23]; [3; 52; 38]; [39; 42]; [2; 0; 13]; [43; 7]; [24; 37; 26]; [54; 49; 20]; [12; 4]; [36; 18]; [25; 21; 29]; [27; 35; 44]; [32; 56]; [45; 28; 17]; [58; 1; 9]; [51; 50; 46]; [53; 31; 15]; [22; 16; 33]; [6; 14; 11]; [40; 41]],[9930; 9950; 9928; 8780; 9949; 9870; 9980; 5140; 9990; 9840; 7180; 8650; 9990; 9970; 6400; 9999; 9870; 9780; 9830; 9990; 9970; 5010],2280,2282,0.06261754035949707
29,22,0.8513985390909091,[32; 31; 30; 54; 18; 13; 59; 51; 3; 10; 5; 28; 23; 27; 14; 21; 7; 25; 42; 37; 22; 6; 29; 55; 15; 58; 44; 35; 12; 52; 9; 11; 1; 57; 47; 19; 4; 40; 39; 24; 26; 2; 20; 17; 45; 43; 48; 8; 41; 33; 46; 16; 38; 34; 36; 49; 50; 53; 56; 0],[[32; 31; 30]; [54; 18]; [13; 59; 51]; [3; 10; 5]; [28; 23; 27]; [14; 21]; [7; 25]; [42; 37; 22]; [6; 29; 55]; [15; 58; 44]; [35; 12; 52]; [9; 11; 1]; [57; 47; 19]; [4; 40]; [39; 24]; [26; 2; 20]; [17; 45; 43]; [48; 8; 41]; [33; 46; 16]; [38; 34]; [36; 49; 50]; [53; 56; 0]],[10000; 8830; 9990; 9980; 9950; 7450; 5160; 9990; 9610; 9310; 9960; 10000; 9928; 5090; 9920; 9090; 9979; 10000; 9980; 5969; 9980; 9830],1740,1742,0.04681968688964844
56,22,0.8646462290909092,[20; 12; 7; 27; 55; 52; 47; 45; 1; 11; 37; 18; 25; 29; 5; 57; 23; 24; 28; 34; 14; 21; 3; 32; 10; 17; 30; 40; 31; 43; 33; 22; 16; 51; 13; 59; 9; 56; 44; 42; 39; 38; 6; 4; 58; 46; 54; 35; 2; 8; 19; 0; 15; 48; 50; 49; 53; 36; 26; 41],[[20; 12; 7]; [27; 55; 52]; [47; 45; 1]; [11; 37]; [18; 25; 29]; [5; 57; 23]; [24; 28; 34]; [14; 21]; [3; 32; 10]; [17; 30; 40]; [31; 43]; [33; 22; 16]; [51; 13; 59]; [9; 56; 44]; [42; 39]; [38; 6; 4]; [58; 46; 54]; [35; 2; 8]; [19; 0; 15]; [48; 50; 49]; [53; 36; 26]; [41]],[9950; 10000; 9989; 5680; 10000; 9999; 10000; 7450; 9900; 9789; 5430; 9990; 9990; 9860; 9870; 9969; 9840; 10000; 9950; 10000; 9830; 2510],3360,3362,0.12499189376831055
25,22,0.8534478209090907,[54; 16; 35; 15; 52; 30; 36; 58; 31; 47; 53; 11; 57; 17; 44; 12; 55; 13; 45; 59; 10; 27; 21; 37; 14; 33; 19; 7; 29; 32; 0; 18; 46; 23; 50; 51; 25; 9; 49; 3; 5; 1; 41; 20; 42; 4; 28; 43; 8; 48; 34; 26; 24; 39; 2; 22; 56; 6; 38; 40],[[54; 16; 35]; [15; 52; 30]; [36; 58; 31]; [47; 53; 11]; [57; 17; 44]; [12; 55; 13]; [45; 59; 10]; [27; 21]; [37; 14]; [33; 19; 7]; [29; 32; 0]; [18; 46; 23]; [50; 51; 25]; [9; 49]; [3; 5; 1]; [41; 20]; [42; 4; 28]; [43; 8; 48]; [34; 26]; [24; 39]; [2; 22; 56]; [6; 38; 40]],[9690; 9940; 10000; 9979; 9918; 9930; 9700; 9190; 5380; 10000; 9900; 10000; 9730; 7150; 9980; 5240; 10000; 10000; 5080; 9920; 9390; 9879],1500,1502,0.04685568809509277
45,22,0.8625567118181817,[12; 35; 13; 59; 7; 48; 17; 45; 25; 5; 22; 3; 27; 39; 15; 0; 4; 26; 8; 21; 43; 23; 52; 55; 18; 49; 57; 38; 58; 56; 6; 30; 41; 2; 20; 16; 24; 34; 37; 29; 14; 32; 10; 28; 42; 9; 50; 19; 51; 36; 53; 31; 47; 54; 11; 1; 44; 33; 46; 40],[[12; 35; 13]; [59; 7; 48]; [17; 45; 25]; [5; 22; 3]; [27; 39]; [15; 0; 4]; [26; 8]; [21; 43; 23]; [52; 55; 18]; [49; 57; 38]; [58; 56; 6]; [30; 41; 2]; [20; 16]; [24; 34; 37]; [29; 14; 32]; [10; 28; 42]; [9; 50; 19]; [51; 36]; [53; 31; 47]; [54; 11; 1]; [44; 33; 46]; [40]],[9900; 9990; 9999; 10000; 9590; 9870; 5960; 9920; 10000; 9988; 9960; 9990; 5430; 9990; 9150; 9980; 9990; 8200; 9739; 9960; 9890; 2500],2700,2702,0.07811474800109863
36,21,0.9117805933333333,[27; 52; 20; 2; 41; 32; 25; 48; 59; 46; 51; 58; 26; 0; 13; 17; 15; 37; 47; 5; 23; 49; 9; 7; 56; 54; 35; 39; 24; 16; 22; 12; 36; 14; 50; 8; 45; 19; 33; 1; 44; 10; 21; 4; 38; 57; 29; 18; 30; 40; 3; 11; 31; 42; 43; 34; 55; 53; 6; 28],[[27; 52; 20]; [2; 41; 32]; [25; 48; 59]; [46; 51; 58]; [26; 0; 13]; [17; 15; 37]; [47; 5; 23]; [49; 9; 7]; [56; 54; 35]; [39; 24]; [16; 22; 12]; [36; 14; 50]; [8; 45; 19]; [33; 1; 44]; [10; 21; 4]; [38; 57; 29]; [18; 30]; [40; 3; 11]; [31; 42]; [43; 34; 55]; [53; 6; 28]],[9940; 9750; 9890; 9760; 8700; 9819; 9899; 9780; 9970; 9920; 9880; 9960; 9930; 9880; 9750; 9978; 8260; 9570; 7800; 7840; 9720],2160,2162,0.07795906066894531
23,22,0.8515505563636363,[45; 47; 10; 7; 55; 33; 21; 24; 39; 18; 28; 29; 34; 27; 14; 32; 41; 9; 16; 56; 0; 52; 8; 51; 50; 46; 37; 17; 2; 38; 26; 5; 40; 20; 42; 43; 22; 13; 48; 53; 59; 3; 44; 19; 54; 35; 12; 23; 1; 11; 57; 31; 36; 49; 58; 25; 15; 30; 6; 4],[[45; 47; 10]; [7; 55]; [33; 21]; [24; 39]; [18; 28; 29]; [34; 27; 14]; [32; 41]; [9; 16; 56]; [0; 52; 8]; [51; 50; 46]; [37; 17; 2]; [38; 26; 5]; [40; 20]; [42; 43; 22]; [13; 48; 53]; [59; 3; 44]; [19; 54; 35]; [12; 23; 1]; [11; 57; 31]; [36; 49; 58]; [25; 15; 30]; [6; 4]],[9989; 5420; 9290; 9920; 10000; 10000; 5930; 9950; 9640; 9780; 9969; 9469; 5230; 9980; 9860; 9810; 9660; 9980; 9759; 9960; 9860; 6540],1380,1382,0.046816110610961914
34,21,0.917310355238095,[19; 4; 33; 29; 51; 56; 9; 49; 55; 38; 36; 37; 21; 12; 26; 24; 25; 27; 7; 34; 54; 52; 50; 32; 58; 8; 15; 35; 45; 5; 22; 13; 47; 2; 1; 18; 41; 43; 40; 39; 48; 16; 11; 42; 28; 10; 31; 0; 17; 46; 57; 30; 44; 14; 23; 3; 53; 59; 6; 20],[[19; 4; 33]; [29; 51; 56]; [9; 49; 55]; [38; 36; 37]; [21; 12]; [26; 24; 25]; [27; 7; 34]; [54; 52; 50]; [32; 58; 8]; [15; 35]; [45; 5; 22]; [13; 47; 2]; [1; 18; 41]; [43; 40; 39]; [48; 16; 11]; [42; 28; 10]; [31; 0]; [17; 46; 57]; [30; 44; 14]; [23; 3; 53]; [59; 6; 20]],[9960; 10000; 9940; 9999; 9180; 10000; 9770; 9890; 9870; 6430; 9930; 9949; 9680; 10000; 9930; 9980; 6530; 9888; 9130; 9970; 9970],2040,2042,0.062491655349731445
