Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
6,98,19,0.8623518421052632,[0; 9; 54; 11; 10; 77; 38; 43; 59; 70; 84; 79; 56; 88; 52; 78; 2; 1; 5; 6; 15; 34; 24; 29; 33; 25; 57; 75; 45; 67; 66; 58; 4; 16; 3; 20; 23; 60; 96; 85; 69; 17; 53; 48; 12; 21; 18; 7; 30; 49; 40; 50; 35; 73; 98; 62; 63; 71; 8; 26; 27; 94; 22; 46; 32; 55; 47; 51; 68; 83; 74; 28; 89; 14; 99; 42; 44; 97; 95; 39; 72; 81; 64; 65; 19; 61; 87; 31; 93; 86; 37; 41; 92; 36; 13; 91; 90; 82; 80; 76],[[0; 9; 54; 11; 10]; [77; 38; 43; 59; 70; 84]; [79; 56; 88; 52; 78]; [2; 1; 5; 6; 15]; [34; 24; 29; 33; 25]; [57; 75; 45; 67; 66; 58]; [4; 16; 3; 20; 23]; [60; 96; 85; 69; 17; 53]; [48; 12; 21; 18; 7]; [30; 49; 40; 50; 35]; [73; 98; 62; 63; 71; 8]; [26; 27; 94; 22; 46]; [32; 55; 47; 51; 68]; [83; 74; 28; 89; 14; 99]; [42; 44; 97; 95; 39; 72]; [81; 64; 65; 19; 61; 87]; [31; 93; 86; 37; 41; 92]; [36; 13; 91; 90; 82; 80]; [76]],[95100; 99900; 81100; 98200; 91100; 99800; 95700; 99500; 93700; 88200; 99900; 87700; 85400; 99700; 99100; 99800; 99800; 99100; 16100],9806,9807,0.7345249652862549
6,89,19,0.8508278421052631,[55; 49; 78; 92; 53; 47; 37; 97; 51; 65; 94; 64; 90; 75; 54; 87; 84; 38; 19; 50; 15; 62; 39; 41; 17; 30; 32; 2; 61; 18; 27; 9; 31; 74; 76; 67; 36; 35; 98; 77; 34; 23; 91; 8; 5; 33; 7; 28; 22; 52; 21; 11; 45; 13; 20; 83; 59; 85; 68; 60; 44; 72; 88; 26; 10; 6; 3; 1; 4; 0; 56; 71; 43; 42; 24; 25; 93; 79; 46; 63; 57; 29; 16; 80; 70; 82; 95; 14; 58; 66; 48; 73; 69; 40; 86; 12; 89; 96; 99; 81],[[55; 49; 78; 92; 53; 47]; [37; 97; 51; 65; 94; 64]; [90; 75; 54; 87; 84; 38]; [19; 50; 15; 62; 39]; [41; 17; 30; 32; 2]; [61; 18; 27; 9; 31]; [74; 76; 67; 36; 35; 98]; [77; 34; 23; 91; 8]; [5; 33; 7; 28; 22]; [52; 21; 11; 45; 13]; [20; 83; 59; 85; 68; 60]; [44; 72; 88; 26; 10]; [6; 3; 1; 4; 0]; [56; 71; 43; 42; 24]; [25; 93; 79; 46; 63; 57]; [29; 16; 80; 70; 82; 95]; [14; 58; 66; 48; 73]; [69; 40; 86; 12; 89; 96]; [99; 81]],[99400; 98100; 97400; 89400; 92700; 91400; 99600; 87100; 94000; 91600; 99700; 86900; 99000; 86600; 100000; 99900; 85900; 99500; 30700],8906,8907,0.668515682220459
2,46,18,0.9244366111111112,[59; 89; 26; 22; 79; 97; 65; 37; 40; 31; 34; 72; 54; 80; 28; 62; 74; 69; 98; 77; 17; 36; 88; 66; 63; 52; 42; 50; 93; 39; 95; 82; 48; 47; 68; 58; 61; 86; 43; 84; 64; 14; 73; 96; 46; 35; 78; 44; 29; 51; 81; 85; 75; 25; 3; 10; 2; 11; 27; 49; 20; 19; 15; 5; 41; 13; 30; 16; 24; 38; 7; 9; 21; 6; 1; 0; 12; 4; 8; 18; 57; 87; 60; 91; 56; 45; 67; 55; 32; 76; 53; 71; 92; 70; 83; 23; 33; 94; 99; 90],[[59; 89; 26; 22; 79; 97]; [65; 37; 40; 31; 34]; [72; 54; 80; 28; 62; 74]; [69; 98; 77; 17; 36; 88]; [66; 63; 52; 42; 50; 93]; [39; 95; 82; 48; 47; 68]; [58; 61; 86; 43; 84; 64]; [14; 73; 96; 46; 35]; [78; 44; 29; 51; 81; 85]; [75; 25; 3; 10; 2]; [11; 27; 49; 20; 19]; [15; 5; 41; 13; 30]; [16; 24; 38; 7; 9]; [21; 6; 1; 0; 12]; [4; 8; 18; 57; 87]; [60; 91; 56; 45; 67; 55]; [32; 76; 53; 71; 92; 70]; [83; 23; 33; 94; 99; 90]],[100000; 88400; 100000; 99600; 99800; 99400; 98600; 85700; 100000; 93500; 92300; 94000; 94300; 97500; 90400; 99200; 98700; 97500],4602,4603,0.34992146492004395
6,77,19,0.8641678421052633,[30; 65; 41; 89; 42; 5; 1; 6; 2; 0; 16; 21; 8; 17; 13; 54; 90; 84; 46; 27; 62; 96; 92; 48; 77; 47; 9; 29; 43; 23; 39; 35; 28; 31; 32; 36; 4; 11; 12; 10; 3; 76; 66; 44; 83; 95; 7; 87; 49; 68; 85; 79; 26; 24; 18; 20; 15; 70; 67; 38; 55; 60; 78; 91; 14; 22; 82; 94; 73; 50; 75; 80; 59; 37; 69; 86; 74; 53; 19; 81; 58; 33; 64; 51; 57; 61; 99; 71; 52; 63; 45; 93; 40; 72; 34; 56; 88; 98; 25; 97],[[30; 65; 41; 89; 42]; [5; 1; 6; 2; 0]; [16; 21; 8; 17; 13]; [54; 90; 84; 46; 27; 62]; [96; 92; 48; 77; 47]; [9; 29; 43; 23; 39]; [35; 28; 31; 32; 36]; [4; 11; 12; 10; 3]; [76; 66; 44; 83; 95]; [7; 87; 49; 68; 85; 79]; [26; 24; 18; 20; 15]; [70; 67; 38; 55; 60; 78]; [91; 14; 22; 82; 94; 73]; [50; 75; 80; 59; 37; 69]; [86; 74; 53; 19; 81; 58]; [33; 64; 51; 57; 61; 99]; [71; 52; 63; 45; 93; 40]; [72; 34; 56; 88; 98; 25]; [97]],[85500; 99000; 95100; 100000; 80800; 91400; 90300; 97700; 80800; 100000; 93600; 99900; 100000; 100000; 100000; 100000; 100000; 99800; 15000],7706,7707,0.5863299369812012
1,29,18,0.9247959444444445,[2; 37; 4; 5; 10; 97; 12; 92; 67; 60; 54; 20; 84; 23; 72; 29; 71; 33; 74; 88; 32; 75; 64; 45; 44; 81; 87; 49; 47; 80; 51; 68; 55; 59; 86; 13; 57; 66; 39; 22; 0; 15; 16; 19; 69; 43; 94; 82; 8; 85; 3; 42; 14; 9; 1; 27; 17; 79; 18; 56; 31; 50; 99; 62; 93; 38; 24; 11; 21; 6; 25; 7; 30; 41; 78; 35; 83; 58; 61; 40; 52; 76; 91; 36; 96; 46; 48; 63; 89; 53; 65; 77; 28; 73; 26; 70; 98; 34; 95; 90],[[2; 37; 4; 5; 10]; [97; 12; 92; 67; 60; 54]; [20; 84; 23; 72; 29]; [71; 33; 74; 88; 32; 75]; [64; 45; 44; 81; 87; 49]; [47; 80; 51; 68; 55; 59]; [86; 13; 57; 66; 39]; [22; 0; 15; 16; 19]; [69; 43; 94; 82; 8; 85]; [3; 42; 14; 9; 1]; [27; 17; 79; 18; 56]; [31; 50; 99; 62; 93; 38]; [24; 11; 21; 6; 25]; [7; 30; 41; 78; 35]; [83; 58; 61; 40; 52; 76]; [91; 36; 96; 46; 48; 63]; [89; 53; 65; 77; 28; 73]; [26; 70; 98; 34; 95; 90]],[96600; 99600; 87200; 99900; 99800; 99900; 85900; 95400; 99600; 95900; 88800; 99800; 94600; 89500; 100000; 99300; 99300; 97800],2901,2902,0.2185685634613037
6,64,19,0.8603520526315789,[76; 42; 63; 25; 87; 91; 60; 56; 31; 47; 80; 94; 13; 6; 71; 53; 27; 26; 32; 14; 54; 24; 37; 19; 43; 44; 50; 99; 69; 97; 40; 78; 35; 22; 51; 0; 8; 21; 41; 23; 39; 15; 1; 98; 89; 62; 46; 85; 11; 12; 10; 7; 9; 38; 5; 17; 75; 18; 34; 64; 48; 84; 49; 2; 86; 66; 61; 73; 59; 29; 96; 74; 95; 82; 20; 16; 58; 30; 4; 33; 70; 92; 3; 88; 45; 93; 67; 68; 55; 77; 57; 72; 81; 79; 28; 36; 65; 90; 83; 52],[[76; 42; 63; 25; 87; 91]; [60; 56; 31; 47; 80; 94]; [13; 6; 71; 53; 27]; [26; 32; 14; 54; 24]; [37; 19; 43; 44; 50]; [99; 69; 97; 40; 78; 35]; [22; 51; 0; 8; 21]; [41; 23; 39; 15; 1]; [98; 89; 62; 46; 85; 11]; [12; 10; 7; 9; 38]; [5; 17; 75; 18; 34]; [64; 48; 84; 49; 2]; [86; 66; 61; 73; 59; 29]; [96; 74; 95; 82; 20; 16]; [58; 30; 4; 33; 70]; [92; 3; 88; 45; 93; 67]; [68; 55; 77; 57; 72; 81]; [79; 28; 36; 65; 90; 83]; [52]],[99400; 99800; 90400; 91100; 88900; 98100; 93500; 93100; 99300; 95600; 91600; 86300; 99900; 99600; 88800; 99200; 97800; 99500; 17000],6406,6407,0.477618932723999
6,77,19,0.8531342631578948,[3; 0; 1; 4; 7; 61; 33; 86; 55; 31; 99; 66; 37; 14; 71; 93; 95; 63; 76; 84; 46; 5; 13; 8; 17; 22; 91; 72; 53; 28; 89; 44; 64; 90; 42; 41; 49; 74; 43; 47; 56; 51; 92; 54; 69; 30; 57; 62; 94; 21; 23; 19; 39; 26; 36; 29; 35; 15; 34; 50; 58; 52; 83; 48; 73; 40; 85; 97; 78; 65; 11; 9; 16; 18; 6; 88; 81; 67; 77; 2; 59; 27; 79; 68; 45; 70; 80; 87; 60; 38; 82; 32; 75; 10; 25; 20; 24; 12; 98; 96],[[3; 0; 1; 4; 7]; [61; 33; 86; 55; 31]; [99; 66; 37; 14; 71; 93]; [95; 63; 76; 84; 46]; [5; 13; 8; 17; 22]; [91; 72; 53; 28; 89; 44]; [64; 90; 42; 41; 49]; [74; 43; 47; 56; 51; 92]; [54; 69; 30; 57; 62; 94]; [21; 23; 19; 39; 26]; [36; 29; 35; 15; 34]; [50; 58; 52; 83; 48; 73]; [40; 85; 97; 78; 65]; [11; 9; 16; 18; 6]; [88; 81; 67; 77; 2; 59]; [27; 79; 68; 45; 70; 80]; [87; 60; 38; 82; 32; 75]; [10; 25; 20; 24; 12]; [98; 96]],[98800; 85200; 100000; 80500; 95800; 99500; 84200; 100000; 100000; 92100; 91300; 100000; 80900; 96400; 99900; 99900; 100000; 94400; 30000],7706,7707,0.5779578685760498
2,67,18,0.9254799444444445,[88; 76; 49; 32; 72; 62; 60; 77; 91; 55; 73; 9; 19; 17; 16; 10; 23; 71; 48; 56; 61; 6; 5; 4; 0; 2; 44; 35; 36; 22; 26; 64; 41; 90; 82; 28; 75; 87; 57; 53; 97; 24; 52; 54; 84; 38; 67; 39; 92; 3; 12; 1; 37; 8; 33; 7; 14; 18; 11; 45; 27; 13; 29; 31; 68; 96; 34; 83; 80; 15; 78; 47; 42; 63; 43; 93; 69; 50; 89; 20; 59; 94; 65; 74; 21; 51; 86; 81; 46; 30; 70; 79; 58; 98; 85; 25; 40; 66; 95; 99],[[88; 76; 49; 32; 72; 62]; [60; 77; 91; 55; 73]; [9; 19; 17; 16; 10]; [23; 71; 48; 56; 61]; [6; 5; 4; 0; 2]; [44; 35; 36; 22; 26]; [64; 41; 90; 82; 28; 75]; [87; 57; 53; 97; 24; 52]; [54; 84; 38; 67; 39; 92]; [3; 12; 1; 37; 8]; [33; 7; 14; 18; 11]; [45; 27; 13; 29; 31]; [68; 96; 34; 83; 80; 15]; [78; 47; 42; 63; 43; 93]; [69; 50; 89; 20; 59; 94]; [65; 74; 21; 51; 86; 81]; [46; 30; 70; 79; 58; 98]; [85; 25; 40; 66; 95; 99]],[99400; 80900; 95500; 85500; 98800; 90500; 99500; 99900; 99800; 96500; 95000; 91200; 99900; 100000; 99300; 99600; 99300; 98300],6702,6703,0.4879117012023926
6,59,19,0.8525343684210527,[54; 39; 37; 53; 63; 46; 51; 90; 83; 36; 57; 21; 71; 94; 48; 47; 31; 93; 81; 75; 50; 23; 30; 29; 9; 27; 70; 80; 88; 43; 22; 66; 0; 15; 24; 20; 8; 16; 5; 32; 61; 18; 84; 28; 42; 91; 97; 26; 67; 55; 52; 98; 13; 86; 74; 62; 82; 56; 79; 17; 68; 6; 33; 14; 78; 44; 58; 45; 60; 85; 4; 25; 3; 2; 1; 11; 7; 40; 19; 10; 38; 95; 77; 34; 64; 69; 35; 41; 87; 76; 49; 89; 65; 59; 12; 73; 72; 96; 92; 99],[[54; 39; 37; 53; 63]; [46; 51; 90; 83; 36; 57]; [21; 71; 94; 48; 47]; [31; 93; 81; 75; 50]; [23; 30; 29; 9; 27]; [70; 80; 88; 43; 22; 66]; [0; 15; 24; 20; 8]; [16; 5; 32; 61; 18]; [84; 28; 42; 91; 97; 26]; [67; 55; 52; 98; 13; 86]; [74; 62; 82; 56; 79]; [17; 68; 6; 33; 14]; [78; 44; 58; 45; 60; 85]; [4; 25; 3; 2; 1]; [11; 7; 40; 19; 10]; [38; 95; 77; 34; 64; 69]; [35; 41; 87; 76; 49; 89]; [65; 59; 12; 73; 72; 96]; [92; 99]],[86300; 100000; 84500; 82100; 92600; 100000; 95600; 92300; 100000; 99900; 81200; 92100; 99900; 97600; 94900; 99700; 100000; 100000; 30200],5906,5907,0.42644309997558594
6,79,19,0.853260894736842,[41; 46; 78; 80; 55; 69; 73; 93; 66; 71; 52; 15; 12; 24; 10; 22; 89; 56; 88; 38; 70; 27; 62; 67; 37; 68; 98; 39; 36; 45; 77; 25; 28; 17; 9; 7; 0; 14; 8; 3; 5; 6; 11; 34; 81; 95; 21; 51; 86; 59; 50; 82; 32; 29; 76; 64; 35; 43; 75; 79; 91; 96; 74; 33; 1; 18; 2; 16; 4; 31; 13; 19; 20; 26; 83; 30; 61; 42; 58; 94; 44; 60; 57; 72; 53; 85; 49; 90; 92; 54; 40; 47; 23; 84; 63; 65; 48; 87; 97; 99],[[41; 46; 78; 80; 55; 69]; [73; 93; 66; 71; 52]; [15; 12; 24; 10; 22]; [89; 56; 88; 38; 70; 27]; [62; 67; 37; 68; 98; 39]; [36; 45; 77; 25; 28]; [17; 9; 7; 0; 14]; [8; 3; 5; 6; 11]; [34; 81; 95; 21; 51; 86]; [59; 50; 82; 32; 29]; [76; 64; 35; 43; 75]; [79; 91; 96; 74; 33]; [1; 18; 2; 16; 4]; [31; 13; 19; 20; 26]; [83; 30; 61; 42; 58; 94]; [44; 60; 57; 72; 53; 85]; [49; 90; 92; 54; 40; 47]; [23; 84; 63; 65; 48; 87]; [97; 99]],[100000; 81000; 95000; 100000; 100000; 88000; 96900; 98000; 99900; 85700; 84200; 80300; 97300; 93200; 100000; 99800; 99600; 100000; 30000],7906,7907,0.5880093574523926
