Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
6,89,19,0.869185105263158,[1; 10; 18; 3; 12; 39; 41; 48; 47; 36; 40; 31; 51; 35; 37; 25; 24; 16; 17; 8; 69; 57; 70; 53; 94; 62; 56; 59; 50; 42; 7; 9; 2; 0; 4; 44; 89; 75; 54; 55; 77; 49; 64; 58; 80; 73; 95; 38; 74; 46; 84; 33; 20; 27; 14; 28; 11; 26; 19; 6; 5; 60; 86; 93; 99; 43; 32; 22; 13; 23; 29; 34; 90; 15; 66; 76; 63; 98; 79; 71; 45; 92; 52; 68; 67; 21; 83; 91; 61; 78; 82; 85; 65; 72; 30; 81; 87; 97; 96; 88],[[1; 10; 18; 3; 12]; [39; 41; 48; 47; 36]; [40; 31; 51; 35; 37]; [25; 24; 16; 17; 8]; [69; 57; 70; 53; 94]; [62; 56; 59; 50; 42]; [7; 9; 2; 0; 4]; [44; 89; 75; 54; 55]; [77; 49; 64; 58; 80]; [73; 95; 38; 74; 46; 84]; [33; 20; 27; 14; 28]; [11; 26; 19; 6; 5]; [60; 86; 93; 99; 43; 32]; [22; 13; 23; 29; 34]; [90; 15; 66; 76; 63; 98]; [79; 71; 45; 92; 52; 68]; [67; 21; 83; 91; 61; 78]; [82; 85; 65; 72; 30; 81]; [87; 97; 96; 88]],[98100; 90000; 91500; 96000; 83300; 87200; 99100; 84700; 84000; 100000; 94900; 97100; 100000; 94900; 99900; 100000; 100000; 100000; 61800],8906,8907,0.6486227512359619
6,105,19,0.8713215263157894,[55; 29; 43; 33; 8; 93; 42; 89; 99; 41; 49; 96; 48; 62; 52; 79; 74; 80; 36; 86; 35; 83; 92; 11; 14; 46; 15; 32; 19; 3; 2; 1; 45; 78; 34; 97; 47; 85; 9; 12; 21; 5; 69; 27; 23; 25; 54; 13; 53; 98; 59; 87; 66; 63; 44; 70; 57; 84; 20; 4; 73; 18; 7; 38; 28; 24; 6; 10; 26; 31; 16; 17; 30; 82; 95; 50; 56; 91; 77; 61; 76; 60; 0; 40; 37; 65; 72; 39; 81; 94; 58; 71; 64; 68; 88; 90; 67; 75; 22; 51],[[55; 29; 43; 33; 8]; [93; 42; 89; 99; 41; 49]; [96; 48; 62; 52; 79; 74]; [80; 36; 86; 35; 83; 92]; [11; 14; 46; 15; 32]; [19; 3; 2; 1; 45]; [78; 34; 97; 47; 85]; [9; 12; 21; 5; 69]; [27; 23; 25; 54; 13]; [53; 98; 59; 87; 66; 63]; [44; 70; 57; 84; 20]; [4; 73; 18; 7; 38]; [28; 24; 6; 10; 26]; [31; 16; 17; 30; 82]; [95; 50; 56; 91; 77; 61]; [76; 60; 0; 40; 37]; [65; 72; 39; 81; 94; 58]; [71; 64; 68; 88; 90; 67]; [75; 22; 51]],[92400; 99700; 99900; 100000; 94900; 96900; 83400; 94400; 93600; 99200; 86900; 93400; 96200; 92100; 98900; 89900; 99900; 97800; 53000],10506,10507,0.7839365005493164
6,97,19,0.8651783684210524,[59; 91; 63; 75; 50; 72; 65; 60; 46; 85; 43; 90; 55; 64; 86; 95; 18; 37; 16; 8; 15; 23; 58; 51; 89; 48; 70; 77; 80; 71; 45; 96; 11; 17; 38; 14; 32; 4; 47; 28; 53; 26; 62; 56; 41; 67; 97; 79; 84; 82; 52; 73; 40; 5; 7; 10; 20; 24; 44; 81; 74; 92; 49; 68; 21; 54; 25; 34; 39; 57; 94; 87; 22; 76; 35; 27; 36; 9; 19; 1; 0; 2; 3; 33; 69; 88; 42; 66; 78; 61; 6; 30; 31; 12; 13; 93; 99; 29; 98; 83],[[59; 91; 63; 75; 50; 72]; [65; 60; 46; 85; 43]; [90; 55; 64; 86; 95; 18]; [37; 16; 8; 15; 23]; [58; 51; 89; 48; 70]; [77; 80; 71; 45; 96]; [11; 17; 38; 14; 32]; [4; 47; 28; 53; 26]; [62; 56; 41; 67; 97]; [79; 84; 82; 52; 73; 40]; [5; 7; 10; 20; 24]; [44; 81; 74; 92; 49; 68]; [21; 54; 25; 34; 39]; [57; 94; 87; 22; 76]; [35; 27; 36; 9; 19]; [1; 0; 2; 3; 33]; [69; 88; 42; 66; 78; 61]; [6; 30; 31; 12; 13]; [93; 99; 29; 98; 83]],[100000; 85600; 100000; 95600; 84900; 81800; 95200; 92800; 84100; 100000; 97200; 100000; 92100; 83700; 94500; 98500; 99900; 96300; 80300],9706,9707,0.725487232208252
6,146,19,0.8699392105263156,[65; 89; 68; 63; 60; 66; 48; 57; 42; 50; 36; 37; 33; 29; 34; 28; 67; 93; 86; 70; 59; 11; 2; 4; 7; 8; 64; 54; 55; 58; 61; 41; 38; 45; 39; 47; 14; 12; 20; 19; 21; 49; 80; 85; 56; 44; 98; 75; 72; 77; 71; 79; 26; 17; 18; 24; 31; 78; 73; 51; 82; 53; 74; 52; 46; 87; 62; 90; 76; 35; 27; 22; 30; 25; 9; 16; 15; 10; 13; 0; 5; 6; 3; 1; 81; 40; 69; 91; 43; 83; 88; 92; 96; 84; 32; 23; 94; 97; 99; 95],[[65; 89; 68; 63; 60; 66]; [48; 57; 42; 50; 36]; [37; 33; 29; 34; 28]; [67; 93; 86; 70; 59]; [11; 2; 4; 7; 8]; [64; 54; 55; 58; 61]; [41; 38; 45; 39; 47]; [14; 12; 20; 19; 21]; [49; 80; 85; 56; 44; 98]; [75; 72; 77; 71; 79]; [26; 17; 18; 24; 31]; [78; 73; 51; 82; 53; 74]; [52; 46; 87; 62; 90; 76]; [35; 27; 22; 30; 25]; [9; 16; 15; 10; 13]; [0; 5; 6; 3; 1]; [81; 40; 69; 91; 43; 83]; [88; 92; 96; 84; 32; 23]; [94; 97; 99; 95]],[99900; 89100; 93300; 81600; 98600; 85900; 90100; 96000; 100000; 81400; 95100; 100000; 100000; 94200; 97300; 99500; 100000; 100000; 60500],14606,14607,1.0903534889221191
6,80,19,0.884589842105263,[9; 6; 3; 4; 0; 97; 39; 92; 17; 74; 88; 46; 49; 61; 80; 93; 78; 85; 83; 42; 99; 28; 72; 40; 75; 59; 87; 86; 8; 14; 12; 7; 15; 18; 19; 23; 13; 16; 10; 5; 11; 2; 1; 31; 29; 21; 38; 35; 41; 52; 55; 77; 57; 90; 51; 91; 54; 47; 76; 53; 73; 62; 69; 79; 71; 43; 64; 66; 94; 89; 48; 58; 81; 67; 84; 68; 50; 60; 63; 34; 36; 44; 30; 27; 24; 26; 20; 25; 37; 33; 32; 22; 45; 56; 82; 65; 70; 95; 98; 96],[[9; 6; 3; 4; 0]; [97; 39; 92; 17; 74; 88]; [46; 49; 61; 80; 93; 78]; [85; 83; 42; 99; 28; 72]; [40; 75; 59; 87; 86]; [8; 14; 12; 7; 15]; [18; 19; 23; 13; 16]; [10; 5; 11; 2; 1]; [31; 29; 21; 38; 35]; [41; 52; 55; 77; 57]; [90; 51; 91; 54; 47; 76]; [53; 73; 62; 69; 79; 71]; [43; 64; 66; 94; 89; 48]; [58; 81; 67; 84; 68; 50]; [60; 63; 34; 36; 44]; [30; 27; 24; 26; 20]; [25; 37; 33; 32; 22]; [45; 56; 82; 65; 70; 95]; [98; 96]],[99100; 100000; 100000; 100000; 83300; 97500; 96000; 98900; 93500; 86600; 100000; 100000; 100000; 100000; 89000; 94800; 93600; 99900; 30300],8006,8007,0.5865917205810547
6,73,19,0.8657041578947368,[0; 4; 1; 19; 8; 63; 66; 86; 75; 95; 15; 27; 24; 32; 13; 54; 91; 53; 77; 80; 52; 69; 94; 84; 88; 18; 23; 11; 20; 16; 14; 7; 12; 5; 21; 43; 30; 29; 39; 31; 85; 61; 76; 87; 36; 67; 60; 47; 89; 99; 59; 55; 65; 72; 98; 68; 50; 44; 57; 46; 58; 96; 73; 41; 78; 74; 45; 56; 82; 92; 64; 83; 35; 28; 26; 33; 25; 17; 22; 37; 40; 42; 38; 9; 3; 2; 6; 10; 51; 71; 70; 90; 48; 81; 49; 34; 62; 79; 93; 97],[[0; 4; 1; 19; 8]; [63; 66; 86; 75; 95]; [15; 27; 24; 32; 13]; [54; 91; 53; 77; 80]; [52; 69; 94; 84; 88]; [18; 23; 11; 20; 16]; [14; 7; 12; 5; 21]; [43; 30; 29; 39; 31]; [85; 61; 76; 87; 36; 67]; [60; 47; 89; 99; 59]; [55; 65; 72; 98; 68]; [50; 44; 57; 46; 58]; [96; 73; 41; 78; 74; 45]; [56; 82; 92; 64; 83; 35]; [28; 26; 33; 25; 17]; [22; 37; 40; 42; 38]; [9; 3; 2; 6; 10]; [51; 71; 70; 90; 48; 81]; [49; 34; 62; 79; 93; 97]],[98500; 80900; 95500; 82500; 81000; 96100; 97300; 92700; 100000; 82700; 82400; 88000; 100000; 100000; 94500; 91700; 98900; 100000; 99800],7306,7307,0.523944616317749
6,76,19,0.8694152105263157,[80; 63; 68; 96; 79; 0; 6; 5; 3; 13; 36; 43; 51; 59; 42; 62; 55; 98; 82; 50; 64; 21; 35; 46; 33; 45; 37; 57; 74; 86; 78; 85; 8; 19; 4; 53; 9; 10; 1; 14; 24; 12; 48; 61; 70; 69; 67; 95; 47; 65; 83; 40; 93; 88; 76; 87; 72; 84; 41; 23; 22; 26; 2; 30; 91; 60; 75; 81; 7; 90; 49; 73; 54; 52; 58; 29; 11; 28; 25; 18; 66; 71; 56; 77; 94; 44; 27; 15; 20; 31; 39; 34; 38; 16; 17; 32; 97; 89; 99; 92],[[80; 63; 68; 96; 79]; [0; 6; 5; 3; 13]; [36; 43; 51; 59; 42]; [62; 55; 98; 82; 50; 64]; [21; 35; 46; 33; 45]; [37; 57; 74; 86; 78; 85]; [8; 19; 4; 53; 9]; [10; 1; 14; 24; 12]; [48; 61; 70; 69; 67; 95]; [47; 65; 83; 40; 93; 88]; [76; 87; 72; 84; 41]; [23; 22; 26; 2; 30]; [91; 60; 75; 81; 7; 90]; [49; 73; 54; 52; 58]; [29; 11; 28; 25; 18]; [66; 71; 56; 77; 94; 44]; [27; 15; 20; 31; 39]; [34; 38; 16; 17; 32]; [97; 89; 99; 92]],[80800; 98900; 89100; 100000; 91800; 99900; 95600; 97400; 99700; 99800; 82400; 95800; 100000; 86300; 95400; 99800; 94400; 94200; 61200],7606,7607,0.559424877166748
6,80,19,0.8955099473684213,[42; 47; 51; 39; 36; 91; 65; 93; 57; 53; 54; 1; 0; 5; 8; 4; 13; 12; 11; 9; 2; 14; 7; 10; 20; 15; 38; 83; 75; 61; 97; 56; 25; 23; 21; 30; 24; 46; 67; 84; 62; 78; 70; 85; 77; 63; 90; 27; 73; 89; 86; 33; 80; 52; 76; 68; 3; 92; 99; 82; 58; 60; 64; 59; 50; 43; 29; 35; 34; 32; 22; 31; 6; 18; 17; 16; 26; 40; 44; 28; 48; 74; 95; 45; 72; 37; 87; 69; 94; 66; 71; 19; 81; 96; 55; 41; 49; 88; 79; 98],[[42; 47; 51; 39; 36]; [91; 65; 93; 57; 53; 54]; [1; 0; 5; 8; 4]; [13; 12; 11; 9; 2]; [14; 7; 10; 20; 15]; [38; 83; 75; 61; 97; 56]; [25; 23; 21; 30; 24]; [46; 67; 84; 62; 78; 70]; [85; 77; 63; 90; 27; 73]; [89; 86; 33; 80; 52; 76]; [68; 3; 92; 99; 82; 58]; [60; 64; 59; 50; 43]; [29; 35; 34; 32; 22]; [31; 6; 18; 17; 16]; [26; 40; 44; 28; 48]; [74; 95; 45; 72; 37; 87]; [69; 94; 66; 71; 19; 81]; [96; 55; 41; 49; 88; 79]; [98]],[89900; 100000; 99200; 97900; 97200; 100000; 94800; 100000; 99900; 100000; 100000; 86800; 93800; 96300; 91600; 100000; 100000; 100000; 15100],8006,8007,0.5938444137573242
6,140,19,0.8758037368421053,[89; 97; 84; 58; 63; 10; 2; 7; 6; 18; 20; 33; 37; 38; 31; 41; 77; 70; 91; 73; 55; 52; 75; 72; 82; 46; 81; 65; 98; 88; 28; 83; 54; 45; 43; 42; 36; 44; 19; 29; 26; 14; 17; 24; 25; 16; 23; 34; 56; 74; 71; 64; 76; 0; 12; 15; 9; 27; 4; 3; 1; 5; 8; 30; 13; 21; 22; 11; 53; 48; 47; 51; 49; 40; 78; 67; 90; 69; 62; 35; 93; 68; 87; 66; 61; 92; 94; 60; 50; 57; 59; 86; 32; 39; 79; 80; 96; 99; 95; 85],[[89; 97; 84; 58; 63]; [10; 2; 7; 6; 18]; [20; 33; 37; 38; 31]; [41; 77; 70; 91; 73; 55]; [52; 75; 72; 82; 46; 81]; [65; 98; 88; 28; 83; 54]; [45; 43; 42; 36; 44]; [19; 29; 26; 14; 17]; [24; 25; 16; 23; 34]; [56; 74; 71; 64; 76]; [0; 12; 15; 9; 27]; [4; 3; 1; 5; 8]; [30; 13; 21; 22; 11]; [53; 48; 47; 51; 49]; [40; 78; 67; 90; 69; 62]; [35; 93; 68; 87; 66; 61]; [92; 94; 60; 50; 57; 59]; [86; 32; 39; 79; 80; 96]; [99; 95; 85]],[80900; 98300; 93100; 100000; 100000; 99900; 90000; 95500; 94800; 83500; 97300; 99100; 95800; 88300; 100000; 99900; 100000; 100000; 46100],14006,14007,1.0409862995147705
6,126,19,0.8819714210526315,[86; 52; 97; 84; 41; 58; 38; 66; 92; 55; 85; 79; 96; 77; 44; 71; 75; 53; 13; 14; 3; 23; 22; 8; 7; 9; 4; 54; 65; 42; 62; 72; 91; 74; 81; 21; 57; 83; 87; 89; 73; 63; 60; 45; 99; 69; 10; 34; 19; 32; 11; 39; 48; 49; 5; 51; 56; 27; 70; 17; 2; 1; 15; 0; 16; 35; 33; 25; 82; 18; 24; 64; 68; 98; 31; 67; 12; 36; 28; 40; 43; 6; 50; 20; 37; 26; 78; 47; 29; 76; 95; 88; 61; 30; 94; 93; 46; 90; 80; 59],[[86; 52; 97; 84; 41; 58]; [38; 66; 92; 55; 85; 79]; [96; 77; 44; 71; 75; 53]; [13; 14; 3; 23; 22]; [8; 7; 9; 4; 54]; [65; 42; 62; 72; 91; 74]; [81; 21; 57; 83; 87; 89]; [73; 63; 60; 45; 99; 69]; [10; 34; 19; 32; 11]; [39; 48; 49; 5; 51]; [56; 27; 70; 17; 2]; [1; 15; 0; 16; 35]; [33; 25; 82; 18; 24]; [64; 68; 98; 31; 67]; [12; 36; 28; 40; 43]; [6; 50; 20; 37; 26]; [78; 47; 29; 76; 95; 88]; [61; 30; 94; 93; 46; 90]; [80; 59]],[99600; 99600; 99600; 96700; 96100; 100000; 99800; 100000; 95600; 91100; 92100; 97200; 91600; 84000; 92800; 93800; 99900; 99800; 33200],12606,12607,0.9194872379302979
