Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
6,33,27,0.7818518518518519,[40; 8; 22; 31; 25; 26; 5; 7; 4; 2; 19; 29; 6; 45; 38; 28; 34; 27; 16; 14; 33; 35; 13; 20; 42; 24; 47; 21; 36; 41; 10; 3; 18; 30; 39; 15; 1; 17; 37; 12; 49; 43; 23; 32; 0; 44; 11; 48; 46; 9],[[40; 8]; [22; 31]; [25; 26]; [5]; [7]; [4]; [2]; [19; 29]; [6; 45]; [38; 28; 34]; [27; 16]; [14; 33]; [35; 13]; [20; 42]; [24; 47]; [21; 36]; [41; 10]; [3]; [18; 30]; [39; 15]; [1]; [17; 37]; [12; 49; 43]; [23; 32]; [0]; [44; 11; 48; 46]; [9]],[9500; 8900; 9300; 8100; 7700; 8200; 9100; 9400; 8900; 8800; 9900; 9500; 9600; 7600; 5800; 8500; 9300; 9000; 9200; 8700; 9400; 8900; 9100; 8500; 9600; 9600; 7500],1656,1657,0.09385061264038086
1,24,26,0.8501923076923076,[45; 33; 21; 16; 2; 6; 41; 8; 1; 29; 17; 12; 4; 42; 14; 36; 25; 26; 22; 10; 37; 39; 43; 20; 46; 3; 44; 23; 31; 35; 11; 7; 28; 19; 49; 47; 30; 18; 0; 48; 9; 38; 13; 32; 24; 40; 34; 5; 27; 15],[[45; 33; 21]; [16]; [2]; [6; 41]; [8]; [1]; [29; 17]; [12]; [4; 42]; [14; 36]; [25; 26]; [22]; [10; 37]; [39; 43; 20]; [46; 3]; [44; 23; 31]; [35; 11]; [7]; [28; 19; 49]; [47; 30; 18]; [0; 48]; [9; 38]; [13; 32]; [24; 40; 34]; [5]; [27; 15]],[9700; 6300; 9100; 9900; 7600; 9400; 9700; 7000; 9900; 9200; 9300; 5700; 10000; 10000; 9900; 9800; 10000; 7700; 10000; 9900; 10000; 9900; 9800; 9800; 8100; 9900],1201,1202,0.06239748001098633
6,31,27,0.793325925925926,[24; 16; 37; 8; 48; 44; 17; 30; 7; 10; 34; 23; 35; 14; 22; 13; 33; 11; 6; 40; 20; 29; 18; 27; 49; 47; 26; 46; 36; 45; 12; 39; 21; 1; 43; 4; 15; 28; 31; 19; 41; 5; 32; 25; 42; 2; 0; 38; 9; 3],[[24]; [16; 37]; [8; 48; 44]; [17; 30]; [7]; [10]; [34; 23]; [35; 14]; [22]; [13; 33]; [11]; [6; 40]; [20; 29]; [18; 27; 49]; [47; 26; 46; 36; 45]; [12; 39]; [21]; [1]; [43; 4]; [15; 28]; [31; 19]; [41; 5]; [32; 25; 42]; [2]; [0]; [38; 9]; [3]],[5100; 8900; 9100; 9500; 7700; 7400; 8300; 9300; 5700; 9800; 7200; 9900; 9300; 10000; 9800; 9400; 5800; 9400; 9900; 9900; 9200; 10000; 9400; 9100; 9600; 9900; 9000],1556,1557,0.09377622604370117
1,5,26,0.8436461538461538,[8; 3; 0; 41; 11; 6; 19; 12; 32; 49; 34; 47; 20; 42; 5; 44; 38; 17; 1; 2; 39; 10; 48; 37; 13; 36; 21; 45; 9; 40; 24; 26; 43; 25; 29; 18; 28; 31; 14; 35; 15; 46; 16; 30; 23; 27; 4; 33; 22; 7],[[8]; [3]; [0]; [41; 11]; [6]; [19]; [12; 32]; [49; 34; 47; 20]; [42; 5]; [44; 38; 17]; [1]; [2]; [39; 10]; [48; 37; 13]; [36; 21; 45]; [9; 40]; [24; 26]; [43; 25; 29]; [18; 28]; [31; 14]; [35; 15; 46]; [16; 30]; [23; 27]; [4]; [33; 22]; [7]],[7600; 9000; 9600; 9100; 8000; 6000; 10000; 9800; 9800; 9800; 9400; 9100; 9800; 9800; 9400; 9400; 9700; 9800; 9600; 9700; 10000; 9500; 9100; 8200; 8700; 7700],251,252,0.015492916107177734
1,18,26,0.8443307692307692,[43; 4; 6; 5; 42; 28; 21; 18; 41; 16; 45; 34; 0; 1; 23; 32; 10; 37; 3; 2; 29; 20; 19; 49; 35; 48; 39; 8; 44; 30; 46; 25; 38; 9; 14; 7; 26; 24; 47; 12; 36; 11; 15; 27; 40; 22; 13; 31; 33; 17],[[43; 4]; [6]; [5; 42]; [28; 21]; [18; 41]; [16; 45; 34]; [0]; [1]; [23; 32]; [10; 37]; [3]; [2]; [29; 20]; [19; 49; 35; 48]; [39; 8]; [44; 30; 46; 25]; [38; 9]; [14]; [7]; [26; 24]; [47; 12]; [36; 11]; [15; 27]; [40; 22]; [13; 31]; [33; 17]],[9900; 8000; 9800; 9400; 7900; 10000; 9600; 9400; 8500; 10000; 9000; 9100; 9300; 9600; 10000; 9900; 9900; 6500; 7700; 9700; 7700; 9900; 9900; 7600; 10000; 9300],901,902,0.04686689376831055
6,36,27,0.7994740740740743,[14; 10; 42; 8; 39; 2; 45; 16; 7; 24; 26; 5; 36; 31; 34; 46; 35; 11; 32; 13; 18; 33; 29; 21; 27; 15; 38; 9; 6; 40; 43; 4; 23; 12; 41; 44; 49; 3; 0; 47; 20; 30; 25; 22; 1; 17; 37; 28; 19; 48],[[14]; [10; 42]; [8; 39]; [2; 45]; [16]; [7]; [24; 26]; [5]; [36; 31; 34; 46]; [35; 11]; [32; 13]; [18; 33]; [29; 21]; [27; 15]; [38; 9]; [6; 40]; [43; 4]; [23]; [12; 41; 44]; [49; 3]; [0]; [47; 20; 30]; [25]; [22]; [1]; [17; 37]; [28; 19; 48]],[6500; 9100; 10000; 10000; 6300; 7700; 9700; 8100; 9600; 10000; 9800; 9000; 9200; 9900; 9900; 9900; 9900; 5500; 10000; 9400; 9600; 9800; 4700; 5700; 9400; 8900; 10000],1806,1807,0.07866191864013672
6,41,27,0.8076592592592592,[47; 7; 44; 48; 3; 6; 5; 41; 31; 15; 1; 43; 23; 36; 40; 2; 18; 37; 10; 39; 0; 12; 35; 32; 13; 20; 46; 30; 42; 4; 45; 26; 8; 29; 17; 11; 34; 49; 19; 27; 16; 28; 24; 25; 33; 14; 21; 38; 22; 9],[[47; 7; 44; 48]; [3]; [6]; [5; 41]; [31; 15]; [1]; [43; 23; 36]; [40]; [2]; [18; 37]; [10; 39]; [0]; [12; 35]; [32; 13]; [20; 46; 30]; [42; 4]; [45; 26]; [8]; [29; 17]; [11; 34]; [49; 19; 27]; [16; 28]; [24; 25]; [33; 14]; [21; 38]; [22]; [9]],[9900; 9000; 8000; 10000; 9500; 9400; 9900; 1900; 9100; 8600; 9800; 9600; 9800; 9800; 10000; 9900; 5500; 7600; 9700; 10000; 10000; 9900; 9800; 9500; 8200; 5700; 7500],2056,2057,0.10943889617919922
6,36,27,0.7997925925925925,[20; 43; 38; 10; 37; 23; 9; 22; 21; 27; 48; 5; 0; 1; 8; 39; 33; 17; 30; 14; 7; 12; 40; 44; 2; 46; 32; 13; 6; 18; 28; 49; 4; 42; 24; 29; 26; 19; 15; 35; 45; 11; 36; 47; 3; 16; 34; 31; 25; 41],[[20; 43; 38]; [10; 37]; [23]; [9]; [22]; [21; 27; 48]; [5]; [0]; [1]; [8; 39]; [33; 17]; [30; 14]; [7]; [12; 40; 44]; [2; 46]; [32; 13]; [6]; [18; 28; 49]; [4; 42]; [24; 29]; [26]; [19]; [15; 35; 45]; [11; 36]; [47; 3]; [16; 34]; [31; 25; 41]],[10000; 10000; 5500; 7500; 5700; 9800; 8100; 9600; 9400; 10000; 9300; 9700; 7700; 10000; 10000; 9800; 8000; 10000; 9900; 8500; 4600; 6000; 10000; 9900; 9700; 9100; 9800],1806,1807,0.0781104564666748
6,35,27,0.7958592592592593,[39; 10; 17; 31; 38; 11; 48; 49; 16; 36; 24; 5; 45; 37; 46; 14; 33; 22; 19; 21; 12; 3; 27; 18; 6; 41; 43; 7; 8; 40; 34; 32; 28; 30; 13; 20; 15; 29; 1; 4; 44; 23; 42; 35; 2; 47; 9; 25; 26; 0],[[39; 10]; [17; 31]; [38; 11; 48]; [49; 16; 36]; [24]; [5; 45]; [37; 46; 14]; [33; 22]; [19]; [21]; [12]; [3]; [27; 18]; [6; 41]; [43; 7]; [8; 40]; [34; 32; 28]; [30; 13]; [20]; [15; 29]; [1]; [4; 44]; [23; 42; 35]; [2; 47]; [9]; [25; 26]; [0]],[9800; 9500; 10000; 9400; 5100; 9000; 10000; 8700; 6000; 5800; 7000; 9000; 9600; 9900; 9400; 9500; 9400; 10000; 5900; 9700; 9400; 9300; 10000; 9800; 7500; 9300; 9600],1756,1757,0.09403419494628906
1,20,26,0.8461615384615384,[16; 28; 13; 32; 6; 10; 2; 48; 8; 22; 40; 39; 37; 12; 0; 25; 24; 3; 20; 27; 7; 9; 38; 33; 26; 49; 41; 46; 44; 11; 29; 21; 19; 35; 43; 4; 18; 30; 45; 36; 17; 47; 34; 14; 23; 1; 15; 31; 42; 5],[[16; 28]; [13; 32]; [6]; [10]; [2; 48]; [8]; [22; 40; 39]; [37; 12]; [0]; [25; 24]; [3]; [20; 27]; [7]; [9; 38]; [33; 26; 49; 41]; [46; 44; 11]; [29; 21]; [19; 35]; [43; 4]; [18; 30]; [45; 36; 17]; [47; 34; 14]; [23]; [1]; [15; 31]; [42; 5]],[9900; 9800; 8000; 7400; 9500; 7600; 10000; 9600; 9600; 9800; 9000; 9500; 7700; 9900; 9900; 9200; 9200; 8800; 9900; 9200; 9900; 10000; 5500; 9400; 9500; 9800],1001,1002,0.046892404556274414
