Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
1,13,38,0.7722184210526313,[19; 49; 24; 4; 25; 15; 8; 12; 14; 39; 30; 22; 3; 18; 5; 13; 27; 2; 11; 6; 0; 31; 41; 35; 44; 33; 40; 17; 34; 48; 42; 29; 20; 38; 32; 9; 37; 36; 46; 45; 10; 21; 16; 1; 43; 28; 26; 47; 23; 7],[[19]; [49; 24]; [4]; [25]; [15]; [8]; [12]; [14]; [39; 30]; [22]; [3]; [18]; [5]; [13]; [27]; [2]; [11]; [6]; [0]; [31; 41]; [35; 44]; [33; 40]; [17]; [34; 48]; [42; 29]; [20]; [38; 32]; [9]; [37; 36]; [46; 45]; [10]; [21]; [16]; [1]; [43; 28]; [26; 47]; [23]; [7]],[7700; 9900; 9500; 6500; 7900; 9300; 8700; 8200; 9900; 6900; 9500; 7700; 9500; 8300; 6400; 9500; 8900; 9400; 10000; 9600; 8800; 9500; 7800; 8600; 9700; 7400; 10000; 9100; 10000; 7400; 9000; 7100; 7900; 9700; 9900; 10000; 6800; 9300],651,652,0.12181544303894043
2,10,38,0.7716026315789474,[49; 24; 6; 27; 22; 16; 40; 45; 17; 36; 41; 14; 18; 15; 3; 11; 10; 2; 31; 46; 23; 25; 47; 34; 38; 29; 43; 21; 5; 4; 37; 35; 7; 0; 1; 26; 19; 9; 12; 33; 44; 30; 48; 20; 28; 42; 39; 32; 8; 13],[[49; 24]; [6]; [27]; [22]; [16]; [40; 45]; [17]; [36; 41]; [14]; [18]; [15]; [3]; [11]; [10]; [2]; [31; 46]; [23]; [25; 47]; [34; 38]; [29; 43]; [21]; [5]; [4]; [37; 35]; [7]; [0]; [1]; [26]; [19]; [9]; [12]; [33; 44]; [30; 48]; [20]; [28; 42]; [39; 32]; [8]; [13]],[9900; 9400; 6400; 6900; 7900; 7900; 7800; 9200; 8200; 7700; 7900; 9500; 8900; 9000; 9500; 9200; 6800; 10000; 9900; 9600; 7100; 9500; 9500; 10000; 9300; 10000; 9700; 6500; 7700; 9100; 8700; 9000; 8800; 7400; 10000; 9800; 9300; 8300],502,503,0.015527725219726562
1,12,38,0.7709710526315788,[16; 0; 3; 20; 5; 11; 4; 1; 12; 10; 31; 44; 13; 36; 39; 7; 45; 32; 29; 41; 18; 9; 46; 33; 38; 37; 27; 47; 14; 23; 22; 49; 6; 15; 35; 42; 17; 25; 24; 26; 43; 28; 34; 48; 21; 30; 40; 2; 8; 19],[[16]; [0]; [3]; [20]; [5]; [11]; [4]; [1]; [12]; [10]; [31; 44]; [13]; [36; 39]; [7]; [45; 32]; [29; 41]; [18]; [9]; [46; 33]; [38; 37]; [27; 47]; [14]; [23]; [22; 49]; [6]; [15]; [35; 42]; [17]; [25]; [24]; [26]; [43; 28]; [34; 48]; [21]; [30; 40]; [2]; [8]; [19]],[7900; 10000; 9500; 7400; 9500; 8900; 9500; 9700; 8700; 9000; 9200; 8300; 9500; 9300; 9100; 9900; 7700; 9100; 9000; 9500; 9900; 8200; 6800; 10000; 9400; 7900; 9000; 7800; 6500; 6800; 6500; 9900; 8600; 7100; 9700; 9500; 9300; 7700],601,602,0.016628265380859375
6,32,39,0.7472179487179487,[25; 15; 9; 10; 16; 19; 23; 43; 28; 4; 45; 18; 11; 21; 46; 3; 30; 39; 14; 17; 6; 49; 22; 20; 0; 32; 41; 38; 36; 33; 29; 44; 24; 42; 31; 2; 7; 34; 40; 1; 12; 48; 26; 27; 47; 5; 35; 37; 8; 13],[[25]; [15]; [9]; [10]; [16]; [19]; [23]; [43; 28]; [4]; [45]; [18]; [11]; [21]; [46]; [3]; [30; 39]; [14]; [17]; [6]; [49; 22]; [20]; [0]; [32; 41]; [38; 36]; [33]; [29; 44]; [24]; [42; 31]; [2]; [7]; [34; 40]; [1]; [12]; [48; 26]; [27; 47]; [5]; [35; 37]; [8]; [13]],[6500; 7900; 9100; 9000; 7900; 7700; 6800; 9900; 9500; 3700; 7700; 8900; 7100; 3700; 9500; 9900; 8200; 7800; 9400; 10000; 7400; 10000; 9500; 9700; 5300; 9500; 6800; 9400; 9500; 9300; 9500; 9700; 8700; 9800; 9900; 9500; 10000; 9300; 8300],1606,1607,0.07842040061950684
1,11,38,0.7754236842105261,[11; 3; 1; 44; 30; 0; 10; 27; 48; 14; 13; 16; 42; 28; 12; 22; 49; 15; 40; 32; 35; 37; 2; 25; 38; 33; 46; 36; 26; 47; 4; 24; 6; 29; 41; 21; 9; 8; 7; 23; 39; 17; 19; 20; 31; 43; 5; 34; 45; 18],[[11]; [3]; [1]; [44; 30]; [0]; [10]; [27; 48]; [14]; [13]; [16]; [42; 28]; [12]; [22; 49]; [15]; [40; 32]; [35; 37]; [2]; [25]; [38; 33]; [46; 36]; [26; 47]; [4]; [24]; [6]; [29; 41]; [21]; [9]; [8]; [7]; [23]; [39]; [17]; [19]; [20]; [31; 43]; [5]; [34; 45]; [18]],[8900; 9500; 9700; 9200; 10000; 9000; 9700; 8200; 8300; 7900; 10000; 8700; 10000; 7900; 9600; 10000; 9500; 6500; 9900; 8800; 10000; 9500; 6800; 9400; 9900; 7100; 9100; 9300; 9300; 6800; 4400; 7800; 7700; 7400; 9300; 9500; 9000; 7700],551,552,0.04680180549621582
1,16,38,0.7724447368421052,[15; 16; 2; 20; 40; 30; 28; 45; 39; 31; 26; 14; 47; 25; 37; 36; 8; 19; 9; 29; 41; 18; 12; 46; 34; 27; 1; 3; 4; 0; 49; 23; 21; 17; 24; 42; 32; 43; 33; 22; 44; 48; 11; 5; 13; 10; 38; 35; 6; 7],[[15]; [16]; [2]; [20]; [40; 30]; [28; 45]; [39; 31]; [26]; [14]; [47; 25]; [37; 36]; [8]; [19]; [9]; [29; 41]; [18]; [12]; [46; 34]; [27]; [1]; [3]; [4]; [0]; [49; 23]; [21]; [17]; [24]; [42; 32]; [43; 33]; [22]; [44; 48]; [11]; [5]; [13]; [10]; [38; 35]; [6]; [7]],[7900; 7900; 9500; 7400; 9700; 9800; 9900; 6500; 8200; 10000; 10000; 9300; 7700; 9100; 9900; 7700; 8700; 9000; 6400; 9700; 9500; 9500; 10000; 9900; 7100; 7800; 6800; 9300; 9100; 6900; 7000; 8900; 9500; 8300; 9000; 9700; 9400; 9300],801,802,0.04687047004699707
1,20,38,0.7773026315789472,[42; 32; 19; 18; 17; 43; 34; 37; 35; 28; 46; 25; 36; 38; 45; 5; 4; 10; 27; 47; 7; 22; 49; 2; 12; 6; 30; 39; 11; 15; 1; 8; 21; 20; 0; 13; 16; 26; 48; 24; 3; 14; 40; 29; 23; 9; 33; 44; 41; 31],[[42; 32]; [19]; [18]; [17]; [43; 34]; [37; 35]; [28; 46]; [25]; [36; 38]; [45]; [5]; [4]; [10]; [27; 47]; [7]; [22; 49]; [2]; [12]; [6]; [30; 39]; [11]; [15]; [1]; [8]; [21]; [20]; [0]; [13]; [16]; [26; 48]; [24]; [3]; [14]; [40; 29]; [23]; [9]; [33; 44]; [41; 31]],[9300; 7700; 7700; 7800; 9100; 10000; 9800; 6500; 9700; 3700; 9500; 9500; 9000; 9900; 9300; 10000; 9500; 8700; 9400; 9900; 8900; 7900; 9700; 9300; 7100; 7400; 10000; 8300; 7900; 9800; 6800; 9500; 8200; 10000; 6800; 9100; 9000; 9600],1001,1002,0.04687023162841797
1,12,38,0.7710921052631577,[27; 11; 6; 10; 42; 29; 5; 16; 3; 12; 26; 46; 28; 40; 34; 41; 30; 0; 15; 24; 49; 21; 32; 38; 18; 8; 20; 9; 25; 47; 4; 14; 17; 43; 35; 23; 13; 22; 7; 1; 39; 36; 44; 33; 2; 19; 31; 48; 37; 45],[[27]; [11]; [6]; [10]; [42; 29]; [5]; [16]; [3]; [12]; [26]; [46; 28]; [40; 34]; [41; 30]; [0]; [15]; [24; 49]; [21]; [32; 38]; [18]; [8]; [20]; [9]; [25; 47]; [4]; [14]; [17]; [43; 35]; [23]; [13]; [22]; [7]; [1]; [39; 36]; [44; 33]; [2]; [19]; [31; 48]; [37; 45]],[6400; 8900; 9400; 9000; 9700; 9500; 7900; 9500; 8700; 6500; 9800; 9500; 9600; 10000; 7900; 9900; 7100; 10000; 7700; 9300; 7400; 9100; 10000; 9500; 8200; 7800; 8900; 6800; 8300; 6900; 9300; 9700; 9500; 9000; 9500; 7700; 8800; 8600],601,602,0.031244277954101562
1,10,38,0.7736131578947367,[2; 44; 28; 10; 19; 45; 34; 3; 1; 24; 5; 9; 16; 8; 32; 43; 20; 11; 18; 12; 30; 39; 38; 35; 36; 15; 49; 22; 23; 4; 14; 13; 27; 48; 41; 33; 26; 31; 46; 17; 47; 25; 37; 42; 7; 21; 0; 6; 29; 40],[[2]; [44; 28]; [10]; [19]; [45; 34]; [3]; [1]; [24]; [5]; [9]; [16]; [8]; [32; 43]; [20]; [11]; [18]; [12]; [30; 39]; [38; 35]; [36]; [15]; [49; 22]; [23]; [4]; [14]; [13]; [27; 48]; [41; 33]; [26]; [31; 46]; [17]; [47; 25]; [37; 42]; [7]; [21]; [0]; [6]; [29; 40]],[9500; 9800; 9000; 7700; 9000; 9500; 9700; 6800; 9500; 9100; 7900; 9300; 9200; 7400; 8900; 7700; 8700; 9900; 9700; 5100; 7900; 10000; 6800; 9500; 8200; 8300; 9700; 9400; 6500; 9200; 7800; 10000; 8800; 9300; 7100; 10000; 9400; 10000],501,502,0.015623092651367188
1,13,38,0.7746394736842105,[37; 36; 4; 38; 33; 12; 5; 32; 44; 19; 8; 20; 6; 22; 49; 1; 24; 2; 10; 31; 41; 7; 11; 14; 40; 34; 21; 17; 15; 18; 45; 46; 9; 16; 0; 13; 47; 27; 39; 30; 25; 26; 48; 35; 23; 3; 43; 29; 42; 28],[[37; 36]; [4]; [38; 33]; [12]; [5]; [32; 44]; [19]; [8]; [20]; [6]; [22; 49]; [1]; [24]; [2]; [10]; [31; 41]; [7]; [11]; [14]; [40; 34]; [21]; [17]; [15]; [18]; [45; 46]; [9]; [16]; [0]; [13]; [47; 27]; [39; 30]; [25]; [26; 48]; [35]; [23]; [3]; [43; 29]; [42; 28]],[10000; 9500; 9900; 8700; 9500; 9100; 7700; 9300; 7400; 9400; 10000; 9700; 6800; 9500; 9000; 9600; 9300; 8900; 8200; 9500; 7100; 7800; 7900; 7700; 7400; 9100; 7900; 10000; 8300; 9900; 9900; 6500; 9800; 5100; 6800; 9500; 9600; 10000],651,652,0.03124690055847168
