Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
6,46,27,0.8291743827160495,[2; 34; 17; 22; 20; 39; 48; 40; 44; 1; 23; 24; 28; 18; 7; 41; 43; 10; 30; 27; 31; 14; 32; 42; 16; 29; 0; 49; 3; 46; 6; 35; 15; 38; 8; 4; 25; 19; 5; 36; 11; 21; 26; 45; 13; 47; 37; 9; 12; 33],[[2]; [34; 17]; [22; 20]; [39; 48; 40; 44]; [1]; [23; 24]; [28; 18]; [7; 41]; [43; 10]; [30; 27]; [31]; [14; 32]; [42; 16]; [29]; [0; 49]; [3]; [46; 6]; [35; 15]; [38; 8]; [4]; [25; 19]; [5]; [36; 11]; [21; 26]; [45; 13; 47]; [37; 9]; [12; 33]],[9900; 11500; 12000; 11900; 10000; 11500; 11900; 11600; 10900; 10400; 5100; 12000; 10200; 5100; 12000; 9900; 11500; 11400; 12000; 9800; 12000; 9100; 12000; 11200; 12000; 12000; 12000],2306,2307,0.1876671314239502
6,35,27,0.8262268518518517,[32; 16; 40; 7; 29; 27; 1; 30; 18; 47; 2; 13; 5; 46; 10; 35; 8; 43; 6; 45; 24; 39; 44; 20; 22; 4; 31; 36; 48; 25; 19; 42; 28; 38; 21; 12; 41; 33; 14; 26; 23; 9; 0; 34; 15; 37; 11; 3; 49; 17],[[32; 16]; [40; 7]; [29; 27]; [1]; [30; 18]; [47; 2]; [13]; [5; 46]; [10; 35]; [8; 43]; [6; 45]; [24; 39; 44]; [20; 22]; [4]; [31; 36; 48]; [25; 19]; [42; 28; 38]; [21]; [12; 41]; [33; 14]; [26; 23]; [9]; [0]; [34; 15]; [37; 11]; [3; 49]; [17]],[11900; 11900; 10400; 10000; 11900; 12000; 7300; 11600; 12000; 11400; 11600; 12000; 12000; 9800; 11400; 12000; 11900; 5900; 10700; 11700; 11100; 8100; 10000; 11700; 11700; 11900; 7000],1756,1757,0.11001729965209961
6,45,27,0.8239531893004114,[15; 34; 29; 17; 4; 7; 40; 43; 12; 26; 37; 45; 21; 31; 32; 16; 20; 27; 41; 8; 24; 23; 9; 39; 2; 36; 11; 3; 48; 42; 47; 19; 13; 33; 28; 22; 38; 14; 5; 10; 35; 1; 49; 30; 25; 6; 46; 18; 44; 0],[[15; 34]; [29]; [17]; [4]; [7; 40]; [43; 12]; [26; 37; 45]; [21; 31]; [32; 16]; [20; 27]; [41; 8]; [24; 23]; [9; 39]; [2]; [36; 11]; [3; 48]; [42; 47; 19]; [13; 33]; [28; 22]; [38; 14]; [5]; [10; 35]; [1; 49]; [30; 25]; [6; 46]; [18; 44]; [0]],[11700; 5100; 7000; 9800; 11900; 10600; 11800; 11000; 11900; 11500; 11500; 11500; 11800; 9900; 12000; 12000; 11800; 11800; 10900; 10900; 9100; 12000; 12000; 10500; 11500; 9400; 10000],2256,2257,0.10963630676269531
6,48,27,0.8311033950617284,[47; 3; 13; 33; 22; 28; 32; 14; 20; 23; 29; 18; 17; 27; 36; 46; 24; 11; 35; 25; 19; 16; 48; 44; 7; 42; 5; 2; 37; 9; 45; 6; 30; 0; 40; 10; 31; 21; 1; 4; 49; 43; 26; 41; 34; 12; 38; 8; 15; 39],[[47; 3]; [13; 33]; [22; 28]; [32; 14]; [20; 23]; [29; 18]; [17]; [27; 36; 46]; [24]; [11; 35]; [25; 19]; [16; 48; 44]; [7; 42]; [5]; [2]; [37; 9]; [45; 6]; [30]; [0]; [40; 10]; [31; 21]; [1]; [4; 49]; [43; 26; 41]; [34; 12]; [38; 8]; [15; 39]],[12000; 11800; 10900; 12000; 12000; 11900; 7000; 12000; 5700; 12000; 12000; 11800; 11500; 9100; 9900; 12000; 11600; 5100; 10000; 11300; 11000; 10000; 11800; 11600; 12000; 12000; 10900],2406,2407,0.11749434471130371
6,50,26,0.8797676282051281,[14; 2; 47; 48; 4; 41; 38; 28; 32; 17; 3; 15; 34; 20; 22; 10; 25; 19; 43; 11; 27; 31; 45; 6; 39; 24; 44; 36; 16; 1; 49; 7; 40; 29; 21; 23; 26; 35; 13; 8; 42; 0; 37; 9; 33; 12; 30; 18; 46; 5],[[14]; [2; 47]; [48; 4]; [41; 38; 28]; [32; 17]; [3]; [15; 34]; [20; 22]; [10]; [25; 19]; [43; 11]; [27; 31]; [45; 6]; [39; 24; 44]; [36; 16]; [1; 49]; [7; 40]; [29; 21]; [23; 26]; [35; 13]; [8; 42]; [0]; [37; 9]; [33; 12]; [30; 18]; [46; 5]],[7200; 12000; 11900; 12000; 11800; 9900; 11700; 12000; 7800; 12000; 10900; 10400; 11600; 12000; 11300; 12000; 11900; 11000; 11100; 11500; 11400; 10000; 12000; 12000; 11900; 11600],2506,2507,0.14682292938232422
6,33,26,0.8777590811965812,[47; 3; 16; 32; 13; 33; 4; 48; 39; 31; 29; 18; 19; 25; 40; 9; 14; 34; 24; 30; 49; 0; 8; 46; 7; 42; 6; 44; 35; 17; 11; 36; 41; 43; 27; 26; 23; 37; 10; 2; 12; 38; 15; 28; 21; 5; 45; 1; 22; 20],[[47; 3]; [16; 32]; [13; 33]; [4; 48]; [39; 31]; [29; 18]; [19; 25]; [40; 9]; [14; 34]; [24; 30]; [49; 0]; [8; 46]; [7; 42]; [6; 44]; [35; 17]; [11; 36]; [41; 43; 27]; [26; 23]; [37; 10]; [2]; [12; 38]; [15]; [28; 21]; [5; 45]; [1]; [22; 20]],[12000; 11900; 11800; 11900; 8800; 11900; 12000; 11600; 11700; 10800; 12000; 10800; 11500; 11600; 11200; 12000; 11600; 11100; 11700; 9900; 11200; 7200; 11000; 11700; 10000; 12000],1656,1657,0.12514209747314453
6,29,28,0.7718824404761904,[32; 15; 37; 9; 21; 30; 6; 17; 36; 0; 24; 20; 8; 44; 1; 47; 3; 31; 39; 41; 5; 48; 26; 18; 43; 29; 33; 40; 7; 10; 42; 16; 46; 14; 35; 49; 13; 45; 34; 25; 4; 27; 19; 11; 22; 23; 2; 38; 12; 28],[[32; 15]; [37; 9]; [21; 30]; [6]; [17; 36]; [0]; [24; 20]; [8; 44]; [1]; [47; 3]; [31; 39; 41]; [5; 48]; [26]; [18; 43]; [29; 33]; [40; 7]; [10; 42]; [16; 46]; [14; 35]; [49; 13; 45]; [34; 25]; [4]; [27; 19]; [11]; [22; 23]; [2]; [38; 12]; [28]],[12000; 12000; 11000; 9000; 11200; 10000; 11900; 10900; 10000; 12000; 12000; 11200; 5300; 9900; 9600; 11900; 10900; 9600; 11400; 11900; 9900; 9800; 11900; 7800; 11600; 9900; 11200; 5100],1456,1457,0.10956692695617676
6,32,27,0.818526234567901,[23; 30; 40; 22; 14; 20; 27; 46; 6; 49; 29; 37; 26; 19; 34; 13; 25; 47; 35; 39; 12; 17; 8; 42; 11; 36; 48; 4; 21; 28; 9; 41; 2; 45; 38; 24; 3; 32; 16; 7; 43; 5; 1; 10; 44; 33; 15; 0; 18; 31],[[23; 30]; [40; 22]; [14]; [20; 27]; [46; 6]; [49; 29; 37]; [26; 19]; [34; 13]; [25; 47; 35]; [39; 12]; [17]; [8; 42]; [11; 36]; [48; 4]; [21; 28]; [9; 41]; [2]; [45; 38; 24]; [3]; [32; 16]; [7; 43]; [5]; [1]; [10; 44]; [33; 15]; [0]; [18; 31]],[10900; 9300; 7200; 11500; 11500; 11000; 11900; 11800; 11700; 11200; 7000; 11400; 12000; 11900; 11000; 11300; 9900; 12000; 9900; 11900; 11500; 9100; 10000; 10400; 11700; 10000; 11900],1606,1607,0.09364771842956543
6,41,27,0.8226826131687242,[3; 30; 19; 37; 9; 27; 0; 49; 38; 8; 1; 13; 34; 4; 26; 24; 44; 17; 46; 40; 21; 14; 32; 28; 22; 18; 29; 16; 43; 23; 20; 2; 6; 12; 33; 11; 39; 45; 47; 15; 36; 10; 7; 25; 35; 48; 5; 42; 31; 41],[[3]; [30; 19]; [37; 9]; [27]; [0; 49]; [38; 8]; [1]; [13; 34]; [4]; [26; 24]; [44; 17]; [46; 40; 21]; [14; 32]; [28; 22]; [18; 29]; [16; 43]; [23; 20]; [2]; [6]; [12; 33]; [11; 39]; [45; 47; 15]; [36; 10]; [7]; [25; 35; 48]; [5]; [42; 31; 41]],[9900; 11700; 12000; 5300; 12000; 12000; 10000; 11800; 9800; 11000; 9600; 11900; 12000; 10900; 11900; 10200; 12000; 9900; 9000; 12000; 11500; 11900; 12000; 8400; 11700; 9100; 11400],2056,2057,0.10988092422485352
6,42,27,0.8324614197530863,[16; 35; 34; 12; 41; 9; 7; 40; 49; 4; 8; 38; 1; 11; 36; 15; 32; 5; 2; 23; 25; 37; 14; 6; 44; 0; 43; 13; 42; 46; 31; 45; 3; 47; 17; 27; 48; 33; 22; 21; 28; 20; 30; 19; 39; 10; 29; 18; 26; 24],[[16; 35]; [34; 12]; [41; 9]; [7; 40]; [49; 4]; [8; 38]; [1]; [11; 36]; [15; 32]; [5]; [2]; [23; 25]; [37; 14]; [6; 44]; [0]; [43; 13]; [42; 46; 31]; [45]; [3; 47]; [17]; [27; 48; 33]; [22; 21]; [28; 20]; [30; 19]; [39; 10]; [29; 18]; [26; 24]],[11300; 12000; 11300; 11900; 11800; 12000; 10000; 12000; 12000; 9100; 9900; 11200; 11100; 11600; 10000; 10400; 10700; 2600; 12000; 7000; 11900; 11700; 11300; 11700; 11500; 11900; 11000],2106,2107,0.10927629470825195
6,40,28,0.7806324404761903,[26; 30; 0; 39; 13; 9; 21; 25; 2; 40; 7; 45; 6; 29; 5; 44; 46; 15; 35; 10; 12; 34; 1; 49; 17; 32; 37; 23; 48; 43; 16; 47; 3; 14; 33; 36; 4; 20; 24; 27; 22; 31; 18; 42; 28; 41; 8; 38; 11; 19],[[26; 30]; [0]; [39; 13]; [9]; [21; 25]; [2]; [40; 7]; [45; 6]; [29]; [5; 44]; [46; 15]; [35; 10]; [12; 34]; [1; 49]; [17; 32]; [37; 23; 48]; [43; 16]; [47; 3]; [14; 33]; [36]; [4]; [20; 24]; [27; 22]; [31; 18]; [42; 28; 41]; [8; 38]; [11]; [19]],[10400; 10000; 11000; 8100; 11300; 9900; 11900; 11600; 5100; 11700; 9700; 12000; 12000; 12000; 11800; 11800; 10200; 12000; 11700; 4200; 9800; 11900; 11100; 11900; 11400; 12000; 7800; 6600],2006,2007,0.09364509582519531
6,30,28,0.773702876984127,[20; 23; 33; 16; 0; 41; 7; 48; 6; 46; 10; 21; 22; 3; 47; 1; 8; 39; 35; 27; 49; 37; 30; 13; 43; 32; 17; 9; 40; 34; 29; 4; 31; 15; 12; 42; 28; 5; 36; 11; 44; 18; 45; 19; 25; 14; 38; 2; 24; 26],[[20; 23]; [33; 16]; [0]; [41; 7]; [48; 6]; [46; 10]; [21; 22]; [3; 47]; [1]; [8; 39]; [35; 27; 49]; [37; 30]; [13; 43]; [32; 17]; [9; 40]; [34; 29]; [4]; [31]; [15]; [12; 42]; [28]; [5]; [36; 11]; [44; 18; 45]; [19; 25]; [14; 38]; [2]; [24; 26]],[12000; 11600; 10000; 11600; 11100; 10300; 11700; 12000; 10000; 12000; 11500; 9000; 10400; 11800; 11600; 9600; 9800; 5100; 7200; 10600; 5100; 9100; 12000; 12000; 12000; 10900; 9900; 11000],1506,1507,0.07799553871154785
