Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
1,12,30,0.7526157407407407,[1; 39; 10; 15; 20; 37; 42; 12; 29; 31; 9; 44; 27; 24; 22; 3; 5; 45; 19; 32; 17; 34; 26; 0; 48; 13; 36; 43; 7; 33; 14; 4; 40; 16; 35; 18; 49; 6; 21; 8; 46; 28; 30; 2; 47; 25; 23; 41; 38; 11],[[1]; [39; 10]; [15]; [20; 37]; [42; 12]; [29; 31]; [9; 44]; [27]; [24]; [22]; [3]; [5; 45]; [19; 32]; [17; 34]; [26]; [0; 48]; [13; 36]; [43; 7]; [33; 14]; [4]; [40; 16]; [35; 18]; [49; 6]; [21]; [8; 46]; [28; 30]; [2; 47]; [25]; [23; 41]; [38; 11]],[9500; 11900; 7800; 11200; 11300; 11000; 11500; 6500; 7000; 7200; 9200; 11400; 11800; 11800; 6500; 12000; 12000; 11500; 12000; 9000; 11100; 11500; 11000; 7200; 11200; 12000; 11800; 6800; 10300; 11800],601,602,0.031246662139892578
1,9,30,0.7491481481481481,[23; 1; 36; 18; 29; 6; 47; 44; 10; 38; 20; 11; 22; 3; 39; 8; 33; 14; 30; 28; 24; 42; 12; 25; 32; 0; 16; 4; 46; 7; 49; 35; 15; 41; 13; 48; 19; 27; 31; 43; 5; 45; 2; 17; 37; 21; 34; 26; 9; 40],[[23]; [1]; [36; 18]; [29]; [6; 47]; [44; 10]; [38; 20]; [11]; [22]; [3]; [39; 8]; [33; 14]; [30; 28]; [24; 42]; [12]; [25; 32]; [0]; [16]; [4; 46]; [7; 49]; [35; 15]; [41; 13]; [48; 19]; [27; 31]; [43; 5]; [45; 2]; [17; 37]; [21; 34]; [26]; [9; 40]],[7100; 9500; 11500; 5900; 11200; 11400; 11000; 8400; 7200; 9200; 12000; 12000; 12000; 10000; 8300; 11000; 9600; 7800; 11600; 10900; 11600; 11400; 10000; 11600; 11600; 12000; 11400; 11200; 6500; 11900],451,452,0.03124690055847168
4,26,30,0.750087962962963,[44; 5; 18; 38; 16; 35; 25; 46; 4; 49; 39; 9; 40; 13; 41; 22; 26; 12; 10; 45; 48; 0; 14; 32; 19; 34; 30; 28; 15; 33; 43; 11; 47; 2; 36; 20; 8; 42; 23; 24; 21; 27; 29; 31; 17; 37; 7; 3; 6; 1],[[44; 5]; [18; 38]; [16; 35]; [25; 46]; [4; 49]; [39; 9]; [40; 13]; [41; 22]; [26]; [12]; [10; 45]; [48; 0]; [14; 32]; [19; 34]; [30; 28]; [15; 33]; [43; 11]; [47; 2]; [36; 20]; [8; 42]; [23]; [24]; [21]; [27]; [29; 31]; [17; 37]; [7]; [3]; [6]; [1]],[11600; 11100; 11600; 9400; 11300; 12000; 11500; 10400; 6500; 8300; 11200; 12000; 12000; 11600; 12000; 12000; 11300; 11800; 11400; 11600; 7100; 7000; 7200; 6500; 11000; 11400; 8600; 9200; 8700; 9500],1304,1305,0.062493085861206055
3,25,30,0.7477499999999999,[1; 49; 39; 10; 0; 43; 4; 6; 21; 23; 35; 7; 3; 46; 33; 25; 11; 20; 13; 27; 12; 44; 26; 38; 34; 18; 31; 29; 37; 16; 8; 41; 24; 28; 30; 19; 32; 45; 2; 40; 5; 15; 14; 47; 36; 22; 42; 9; 17; 48],[[1; 49]; [39; 10]; [0]; [43; 4]; [6]; [21]; [23; 35]; [7]; [3; 46]; [33; 25]; [11]; [20]; [13]; [27]; [12; 44]; [26; 38]; [34; 18]; [31; 29]; [37; 16]; [8; 41]; [24]; [28; 30]; [19; 32]; [45; 2]; [40; 5]; [15]; [14; 47]; [36; 22]; [42; 9]; [17; 48]],[11800; 11900; 9600; 11900; 8700; 7200; 10900; 8600; 11800; 11000; 8400; 7600; 8200; 6500; 11200; 9900; 11700; 11000; 11400; 11800; 7000; 12000; 11800; 12000; 12000; 7800; 10300; 11000; 11600; 10200],1253,1254,0.07841658592224121
1,9,30,0.7527222222222224,[14; 32; 15; 34; 35; 17; 0; 48; 28; 30; 2; 18; 33; 3; 46; 29; 8; 47; 25; 27; 6; 4; 43; 16; 41; 40; 10; 22; 5; 49; 11; 37; 20; 24; 1; 36; 19; 39; 23; 21; 42; 13; 45; 38; 12; 9; 7; 44; 31; 26],[[14; 32]; [15; 34]; [35; 17]; [0; 48]; [28; 30]; [2]; [18; 33]; [3; 46]; [29]; [8; 47]; [25]; [27]; [6]; [4; 43]; [16; 41]; [40; 10]; [22]; [5; 49]; [11; 37]; [20]; [24]; [1]; [36; 19]; [39; 23]; [21; 42]; [13; 45]; [38; 12]; [9]; [7; 44]; [31; 26]],[12000; 11800; 11600; 12000; 12000; 9300; 11900; 11800; 5900; 11100; 6800; 6500; 8700; 11900; 11000; 11800; 7200; 11000; 12000; 7600; 7000; 9500; 11400; 10500; 10200; 10900; 11700; 8600; 11500; 11600],451,452,0.031233787536621094
1,11,30,0.750837962962963,[46; 24; 33; 19; 39; 9; 15; 22; 43; 7; 41; 27; 2; 18; 36; 32; 17; 25; 1; 26; 13; 35; 3; 49; 0; 11; 38; 48; 12; 16; 8; 42; 28; 30; 23; 14; 37; 31; 29; 6; 40; 34; 21; 5; 47; 10; 44; 45; 4; 20],[[46; 24]; [33; 19]; [39; 9]; [15]; [22; 43]; [7; 41]; [27]; [2]; [18; 36]; [32; 17]; [25]; [1]; [26]; [13; 35]; [3; 49]; [0]; [11; 38]; [48; 12]; [16]; [8; 42]; [28; 30]; [23]; [14; 37]; [31; 29]; [6; 40]; [34; 21]; [5; 47]; [10; 44]; [45; 4]; [20]],[9600; 11800; 12000; 7800; 10100; 11800; 6500; 9300; 11500; 12000; 6800; 9500; 6500; 12000; 11500; 9600; 11800; 10700; 7800; 11600; 12000; 7100; 11400; 11000; 12000; 11200; 11200; 11400; 11700; 7600],551,552,0.03124713897705078
1,14,30,0.7496712962962965,[19; 18; 37; 14; 42; 43; 6; 27; 31; 44; 22; 29; 5; 12; 26; 10; 49; 38; 11; 39; 9; 0; 48; 8; 23; 4; 45; 32; 17; 20; 16; 46; 1; 47; 3; 28; 30; 21; 36; 34; 25; 15; 40; 33; 24; 41; 7; 2; 13; 35],[[19]; [18; 37]; [14; 42]; [43; 6]; [27; 31]; [44; 22]; [29]; [5]; [12]; [26]; [10; 49]; [38; 11]; [39; 9]; [0; 48]; [8]; [23]; [4; 45]; [32; 17]; [20]; [16; 46]; [1; 47]; [3]; [28; 30]; [21; 36]; [34; 25]; [15; 40]; [33; 24]; [41; 7]; [2]; [13; 35]],[7600; 11300; 10800; 11600; 11600; 10100; 5900; 8700; 8300; 6500; 10800; 11800; 12000; 12000; 8600; 7100; 11700; 12000; 7600; 10400; 12000; 9200; 12000; 11000; 10800; 11100; 11200; 11800; 9300; 12000],701,702,0.031246423721313477
1,20,30,0.7543472222222221,[4; 9; 44; 7; 21; 6; 45; 17; 38; 20; 34; 41; 5; 25; 31; 15; 36; 49; 10; 24; 28; 19; 37; 18; 32; 22; 1; 23; 27; 14; 0; 48; 8; 39; 12; 40; 2; 46; 13; 35; 11; 42; 33; 16; 3; 29; 30; 47; 26; 43],[[4]; [9; 44]; [7]; [21]; [6; 45]; [17; 38]; [20; 34]; [41; 5]; [25; 31]; [15; 36]; [49; 10]; [24]; [28]; [19; 37]; [18; 32]; [22]; [1]; [23]; [27]; [14]; [0; 48]; [8; 39]; [12; 40]; [2; 46]; [13; 35]; [11; 42]; [33; 16]; [3]; [29; 30]; [47; 26; 43]],[9000; 11500; 8600; 7200; 11400; 11200; 11600; 11900; 11900; 11600; 10800; 7000; 6200; 11200; 11900; 7200; 9500; 7100; 6500; 7800; 12000; 12000; 11600; 11900; 12000; 11400; 12000; 9200; 11700; 11900],1001,1002,0.046869754791259766
2,28,30,0.7506759259259258,[36; 17; 43; 5; 48; 37; 29; 39; 8; 30; 28; 25; 31; 44; 18; 15; 33; 35; 24; 27; 21; 22; 16; 4; 12; 49; 11; 19; 14; 34; 26; 0; 3; 45; 2; 46; 42; 20; 32; 23; 10; 1; 9; 40; 13; 47; 7; 38; 6; 41],[[36; 17]; [43; 5]; [48; 37; 29]; [39; 8]; [30; 28]; [25; 31]; [44; 18]; [15; 33]; [35; 24]; [27]; [21]; [22]; [16]; [4]; [12; 49]; [11]; [19]; [14; 34]; [26]; [0]; [3; 45]; [2; 46]; [42; 20]; [32; 23]; [10]; [1]; [9; 40]; [13; 47]; [7; 38]; [6; 41]],[11600; 11600; 11900; 12000; 12000; 11900; 10600; 12000; 10800; 6500; 7200; 7200; 7800; 9000; 10600; 8400; 7600; 11800; 6500; 9600; 11900; 11900; 10600; 11300; 8500; 9500; 11900; 10700; 12000; 11900],1402,1403,0.07811713218688965
1,8,30,0.7399166666666666,[33; 24; 27; 45; 43; 18; 15; 19; 40; 4; 34; 21; 3; 38; 10; 42; 17; 25; 35; 49; 6; 48; 0; 11; 37; 20; 26; 41; 29; 31; 2; 16; 36; 22; 44; 47; 5; 8; 39; 13; 28; 30; 23; 32; 12; 1; 9; 46; 7; 14],[[33; 24]; [27; 45]; [43; 18]; [15]; [19; 40]; [4]; [34; 21]; [3]; [38; 10]; [42; 17]; [25; 35]; [49; 6]; [48; 0]; [11; 37]; [20]; [26; 41]; [29; 31]; [2]; [16; 36]; [22; 44]; [47; 5]; [8; 39]; [13]; [28; 30]; [23; 32]; [12]; [1]; [9; 46]; [7]; [14]],[11200; 9200; 10600; 7800; 10900; 9000; 11200; 9200; 11900; 10800; 10600; 11000; 12000; 12000; 7600; 9700; 11000; 9300; 11600; 10100; 11200; 12000; 8200; 12000; 11300; 8300; 9500; 11200; 8600; 7800],401,402,0.03165602684020996
