Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
6,41,11,0.863244,[7; 4; 29; 10; 5; 20; 28; 19; 45; 32; 48; 1; 44; 8; 34; 3; 49; 40; 13; 6; 9; 38; 41; 37; 14; 27; 36; 46; 0; 16; 47; 12; 22; 25; 24; 21; 11; 43; 31; 23; 18; 26; 33; 35; 39; 42; 30; 15; 17; 2],[[7; 4; 29; 10]; [5; 20; 28; 19; 45]; [32; 48; 1; 44; 8]; [34; 3; 49; 40; 13]; [6; 9; 38; 41; 37]; [14; 27; 36; 46; 0]; [16; 47; 12; 22; 25]; [24; 21; 11; 43; 31]; [23; 18; 26; 33; 35]; [39; 42; 30; 15; 17]; [2]],[88600; 99600; 98300; 97500; 99100; 99400; 99000; 97600; 96600; 95300; 24000],2056,2057,0.09384846687316895
6,37,11,0.8535952727272726,[39; 13; 42; 18; 8; 1; 22; 46; 45; 26; 33; 31; 12; 9; 34; 47; 14; 11; 25; 19; 16; 43; 5; 32; 23; 17; 27; 4; 35; 6; 3; 30; 24; 29; 21; 10; 15; 44; 48; 41; 7; 28; 0; 20; 36; 2; 40; 38; 49; 37],[[39; 13; 42; 18; 8]; [1; 22; 46; 45; 26]; [33; 31; 12; 9; 34]; [47; 14; 11; 25; 19]; [16; 43; 5; 32; 23]; [17; 27; 4; 35]; [6; 3; 30; 24]; [29; 21; 10; 15; 44]; [48; 41; 7; 28; 0]; [20; 36; 2; 40; 38]; [49; 37]],[99500; 96600; 99800; 100000; 100000; 82100; 86400; 99900; 99800; 97000; 33900],1856,1857,0.08532214164733887
6,36,11,0.8758183636363637,[1; 26; 47; 7; 44; 11; 5; 46; 23; 37; 2; 30; 20; 27; 43; 8; 13; 45; 31; 21; 33; 29; 15; 14; 25; 34; 0; 40; 41; 10; 36; 16; 22; 18; 19; 9; 4; 38; 42; 39; 6; 12; 24; 48; 17; 3; 32; 35; 28; 49],[[1; 26; 47; 7; 44]; [11; 5; 46; 23; 37]; [2; 30; 20; 27; 43]; [8; 13; 45; 31; 21]; [33; 29; 15; 14; 25]; [34; 0; 40; 41; 10]; [36; 16; 22; 18; 19]; [9; 4; 38; 42; 39]; [6; 12; 24; 48]; [17; 3; 32; 35; 28]; [49]],[99900; 100000; 99500; 99900; 99900; 99700; 99600; 98400; 81800; 100000; 16300],1806,1807,0.06241583824157715
6,59,11,0.8547350909090909,[39; 11; 25; 0; 42; 44; 10; 5; 29; 37; 35; 22; 40; 6; 18; 41; 33; 9; 27; 4; 47; 34; 17; 30; 1; 20; 45; 36; 14; 8; 16; 15; 13; 26; 31; 7; 24; 32; 49; 2; 23; 43; 12; 3; 28; 19; 21; 46; 48; 38],[[39; 11; 25; 0; 42]; [44; 10; 5; 29; 37]; [35; 22; 40; 6; 18]; [41; 33; 9; 27]; [4; 47; 34; 17; 30]; [1; 20; 45; 36; 14]; [8; 16; 15; 13]; [26; 31; 7; 24; 32]; [49; 2; 23; 43; 12]; [3; 28; 19; 21; 46]; [48; 38]],[100000; 99800; 99600; 78200; 98100; 100000; 86900; 99700; 99100; 99700; 33900],2956,2957,0.10931587219238281
6,46,11,0.8562496363636363,[41; 15; 26; 25; 10; 44; 29; 5; 35; 40; 12; 14; 30; 21; 17; 7; 22; 28; 43; 16; 19; 8; 39; 32; 27; 6; 36; 20; 31; 42; 23; 33; 2; 18; 0; 46; 38; 45; 4; 13; 1; 37; 3; 11; 9; 47; 34; 24; 48; 49],[[41; 15; 26; 25]; [10; 44; 29; 5; 35]; [40; 12; 14; 30; 21]; [17; 7; 22; 28; 43]; [16; 19; 8; 39; 32]; [27; 6; 36; 20; 31]; [42; 23; 33; 2; 18]; [0; 46; 38; 45; 4]; [13; 1; 37; 3]; [11; 9; 47; 34; 24]; [48; 49]],[78100; 100000; 100000; 99900; 99800; 99900; 99900; 98200; 87300; 99300; 32600],2306,2307,0.0936727523803711
6,46,11,0.854002909090909,[16; 3; 40; 38; 22; 2; 37; 36; 24; 20; 34; 12; 6; 19; 41; 8; 47; 7; 33; 27; 44; 46; 1; 9; 42; 17; 31; 23; 10; 30; 35; 18; 39; 4; 5; 11; 49; 0; 32; 15; 29; 26; 14; 25; 21; 13; 45; 28; 48; 43],[[16; 3; 40; 38; 22]; [2; 37; 36; 24; 20]; [34; 12; 6; 19]; [41; 8; 47; 7; 33]; [27; 44; 46; 1; 9]; [42; 17; 31; 23; 10]; [30; 35; 18; 39; 4]; [5; 11; 49; 0]; [32; 15; 29; 26; 14]; [25; 21; 13; 45; 28]; [48; 43]],[99900; 99500; 83900; 98200; 99500; 99200; 98500; 86200; 99900; 97100; 33100],2306,2307,0.10161066055297852
6,35,11,0.8562945454545453,[21; 47; 9; 14; 34; 10; 39; 23; 40; 5; 4; 24; 26; 20; 8; 33; 46; 11; 19; 13; 48; 38; 3; 41; 16; 0; 31; 29; 17; 35; 37; 6; 25; 36; 15; 30; 22; 12; 43; 7; 44; 2; 32; 1; 42; 28; 18; 27; 49; 45],[[21; 47; 9; 14; 34]; [10; 39; 23; 40]; [5; 4; 24; 26]; [20; 8; 33; 46; 11]; [19; 13; 48; 38; 3]; [41; 16; 0; 31; 29]; [17; 35; 37; 6; 25]; [36; 15; 30; 22; 12]; [43; 7; 44; 2; 32]; [1; 42; 28; 18; 27]; [49; 45]],[99100; 77700; 87200; 100000; 99800; 99800; 99700; 100000; 99000; 100000; 32700],1756,1757,0.0780642032623291
6,38,11,0.871562909090909,[31; 12; 5; 44; 46; 33; 15; 39; 28; 3; 42; 11; 35; 9; 24; 23; 37; 7; 13; 49; 18; 22; 14; 29; 48; 6; 17; 43; 19; 32; 8; 4; 21; 1; 40; 27; 34; 25; 2; 30; 20; 26; 16; 41; 38; 0; 45; 10; 47; 36],[[31; 12; 5; 44; 46]; [33; 15; 39; 28; 3]; [42; 11; 35; 9; 24]; [23; 37; 7; 13; 49]; [18; 22; 14; 29; 48]; [6; 17; 43; 19; 32]; [8; 4; 21; 1]; [40; 27; 34; 25; 2]; [30; 20; 26; 16; 41]; [38; 0; 45; 10; 47]; [36]],[97400; 100000; 99400; 98900; 97500; 100000; 90900; 98800; 97100; 97200; 17800],1906,1907,0.0781705379486084
6,48,11,0.8564230909090909,[12; 35; 39; 27; 7; 37; 41; 34; 5; 6; 16; 9; 23; 13; 42; 20; 28; 11; 31; 1; 33; 29; 24; 17; 18; 38; 43; 0; 48; 10; 21; 2; 47; 32; 19; 40; 25; 4; 15; 22; 14; 26; 44; 8; 36; 30; 49; 3; 45; 46],[[12; 35; 39; 27; 7]; [37; 41; 34; 5]; [6; 16; 9; 23]; [13; 42; 20; 28; 11]; [31; 1; 33; 29; 24]; [17; 18; 38; 43; 0]; [48; 10; 21; 2; 47]; [32; 19; 40; 25; 4]; [15; 22; 14; 26; 44]; [8; 36; 30; 49; 3]; [45; 46]],[99800; 76900; 87500; 99900; 99800; 99900; 99700; 99500; 99400; 99800; 32800],2406,2407,0.10963654518127441
6,60,11,0.869343818181818,[38; 21; 5; 33; 37; 23; 40; 18; 10; 32; 8; 44; 9; 31; 25; 7; 11; 43; 34; 42; 27; 49; 4; 13; 20; 14; 26; 41; 16; 0; 45; 39; 36; 3; 12; 48; 30; 6; 29; 47; 19; 35; 15; 1; 2; 24; 28; 46; 22; 17],[[38; 21; 5; 33; 37]; [23; 40; 18; 10; 32]; [8; 44; 9; 31]; [25; 7; 11; 43; 34]; [42; 27; 49; 4; 13]; [20; 14; 26; 41; 16]; [0; 45; 39; 36; 3]; [12; 48; 30; 6; 29]; [47; 19; 35; 15; 1]; [2; 24; 28; 46; 22]; [17]],[97600; 99300; 81000; 99800; 98300; 99800; 99500; 99700; 99700; 99400; 20900],3006,3007,0.12499642372131348
6,44,11,0.8558723636363635,[36; 0; 27; 4; 10; 34; 5; 41; 40; 2; 16; 23; 42; 35; 39; 18; 33; 6; 19; 11; 38; 43; 8; 25; 20; 17; 9; 49; 1; 30; 44; 24; 26; 28; 14; 29; 15; 31; 22; 45; 13; 37; 3; 7; 12; 47; 21; 32; 46; 48],[[36; 0; 27; 4]; [10; 34; 5; 41; 40]; [2; 16; 23; 42; 35]; [39; 18; 33; 6]; [19; 11; 38; 43; 8]; [25; 20; 17; 9; 49]; [1; 30; 44; 24; 26]; [28; 14; 29; 15; 31]; [22; 45; 13; 37; 3]; [7; 12; 47; 21; 32]; [46; 48]],[85200; 99500; 99600; 80100; 99600; 99900; 99200; 99400; 99800; 100000; 32700],2206,2207,0.09387707710266113
6,41,11,0.8744060000000001,[4; 1; 2; 7; 26; 29; 11; 33; 16; 17; 18; 34; 9; 42; 15; 44; 12; 23; 25; 48; 45; 10; 3; 22; 40; 32; 5; 21; 20; 24; 13; 0; 47; 36; 27; 19; 37; 39; 6; 14; 35; 8; 30; 31; 43; 38; 28; 41; 49; 46],[[4; 1; 2; 7]; [26; 29; 11; 33; 16]; [17; 18; 34; 9; 42]; [15; 44; 12; 23; 25]; [48; 45; 10; 3; 22]; [40; 32; 5; 21; 20]; [24; 13; 0; 47; 36]; [27; 19; 37; 39; 6]; [14; 35; 8; 30; 31]; [43; 38; 28; 41; 49]; [46]],[94900; 100000; 99200; 99700; 99500; 100000; 99900; 98500; 99800; 87100; 16400],2056,2057,0.09365534782409668
6,42,11,0.8754967272727273,[22; 12; 36; 46; 6; 28; 14; 38; 24; 13; 47; 41; 10; 11; 30; 33; 3; 25; 16; 1; 2; 40; 39; 43; 19; 17; 35; 15; 26; 5; 32; 42; 23; 21; 37; 4; 29; 8; 44; 7; 34; 27; 9; 45; 20; 0; 31; 18; 48; 49],[[22; 12; 36; 46; 6]; [28; 14; 38; 24; 13]; [47; 41; 10; 11; 30]; [33; 3; 25; 16]; [1; 2; 40; 39; 43]; [19; 17; 35; 15; 26]; [5; 32; 42; 23; 21]; [37; 4; 29; 8; 44]; [7; 34; 27; 9; 45]; [20; 0; 31; 18; 48]; [49]],[99900; 99900; 97600; 82900; 99600; 99900; 99300; 99900; 100000; 99700; 16300],2106,2107,0.0780339241027832
6,38,11,0.8696759999999998,[1; 8; 39; 16; 35; 10; 3; 47; 32; 46; 48; 2; 21; 7; 22; 25; 49; 14; 17; 26; 5; 27; 23; 42; 36; 45; 11; 19; 28; 20; 13; 18; 41; 37; 33; 31; 12; 15; 29; 30; 44; 0; 9; 38; 34; 4; 40; 6; 43; 24],[[1; 8; 39; 16]; [35; 10; 3; 47; 32]; [46; 48; 2; 21; 7]; [22; 25; 49; 14; 17]; [26; 5; 27; 23; 42]; [36; 45; 11; 19; 28]; [20; 13; 18; 41; 37]; [33; 31; 12; 15; 29]; [30; 44; 0; 9; 38]; [34; 4; 40; 6; 43]; [24]],[85200; 99300; 100000; 98600; 100000; 95500; 97600; 99100; 100000; 99800; 19900],1906,1907,0.07805204391479492
6,50,11,0.853746,[7; 27; 21; 19; 12; 11; 42; 33; 20; 13; 31; 30; 38; 8; 5; 44; 34; 41; 4; 14; 10; 25; 29; 9; 2; 18; 48; 49; 43; 0; 22; 40; 16; 3; 32; 28; 26; 35; 6; 24; 47; 46; 15; 17; 23; 1; 39; 37; 45; 36],[[7; 27; 21; 19]; [12; 11; 42; 33; 20]; [13; 31; 30; 38; 8]; [5; 44; 34; 41; 4]; [14; 10; 25; 29]; [9; 2; 18; 48; 49]; [43; 0; 22; 40; 16]; [3; 32; 28; 26; 35]; [6; 24; 47; 46; 15]; [17; 23; 1; 39; 37]; [45; 36]],[83100; 99400; 99800; 99800; 83000; 100000; 99200; 98800; 97700; 100000; 34200],2506,2507,0.0936727523803711
