Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
6,53,48,0.8629645833333334,[70; 16; 5; 12; 37; 41; 47; 0; 82; 54; 48; 66; 52; 76; 93; 25; 58; 97; 45; 38; 23; 49; 44; 94; 88; 11; 15; 2; 31; 68; 83; 85; 89; 14; 7; 57; 90; 71; 69; 59; 39; 78; 74; 67; 79; 60; 91; 62; 26; 13; 51; 29; 56; 28; 96; 4; 63; 22; 1; 98; 86; 9; 53; 35; 17; 92; 84; 80; 77; 18; 10; 42; 46; 21; 24; 61; 34; 6; 75; 33; 72; 99; 8; 95; 27; 55; 19; 65; 3; 20; 64; 30; 43; 40; 36; 87; 81; 73; 50; 32],[[70; 16]; [5]; [12]; [37; 41]; [47]; [0]; [82; 54; 48]; [66; 52; 76; 93]; [25; 58]; [97; 45; 38]; [23]; [49; 44; 94]; [88; 11]; [15]; [2]; [31; 68; 83]; [85; 89; 14]; [7]; [57; 90; 71; 69]; [59; 39; 78]; [74; 67; 79; 60]; [91; 62; 26]; [13]; [51; 29]; [56; 28; 96]; [4]; [63; 22]; [1]; [98; 86; 9]; [53; 35]; [17; 92; 84]; [80; 77; 18]; [10]; [42; 46]; [21]; [24; 61]; [34]; [6]; [75; 33; 72; 99]; [8; 95]; [27; 55]; [19; 65]; [3]; [20; 64]; [30]; [43; 40]; [36; 87; 81; 73]; [50; 32]],[9800; 9400; 8100; 9900; 4700; 10000; 9900; 9800; 10000; 10000; 6300; 10000; 9600; 7400; 9600; 9800; 9300; 9300; 9900; 10000; 9800; 9900; 8000; 10000; 10000; 9500; 9400; 9900; 10000; 9500; 9000; 9900; 8900; 9600; 6800; 9600; 5400; 9400; 10000; 9500; 9800; 9900; 9600; 9900; 5700; 9700; 10000; 10000],5306,5307,0.4999520778656006
6,64,46,0.9250891304347825,[85; 17; 76; 56; 84; 42; 7; 83; 11; 22; 64; 30; 60; 53; 28; 1; 70; 18; 57; 45; 81; 40; 44; 5; 39; 38; 23; 89; 67; 92; 87; 31; 71; 91; 14; 77; 62; 21; 10; 96; 15; 37; 41; 6; 26; 73; 20; 63; 99; 78; 65; 74; 61; 52; 33; 47; 46; 43; 48; 4; 12; 82; 55; 27; 58; 25; 54; 95; 36; 86; 8; 97; 3; 75; 16; 88; 35; 79; 51; 29; 32; 50; 90; 34; 59; 94; 13; 80; 49; 66; 72; 0; 68; 24; 93; 69; 19; 2; 9; 98],[[85; 17; 76]; [56; 84; 42]; [7]; [83; 11]; [22; 64]; [30; 60]; [53; 28]; [1]; [70; 18]; [57; 45; 81]; [40; 44]; [5]; [39; 38]; [23; 89; 67]; [92; 87; 31; 71]; [91; 14; 77]; [62; 21]; [10; 96]; [15]; [37; 41]; [6]; [26; 73]; [20; 63]; [99; 78; 65; 74; 61]; [52; 33]; [47; 46]; [43; 48]; [4]; [12; 82]; [55; 27]; [58; 25]; [54; 95; 36]; [86; 8]; [97; 3]; [75; 16; 88]; [35; 79]; [51; 29]; [32; 50]; [90; 34; 59]; [94; 13; 80]; [49; 66; 72]; [0]; [68; 24; 93]; [69; 19]; [2]; [9; 98]],[10000; 9800; 9300; 10000; 9400; 9200; 9800; 9900; 9400; 10000; 9700; 9400; 9800; 10000; 9800; 9800; 9900; 9300; 7400; 9900; 9400; 8400; 9900; 10000; 9900; 9500; 9500; 9500; 9300; 9800; 10000; 9800; 10000; 9900; 10000; 6800; 10000; 10000; 9800; 9900; 10000; 10000; 9900; 9700; 9600; 9100],6406,6407,0.6274464130401611
6,55,47,0.9013000000000002,[95; 6; 60; 27; 0; 13; 76; 44; 39; 55; 32; 79; 80; 17; 68; 21; 24; 31; 63; 90; 94; 29; 51; 7; 8; 88; 43; 48; 71; 16; 99; 81; 64; 34; 28; 52; 1; 66; 77; 36; 26; 67; 87; 98; 49; 38; 54; 30; 57; 91; 96; 40; 46; 20; 62; 47; 53; 82; 9; 72; 14; 18; 65; 3; 15; 73; 85; 74; 19; 12; 89; 33; 56; 5; 69; 92; 22; 4; 35; 83; 61; 50; 45; 42; 37; 23; 59; 70; 75; 41; 93; 84; 10; 97; 2; 58; 25; 11; 78; 86],[[95; 6]; [60; 27]; [0]; [13; 76]; [44; 39]; [55; 32]; [79; 80; 17]; [68; 21]; [24]; [31; 63; 90; 94]; [29; 51]; [7]; [8; 88]; [43; 48]; [71; 16; 99]; [81; 64; 34]; [28; 52]; [1]; [66; 77; 36]; [26; 67; 87]; [98; 49; 38]; [54; 30]; [57; 91; 96; 40]; [46]; [20; 62]; [47; 53; 82]; [9]; [72; 14]; [18; 65]; [3]; [15; 73]; [85; 74; 19]; [12; 89]; [33; 56]; [5]; [69; 92; 22]; [4]; [35; 83; 61]; [50; 45]; [42; 37]; [23; 59]; [70; 75; 41; 93]; [84; 10]; [97; 2]; [58; 25]; [11]; [78; 86]],[9800; 9300; 10000; 9800; 9700; 9600; 10000; 9700; 6300; 10000; 10000; 9300; 9900; 9500; 10000; 9800; 10000; 9900; 10000; 9900; 9800; 9700; 9800; 4800; 10000; 10000; 8900; 9800; 9900; 9600; 9700; 9900; 8900; 9500; 9400; 9900; 9500; 9900; 9200; 9900; 9900; 9900; 10000; 9900; 10000; 8800; 2400],5506,5507,0.5679943561553955
6,63,48,0.86709375,[95; 14; 77; 98; 92; 11; 31; 82; 65; 62; 54; 67; 90; 8; 5; 28; 53; 44; 39; 3; 96; 15; 73; 18; 1; 43; 99; 41; 0; 10; 48; 26; 56; 49; 17; 93; 74; 38; 6; 97; 7; 21; 68; 59; 23; 88; 13; 55; 33; 4; 85; 9; 30; 71; 76; 52; 36; 27; 64; 86; 46; 79; 61; 42; 40; 80; 87; 20; 60; 22; 19; 72; 89; 75; 12; 34; 57; 63; 91; 25; 29; 69; 81; 35; 51; 47; 16; 83; 78; 24; 66; 37; 58; 84; 32; 50; 2; 70; 94; 45],[[95; 14; 77; 98]; [92; 11]; [31; 82; 65]; [62; 54; 67]; [90; 8]; [5]; [28; 53]; [44; 39]; [3; 96]; [15; 73]; [18]; [1]; [43; 99; 41]; [0]; [10]; [48]; [26; 56]; [49]; [17; 93; 74]; [38]; [6; 97]; [7]; [21; 68]; [59; 23]; [88; 13]; [55; 33]; [4]; [85; 9]; [30; 71; 76]; [52; 36]; [27; 64; 86]; [46; 79; 61]; [42; 40]; [80; 87; 20]; [60; 22]; [19; 72; 89]; [75; 12]; [34; 57]; [63; 91; 25]; [29; 69; 81]; [35; 51]; [47]; [16; 83; 78]; [24; 66]; [37; 58; 84]; [32; 50]; [2]; [70; 94; 45]],[9700; 9500; 9900; 10000; 9900; 9400; 9800; 9700; 10000; 9700; 6900; 9900; 9800; 10000; 8900; 4700; 10000; 4700; 9900; 4900; 9700; 9300; 9700; 9900; 8800; 9600; 9500; 9900; 10000; 9700; 9700; 9500; 9700; 9200; 9900; 10000; 10000; 9200; 9900; 9900; 9700; 4700; 10000; 9300; 10000; 10000; 9600; 7800],6306,6307,0.5630559921264648
6,65,47,0.8924829787234044,[35; 27; 58; 83; 41; 54; 12; 78; 97; 67; 95; 91; 32; 7; 4; 98; 64; 20; 61; 25; 99; 75; 17; 90; 87; 86; 63; 39; 14; 71; 1; 81; 80; 19; 56; 31; 28; 52; 6; 88; 49; 57; 92; 8; 24; 59; 93; 45; 66; 11; 82; 10; 26; 85; 96; 84; 79; 22; 42; 38; 30; 89; 60; 36; 55; 50; 33; 16; 70; 2; 43; 37; 29; 51; 62; 21; 9; 73; 40; 44; 94; 48; 72; 47; 69; 53; 34; 0; 23; 68; 76; 13; 5; 15; 74; 18; 65; 77; 46; 3],[[35]; [27; 58]; [83; 41; 54]; [12; 78; 97]; [67; 95; 91; 32]; [7]; [4; 98]; [64; 20]; [61; 25; 99]; [75; 17; 90]; [87; 86; 63; 39]; [14; 71]; [1]; [81; 80; 19]; [56; 31]; [28; 52]; [6]; [88; 49; 57; 92]; [8]; [24; 59]; [93; 45; 66]; [11; 82]; [10]; [26; 85; 96; 84; 79]; [22]; [42; 38]; [30; 89; 60]; [36; 55]; [50; 33]; [16; 70]; [2]; [43; 37]; [29; 51]; [62; 21]; [9]; [73; 40]; [44; 94; 48]; [72; 47; 69]; [53; 34]; [0]; [23; 68]; [76; 13]; [5]; [15; 74]; [18; 65]; [77; 46]; [3]],[5400; 9600; 10000; 9900; 9600; 9300; 9700; 9900; 9700; 9900; 9700; 10000; 9900; 9700; 9600; 10000; 9400; 10000; 9100; 9900; 8500; 10000; 8900; 10000; 6400; 9700; 10000; 9400; 10000; 9800; 9600; 9900; 10000; 9900; 8900; 7200; 10000; 9800; 9500; 10000; 9200; 9800; 9400; 9400; 9900; 6400; 9600],6506,6507,0.5999932289123535
6,67,47,0.8963936170212768,[17; 70; 60; 25; 56; 47; 81; 84; 23; 91; 75; 1; 65; 80; 42; 97; 95; 69; 31; 78; 18; 63; 37; 40; 62; 19; 88; 59; 33; 0; 53; 27; 44; 57; 79; 3; 34; 52; 77; 12; 29; 64; 82; 7; 92; 16; 98; 74; 86; 93; 13; 21; 66; 87; 9; 24; 85; 76; 45; 68; 72; 36; 83; 58; 32; 43; 28; 55; 2; 11; 50; 96; 46; 26; 90; 10; 6; 94; 5; 54; 35; 22; 61; 39; 38; 8; 89; 41; 49; 4; 15; 73; 71; 14; 20; 67; 99; 48; 30; 51],[[17; 70]; [60; 25]; [56; 47; 81]; [84; 23; 91; 75]; [1]; [65; 80; 42; 97; 95]; [69; 31; 78]; [18; 63]; [37; 40]; [62; 19]; [88; 59; 33]; [0]; [53; 27]; [44; 57; 79]; [3]; [34; 52]; [77; 12]; [29; 64; 82]; [7; 92]; [16; 98; 74]; [86; 93; 13]; [21; 66]; [87; 9]; [24; 85; 76]; [45; 68; 72]; [36; 83]; [58; 32]; [43]; [28; 55]; [2]; [11]; [50; 96; 46]; [26; 90]; [10]; [6; 94]; [5]; [54; 35]; [22; 61]; [39; 38]; [8; 89]; [41; 49]; [4]; [15; 73]; [71; 14]; [20; 67; 99]; [48]; [30; 51]],[9700; 9700; 10000; 10000; 9900; 9900; 10000; 9900; 10000; 10000; 10000; 10000; 9900; 10000; 9600; 9700; 9700; 9900; 10000; 9500; 9600; 9800; 9800; 9100; 10000; 6600; 9400; 4800; 9700; 9600; 8800; 9600; 6900; 8900; 9900; 9400; 9400; 9700; 9800; 9900; 9500; 9500; 9700; 10000; 10000; 4700; 10000],6706,6707,0.5785889625549316
6,66,46,0.9248717391304347,[16; 36; 52; 5; 28; 59; 93; 31; 58; 96; 10; 88; 70; 22; 87; 61; 24; 76; 13; 40; 62; 74; 90; 15; 78; 86; 14; 77; 12; 80; 99; 49; 72; 63; 66; 33; 79; 26; 69; 75; 89; 18; 97; 0; 38; 43; 21; 67; 3; 73; 48; 65; 55; 98; 29; 27; 54; 19; 71; 85; 41; 53; 23; 60; 9; 84; 7; 91; 8; 95; 56; 92; 34; 44; 47; 50; 39; 32; 51; 35; 82; 68; 94; 2; 11; 42; 45; 6; 46; 37; 57; 25; 64; 30; 83; 20; 81; 1; 4; 17],[[16]; [36; 52]; [5]; [28; 59; 93]; [31; 58; 96]; [10; 88]; [70; 22; 87]; [61; 24]; [76; 13]; [40; 62; 74]; [90; 15; 78]; [86; 14; 77]; [12; 80; 99]; [49; 72; 63]; [66; 33; 79]; [26; 69]; [75; 89; 18; 97]; [0]; [38; 43]; [21; 67]; [3]; [73; 48; 65]; [55; 98; 29]; [27; 54]; [19; 71]; [85; 41; 53]; [23; 60]; [9; 84]; [7; 91]; [8; 95]; [56; 92; 34]; [44; 47]; [50; 39]; [32; 51]; [35; 82; 68; 94]; [2]; [11]; [42; 45]; [6]; [46; 37]; [57; 25]; [64; 30; 83]; [20; 81]; [1]; [4]; [17]],[7300; 9700; 9400; 10000; 9900; 9700; 9800; 9600; 9800; 10000; 9700; 10000; 9700; 10000; 10000; 8900; 9900; 10000; 9700; 9700; 9600; 10000; 9900; 9800; 9400; 9900; 9800; 10000; 10000; 9500; 10000; 9500; 9300; 9900; 10000; 9600; 8800; 9600; 9400; 9900; 10000; 9900; 8300; 9900; 9500; 7200],6606,6607,0.6250581741333008
6,69,47,0.8954148936170212,[34; 77; 63; 40; 76; 64; 66; 20; 41; 39; 30; 52; 27; 53; 75; 12; 9; 26; 59; 14; 50; 33; 23; 87; 69; 62; 88; 28; 11; 6; 95; 97; 99; 4; 42; 49; 73; 68; 43; 5; 94; 24; 90; 71; 10; 15; 82; 80; 56; 25; 84; 48; 47; 57; 36; 0; 92; 35; 58; 31; 51; 55; 54; 74; 1; 19; 65; 38; 89; 61; 85; 98; 18; 67; 72; 21; 96; 8; 2; 3; 16; 78; 83; 81; 13; 7; 29; 22; 60; 91; 93; 17; 79; 37; 44; 32; 86; 70; 45; 46],[[34; 77; 63]; [40; 76; 64]; [66; 20]; [41; 39]; [30; 52]; [27; 53]; [75; 12]; [9]; [26; 59]; [14]; [50; 33]; [23; 87; 69]; [62; 88; 28]; [11]; [6; 95]; [97; 99; 4]; [42; 49]; [73; 68; 43]; [5; 94]; [24; 90; 71]; [10]; [15; 82; 80]; [56]; [25; 84]; [48; 47]; [57; 36]; [0]; [92; 35; 58]; [31; 51]; [55; 54; 74]; [1]; [19; 65]; [38; 89; 61; 85]; [98; 18; 67]; [72; 21; 96]; [8]; [2]; [3]; [16; 78; 83]; [81; 13]; [7]; [29]; [22; 60]; [91; 93; 17; 79]; [37; 44]; [32; 86; 70]; [45; 46]],[10000; 9700; 9900; 9700; 10000; 9900; 10000; 8900; 9700; 7500; 10000; 10000; 9600; 8800; 9800; 10000; 9500; 10000; 9900; 9600; 8900; 10000; 3900; 7300; 9400; 9200; 10000; 9900; 10000; 10000; 9900; 9900; 10000; 10000; 9500; 9100; 9600; 9600; 10000; 9400; 9300; 5700; 9900; 10000; 9900; 9000; 9600],6906,6907,0.640549898147583
6,64,47,0.8953851063829786,[33; 51; 16; 71; 6; 36; 0; 58; 25; 23; 60; 10; 1; 8; 45; 49; 34; 78; 62; 27; 75; 7; 92; 22; 56; 93; 35; 52; 42; 89; 97; 74; 15; 19; 64; 11; 87; 94; 5; 54; 28; 57; 26; 66; 73; 48; 40; 98; 77; 61; 50; 32; 47; 18; 69; 95; 17; 72; 38; 43; 99; 96; 20; 91; 90; 82; 4; 39; 44; 24; 84; 80; 83; 41; 46; 31; 53; 81; 21; 76; 29; 59; 9; 88; 67; 30; 3; 70; 14; 86; 37; 55; 2; 12; 79; 85; 65; 63; 68; 13],[[33; 51]; [16; 71]; [6]; [36]; [0]; [58; 25]; [23; 60]; [10]; [1]; [8]; [45; 49]; [34; 78; 62]; [27; 75]; [7; 92]; [22]; [56; 93; 35]; [52; 42; 89]; [97; 74; 15]; [19; 64]; [11; 87]; [94; 5]; [54; 28]; [57; 26]; [66; 73; 48]; [40; 98; 77; 61]; [50; 32]; [47]; [18; 69]; [95; 17; 72]; [38; 43; 99]; [96; 20; 91; 90; 82]; [4]; [39; 44]; [24; 84; 80; 83]; [41; 46]; [31; 53]; [81; 21; 76]; [29; 59]; [9; 88]; [67; 30]; [3]; [70; 14]; [86; 37; 55]; [2]; [12; 79]; [85; 65; 63; 68]; [13]],[9900; 9800; 9400; 5400; 10000; 10000; 9800; 8900; 9900; 9100; 9500; 10000; 7700; 10000; 6400; 10000; 9900; 9700; 9900; 9700; 9900; 9700; 9900; 10000; 10000; 10000; 4700; 9700; 9900; 9900; 10000; 9500; 9700; 10000; 9600; 9800; 10000; 9300; 9700; 8600; 9600; 10000; 10000; 9600; 9500; 9900; 8000],6406,6407,0.5628471374511719
6,67,48,0.8664604166666668,[4; 35; 27; 3; 45; 37; 21; 70; 59; 97; 81; 49; 75; 43; 63; 84; 64; 53; 86; 87; 54; 77; 52; 91; 26; 68; 36; 23; 66; 46; 42; 19; 65; 2; 96; 10; 85; 29; 60; 88; 40; 41; 93; 7; 33; 50; 0; 69; 76; 34; 82; 47; 57; 13; 74; 12; 9; 90; 62; 20; 28; 48; 31; 55; 56; 94; 32; 30; 51; 61; 80; 44; 67; 18; 98; 24; 71; 5; 22; 6; 14; 73; 99; 92; 11; 8; 72; 17; 83; 78; 16; 58; 25; 39; 38; 1; 15; 95; 89; 79],[[4]; [35]; [27]; [3]; [45; 37]; [21; 70]; [59; 97; 81; 49]; [75; 43; 63]; [84; 64; 53; 86; 87]; [54; 77; 52]; [91; 26; 68]; [36]; [23; 66]; [46; 42]; [19; 65]; [2; 96]; [10; 85]; [29; 60; 88]; [40; 41]; [93; 7]; [33; 50]; [0]; [69; 76; 34]; [82; 47; 57]; [13; 74]; [12]; [9; 90]; [62; 20]; [28]; [48]; [31; 55]; [56; 94; 32]; [30; 51]; [61; 80; 44]; [67; 18; 98]; [24; 71]; [5]; [22]; [6]; [14; 73; 99]; [92; 11]; [8]; [72; 17]; [83; 78; 16]; [58; 25]; [39; 38]; [1]; [15; 95; 89; 79]],[9500; 5400; 5800; 9600; 9900; 9300; 10000; 9700; 10000; 9900; 9700; 5400; 9300; 9600; 9900; 10000; 9900; 10000; 9700; 10000; 10000; 10000; 10000; 9700; 10000; 8100; 9700; 10000; 5700; 4700; 9700; 10000; 10000; 9500; 10000; 8800; 9400; 6400; 9400; 10000; 9500; 9100; 9500; 10000; 10000; 9800; 9900; 10000],6706,6707,0.630460262298584
