Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
1,33,70,0.7909314285714285,[95; 35; 13; 98; 28; 47; 66; 73; 43; 87; 51; 90; 80; 52; 49; 84; 4; 9; 76; 63; 24; 34; 8; 12; 20; 3; 31; 97; 46; 64; 72; 69; 2; 29; 96; 54; 88; 79; 59; 83; 44; 81; 48; 22; 42; 93; 85; 45; 70; 67; 6; 18; 39; 55; 17; 37; 89; 57; 32; 61; 77; 92; 40; 7; 36; 94; 10; 23; 25; 33; 71; 68; 0; 91; 41; 50; 82; 53; 19; 86; 38; 15; 21; 27; 74; 65; 14; 16; 1; 26; 99; 11; 58; 5; 56; 75; 60; 78; 62; 30],[[95; 35]; [13]; [98; 28]; [47]; [66; 73]; [43; 87]; [51; 90]; [80; 52]; [49; 84]; [4]; [9]; [76; 63]; [24]; [34]; [8]; [12]; [20]; [3]; [31; 97]; [46]; [64; 72]; [69]; [2]; [29; 96]; [54; 88]; [79; 59]; [83; 44]; [81; 48]; [22]; [42; 93]; [85; 45]; [70; 67]; [6]; [18]; [39]; [55]; [17]; [37; 89]; [57]; [32]; [61; 77]; [92; 40]; [7]; [36; 94]; [10]; [23]; [25]; [33]; [71; 68]; [0]; [91; 41]; [50; 82]; [53]; [19]; [86; 38]; [15]; [21]; [27]; [74; 65]; [14]; [16]; [1]; [26; 99]; [11]; [58]; [5]; [56]; [75; 60]; [78; 62]; [30]],[9800; 8600; 9900; 6400; 9700; 9500; 9000; 10000; 9500; 9400; 9200; 9800; 8200; 7500; 9300; 8700; 8400; 9500; 9800; 6500; 10000; 4900; 9500; 10000; 8900; 9700; 10000; 10000; 8400; 9500; 9400; 10000; 9300; 8500; 6900; 6100; 8500; 9900; 5900; 7600; 9900; 9600; 9300; 9800; 9100; 8300; 8100; 7500; 9600; 10000; 9600; 10000; 6200; 8500; 9900; 8600; 8400; 7800; 9800; 8600; 8600; 9900; 9900; 8800; 5900; 9400; 6000; 10000; 9800; 7600],3301,3302,0.3124504089355469
1,45,70,0.7921800000000001,[57; 18; 99; 27; 69; 28; 80; 53; 30; 87; 45; 88; 37; 4; 25; 6; 50; 82; 58; 20; 7; 19; 89; 48; 12; 67; 72; 5; 24; 16; 35; 91; 85; 39; 63; 75; 74; 61; 81; 51; 15; 84; 40; 0; 52; 8; 10; 33; 36; 90; 65; 77; 42; 94; 47; 66; 71; 54; 64; 76; 11; 1; 98; 32; 26; 49; 78; 60; 21; 3; 92; 41; 68; 70; 14; 9; 29; 96; 62; 73; 22; 44; 17; 23; 79; 56; 46; 93; 34; 95; 55; 13; 59; 2; 86; 38; 83; 43; 97; 31],[[57]; [18]; [99; 27]; [69]; [28]; [80; 53]; [30]; [87; 45]; [88; 37]; [4]; [25]; [6]; [50; 82]; [58]; [20]; [7]; [19]; [89; 48]; [12]; [67; 72]; [5]; [24]; [16]; [35; 91]; [85; 39]; [63; 75]; [74; 61]; [81; 51]; [15]; [84; 40]; [0]; [52]; [8]; [10]; [33]; [36; 90]; [65; 77]; [42; 94]; [47]; [66; 71]; [54]; [64; 76]; [11]; [1]; [98; 32]; [26]; [49]; [78; 60]; [21]; [3]; [92; 41]; [68; 70]; [14]; [9]; [29; 96]; [62; 73]; [22]; [44]; [17]; [23]; [79; 56]; [46; 93]; [34; 95]; [55]; [13]; [59]; [2]; [86; 38]; [83; 43]; [97; 31]],[5900; 8500; 9800; 4900; 7700; 9900; 7600; 9300; 9900; 9400; 8100; 9300; 10000; 5900; 8400; 9300; 8500; 9200; 8700; 9800; 9400; 8200; 8600; 10000; 9800; 9900; 10000; 9900; 8600; 10000; 10000; 6300; 9300; 9100; 7500; 9900; 9700; 9500; 6400; 9900; 6100; 9700; 8800; 9900; 9800; 7900; 6400; 9900; 8400; 9500; 9600; 9800; 8600; 9200; 10000; 9900; 8400; 6700; 8500; 8300; 9800; 9100; 10000; 6100; 8600; 5900; 9500; 9900; 10000; 9800],4501,4502,0.45430517196655273
1,24,70,0.7890057142857142,[79; 58; 8; 23; 9; 68; 69; 49; 52; 84; 25; 7; 32; 98; 90; 42; 21; 57; 1; 76; 61; 64; 73; 96; 36; 77; 62; 24; 35; 94; 26; 38; 92; 47; 72; 65; 4; 41; 43; 40; 22; 75; 86; 93; 29; 81; 54; 12; 80; 56; 13; 17; 66; 71; 16; 20; 14; 39; 89; 45; 88; 10; 95; 34; 97; 27; 2; 46; 91; 33; 55; 11; 53; 30; 99; 19; 50; 83; 3; 28; 18; 0; 74; 63; 44; 85; 15; 31; 48; 59; 82; 70; 67; 78; 60; 51; 37; 87; 6; 5],[[79; 58]; [8]; [23]; [9]; [68; 69]; [49]; [52; 84]; [25]; [7]; [32; 98]; [90; 42]; [21]; [57]; [1]; [76; 61]; [64; 73]; [96; 36]; [77; 62]; [24]; [35; 94]; [26]; [38; 92]; [47]; [72; 65]; [4]; [41]; [43]; [40]; [22]; [75; 86; 93]; [29]; [81; 54]; [12]; [80; 56]; [13]; [17]; [66; 71]; [16]; [20]; [14]; [39; 89]; [45; 88]; [10]; [95; 34]; [97; 27]; [2]; [46; 91]; [33]; [55]; [11]; [53]; [30; 99]; [19]; [50; 83]; [3]; [28]; [18]; [0]; [74; 63]; [44; 85]; [15]; [31]; [48]; [59; 82]; [70; 67]; [78; 60]; [51]; [37; 87]; [6]; [5]],[9700; 9300; 8300; 9200; 10000; 6400; 9400; 8100; 9300; 9800; 9600; 8400; 5900; 9900; 9900; 9800; 9600; 9800; 8200; 9900; 7900; 9800; 6400; 10000; 9400; 6900; 6700; 6900; 8400; 9700; 7600; 9700; 8700; 9700; 8600; 8500; 9900; 8600; 8400; 8600; 9700; 9300; 9100; 10000; 10000; 9500; 9200; 7500; 6100; 8800; 6200; 9600; 8500; 9700; 9500; 7700; 8500; 10000; 9900; 9600; 8600; 7600; 6400; 9500; 10000; 9900; 6300; 9900; 9300; 9400],2401,2402,0.2658824920654297
1,34,70,0.7905285714285712,[91; 40; 96; 30; 65; 72; 46; 92; 56; 17; 59; 9; 55; 79; 7; 16; 0; 11; 39; 86; 15; 26; 36; 87; 2; 28; 31; 75; 71; 12; 77; 64; 3; 67; 70; 60; 78; 10; 24; 84; 52; 76; 62; 22; 25; 58; 23; 8; 18; 54; 63; 73; 14; 51; 80; 34; 83; 44; 1; 29; 97; 27; 98; 99; 35; 85; 47; 41; 93; 95; 33; 6; 49; 90; 4; 20; 81; 53; 69; 68; 61; 74; 45; 37; 88; 66; 57; 19; 5; 89; 43; 82; 48; 38; 94; 21; 50; 32; 13; 42],[[91; 40]; [96; 30]; [65; 72]; [46; 92]; [56]; [17]; [59]; [9]; [55; 79]; [7]; [16]; [0]; [11]; [39; 86]; [15]; [26]; [36; 87]; [2]; [28]; [31]; [75; 71]; [12]; [77; 64]; [3]; [67; 70]; [60; 78]; [10]; [24]; [84; 52]; [76; 62]; [22]; [25]; [58]; [23]; [8]; [18]; [54]; [63; 73]; [14]; [51; 80]; [34]; [83; 44]; [1]; [29; 97]; [27; 98]; [99; 35]; [85; 47]; [41; 93]; [95; 33]; [6]; [49; 90]; [4]; [20]; [81; 53]; [69; 68]; [61; 74]; [45]; [37; 88]; [66]; [57]; [19]; [5]; [89; 43]; [82; 48]; [38; 94]; [21]; [50]; [32]; [13]; [42]],[9600; 10000; 10000; 9200; 6000; 8500; 5900; 9200; 9900; 9300; 8600; 10000; 8800; 9700; 8600; 7900; 10000; 9500; 7700; 7600; 8800; 8700; 9700; 9500; 10000; 9900; 9100; 8200; 9400; 9800; 8400; 8100; 5900; 8300; 9300; 8500; 6100; 9900; 8600; 10000; 7500; 10000; 9900; 9800; 10000; 9300; 9300; 9500; 10000; 9300; 9100; 9400; 8400; 9800; 10000; 10000; 6500; 9900; 5400; 5900; 8500; 9400; 9500; 10000; 9700; 8400; 6400; 7600; 8600; 6900],3401,3402,0.36025547981262207
1,30,70,0.79094,[21; 59; 5; 31; 98; 34; 96; 74; 62; 40; 85; 30; 23; 33; 1; 15; 69; 70; 7; 38; 87; 57; 3; 84; 47; 90; 36; 45; 92; 2; 8; 27; 97; 49; 0; 64; 73; 95; 41; 42; 89; 56; 13; 65; 71; 20; 50; 25; 67; 72; 44; 83; 51; 82; 19; 76; 68; 52; 80; 22; 29; 9; 43; 93; 4; 48; 81; 14; 6; 12; 77; 63; 54; 79; 94; 53; 10; 28; 99; 17; 24; 39; 88; 37; 86; 46; 18; 66; 26; 32; 58; 60; 75; 16; 78; 61; 11; 91; 35; 55],[[21]; [59]; [5]; [31; 98]; [34; 96]; [74; 62]; [40; 85]; [30]; [23]; [33]; [1]; [15]; [69; 70]; [7]; [38; 87]; [57]; [3]; [84; 47]; [90; 36]; [45; 92]; [2]; [8]; [27; 97]; [49]; [0]; [64; 73]; [95; 41]; [42; 89]; [56]; [13]; [65; 71]; [20]; [50]; [25]; [67; 72]; [44; 83]; [51; 82]; [19]; [76; 68]; [52; 80]; [22]; [29]; [9]; [43; 93]; [4]; [48; 81]; [14]; [6]; [12]; [77; 63]; [54; 79]; [94; 53]; [10]; [28; 99]; [17]; [24]; [39; 88]; [37; 86]; [46]; [18]; [66]; [26]; [32]; [58]; [60; 75]; [16]; [78; 61]; [11]; [91; 35]; [55]],[8400; 5900; 9400; 9800; 9900; 9900; 9800; 7600; 8300; 7500; 9900; 8600; 9600; 9300; 9900; 5900; 9500; 9500; 9900; 9200; 9500; 9300; 10000; 6400; 10000; 9800; 9400; 9700; 6000; 8600; 10000; 8400; 6400; 8100; 9800; 10000; 9900; 8500; 9300; 10000; 8400; 7600; 9200; 9300; 9400; 10000; 8600; 9300; 8700; 9800; 9900; 8800; 9100; 9700; 8500; 8200; 9700; 9900; 6500; 8500; 5400; 7900; 7600; 5900; 10000; 8600; 9900; 8800; 10000; 6100],3001,3002,0.32926082611083984
1,32,70,0.7891371428571429,[73; 62; 24; 85; 37; 29; 81; 55; 14; 12; 22; 80; 58; 97; 32; 76; 61; 86; 40; 6; 45; 71; 64; 0; 15; 83; 46; 18; 21; 20; 2; 11; 31; 60; 75; 35; 94; 27; 8; 7; 82; 50; 54; 26; 48; 68; 69; 59; 56; 52; 4; 25; 42; 91; 17; 65; 10; 79; 57; 41; 90; 77; 70; 28; 99; 9; 36; 95; 39; 92; 34; 1; 30; 98; 87; 43; 72; 67; 3; 49; 84; 23; 19; 96; 51; 16; 13; 47; 88; 33; 74; 66; 89; 44; 38; 93; 53; 5; 63; 78],[[73; 62]; [24]; [85; 37]; [29]; [81; 55]; [14]; [12]; [22]; [80; 58]; [97; 32]; [76; 61]; [86; 40]; [6]; [45]; [71; 64]; [0]; [15]; [83; 46]; [18]; [21]; [20]; [2]; [11]; [31]; [60; 75]; [35; 94]; [27]; [8]; [7]; [82; 50]; [54]; [26]; [48]; [68; 69]; [59]; [56]; [52]; [4]; [25]; [42; 91]; [17]; [65]; [10]; [79; 57]; [41; 90]; [77; 70]; [28; 99]; [9]; [36; 95]; [39; 92]; [34]; [1]; [30; 98]; [87; 43]; [72; 67]; [3]; [49; 84]; [23]; [19]; [96; 51]; [16]; [13]; [47; 88]; [33]; [74; 66]; [89; 44]; [38; 93]; [53]; [5]; [63; 78]],[9900; 8200; 10000; 7600; 9700; 8600; 8700; 8400; 9600; 9800; 9900; 9700; 9300; 6500; 10000; 10000; 8600; 9800; 8500; 8400; 8400; 9500; 8800; 7600; 10000; 9900; 7800; 9300; 9300; 10000; 6100; 7900; 6400; 10000; 5900; 6000; 6300; 9400; 8100; 9600; 8500; 5500; 9100; 9700; 9600; 8900; 9700; 9200; 9700; 9600; 7500; 9900; 9800; 9500; 9800; 9500; 9500; 8300; 8500; 8700; 8600; 8600; 9200; 7500; 9700; 9500; 9700; 6200; 9400; 9800],3201,3202,0.312854528427124
6,67,71,0.7750788732394369,[26; 21; 89; 36; 19; 87; 40; 4; 32; 41; 85; 6; 24; 52; 18; 0; 14; 1; 75; 61; 97; 27; 47; 80; 51; 59; 76; 11; 20; 65; 71; 23; 13; 98; 31; 8; 30; 79; 56; 54; 77; 60; 70; 9; 99; 28; 96; 34; 78; 62; 17; 29; 84; 39; 25; 66; 67; 72; 44; 83; 69; 68; 81; 53; 37; 88; 92; 45; 91; 35; 33; 95; 48; 64; 74; 3; 12; 42; 94; 57; 7; 50; 82; 86; 49; 16; 93; 38; 46; 22; 10; 73; 63; 2; 43; 90; 55; 15; 58; 5],[[26]; [21]; [89; 36]; [19]; [87; 40]; [4]; [32]; [41; 85]; [6]; [24]; [52]; [18]; [0]; [14]; [1]; [75; 61]; [97; 27]; [47]; [80; 51]; [59]; [76]; [11]; [20]; [65; 71]; [23]; [13]; [98; 31]; [8]; [30]; [79; 56]; [54]; [77; 60]; [70]; [9]; [99; 28]; [96; 34]; [78; 62]; [17]; [29]; [84; 39]; [25]; [66]; [67; 72]; [44; 83]; [69; 68]; [81; 53]; [37; 88]; [92; 45]; [91; 35]; [33; 95]; [48]; [64; 74]; [3]; [12]; [42; 94]; [57]; [7]; [50; 82]; [86; 49]; [16]; [93; 38]; [46]; [22]; [10]; [73; 63]; [2]; [43; 90]; [55]; [15]; [58]; [5]],[7900; 8400; 10000; 8500; 9700; 9400; 7600; 9800; 9300; 8200; 6300; 8500; 10000; 8600; 9900; 10000; 10000; 6400; 10000; 5900; 4200; 8800; 8400; 10000; 8300; 8600; 9800; 9300; 7600; 9800; 6100; 9900; 4700; 9200; 9700; 9900; 9800; 8500; 7600; 10000; 8100; 5400; 9800; 10000; 10000; 9800; 9900; 9200; 10000; 10000; 6400; 9800; 9500; 8700; 9500; 5900; 9300; 10000; 9200; 8600; 9700; 6500; 8400; 9100; 9900; 9500; 9400; 6100; 8600; 5900; 9400],6706,6707,0.6279137134552002
6,57,71,0.7743859154929582,[10; 13; 21; 20; 24; 72; 65; 46; 89; 67; 31; 3; 4; 96; 30; 63; 76; 42; 84; 66; 16; 81; 49; 22; 56; 6; 25; 11; 26; 57; 71; 68; 61; 74; 35; 94; 18; 92; 41; 1; 78; 40; 83; 44; 19; 69; 70; 28; 51; 53; 79; 47; 12; 87; 38; 59; 73; 60; 23; 0; 9; 34; 43; 91; 2; 64; 77; 86; 48; 90; 45; 54; 8; 93; 39; 55; 15; 17; 75; 62; 32; 97; 50; 82; 99; 27; 95; 33; 7; 58; 52; 80; 37; 85; 14; 88; 36; 5; 29; 98],[[10]; [13]; [21]; [20]; [24]; [72; 65]; [46; 89]; [67]; [31]; [3]; [4]; [96; 30]; [63; 76]; [42; 84]; [66]; [16]; [81; 49]; [22]; [56]; [6]; [25]; [11]; [26]; [57]; [71; 68]; [61; 74]; [35; 94]; [18]; [92; 41]; [1]; [78]; [40]; [83; 44]; [19]; [69; 70]; [28]; [51]; [53; 79]; [47]; [12]; [87; 38]; [59]; [73; 60]; [23]; [0]; [9]; [34]; [43; 91]; [2]; [64; 77]; [86; 48]; [90; 45]; [54]; [8]; [93; 39]; [55]; [15]; [17]; [75; 62]; [32; 97]; [50; 82]; [99; 27]; [95; 33]; [7]; [58]; [52; 80]; [37; 85]; [14]; [88; 36]; [5]; [29; 98]],[9100; 8600; 8400; 8400; 8200; 10000; 9300; 5300; 7600; 9500; 9400; 10000; 9800; 10000; 5400; 8600; 10000; 8400; 6000; 9300; 8100; 8800; 7900; 5900; 9600; 10000; 9900; 8500; 9600; 9900; 4200; 6900; 10000; 8500; 9600; 7700; 6300; 10000; 6400; 8700; 9900; 5900; 10000; 8300; 10000; 9200; 7500; 9400; 9500; 9700; 9200; 9200; 6100; 9300; 9500; 6100; 8600; 8500; 9900; 9800; 10000; 9800; 10000; 9300; 5900; 10000; 10000; 8600; 10000; 9400; 9800],5706,5707,0.5631973743438721
6,69,71,0.7712732394366196,[84; 54; 77; 68; 40; 78; 60; 8; 9; 75; 62; 26; 96; 31; 36; 88; 67; 70; 71; 69; 35; 95; 19; 38; 85; 72; 65; 21; 3; 50; 82; 56; 11; 0; 13; 98; 27; 73; 64; 79; 53; 89; 37; 42; 87; 5; 43; 99; 25; 4; 47; 94; 55; 44; 86; 2; 28; 49; 91; 92; 39; 63; 18; 48; 1; 34; 17; 7; 81; 59; 52; 80; 20; 74; 61; 45; 30; 97; 46; 83; 66; 16; 51; 12; 23; 33; 58; 57; 93; 76; 29; 22; 90; 41; 32; 15; 6; 10; 24; 14],[[84; 54]; [77; 68]; [40]; [78; 60]; [8]; [9]; [75; 62]; [26]; [96; 31]; [36; 88]; [67; 70]; [71; 69]; [35; 95]; [19]; [38; 85]; [72; 65]; [21]; [3]; [50; 82]; [56]; [11]; [0]; [13]; [98; 27]; [73; 64]; [79; 53]; [89; 37]; [42; 87]; [5]; [43; 99]; [25]; [4]; [47; 94]; [55]; [44; 86]; [2]; [28]; [49; 91]; [92; 39]; [63]; [18]; [48]; [1]; [34]; [17]; [7]; [81; 59]; [52; 80]; [20]; [74; 61]; [45]; [30; 97]; [46; 83]; [66]; [16]; [51]; [12]; [23]; [33]; [58]; [57; 93]; [76]; [29]; [22]; [90; 41]; [32]; [15]; [6]; [10]; [24]; [14]],[9200; 9300; 6900; 9900; 9300; 9200; 9900; 7900; 10000; 10000; 10000; 9400; 9800; 8500; 10000; 10000; 8400; 9500; 10000; 6000; 8800; 10000; 8600; 10000; 9800; 10000; 9900; 9700; 9400; 8700; 8100; 9400; 9000; 6100; 9500; 9500; 7700; 9100; 9600; 5600; 8500; 6400; 9900; 7500; 8500; 9300; 9500; 10000; 8400; 10000; 6500; 9800; 9800; 5400; 8600; 6300; 8700; 8300; 7500; 5900; 8500; 4200; 7600; 8400; 9600; 7600; 8600; 9300; 9100; 8200; 8600],6906,6907,0.6562891006469727
1,28,70,0.790457142857143,[54; 93; 53; 79; 29; 27; 23; 15; 51; 11; 19; 20; 49; 3; 74; 60; 56; 34; 98; 10; 50; 95; 32; 13; 87; 45; 77; 61; 12; 14; 92; 35; 18; 64; 78; 89; 40; 83; 44; 71; 65; 9; 97; 31; 21; 26; 99; 6; 7; 82; 47; 22; 1; 57; 63; 76; 52; 81; 38; 86; 39; 30; 62; 73; 58; 42; 90; 28; 96; 33; 66; 8; 75; 69; 80; 55; 46; 88; 43; 91; 70; 67; 72; 68; 5; 17; 59; 2; 4; 25; 0; 36; 94; 24; 37; 85; 16; 84; 41; 48],[[54; 93]; [53; 79]; [29]; [27]; [23]; [15]; [51]; [11]; [19]; [20]; [49]; [3]; [74; 60]; [56]; [34; 98]; [10]; [50; 95]; [32]; [13]; [87; 45]; [77; 61]; [12]; [14]; [92; 35]; [18]; [64; 78]; [89; 40]; [83; 44]; [71; 65]; [9]; [97; 31]; [21]; [26; 99]; [6]; [7]; [82; 47]; [22]; [1]; [57]; [63; 76]; [52; 81]; [38; 86]; [39]; [30]; [62; 73]; [58]; [42; 90]; [28]; [96; 33]; [66]; [8]; [75; 69]; [80; 55]; [46; 88]; [43; 91]; [70; 67]; [72; 68]; [5]; [17]; [59]; [2]; [4]; [25]; [0]; [36; 94]; [24]; [37; 85]; [16]; [84; 41]; [48]],[8700; 10000; 7600; 7800; 8300; 8600; 6300; 8800; 8500; 8400; 6400; 9500; 10000; 6000; 9700; 9100; 8900; 7600; 8600; 9300; 9900; 8700; 8600; 10000; 8500; 9700; 9700; 10000; 10000; 9200; 9800; 8400; 9900; 9300; 9300; 10000; 8400; 9900; 5900; 9800; 9900; 9900; 6900; 7600; 9900; 5900; 9600; 7700; 9900; 5400; 9300; 9200; 9800; 9300; 9400; 10000; 9600; 9400; 8500; 5900; 9500; 9400; 8100; 10000; 9800; 8200; 10000; 8600; 10000; 6400],2801,2802,0.24853086471557617
