Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
6,48,66,0.8361590909090911,[64; 56; 60; 61; 15; 30; 40; 87; 82; 89; 70; 14; 59; 72; 96; 54; 16; 0; 83; 45; 20; 27; 48; 76; 25; 6; 1; 7; 31; 62; 71; 67; 57; 38; 92; 55; 68; 36; 88; 24; 63; 90; 79; 43; 81; 91; 65; 77; 37; 19; 98; 28; 99; 32; 23; 2; 29; 97; 44; 85; 52; 73; 41; 84; 11; 66; 53; 78; 18; 26; 3; 39; 86; 47; 74; 46; 93; 51; 4; 17; 58; 69; 5; 8; 21; 34; 94; 10; 33; 95; 13; 80; 49; 42; 12; 9; 50; 75; 35; 22],[[64; 56]; [60; 61]; [15]; [30]; [40; 87]; [82; 89; 70]; [14]; [59; 72]; [96; 54]; [16]; [0]; [83; 45]; [20]; [27]; [48; 76]; [25]; [6]; [1]; [7]; [31]; [62; 71]; [67; 57]; [38; 92]; [55; 68]; [36; 88]; [24]; [63; 90; 79]; [43; 81]; [91; 65; 77]; [37]; [19]; [98; 28]; [99; 32]; [23]; [2]; [29; 97]; [44; 85]; [52; 73]; [41; 84]; [11]; [66]; [53; 78]; [18]; [26]; [3]; [39; 86]; [47; 74]; [46; 93]; [51]; [4]; [17]; [58; 69]; [5]; [8]; [21]; [34; 94]; [10]; [33; 95]; [13]; [80; 49]; [42]; [12]; [9]; [50; 75]; [35]; [22]],[9900; 9800; 8800; 7900; 9700; 9800; 8900; 9100; 8100; 8800; 10000; 9700; 8600; 8200; 9900; 8300; 9600; 9800; 9500; 7900; 8800; 9600; 9600; 9700; 9900; 8300; 10000; 9800; 10000; 7400; 8700; 10000; 9800; 8300; 9800; 10000; 9700; 10000; 9800; 9200; 4300; 9300; 8700; 8200; 9800; 10000; 10000; 8600; 6200; 9800; 8800; 9500; 9700; 9500; 8500; 9700; 9300; 9900; 9000; 9500; 6800; 9000; 9400; 9700; 7400; 8400],4806,4807,0.4693257808685303
6,69,66,0.8405166666666667,[2; 91; 48; 46; 75; 96; 51; 71; 4; 68; 69; 9; 19; 8; 50; 77; 6; 20; 99; 28; 60; 59; 31; 94; 44; 78; 15; 13; 72; 1; 84; 45; 64; 56; 79; 42; 76; 86; 74; 54; 3; 7; 43; 80; 27; 98; 29; 90; 35; 41; 81; 52; 30; 95; 34; 57; 65; 82; 40; 55; 63; 26; 0; 62; 58; 61; 70; 39; 87; 17; 22; 12; 33; 92; 11; 53; 73; 66; 67; 23; 38; 89; 24; 21; 83; 49; 10; 85; 47; 5; 37; 97; 93; 32; 16; 18; 14; 25; 36; 88],[[2]; [91; 48]; [46; 75]; [96; 51]; [71]; [4]; [68; 69]; [9]; [19]; [8]; [50; 77]; [6]; [20]; [99; 28]; [60; 59]; [31; 94]; [44; 78]; [15]; [13]; [72]; [1]; [84; 45]; [64; 56]; [79; 42]; [76; 86; 74]; [54]; [3]; [7]; [43; 80]; [27]; [98; 29]; [90; 35]; [41; 81]; [52]; [30; 95]; [34]; [57; 65]; [82; 40]; [55; 63]; [26]; [0]; [62; 58]; [61; 70]; [39; 87]; [17]; [22]; [12]; [33; 92]; [11]; [53; 73]; [66; 67]; [23]; [38; 89]; [24]; [21]; [83; 49]; [10]; [85; 47]; [5]; [37; 97]; [93; 32]; [16]; [18]; [14]; [25]; [36; 88]],[9800; 8700; 9900; 8300; 4100; 9800; 8400; 9400; 8700; 9500; 9500; 9600; 8600; 10000; 9900; 10000; 10000; 8800; 9000; 4100; 9800; 9600; 9900; 10000; 10000; 6000; 9800; 9500; 9800; 8200; 10000; 9700; 9900; 6100; 10000; 7600; 9700; 10000; 10000; 8200; 10000; 10000; 9100; 9900; 8800; 8400; 9000; 10000; 9200; 9900; 8600; 8300; 9900; 8300; 8500; 9500; 9300; 9400; 9700; 9400; 10000; 8800; 8700; 8900; 8300; 9900],6906,6907,0.756270170211792
6,57,66,0.8376742424242427,[24; 37; 85; 50; 97; 29; 62; 66; 70; 71; 25; 45; 80; 11; 18; 55; 64; 75; 48; 79; 41; 68; 61; 63; 56; 49; 82; 53; 52; 73; 7; 65; 90; 77; 78; 44; 32; 95; 58; 96; 0; 88; 36; 14; 8; 94; 30; 3; 4; 2; 15; 21; 1; 10; 16; 23; 22; 13; 38; 6; 86; 43; 20; 33; 92; 46; 76; 69; 47; 74; 27; 39; 87; 9; 5; 59; 60; 34; 91; 35; 99; 17; 98; 31; 81; 42; 51; 84; 12; 57; 93; 89; 54; 19; 28; 67; 72; 26; 40; 83],[[24]; [37]; [85; 50]; [97; 29]; [62; 66]; [70; 71]; [25]; [45; 80]; [11]; [18]; [55; 64]; [75; 48]; [79; 41]; [68; 61]; [63; 56]; [49; 82]; [53]; [52; 73]; [7]; [65; 90; 77]; [78; 44]; [32; 95]; [58; 96]; [0]; [88; 36]; [14]; [8]; [94; 30]; [3]; [4]; [2]; [15]; [21]; [1]; [10]; [16]; [23]; [22]; [13]; [38]; [6]; [86; 43]; [20]; [33; 92]; [46; 76]; [69]; [47; 74]; [27]; [39; 87]; [9]; [5]; [59; 60]; [34; 91]; [35; 99]; [17]; [98; 31]; [81; 42]; [51; 84]; [12]; [57; 93; 89]; [54]; [19]; [28]; [67; 72]; [26]; [40; 83]],[8300; 7400; 9200; 10000; 9000; 8300; 8300; 9700; 9200; 8700; 9900; 9900; 10000; 9100; 10000; 9500; 6000; 10000; 9500; 10000; 10000; 9900; 7400; 10000; 9900; 8900; 9500; 10000; 9800; 9800; 9800; 8800; 8500; 9800; 9300; 8800; 8300; 8400; 9000; 7400; 9600; 9600; 8600; 10000; 9900; 4200; 10000; 8200; 9900; 9400; 9700; 9900; 9900; 9400; 8800; 9900; 9900; 9200; 9000; 10000; 6000; 8700; 8000; 8400; 8200; 10000],5706,5707,0.6423032283782959
6,60,66,0.8366439393939393,[36; 93; 56; 69; 81; 40; 98; 31; 91; 34; 28; 58; 66; 33; 92; 50; 27; 19; 62; 72; 53; 49; 75; 68; 73; 96; 65; 82; 10; 23; 85; 44; 2; 21; 24; 7; 95; 30; 35; 94; 6; 8; 20; 32; 76; 48; 86; 39; 13; 57; 97; 90; 41; 79; 3; 38; 88; 52; 61; 29; 99; 43; 83; 9; 55; 63; 0; 77; 54; 15; 18; 84; 42; 4; 26; 80; 45; 25; 17; 16; 74; 51; 14; 89; 37; 22; 11; 5; 12; 70; 67; 87; 46; 1; 71; 64; 59; 60; 47; 78],[[36; 93]; [56; 69]; [81; 40]; [98; 31]; [91; 34]; [28]; [58; 66]; [33; 92]; [50]; [27]; [19]; [62; 72]; [53]; [49; 75]; [68; 73]; [96; 65; 82]; [10]; [23]; [85; 44]; [2]; [21]; [24]; [7]; [95; 30]; [35; 94]; [6]; [8]; [20]; [32]; [76; 48]; [86; 39]; [13]; [57; 97; 90]; [41; 79]; [3]; [38; 88]; [52]; [61]; [29; 99]; [43; 83]; [9]; [55; 63]; [0]; [77; 54]; [15]; [18]; [84; 42]; [4]; [26]; [80; 45]; [25]; [17]; [16]; [74; 51]; [14]; [89; 37]; [22]; [11]; [5]; [12]; [70; 67]; [87; 46]; [1]; [71; 64]; [59; 60]; [47; 78]],[9600; 9700; 10000; 9900; 9900; 8000; 9600; 10000; 6200; 8200; 8700; 8800; 6000; 9900; 8100; 9600; 9300; 8300; 9700; 9800; 8500; 8300; 9500; 10000; 9500; 9600; 9500; 8600; 7800; 9900; 10000; 9000; 9600; 10000; 9800; 9900; 6100; 4900; 10000; 9800; 9400; 10000; 10000; 9300; 8800; 8700; 9800; 9800; 8200; 9700; 8300; 8800; 8800; 9800; 8900; 9900; 8400; 9200; 9700; 9000; 8500; 9200; 9800; 8500; 9900; 9700],6006,6007,0.6100270748138428
6,65,66,0.8358863636363638,[16; 56; 69; 32; 25; 15; 86; 92; 64; 63; 55; 89; 35; 6; 7; 10; 93; 37; 21; 72; 61; 78; 48; 11; 31; 82; 40; 39; 83; 45; 46; 85; 13; 19; 27; 18; 3; 44; 77; 74; 50; 4; 23; 24; 70; 62; 59; 91; 95; 0; 97; 28; 1; 54; 68; 2; 71; 87; 9; 14; 90; 42; 17; 60; 65; 67; 57; 99; 38; 22; 12; 29; 81; 41; 33; 96; 58; 66; 20; 75; 51; 80; 47; 79; 52; 30; 98; 88; 36; 73; 53; 84; 43; 26; 8; 5; 49; 76; 34; 94],[[16]; [56; 69]; [32]; [25]; [15]; [86; 92; 64]; [63; 55]; [89; 35]; [6]; [7]; [10]; [93; 37]; [21]; [72; 61]; [78; 48]; [11]; [31]; [82; 40]; [39]; [83; 45]; [46; 85]; [13]; [19]; [27]; [18]; [3]; [44; 77]; [74; 50]; [4]; [23]; [24]; [70; 62]; [59; 91; 95]; [0]; [97; 28]; [1]; [54]; [68]; [2]; [71; 87]; [9]; [14]; [90; 42]; [17]; [60; 65]; [67; 57]; [99; 38]; [22]; [12]; [29]; [81; 41]; [33; 96]; [58; 66]; [20]; [75; 51]; [80; 47]; [79; 52]; [30; 98]; [88; 36]; [73; 53]; [84; 43]; [26]; [8]; [5]; [49; 76]; [34; 94]],[8800; 9700; 7800; 8300; 8800; 9500; 10000; 9900; 9600; 9500; 9300; 9600; 8500; 9000; 9700; 9200; 7900; 10000; 7100; 9700; 9400; 9000; 8700; 8200; 8700; 9800; 10000; 9800; 9800; 8300; 8300; 8900; 9400; 10000; 10000; 9800; 6000; 4200; 9800; 6900; 9400; 8900; 9100; 8800; 9300; 9600; 9400; 8400; 9000; 8000; 9900; 9900; 9600; 8600; 9700; 9500; 9300; 9900; 9900; 9900; 9700; 8200; 9500; 9700; 9900; 9700],6506,6507,0.6252176761627197
6,61,67,0.8156820895522389,[20; 6; 79; 44; 72; 83; 89; 9; 75; 96; 67; 14; 3; 73; 45; 78; 52; 51; 23; 35; 16; 29; 25; 11; 41; 84; 21; 70; 60; 39; 86; 10; 87; 53; 74; 71; 90; 48; 94; 65; 58; 55; 63; 26; 92; 32; 99; 30; 36; 85; 50; 8; 31; 95; 68; 66; 18; 62; 57; 28; 97; 4; 42; 81; 59; 61; 0; 15; 88; 98; 56; 91; 37; 54; 22; 13; 38; 19; 17; 12; 2; 40; 80; 49; 5; 24; 27; 1; 33; 93; 7; 82; 46; 76; 47; 77; 43; 64; 69; 34],[[20]; [6]; [79; 44]; [72; 83; 89]; [9]; [75; 96; 67]; [14]; [3]; [73]; [45; 78]; [52]; [51]; [23]; [35]; [16]; [29]; [25]; [11]; [41; 84]; [21]; [70; 60]; [39; 86]; [10]; [87; 53]; [74; 71; 90]; [48; 94]; [65; 58]; [55; 63]; [26]; [92; 32]; [99; 30]; [36]; [85; 50]; [8]; [31; 95]; [68; 66]; [18]; [62; 57]; [28; 97]; [4]; [42; 81]; [59; 61]; [0]; [15]; [88; 98; 56]; [91; 37]; [54]; [22]; [13]; [38]; [19]; [17]; [12]; [2]; [40; 80]; [49]; [5]; [24]; [27]; [1]; [33; 93]; [7]; [82; 46]; [76; 47]; [77; 43]; [64; 69]; [34]],[8600; 9600; 9900; 9700; 9400; 9900; 8900; 9800; 3900; 9900; 6100; 6200; 8300; 7400; 8800; 8000; 8300; 9200; 9800; 8500; 9100; 10000; 9300; 8800; 10000; 8500; 9700; 10000; 8200; 10000; 9900; 7400; 9200; 9500; 10000; 8500; 8700; 10000; 10000; 9800; 9900; 9900; 10000; 8800; 10000; 9700; 6000; 8400; 9000; 7400; 8700; 8800; 9000; 9800; 10000; 6400; 9700; 8300; 8200; 9800; 10000; 9500; 9500; 9900; 10000; 8600; 7600],6106,6107,0.5946030616760254
6,63,66,0.8359227272727274,[79; 41; 15; 39; 86; 46; 62; 57; 0; 32; 95; 1; 24; 4; 30; 94; 64; 71; 66; 70; 12; 38; 90; 50; 67; 55; 9; 63; 56; 16; 43; 84; 51; 89; 73; 54; 75; 48; 17; 34; 96; 19; 72; 69; 58; 65; 25; 61; 68; 10; 52; 5; 20; 81; 44; 7; 76; 97; 91; 93; 14; 6; 33; 92; 22; 59; 60; 18; 8; 13; 53; 42; 85; 21; 28; 99; 11; 27; 26; 3; 35; 82; 74; 78; 87; 49; 29; 98; 31; 83; 40; 88; 37; 80; 47; 2; 36; 77; 45; 23],[[79; 41]; [15]; [39; 86]; [46]; [62; 57]; [0]; [32; 95]; [1]; [24]; [4]; [30; 94]; [64; 71]; [66; 70]; [12]; [38; 90]; [50]; [67; 55]; [9]; [63; 56]; [16]; [43; 84]; [51; 89]; [73; 54]; [75; 48]; [17]; [34; 96]; [19]; [72; 69]; [58; 65]; [25]; [61; 68]; [10]; [52]; [5]; [20]; [81; 44]; [7]; [76; 97; 91; 93]; [14]; [6]; [33; 92]; [22]; [59; 60]; [18]; [8]; [13]; [53]; [42; 85]; [21]; [28; 99]; [11]; [27]; [26]; [3]; [35]; [82; 74; 78]; [87; 49]; [29; 98]; [31]; [83; 40]; [88; 37]; [80; 47]; [2]; [36]; [77; 45]; [23]],[10000; 8800; 10000; 6400; 10000; 10000; 9900; 9800; 8300; 9800; 10000; 8500; 8500; 9000; 9700; 6200; 9800; 9400; 10000; 8800; 9700; 8700; 9900; 9900; 8800; 9700; 8700; 8300; 9700; 8300; 9100; 9300; 6100; 9700; 8600; 9800; 9500; 10000; 8900; 9600; 10000; 8400; 9900; 8700; 9500; 9000; 6000; 9800; 8500; 10000; 9200; 8200; 8200; 9800; 7400; 10000; 9200; 10000; 7900; 10000; 9900; 9500; 9800; 7400; 9900; 8300],6306,6307,0.6313261985778809
6,62,66,0.8341500000000001,[89; 74; 76; 9; 66; 12; 98; 28; 80; 41; 2; 10; 5; 26; 45; 77; 73; 54; 37; 92; 95; 39; 86; 42; 75; 48; 8; 3; 67; 57; 20; 70; 61; 27; 82; 49; 11; 22; 94; 31; 58; 62; 30; 97; 34; 25; 33; 81; 60; 16; 93; 52; 24; 55; 65; 23; 43; 79; 1; 47; 85; 50; 99; 63; 71; 4; 7; 84; 44; 15; 59; 64; 83; 40; 46; 78; 87; 51; 18; 21; 14; 36; 88; 13; 56; 68; 29; 17; 69; 72; 90; 53; 35; 91; 6; 96; 32; 38; 0; 19],[[89; 74; 76]; [9]; [66]; [12]; [98; 28]; [80; 41]; [2]; [10]; [5]; [26]; [45; 77]; [73; 54]; [37; 92]; [95; 39]; [86; 42]; [75; 48]; [8]; [3]; [67; 57]; [20]; [70; 61]; [27]; [82; 49]; [11]; [22]; [94; 31]; [58; 62]; [30; 97]; [34]; [25]; [33]; [81; 60]; [16]; [93; 52]; [24]; [55; 65]; [23]; [43; 79]; [1]; [47; 85]; [50; 99]; [63; 71]; [4]; [7]; [84; 44]; [15]; [59; 64]; [83; 40]; [46; 78]; [87; 51]; [18]; [21]; [14]; [36; 88]; [13]; [56; 68]; [29]; [17]; [69; 72]; [90; 53]; [35; 91]; [6]; [96; 32]; [38]; [0]; [19]],[9600; 9400; 4300; 9000; 10000; 9900; 9800; 9300; 9700; 8200; 9900; 9900; 9600; 9200; 9700; 9900; 9500; 9800; 9600; 8600; 9100; 8200; 9500; 9200; 8400; 10000; 10000; 9900; 7600; 8300; 7800; 8000; 8800; 8300; 8300; 9900; 8300; 9900; 9800; 9400; 8200; 8600; 9800; 9500; 9700; 8800; 9400; 10000; 9700; 9000; 8700; 8500; 8900; 9900; 9000; 9700; 8000; 8800; 8300; 8300; 9700; 9600; 9900; 7400; 10000; 8700],6206,6207,0.59383225440979
6,59,66,0.8352590909090911,[42; 81; 59; 62; 0; 3; 35; 79; 44; 21; 95; 91; 77; 92; 1; 10; 47; 87; 56; 68; 88; 78; 71; 75; 51; 13; 16; 30; 94; 50; 19; 24; 15; 5; 26; 39; 7; 53; 52; 73; 14; 20; 18; 49; 61; 60; 86; 64; 90; 98; 32; 6; 23; 99; 31; 27; 93; 34; 4; 38; 2; 84; 45; 96; 33; 74; 48; 17; 97; 28; 69; 70; 80; 46; 36; 89; 41; 82; 12; 25; 9; 29; 63; 55; 72; 67; 43; 85; 40; 83; 8; 22; 11; 58; 65; 57; 66; 37; 76; 54],[[42; 81]; [59; 62]; [0]; [3]; [35]; [79; 44]; [21]; [95; 91; 77; 92]; [1]; [10]; [47; 87]; [56; 68]; [88; 78; 71]; [75; 51]; [13]; [16]; [30; 94]; [50]; [19]; [24]; [15]; [5]; [26]; [39]; [7]; [53]; [52; 73]; [14]; [20]; [18]; [49]; [61; 60]; [86; 64; 90]; [98; 32]; [6]; [23]; [99; 31]; [27]; [93; 34]; [4]; [38]; [2]; [84; 45]; [96; 33]; [74; 48]; [17]; [97; 28]; [69; 70]; [80; 46]; [36; 89]; [41; 82]; [12]; [25]; [9]; [29]; [63; 55]; [72; 67]; [43; 85]; [40; 83]; [8]; [22]; [11]; [58; 65]; [57; 66]; [37]; [76; 54]],[9900; 9700; 10000; 9800; 7400; 9900; 8500; 9900; 9800; 9300; 9200; 9700; 9900; 9700; 9000; 8800; 10000; 6200; 8700; 8300; 8800; 9700; 8200; 7100; 9500; 6000; 10000; 8900; 8600; 8700; 6400; 9800; 9600; 9800; 9600; 8300; 9900; 8200; 9800; 9800; 7400; 9800; 9600; 9900; 10000; 8800; 10000; 8400; 9500; 9900; 9900; 9000; 8300; 9400; 8000; 10000; 8400; 9700; 10000; 9500; 8400; 9200; 9700; 9600; 7400; 9500],5906,5907,0.5470864772796631
6,57,66,0.8379500000000002,[69; 60; 9; 3; 31; 63; 67; 1; 38; 64; 57; 21; 28; 97; 52; 37; 91; 4; 42; 79; 41; 82; 26; 73; 54; 15; 74; 48; 7; 2; 23; 0; 19; 80; 43; 96; 33; 44; 81; 6; 92; 34; 17; 10; 22; 70; 68; 29; 98; 47; 87; 13; 8; 90; 94; 55; 25; 58; 62; 24; 11; 61; 66; 39; 86; 46; 76; 71; 59; 49; 85; 89; 51; 84; 40; 88; 35; 12; 16; 53; 20; 27; 14; 5; 83; 77; 75; 36; 95; 50; 32; 93; 72; 18; 78; 45; 65; 56; 30; 99],[[69; 60]; [9]; [3]; [31]; [63; 67]; [1]; [38]; [64; 57]; [21]; [28; 97]; [52]; [37; 91]; [4]; [42; 79]; [41; 82]; [26]; [73; 54]; [15]; [74; 48]; [7]; [2]; [23]; [0]; [19]; [80; 43]; [96; 33]; [44; 81]; [6]; [92; 34]; [17]; [10]; [22]; [70; 68]; [29; 98]; [47; 87]; [13]; [8]; [90; 94; 55]; [25]; [58; 62]; [24]; [11]; [61; 66]; [39; 86]; [46; 76]; [71; 59]; [49; 85]; [89; 51]; [84; 40]; [88; 35]; [12]; [16]; [53]; [20]; [27]; [14]; [5]; [83; 77; 75]; [36; 95]; [50]; [32; 93]; [72]; [18]; [78; 45]; [65; 56]; [30; 99]],[9100; 9400; 9800; 7900; 8800; 9800; 7400; 9700; 8500; 10000; 6100; 9700; 9800; 10000; 9900; 8200; 9900; 8800; 10000; 9500; 9800; 8300; 10000; 8700; 9800; 9900; 9800; 9600; 9800; 8800; 9300; 8400; 8400; 10000; 9200; 9000; 9500; 9900; 8300; 10000; 8300; 9200; 9200; 10000; 9900; 9100; 9400; 8700; 9900; 9900; 9000; 8800; 6000; 8600; 8200; 8900; 9700; 9900; 9500; 6200; 10000; 4100; 8700; 9900; 9900; 9900],5706,5707,0.5192468166351318
