Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
1,33,75,0.7836106666666668,[47; 99; 52; 20; 23; 34; 42; 16; 1; 62; 91; 27; 29; 28; 63; 88; 12; 25; 76; 67; 0; 59; 86; 36; 37; 44; 18; 87; 79; 15; 35; 61; 82; 94; 56; 14; 19; 96; 53; 43; 97; 49; 81; 65; 2; 3; 26; 78; 74; 31; 92; 89; 39; 4; 55; 93; 10; 30; 38; 13; 83; 60; 80; 64; 5; 71; 70; 6; 57; 90; 9; 17; 50; 98; 73; 69; 32; 85; 72; 41; 21; 24; 77; 66; 11; 68; 75; 58; 84; 95; 54; 46; 48; 45; 51; 22; 7; 8; 33; 40],[[47]; [99; 52]; [20]; [23]; [34]; [42]; [16]; [1]; [62; 91]; [27]; [29]; [28]; [63; 88]; [12]; [25]; [76; 67]; [0]; [59; 86]; [36]; [37]; [44]; [18]; [87; 79]; [15]; [35]; [61; 82]; [94; 56]; [14]; [19]; [96; 53]; [43]; [97; 49]; [81; 65]; [2]; [3]; [26]; [78; 74]; [31]; [92; 89]; [39]; [4]; [55; 93]; [10]; [30]; [38]; [13]; [83; 60]; [80; 64]; [5]; [71; 70]; [6]; [57; 90]; [9]; [17]; [50; 98]; [73; 69]; [32]; [85; 72]; [41]; [21]; [24]; [77; 66]; [11]; [68; 75]; [58; 84]; [95; 54]; [46]; [48]; [45]; [51]; [22]; [7]; [8]; [33]; [40]],[6900; 9800; 8700; 8300; 7700; 7400; 8900; 10000; 9800; 8100; 8000; 8000; 9600; 9100; 8300; 10000; 10000; 10000; 7700; 7700; 7200; 8900; 8100; 9000; 7700; 10000; 9800; 9100; 8800; 10000; 7400; 10000; 9700; 9800; 9800; 8200; 8900; 7900; 7400; 7500; 9700; 10000; 9200; 8000; 7700; 9100; 10000; 9700; 9700; 9900; 9400; 10000; 9200; 8900; 9900; 10000; 7900; 8800; 7400; 8600; 8300; 9900; 9200; 10000; 10000; 9900; 6900; 6900; 7000; 6600; 8500; 9300; 9300; 7800; 7500],3301,3302,0.34516286849975586
6,56,76,0.7642368421052637,[60; 83; 86; 59; 54; 1; 7; 31; 5; 45; 13; 61; 81; 47; 19; 90; 57; 37; 74; 72; 38; 43; 62; 89; 25; 80; 69; 0; 49; 98; 77; 66; 78; 71; 34; 24; 4; 16; 94; 91; 6; 3; 8; 55; 92; 52; 40; 29; 63; 93; 95; 56; 22; 99; 58; 32; 53; 96; 70; 73; 10; 64; 79; 35; 28; 17; 23; 11; 2; 87; 85; 84; 88; 36; 21; 42; 44; 46; 33; 82; 65; 20; 68; 75; 12; 18; 39; 14; 30; 97; 51; 9; 26; 15; 27; 50; 76; 67; 41; 48],[[60; 83]; [86; 59]; [54]; [1]; [7]; [31]; [5]; [45]; [13]; [61; 81]; [47]; [19]; [90; 57]; [37]; [74; 72]; [38]; [43]; [62; 89]; [25]; [80; 69]; [0]; [49; 98]; [77; 66]; [78; 71]; [34]; [24]; [4]; [16]; [94; 91]; [6]; [3]; [8]; [55; 92]; [52]; [40]; [29]; [63; 93]; [95; 56]; [22]; [99; 58]; [32]; [53; 96]; [70; 73]; [10]; [64; 79]; [35]; [28]; [17]; [23]; [11]; [2]; [87; 85]; [84; 88]; [36]; [21]; [42]; [44]; [46]; [33]; [82; 65]; [20]; [68; 75]; [12]; [18]; [39]; [14]; [30]; [97; 51]; [9]; [26]; [15]; [27]; [50]; [76; 67]; [41]; [48]],[10000; 10000; 6400; 10000; 9300; 7900; 9700; 7000; 9100; 10000; 6900; 8800; 10000; 7700; 9600; 7700; 7400; 9800; 8300; 9200; 10000; 9900; 9900; 9100; 7700; 8300; 9700; 8900; 7300; 9400; 9800; 9300; 10000; 6600; 7500; 8000; 9400; 9800; 8500; 9300; 7900; 10000; 9800; 9200; 9900; 7700; 8000; 8900; 8300; 9200; 9800; 7800; 7700; 7700; 8600; 7400; 7200; 6900; 7800; 9700; 8700; 10000; 9100; 8900; 7500; 9100; 8000; 10000; 9200; 8200; 9000; 8100; 6600; 10000; 7400; 6900],5606,5607,0.5350399017333984
6,46,76,0.7668000000000003,[93; 71; 47; 53; 95; 91; 23; 19; 36; 18; 5; 20; 10; 29; 60; 82; 15; 12; 8; 84; 90; 2; 83; 62; 52; 38; 32; 64; 78; 42; 0; 63; 80; 89; 58; 48; 87; 66; 94; 57; 25; 24; 39; 35; 22; 27; 85; 61; 13; 55; 92; 44; 37; 4; 81; 77; 21; 9; 40; 30; 6; 16; 1; 46; 33; 51; 99; 50; 97; 43; 49; 98; 69; 73; 96; 54; 14; 68; 75; 70; 72; 67; 86; 28; 11; 34; 56; 65; 79; 3; 7; 41; 26; 59; 88; 45; 17; 74; 76; 31],[[93; 71]; [47]; [53; 95]; [91]; [23]; [19]; [36]; [18]; [5]; [20]; [10]; [29]; [60; 82]; [15]; [12]; [8]; [84; 90]; [2]; [83; 62]; [52]; [38]; [32]; [64; 78]; [42]; [0]; [63; 80]; [89; 58]; [48]; [87; 66]; [94; 57]; [25]; [24]; [39]; [35]; [22]; [27]; [85; 61]; [13]; [55; 92]; [44]; [37]; [4]; [81; 77]; [21]; [9]; [40]; [30]; [6]; [16]; [1]; [46]; [33]; [51; 99]; [50; 97]; [43]; [49; 98]; [69; 73]; [96; 54]; [14]; [68; 75]; [70; 72]; [67; 86]; [28]; [11]; [34]; [56]; [65; 79]; [3]; [7]; [41]; [26]; [59; 88]; [45]; [17]; [74; 76]; [31]],[8500; 6900; 10000; 3800; 8300; 8800; 7700; 8900; 9700; 8700; 9200; 8000; 10000; 9000; 9100; 9300; 7700; 9800; 10000; 6600; 7700; 7900; 9900; 7400; 10000; 9800; 9900; 6900; 9500; 9700; 8300; 8300; 7500; 7700; 8500; 8100; 9900; 9100; 10000; 7200; 7700; 9700; 8300; 8600; 9200; 7500; 8000; 9400; 8900; 10000; 6900; 7800; 9800; 10000; 7400; 9900; 10000; 9900; 9100; 10000; 9900; 9500; 8000; 9200; 7700; 6300; 9900; 9800; 9300; 7400; 8200; 9900; 7000; 8900; 9100; 7900],4606,4607,0.5259606838226318
6,53,76,0.7639184210526316,[56; 94; 48; 81; 96; 3; 38; 40; 4; 77; 66; 39; 17; 18; 0; 72; 75; 49; 99; 11; 35; 54; 92; 8; 51; 19; 27; 6; 52; 59; 89; 42; 34; 63; 83; 47; 90; 62; 21; 32; 15; 12; 73; 80; 33; 68; 76; 74; 88; 53; 98; 25; 2; 67; 95; 84; 60; 86; 64; 57; 91; 26; 1; 23; 69; 78; 9; 22; 5; 24; 10; 37; 65; 79; 50; 30; 82; 61; 31; 13; 55; 93; 36; 71; 70; 58; 87; 41; 29; 14; 20; 97; 85; 43; 28; 44; 7; 45; 16; 46],[[56; 94]; [48]; [81; 96]; [3]; [38]; [40]; [4]; [77; 66]; [39]; [17]; [18]; [0]; [72; 75]; [49; 99]; [11]; [35]; [54; 92]; [8]; [51]; [19]; [27]; [6]; [52]; [59; 89]; [42]; [34]; [63; 83]; [47]; [90; 62]; [21]; [32]; [15]; [12]; [73; 80]; [33]; [68; 76]; [74; 88]; [53; 98]; [25]; [2]; [67; 95]; [84; 60]; [86; 64]; [57; 91]; [26]; [1]; [23]; [69; 78]; [9]; [22]; [5]; [24]; [10]; [37]; [65; 79]; [50]; [30]; [82; 61]; [31]; [13]; [55; 93]; [36]; [71; 70]; [58; 87]; [41]; [29]; [14]; [20]; [97; 85]; [43]; [28]; [44]; [7]; [45]; [16]; [46]],[9800; 6900; 7500; 9800; 7700; 7500; 9700; 9900; 7500; 8900; 8900; 10000; 9500; 9800; 9200; 7700; 10000; 9300; 6600; 8800; 8100; 9400; 6600; 9900; 7400; 7700; 9800; 6900; 9800; 8600; 7900; 9000; 9100; 8800; 7800; 9800; 8500; 9800; 8300; 9800; 9100; 9900; 9600; 10000; 8200; 10000; 8300; 9400; 9200; 8500; 9700; 8300; 9200; 7700; 9900; 6600; 8000; 10000; 7900; 9100; 10000; 7700; 9900; 10000; 7400; 8000; 9100; 8700; 7300; 7400; 8000; 7200; 9300; 7000; 8900; 6900],5306,5307,0.5956487655639648
2,32,75,0.7836133333333335,[34; 70; 79; 3; 47; 60; 83; 42; 92; 54; 7; 26; 80; 66; 0; 15; 49; 97; 12; 44; 95; 88; 9; 16; 85; 59; 45; 84; 58; 21; 22; 27; 90; 64; 40; 68; 75; 14; 8; 32; 31; 19; 86; 61; 23; 2; 37; 35; 57; 91; 13; 29; 24; 4; 50; 25; 46; 36; 98; 52; 11; 81; 78; 38; 6; 43; 62; 82; 72; 89; 55; 96; 99; 51; 20; 10; 65; 77; 56; 93; 41; 28; 17; 67; 76; 94; 53; 5; 69; 74; 73; 71; 1; 30; 48; 87; 63; 18; 39; 33],[[34]; [70; 79]; [3]; [47]; [60; 83]; [42]; [92; 54]; [7]; [26]; [80; 66]; [0]; [15]; [49; 97]; [12]; [44]; [95; 88]; [9]; [16]; [85; 59]; [45]; [84; 58]; [21]; [22]; [27]; [90; 64]; [40]; [68; 75]; [14]; [8]; [32]; [31]; [19]; [86; 61]; [23]; [2]; [37]; [35]; [57; 91]; [13]; [29]; [24]; [4]; [50]; [25]; [46]; [36]; [98; 52]; [11]; [81; 78]; [38]; [6]; [43]; [62; 82]; [72; 89]; [55; 96]; [99; 51]; [20]; [10]; [65; 77]; [56; 93]; [41]; [28]; [17]; [67; 76]; [94; 53]; [5]; [69; 74]; [73; 71]; [1]; [30]; [48]; [87; 63]; [18]; [39]; [33]],[7700; 9200; 9800; 6900; 10000; 7400; 10000; 9300; 8200; 9600; 10000; 9000; 10000; 9100; 7200; 7300; 9200; 8900; 10000; 7000; 10000; 8600; 8500; 8100; 9500; 7500; 10000; 9100; 9300; 7900; 7900; 8800; 9900; 8300; 9800; 7700; 7700; 10000; 9100; 8000; 8300; 9700; 6600; 8300; 6900; 7700; 9900; 9200; 8200; 7700; 9400; 7400; 10000; 8700; 9900; 9800; 8700; 9200; 10000; 9900; 7400; 8000; 8900; 10000; 10000; 9700; 9900; 9700; 10000; 8000; 6900; 9700; 8900; 7500; 7800],3202,3203,0.3612387180328369
6,42,76,0.7646184210526316,[19; 36; 51; 46; 10; 47; 81; 62; 13; 24; 7; 3; 27; 55; 93; 94; 99; 76; 95; 30; 49; 98; 71; 73; 60; 86; 20; 23; 9; 53; 97; 26; 44; 35; 91; 88; 45; 92; 54; 21; 25; 33; 18; 40; 34; 84; 59; 43; 16; 14; 11; 69; 82; 96; 56; 17; 38; 68; 75; 5; 50; 52; 42; 2; 61; 85; 65; 83; 12; 1; 15; 37; 31; 79; 66; 0; 22; 39; 29; 4; 80; 67; 28; 90; 74; 6; 32; 63; 78; 41; 48; 77; 64; 87; 58; 70; 72; 57; 89; 8],[[19]; [36]; [51]; [46]; [10]; [47]; [81; 62]; [13]; [24]; [7]; [3]; [27]; [55; 93]; [94; 99]; [76; 95]; [30]; [49; 98]; [71; 73]; [60; 86]; [20]; [23]; [9]; [53; 97]; [26]; [44]; [35]; [91; 88]; [45]; [92; 54]; [21]; [25]; [33]; [18]; [40]; [34]; [84; 59]; [43]; [16]; [14]; [11]; [69; 82]; [96; 56]; [17]; [38]; [68; 75]; [5]; [50]; [52]; [42]; [2]; [61; 85]; [65; 83]; [12]; [1]; [15]; [37]; [31]; [79; 66]; [0]; [22]; [39]; [29]; [4]; [80; 67]; [28]; [90; 74]; [6]; [32]; [63; 78]; [41]; [48]; [77; 64]; [87; 58]; [70; 72]; [57; 89]; [8]],[8800; 7700; 6600; 6900; 9200; 6900; 10000; 9100; 8300; 9300; 9800; 8100; 10000; 6700; 7900; 8000; 9900; 9700; 9900; 8700; 8300; 9200; 9900; 8200; 7200; 7700; 7600; 7000; 10000; 8600; 8300; 7800; 8900; 7500; 7700; 10000; 7400; 8900; 9100; 9200; 9200; 9800; 8900; 7700; 10000; 9700; 6600; 6600; 7400; 9800; 9900; 9700; 9100; 10000; 9000; 7700; 7900; 9800; 10000; 8500; 7500; 8000; 9700; 9600; 8000; 8500; 9400; 7900; 10000; 7400; 6900; 10000; 10000; 9900; 10000; 9300],4206,4207,0.3914332389831543
6,41,77,0.7531584415584417,[92; 13; 43; 29; 0; 39; 73; 78; 11; 2; 81; 60; 42; 84; 70; 20; 90; 59; 28; 36; 31; 30; 62; 85; 17; 16; 21; 23; 68; 75; 35; 56; 93; 82; 65; 6; 14; 45; 26; 18; 50; 7; 86; 3; 69; 74; 19; 37; 24; 46; 33; 1; 67; 76; 80; 61; 64; 77; 27; 98; 49; 52; 47; 38; 89; 32; 10; 57; 88; 15; 12; 40; 25; 8; 97; 51; 83; 66; 95; 53; 58; 91; 44; 54; 94; 63; 79; 48; 9; 22; 55; 96; 99; 72; 71; 87; 4; 5; 34; 41],[[92]; [13]; [43]; [29]; [0]; [39]; [73; 78]; [11]; [2]; [81; 60]; [42]; [84; 70]; [20]; [90; 59]; [28]; [36]; [31]; [30]; [62; 85]; [17]; [16]; [21]; [23]; [68; 75]; [35]; [56; 93]; [82; 65]; [6]; [14]; [45]; [26]; [18]; [50]; [7]; [86]; [3]; [69; 74]; [19]; [37]; [24]; [46]; [33]; [1]; [67; 76]; [80; 61]; [64; 77]; [27]; [98; 49]; [52]; [47]; [38]; [89]; [32]; [10]; [57; 88]; [15]; [12]; [40]; [25]; [8]; [97; 51]; [83; 66]; [95; 53]; [58; 91]; [44]; [54; 94]; [63; 79]; [48]; [9]; [22]; [55; 96]; [99; 72]; [71; 87]; [4]; [5]; [34]; [41]],[3600; 9100; 7400; 8000; 10000; 7500; 9000; 9200; 9800; 10000; 7400; 8900; 8700; 9900; 8000; 7700; 7900; 8000; 9900; 8900; 8900; 8600; 8300; 10000; 7700; 9900; 9700; 9400; 9100; 7000; 8200; 8900; 6600; 9300; 3900; 9800; 9900; 8800; 7700; 8300; 6900; 7800; 10000; 10000; 10000; 10000; 8100; 9900; 6600; 6900; 7700; 3800; 7900; 9200; 10000; 9000; 9100; 7500; 8300; 9300; 10000; 9600; 10000; 9900; 7200; 9900; 10000; 6900; 9200; 8500; 9900; 8100; 8800; 9700; 9700; 7700; 7400],4106,4107,0.3916666507720947
6,51,76,0.7640184210526317,[60; 91; 44; 97; 52; 0; 40; 24; 61; 87; 79; 70; 85; 80; 5; 58; 84; 59; 89; 42; 68; 76; 49; 56; 96; 30; 37; 77; 66; 20; 72; 71; 65; 82; 34; 31; 26; 21; 6; 64; 86; 29; 1; 55; 35; 7; 46; 62; 81; 92; 90; 33; 9; 75; 69; 17; 50; 99; 95; 53; 98; 74; 2; 94; 57; 51; 3; 14; 28; 36; 38; 23; 41; 43; 47; 11; 54; 93; 67; 78; 13; 10; 48; 32; 15; 16; 83; 63; 12; 25; 8; 39; 18; 4; 27; 45; 88; 73; 22; 19],[[60; 91]; [44]; [97; 52]; [0]; [40]; [24]; [61; 87]; [79; 70]; [85; 80]; [5]; [58; 84]; [59; 89]; [42]; [68; 76]; [49]; [56; 96]; [30]; [37]; [77; 66]; [20]; [72; 71]; [65; 82]; [34]; [31]; [26]; [21]; [6]; [64; 86]; [29]; [1]; [55]; [35]; [7]; [46]; [62; 81]; [92; 90]; [33]; [9]; [75; 69]; [17]; [50; 99]; [95; 53]; [98; 74]; [2]; [94; 57]; [51]; [3]; [14]; [28]; [36]; [38]; [23]; [41]; [43]; [47]; [11]; [54; 93]; [67; 78]; [13]; [10]; [48]; [32]; [15]; [16]; [83; 63]; [12]; [25]; [8]; [39]; [18]; [4]; [27]; [45]; [88; 73]; [22]; [19]],[9800; 7200; 10000; 10000; 7500; 8300; 9900; 9200; 7900; 9700; 10000; 9900; 7400; 9800; 6600; 9800; 8000; 7700; 9900; 8700; 9800; 9700; 7700; 7900; 8200; 8600; 9400; 9600; 8000; 10000; 6400; 7700; 9300; 6900; 10000; 7400; 7800; 9200; 9800; 8900; 9800; 10000; 8000; 9800; 9700; 6600; 9800; 9100; 8000; 7700; 7700; 8300; 7400; 7400; 6900; 9200; 10000; 9800; 9100; 9200; 6900; 7900; 9000; 8900; 9800; 9100; 8300; 9300; 7500; 8900; 9700; 8100; 7000; 8600; 8500; 8800],5106,5107,0.5564107894897461
6,64,76,0.7695289473684211,[32; 97; 52; 21; 54; 94; 28; 42; 61; 82; 34; 10; 13; 95; 53; 19; 4; 8; 35; 16; 89; 64; 40; 25; 30; 66; 81; 31; 11; 33; 17; 39; 51; 98; 57; 91; 2; 48; 71; 75; 47; 58; 84; 20; 86; 60; 29; 1; 7; 26; 6; 5; 38; 96; 15; 49; 69; 79; 24; 18; 37; 43; 55; 92; 12; 14; 36; 65; 85; 41; 27; 76; 74; 67; 77; 44; 46; 50; 99; 88; 9; 78; 63; 83; 62; 22; 59; 87; 23; 73; 80; 68; 90; 93; 56; 3; 45; 70; 72; 0],[[32]; [97; 52]; [21]; [54; 94]; [28]; [42]; [61; 82]; [34]; [10]; [13]; [95; 53]; [19]; [4]; [8]; [35]; [16]; [89; 64]; [40]; [25]; [30]; [66; 81]; [31]; [11]; [33]; [17]; [39]; [51; 98]; [57; 91]; [2]; [48]; [71; 75]; [47]; [58; 84]; [20]; [86; 60]; [29]; [1]; [7]; [26]; [6]; [5]; [38]; [96]; [15]; [49]; [69; 79]; [24]; [18]; [37]; [43]; [55; 92]; [12]; [14]; [36]; [65; 85]; [41]; [27]; [76; 74]; [67; 77]; [44]; [46]; [50; 99]; [88]; [9]; [78; 63]; [83; 62]; [22]; [59; 87]; [23]; [73; 80]; [68; 90]; [93; 56]; [3]; [45]; [70; 72]; [0]],[7900; 10000; 8600; 9900; 8000; 7400; 10000; 7700; 9200; 9100; 10000; 8800; 9700; 9300; 7700; 8900; 9500; 7500; 8300; 8000; 9600; 7900; 9200; 7800; 8900; 7500; 9900; 10000; 9800; 6900; 9500; 6900; 10000; 8700; 9900; 8000; 10000; 9300; 8200; 9400; 9700; 7700; 3500; 9000; 6600; 9400; 8300; 8900; 7700; 7400; 10000; 9100; 9100; 7700; 9600; 7400; 8100; 9100; 9900; 7200; 6900; 9800; 3800; 9200; 10000; 10000; 8500; 10000; 8300; 8800; 9200; 9900; 9800; 7000; 9900; 10000],6406,6407,0.6667578220367432
6,68,76,0.7670526315789477,[41; 34; 87; 60; 24; 78; 63; 40; 13; 17; 43; 97; 54; 35; 95; 56; 80; 64; 72; 73; 21; 31; 85; 66; 8; 0; 19; 30; 39; 26; 5; 42; 90; 57; 68; 75; 51; 49; 7; 77; 84; 55; 94; 52; 99; 53; 96; 4; 62; 83; 22; 14; 67; 81; 86; 93; 65; 79; 2; 12; 6; 23; 27; 28; 10; 70; 71; 36; 38; 48; 45; 1; 11; 29; 15; 91; 59; 3; 74; 69; 44; 37; 89; 76; 9; 32; 33; 92; 50; 98; 46; 20; 16; 25; 88; 58; 47; 18; 61; 82],[[41]; [34]; [87; 60]; [24]; [78; 63]; [40]; [13]; [17]; [43]; [97; 54]; [35]; [95; 56]; [80; 64]; [72; 73]; [21]; [31]; [85; 66]; [8]; [0]; [19]; [30]; [39]; [26]; [5]; [42]; [90; 57]; [68; 75]; [51]; [49]; [7]; [77; 84]; [55; 94]; [52; 99]; [53; 96]; [4]; [62; 83]; [22]; [14]; [67; 81]; [86; 93]; [65; 79]; [2]; [12]; [6]; [23]; [27]; [28]; [10]; [70; 71]; [36]; [38]; [48]; [45]; [1]; [11]; [29]; [15]; [91; 59]; [3]; [74; 69]; [44]; [37]; [89; 76]; [9]; [32]; [33]; [92]; [50; 98]; [46]; [20]; [16]; [25]; [88; 58]; [47]; [18]; [61; 82]],[7400; 7700; 9900; 8300; 10000; 7500; 9100; 8900; 7400; 9800; 7700; 9800; 9700; 9700; 8600; 7900; 9500; 9300; 10000; 8800; 8000; 7500; 8200; 9700; 7400; 10000; 10000; 6600; 6600; 9300; 8200; 9900; 9800; 10000; 9700; 10000; 8500; 9100; 9600; 7500; 9900; 9800; 9100; 9400; 8300; 8100; 8000; 9200; 9900; 7700; 7700; 6900; 7000; 10000; 9200; 8000; 9000; 9900; 9800; 9900; 7200; 7700; 8200; 9200; 7900; 7800; 3600; 9900; 6900; 8700; 8900; 8300; 9900; 6900; 8900; 10000],6806,6807,0.6561703681945801
