Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
6,37,43,0.864420219638243,[3; 76; 14; 4; 72; 10; 29; 46; 27; 48; 69; 96; 6; 0; 75; 30; 42; 83; 94; 2; 13; 15; 65; 23; 93; 57; 33; 85; 55; 86; 1; 89; 12; 73; 51; 50; 68; 38; 77; 80; 60; 97; 19; 41; 31; 17; 67; 78; 88; 8; 56; 22; 62; 21; 16; 98; 63; 81; 9; 39; 36; 87; 37; 52; 92; 99; 91; 47; 32; 70; 7; 90; 20; 45; 84; 40; 26; 54; 43; 35; 61; 18; 59; 79; 11; 95; 71; 28; 49; 64; 82; 58; 66; 24; 44; 34; 74; 5; 25; 53],[[3; 76]; [14]; [4; 72]; [10]; [29; 46]; [27; 48]; [69; 96; 6]; [0; 75]; [30; 42]; [83; 94; 2]; [13]; [15; 65]; [23; 93; 57]; [33; 85; 55]; [86; 1]; [89; 12; 73]; [51; 50; 68]; [38; 77; 80; 60]; [97; 19]; [41; 31]; [17; 67]; [78; 88; 8]; [56; 22]; [62; 21]; [16; 98; 63]; [81; 9]; [39; 36]; [87; 37; 52; 92; 99]; [91; 47; 32]; [70; 7]; [90; 20]; [45; 84; 40]; [26; 54]; [43; 35]; [61; 18]; [59; 79]; [11; 95; 71]; [28; 49]; [64; 82; 58; 66]; [24]; [44; 34]; [74; 5]; [25; 53]],[11400; 8700; 11700; 9000; 11800; 12000; 12000; 12000; 12000; 11700; 8900; 11700; 12000; 11800; 11300; 12000; 11900; 12000; 8200; 12000; 11300; 12000; 11700; 11100; 11700; 10400; 11100; 11700; 11900; 11600; 8800; 11500; 11500; 11200; 11700; 5200; 11600; 11700; 11700; 7700; 11300; 11400; 11800],3706,3707,0.3776974678039551
6,53,43,0.8652890826873386,[14; 66; 91; 36; 37; 10; 79; 31; 26; 50; 75; 1; 54; 90; 29; 78; 97; 41; 64; 86; 68; 11; 85; 43; 87; 57; 12; 94; 76; 21; 59; 56; 20; 0; 95; 77; 47; 28; 74; 2; 63; 15; 52; 67; 55; 18; 60; 81; 44; 40; 25; 65; 88; 30; 45; 62; 19; 7; 23; 53; 71; 92; 13; 96; 22; 80; 72; 69; 89; 24; 93; 5; 84; 35; 4; 83; 58; 16; 33; 6; 48; 27; 17; 98; 61; 9; 70; 73; 38; 51; 82; 99; 3; 42; 34; 32; 39; 46; 49; 8],[[14; 66]; [91; 36; 37]; [10; 79]; [31]; [26; 50]; [75; 1]; [54; 90; 29]; [78; 97; 41; 64; 86]; [68; 11]; [85; 43; 87; 57]; [12; 94; 76]; [21; 59]; [56; 20]; [0; 95; 77]; [47; 28]; [74; 2]; [63; 15]; [52; 67; 55]; [18; 60]; [81; 44; 40]; [25; 65; 88]; [30; 45]; [62; 19]; [7]; [23; 53]; [71; 92; 13]; [96; 22; 80; 72]; [69; 89; 24; 93]; [5; 84]; [35]; [4; 83]; [58; 16]; [33]; [6]; [48; 27]; [17; 98; 61]; [9; 70]; [73; 38; 51]; [82; 99; 3]; [42; 34]; [32; 39]; [46; 49]; [8]],[12000; 11900; 10600; 6800; 11800; 12000; 11900; 11600; 11800; 11200; 11100; 11300; 12000; 12000; 11900; 12000; 11800; 11600; 11700; 11800; 11900; 11700; 11500; 9200; 12000; 12000; 11600; 11900; 10600; 6100; 10800; 11900; 6400; 9200; 12000; 11800; 11400; 12000; 11100; 11400; 11700; 9500; 9200],5306,5307,0.5034093856811523
6,54,43,0.8671043281653745,[48; 27; 84; 9; 16; 57; 99; 47; 31; 56; 32; 71; 8; 98; 70; 4; 13; 24; 54; 18; 58; 30; 41; 44; 76; 51; 61; 22; 3; 80; 42; 60; 66; 23; 55; 73; 10; 50; 59; 43; 35; 81; 95; 0; 93; 7; 78; 64; 91; 20; 21; 2; 74; 96; 63; 15; 86; 90; 37; 88; 62; 77; 89; 5; 26; 28; 82; 33; 39; 40; 46; 87; 92; 34; 38; 97; 79; 1; 67; 11; 75; 12; 6; 69; 72; 83; 17; 25; 52; 53; 29; 49; 19; 94; 68; 45; 36; 85; 65; 14],[[48; 27]; [84; 9]; [16; 57; 99]; [47; 31]; [56; 32]; [71; 8; 98]; [70; 4]; [13]; [24; 54]; [18; 58]; [30; 41]; [44; 76; 51]; [61; 22]; [3; 80]; [42; 60; 66]; [23; 55]; [73; 10]; [50; 59]; [43; 35]; [81; 95; 0]; [93; 7; 78]; [64; 91; 20]; [21]; [2; 74]; [96; 63; 15]; [86; 90; 37; 88; 62]; [77; 89; 5]; [26]; [28; 82]; [33; 39]; [40; 46; 87; 92]; [34; 38; 97]; [79; 1]; [67; 11]; [75; 12]; [6; 69]; [72; 83; 17]; [25; 52]; [53; 29]; [49]; [19; 94; 68]; [45; 36; 85]; [65; 14]],[12000; 10300; 12000; 11600; 10400; 11700; 11800; 8900; 11900; 11900; 12000; 11400; 11200; 11100; 12000; 11800; 11200; 8100; 11200; 11700; 11500; 12000; 7700; 12000; 11900; 12000; 11900; 7300; 8500; 11700; 12000; 11600; 11600; 12000; 10900; 11900; 11900; 11900; 11200; 4600; 11400; 12000; 12000],5406,5407,0.5208947658538818
6,67,42,0.90286541005291,[69; 7; 0; 75; 64; 14; 11; 86; 17; 67; 54; 24; 42; 31; 98; 25; 91; 57; 26; 65; 4; 71; 83; 49; 77; 58; 90; 5; 87; 94; 52; 18; 60; 28; 45; 48; 27; 84; 38; 37; 61; 93; 23; 12; 47; 46; 88; 15; 62; 51; 29; 3; 43; 50; 74; 78; 81; 92; 16; 36; 35; 96; 79; 85; 10; 9; 68; 32; 99; 39; 82; 2; 44; 33; 66; 22; 53; 34; 80; 6; 19; 59; 20; 63; 56; 21; 97; 95; 8; 70; 55; 72; 40; 13; 73; 89; 41; 30; 76; 1],[[69; 7]; [0; 75]; [64; 14]; [11; 86]; [17; 67]; [54; 24]; [42; 31]; [98; 25; 91; 57]; [26; 65]; [4; 71]; [83; 49; 77; 58]; [90; 5; 87; 94]; [52]; [18; 60]; [28; 45]; [48; 27]; [84; 38; 37]; [61; 93; 23]; [12]; [47; 46; 88]; [15; 62]; [51; 29]; [3]; [43; 50; 74]; [78; 81; 92; 16]; [36; 35; 96]; [79; 85; 10]; [9; 68]; [32; 99; 39]; [82; 2]; [44; 33]; [66; 22]; [53; 34; 80]; [6]; [19; 59]; [20; 63]; [56; 21; 97]; [95; 8; 70]; [55; 72; 40]; [13; 73; 89]; [41; 30]; [76; 1]],[11900; 12000; 12000; 10200; 11300; 11900; 12000; 12000; 10600; 11800; 11400; 11600; 4400; 11700; 12000; 12000; 12000; 11800; 8900; 10800; 11800; 11400; 9600; 11700; 12000; 12000; 11900; 11900; 11800; 11300; 11500; 11000; 12000; 9200; 11700; 11400; 11800; 11900; 11700; 12000; 12000; 11800],6706,6707,0.6159508228302002
6,74,42,0.9014765211640212,[18; 40; 83; 43; 36; 48; 84; 55; 29; 90; 8; 81; 15; 62; 28; 45; 63; 30; 0; 75; 89; 64; 22; 66; 79; 94; 46; 21; 53; 26; 49; 24; 54; 31; 44; 4; 71; 80; 41; 65; 76; 77; 5; 14; 87; 74; 34; 42; 9; 69; 86; 1; 92; 20; 59; 7; 72; 47; 27; 33; 51; 91; 70; 3; 50; 38; 61; 19; 32; 97; 39; 13; 67; 96; 17; 57; 95; 35; 56; 88; 11; 73; 25; 52; 85; 82; 6; 10; 68; 12; 37; 99; 23; 93; 58; 16; 60; 78; 98; 2],[[18]; [40; 83; 43]; [36; 48; 84]; [55; 29; 90]; [8; 81]; [15; 62]; [28; 45]; [63; 30]; [0; 75]; [89; 64; 22]; [66; 79; 94; 46]; [21; 53]; [26; 49]; [24; 54]; [31; 44]; [4; 71]; [80; 41; 65; 76]; [77; 5]; [14; 87; 74]; [34; 42]; [9; 69]; [86; 1; 92]; [20; 59]; [7; 72]; [47; 27]; [33; 51; 91]; [70; 3]; [50; 38]; [61; 19]; [32; 97; 39]; [13; 67]; [96; 17; 57]; [95; 35; 56; 88]; [11; 73]; [25; 52]; [85; 82; 6]; [10; 68]; [12]; [37; 99]; [23; 93; 58]; [16; 60]; [78; 98; 2]],[8200; 11800; 11900; 11800; 10600; 11800; 12000; 10200; 12000; 11900; 10200; 12000; 11900; 11900; 11900; 11800; 11800; 11000; 11900; 11400; 11700; 12000; 11600; 11500; 12000; 11600; 12000; 9800; 11600; 11800; 12000; 12000; 11500; 11100; 11900; 11900; 11900; 8900; 5500; 12000; 11700; 11700],7406,7407,0.7507293224334717
6,51,43,0.8669266795865631,[8; 74; 18; 59; 31; 42; 0; 91; 35; 89; 97; 48; 39; 85; 68; 71; 93; 29; 52; 51; 5; 2; 96; 75; 10; 25; 50; 46; 49; 76; 15; 67; 9; 86; 78; 81; 77; 13; 11; 23; 14; 64; 80; 38; 41; 22; 54; 7; 88; 84; 60; 95; 19; 17; 57; 20; 62; 6; 1; 56; 24; 65; 40; 63; 45; 32; 79; 87; 99; 69; 33; 98; 28; 47; 53; 21; 90; 12; 72; 70; 61; 55; 82; 27; 26; 92; 66; 16; 58; 44; 30; 3; 73; 36; 43; 34; 94; 37; 83; 4],[[8; 74]; [18; 59]; [31; 42]; [0; 91]; [35; 89; 97; 48]; [39; 85; 68; 71]; [93; 29; 52]; [51]; [5]; [2; 96; 75]; [10]; [25; 50]; [46; 49; 76]; [15; 67]; [9; 86; 78]; [81; 77; 13]; [11]; [23]; [14; 64]; [80; 38; 41]; [22; 54]; [7; 88; 84]; [60; 95; 19]; [17; 57]; [20; 62]; [6]; [1]; [56; 24]; [65; 40; 63]; [45; 32]; [79; 87; 99; 69; 33; 98]; [28; 47]; [53; 21]; [90; 12; 72]; [70; 61; 55; 82]; [27]; [26; 92; 66]; [16; 58]; [44; 30]; [3; 73]; [36; 43]; [34; 94; 37]; [83; 4]],[11300; 11800; 12000; 10700; 11900; 11900; 11900; 4500; 9300; 12000; 9000; 12000; 11300; 11500; 12000; 12000; 8900; 7700; 12000; 12000; 11900; 11600; 11900; 11900; 11400; 9200; 10000; 11700; 12000; 11300; 12000; 11900; 12000; 12000; 11400; 7200; 11300; 11900; 11900; 11800; 10900; 12000; 10800],5106,5107,0.4730799198150635
6,72,42,0.8996412037037037,[82; 0; 14; 64; 1; 76; 42; 70; 52; 28; 46; 32; 75; 59; 93; 35; 39; 88; 87; 13; 23; 53; 3; 71; 44; 33; 65; 92; 60; 55; 5; 69; 90; 7; 77; 58; 22; 99; 48; 27; 63; 16; 98; 19; 73; 79; 86; 38; 40; 43; 97; 31; 61; 15; 62; 18; 84; 50; 34; 26; 49; 83; 17; 80; 96; 78; 81; 12; 74; 4; 94; 57; 68; 37; 41; 30; 6; 9; 25; 36; 51; 85; 54; 21; 45; 72; 47; 8; 56; 29; 11; 2; 67; 89; 20; 66; 91; 95; 24; 10],[[82; 0]; [14; 64]; [1; 76]; [42; 70; 52]; [28; 46]; [32; 75; 59]; [93; 35; 39]; [88; 87; 13]; [23; 53]; [3; 71]; [44; 33]; [65; 92; 60; 55]; [5; 69]; [90; 7; 77]; [58; 22; 99]; [48; 27]; [63; 16; 98]; [19; 73; 79]; [86; 38; 40]; [43; 97; 31]; [61; 15]; [62; 18]; [84; 50; 34]; [26; 49]; [83; 17; 80; 96]; [78; 81; 12]; [74; 4; 94]; [57; 68; 37]; [41; 30]; [6]; [9]; [25]; [36; 51; 85]; [54; 21]; [45; 72; 47]; [8]; [56; 29]; [11]; [2]; [67; 89; 20]; [66; 91; 95; 24]; [10]],[11400; 12000; 11800; 12000; 12000; 12000; 12000; 11100; 12000; 12000; 11500; 11600; 12000; 11700; 11500; 12000; 11700; 11900; 11900; 12000; 11900; 11600; 12000; 11900; 11200; 12000; 11900; 12000; 12000; 9200; 9000; 7500; 11600; 11900; 12000; 9200; 10900; 8900; 9900; 12000; 12000; 9000],7206,7207,0.609675407409668
6,53,43,0.8697625968992246,[63; 15; 26; 52; 66; 29; 8; 53; 25; 39; 34; 40; 31; 56; 87; 24; 9; 78; 85; 82; 7; 0; 76; 47; 2; 83; 60; 20; 35; 37; 95; 57; 19; 41; 44; 79; 58; 17; 33; 92; 50; 67; 11; 74; 38; 49; 65; 16; 1; 81; 21; 51; 32; 18; 64; 5; 69; 13; 68; 12; 99; 46; 75; 45; 98; 54; 22; 14; 73; 88; 3; 72; 86; 30; 59; 90; 23; 62; 96; 97; 4; 71; 27; 48; 61; 80; 36; 89; 91; 28; 55; 6; 77; 84; 43; 94; 42; 70; 93; 10],[[63; 15]; [26; 52]; [66; 29]; [8]; [53; 25]; [39; 34]; [40]; [31; 56; 87]; [24]; [9; 78; 85]; [82; 7]; [0; 76]; [47]; [2; 83]; [60; 20]; [35; 37; 95]; [57; 19]; [41; 44; 79]; [58; 17]; [33; 92; 50]; [67; 11]; [74; 38; 49]; [65; 16]; [1; 81]; [21]; [51; 32]; [18; 64]; [5; 69]; [13; 68]; [12; 99]; [46; 75; 45; 98]; [54; 22]; [14; 73; 88]; [3; 72]; [86; 30; 59]; [90; 23; 62; 96]; [97; 4; 71]; [27; 48]; [61; 80; 36; 89]; [91; 28; 55]; [6; 77]; [84; 43; 94; 42]; [70; 93; 10]],[11800; 11700; 10200; 9200; 11800; 11500; 5300; 11900; 7700; 12000; 10600; 11800; 4800; 11300; 11500; 11800; 11800; 11900; 11900; 11600; 12000; 12000; 11500; 11400; 7700; 10900; 11500; 12000; 11800; 9000; 11900; 11900; 12000; 11900; 11700; 12000; 11900; 12000; 11700; 11900; 10900; 12000; 12000],5306,5307,0.4531886577606201
6,70,43,0.8718749999999997,[13; 28; 45; 91; 11; 41; 31; 88; 10; 65; 14; 9; 68; 46; 5; 72; 1; 77; 94; 78; 48; 44; 97; 60; 15; 38; 18; 61; 19; 51; 62; 55; 79; 57; 33; 95; 35; 40; 59; 17; 52; 25; 24; 50; 64; 98; 89; 67; 82; 83; 7; 36; 34; 87; 43; 80; 53; 76; 47; 39; 58; 84; 29; 73; 90; 12; 20; 66; 92; 37; 32; 99; 2; 74; 0; 75; 23; 54; 96; 8; 69; 16; 85; 71; 22; 6; 93; 81; 49; 26; 63; 27; 86; 42; 30; 21; 56; 3; 4; 70],[[13]; [28; 45]; [91; 11]; [41; 31]; [88; 10]; [65; 14]; [9; 68]; [46]; [5; 72]; [1; 77]; [94; 78; 48; 44]; [97; 60; 15]; [38]; [18; 61]; [19]; [51; 62; 55]; [79; 57; 33; 95]; [35; 40]; [59; 17]; [52; 25]; [24]; [50; 64; 98; 89; 67]; [82; 83; 7]; [36; 34]; [87; 43; 80; 53]; [76; 47; 39]; [58; 84; 29]; [73; 90; 12]; [20; 66; 92]; [37; 32; 99]; [2; 74]; [0; 75]; [23; 54; 96]; [8; 69]; [16; 85; 71]; [22]; [6; 93; 81]; [49; 26]; [63; 27; 86]; [42; 30]; [21; 56]; [3]; [4; 70]],[8900; 12000; 9600; 12000; 10100; 12000; 11900; 4900; 11600; 11700; 12000; 12000; 5300; 11700; 8100; 12000; 12000; 11400; 11800; 11900; 7700; 11900; 12000; 12000; 12000; 11900; 11900; 11900; 12000; 11900; 12000; 12000; 12000; 11900; 11900; 7700; 11200; 11900; 11900; 12000; 11700; 9600; 11800],7006,7007,0.625007152557373
6,58,42,0.9017080026455024,[96; 25; 90; 60; 42; 30; 35; 95; 44; 21; 91; 62; 92; 31; 51; 88; 84; 8; 13; 67; 55; 24; 22; 66; 18; 58; 87; 16; 69; 38; 33; 50; 57; 65; 23; 53; 71; 7; 76; 0; 85; 1; 45; 34; 39; 97; 32; 86; 12; 77; 56; 54; 47; 29; 48; 27; 5; 74; 6; 43; 52; 72; 93; 64; 19; 49; 26; 99; 59; 15; 11; 36; 17; 63; 78; 4; 3; 70; 9; 83; 81; 10; 20; 61; 79; 40; 89; 75; 73; 94; 14; 68; 46; 28; 41; 37; 82; 2; 80; 98],[[96; 25; 90; 60]; [42; 30]; [35; 95; 44]; [21; 91; 62]; [92; 31; 51]; [88; 84; 8]; [13; 67]; [55; 24]; [22; 66]; [18; 58]; [87; 16; 69]; [38; 33]; [50; 57; 65]; [23; 53]; [71; 7]; [76; 0]; [85; 1]; [45; 34]; [39; 97; 32]; [86; 12; 77]; [56; 54]; [47; 29]; [48; 27]; [5; 74]; [6]; [43; 52; 72]; [93; 64; 19]; [49; 26; 99]; [59; 15]; [11]; [36]; [17; 63]; [78; 4]; [3; 70]; [9; 83; 81]; [10]; [20; 61]; [79; 40; 89; 75; 73]; [94; 14; 68]; [46; 28]; [41; 37; 82]; [2; 80; 98]],[11900; 12000; 11500; 11800; 12000; 11600; 12000; 11800; 11000; 11900; 12000; 11700; 11500; 12000; 11600; 11800; 11300; 11100; 11800; 11900; 8200; 11700; 12000; 11400; 9200; 11800; 12000; 12000; 12000; 8900; 5800; 11600; 11100; 12000; 11800; 9000; 11500; 12000; 12000; 12000; 12000; 11500],5806,5807,0.51572585105896
