Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
6,66,58,0.8371898946360156,[33; 76; 1; 65; 43; 3; 60; 46; 75; 31; 30; 86; 53; 54; 28; 83; 36; 74; 0; 72; 37; 51; 61; 20; 94; 7; 78; 91; 71; 82; 29; 40; 93; 42; 68; 58; 52; 11; 4; 5; 8; 41; 67; 9; 57; 45; 99; 16; 14; 79; 34; 62; 63; 80; 35; 55; 47; 96; 66; 84; 24; 87; 77; 32; 2; 98; 15; 50; 27; 85; 59; 44; 10; 95; 18; 6; 26; 89; 90; 22; 13; 12; 49; 64; 25; 70; 38; 73; 88; 81; 19; 39; 69; 92; 21; 97; 23; 17; 48; 56],[[33; 76]; [1]; [65; 43]; [3]; [60; 46]; [75; 31]; [30; 86]; [53; 54]; [28; 83]; [36; 74]; [0]; [72; 37]; [51; 61]; [20; 94]; [7]; [78; 91; 71]; [82; 29]; [40; 93]; [42; 68]; [58; 52]; [11]; [4]; [5]; [8]; [41; 67]; [9]; [57; 45]; [99; 16]; [14]; [79; 34]; [62; 63]; [80; 35]; [55; 47]; [96; 66; 84]; [24; 87]; [77; 32]; [2]; [98; 15]; [50]; [27; 85]; [59; 44]; [10]; [95; 18]; [6]; [26; 89]; [90; 22]; [13]; [12]; [49; 64]; [25]; [70; 38]; [73; 88; 81]; [19]; [39; 69]; [92; 21]; [97; 23]; [17]; [48; 56]],[11900; 9900; 11700; 9800; 11800; 12000; 11300; 11800; 11900; 11500; 10000; 11500; 11600; 11900; 9600; 12000; 11800; 10100; 11500; 11600; 9300; 9700; 9700; 9400; 11700; 9400; 12000; 11900; 8900; 11500; 10900; 11400; 12000; 11900; 12000; 11900; 9900; 11900; 6000; 12000; 12000; 9300; 12000; 9700; 11900; 12000; 9100; 9300; 11400; 8500; 11600; 12000; 8800; 11600; 12000; 11600; 8900; 12000],6606,6607,0.774381160736084
6,66,58,0.840350814176245,[50; 52; 42; 70; 47; 60; 20; 57; 46; 81; 29; 91; 23; 89; 24; 2; 37; 67; 5; 86; 26; 53; 54; 63; 43; 0; 7; 62; 48; 10; 83; 32; 16; 98; 6; 93; 19; 36; 69; 4; 78; 38; 65; 41; 35; 71; 82; 76; 84; 11; 99; 18; 30; 79; 92; 21; 3; 73; 31; 75; 85; 40; 58; 66; 27; 90; 25; 88; 97; 15; 77; 33; 80; 87; 74; 64; 94; 28; 17; 95; 1; 8; 55; 45; 72; 34; 51; 56; 22; 44; 61; 9; 59; 49; 14; 96; 12; 13; 39; 68],[[50; 52]; [42; 70]; [47; 60]; [20]; [57; 46]; [81; 29]; [91; 23]; [89; 24]; [2]; [37; 67]; [5]; [86; 26]; [53; 54]; [63; 43]; [0]; [7]; [62; 48]; [10]; [83; 32]; [16; 98]; [6]; [93; 19]; [36; 69]; [4]; [78; 38]; [65; 41]; [35; 71]; [82; 76; 84]; [11]; [99; 18]; [30; 79]; [92; 21]; [3]; [73]; [31; 75]; [85; 40]; [58; 66]; [27; 90]; [25; 88]; [97; 15]; [77; 33]; [80; 87; 74]; [64; 94]; [28]; [17; 95]; [1]; [8]; [55; 45]; [72; 34]; [51; 56]; [22]; [44; 61]; [9]; [59; 49]; [14; 96]; [12]; [13]; [39; 68]],[11900; 11300; 11800; 8700; 12000; 11900; 11900; 12000; 9900; 11900; 9700; 11900; 11800; 11900; 10000; 9600; 11700; 9300; 11600; 11900; 9700; 12000; 11800; 9700; 11200; 12000; 11800; 11900; 9300; 11900; 12000; 12000; 9800; 4500; 12000; 10600; 10800; 11700; 12000; 11900; 11900; 12000; 8500; 8000; 12000; 9900; 9400; 12000; 11800; 11800; 8600; 11900; 9400; 11800; 11900; 9300; 9100; 11700],6606,6607,0.6618945598602295
6,52,58,0.8357387452107281,[79; 39; 1; 57; 48; 52; 54; 98; 15; 9; 95; 16; 93; 63; 12; 18; 6; 59; 44; 92; 23; 32; 82; 46; 56; 31; 76; 17; 97; 94; 20; 67; 43; 25; 91; 30; 77; 14; 96; 73; 37; 33; 72; 35; 68; 41; 74; 61; 11; 62; 65; 0; 19; 81; 28; 69; 36; 86; 78; 83; 51; 50; 45; 60; 99; 21; 58; 47; 75; 38; 5; 49; 53; 55; 64; 40; 66; 8; 13; 4; 70; 34; 27; 89; 29; 85; 10; 22; 90; 26; 24; 87; 2; 42; 80; 7; 84; 88; 71; 3],[[79; 39]; [1]; [57; 48]; [52; 54]; [98; 15]; [9]; [95; 16]; [93; 63]; [12]; [18]; [6]; [59; 44]; [92; 23]; [32; 82]; [46; 56]; [31; 76]; [17; 97]; [94; 20]; [67; 43]; [25; 91]; [30; 77]; [14; 96]; [73; 37]; [33]; [72; 35]; [68; 41]; [74; 61]; [11]; [62; 65]; [0]; [19]; [81; 28]; [69; 36]; [86; 78; 83]; [51; 50]; [45; 60]; [99; 21]; [58; 47]; [75; 38]; [5]; [49; 53]; [55; 64]; [40; 66]; [8]; [13]; [4]; [70; 34]; [27; 89]; [29; 85]; [10]; [22; 90]; [26]; [24; 87]; [2]; [42; 80]; [7]; [84; 88; 71]; [3]],[11100; 9900; 12000; 11800; 11900; 9400; 12000; 8600; 9300; 8900; 9700; 12000; 11900; 11600; 12000; 11900; 11900; 11900; 11400; 11800; 12000; 11900; 11500; 7700; 11800; 11600; 10000; 9300; 10700; 10000; 8800; 12000; 11800; 11600; 12000; 11800; 11700; 11900; 11300; 9700; 12000; 11100; 12000; 9400; 9100; 9700; 11900; 11800; 11600; 9300; 12000; 8400; 12000; 9900; 10800; 9600; 11800; 9800],5206,5207,0.5236501693725586
6,53,58,0.8357363505747124,[75; 31; 14; 96; 16; 98; 21; 91; 18; 78; 33; 4; 5; 43; 62; 37; 76; 25; 87; 63; 44; 0; 7; 40; 84; 81; 29; 65; 41; 95; 17; 80; 36; 10; 27; 85; 69; 34; 3; 90; 70; 83; 71; 97; 72; 11; 6; 26; 88; 58; 50; 61; 99; 15; 28; 82; 68; 39; 54; 56; 53; 51; 89; 92; 66; 35; 73; 60; 45; 48; 57; 74; 49; 1; 12; 52; 64; 24; 19; 94; 46; 55; 13; 9; 2; 32; 86; 8; 77; 42; 79; 30; 38; 67; 22; 93; 23; 47; 59; 20],[[75; 31]; [14; 96]; [16; 98]; [21; 91]; [18]; [78; 33]; [4]; [5]; [43; 62]; [37; 76]; [25; 87]; [63; 44]; [0]; [7]; [40; 84]; [81; 29]; [65; 41]; [95; 17]; [80; 36]; [10]; [27; 85]; [69; 34]; [3]; [90; 70; 83]; [71; 97; 72]; [11]; [6]; [26; 88]; [58; 50]; [61; 99]; [15]; [28; 82]; [68; 39]; [54; 56]; [53; 51]; [89; 92; 66]; [35; 73]; [60; 45]; [48; 57]; [74; 49]; [1]; [12]; [52; 64]; [24]; [19; 94]; [46; 55]; [13]; [9]; [2]; [32; 86]; [8]; [77; 42]; [79; 30]; [38; 67]; [22; 93]; [23]; [47; 59]; [20]],[12000; 11900; 11900; 12000; 8900; 11900; 9700; 9700; 12000; 11200; 12000; 11700; 10000; 9600; 10700; 11900; 12000; 12000; 11200; 9300; 12000; 12000; 9800; 11900; 12000; 9300; 9700; 11900; 11700; 8600; 8900; 11900; 11700; 11700; 11900; 11900; 11800; 11800; 12000; 10500; 9900; 9300; 11200; 8500; 12000; 12000; 9100; 9400; 9900; 11200; 9400; 10900; 12000; 11900; 11800; 8600; 11900; 8700],5306,5307,0.4689056873321533
6,71,59,0.8185416666666666,[95; 18; 53; 52; 49; 54; 36; 69; 86; 79; 75; 64; 42; 8; 44; 58; 11; 22; 90; 13; 26; 88; 7; 9; 24; 87; 21; 93; 78; 46; 10; 30; 81; 16; 97; 89; 68; 94; 12; 19; 98; 2; 34; 72; 31; 80; 71; 40; 23; 91; 51; 50; 27; 66; 39; 57; 47; 33; 83; 41; 65; 14; 1; 74; 38; 29; 92; 55; 60; 25; 62; 43; 45; 59; 6; 5; 4; 20; 37; 73; 48; 61; 85; 67; 77; 15; 99; 28; 82; 84; 0; 56; 63; 70; 35; 17; 96; 32; 76; 3],[[95; 18]; [53; 52]; [49; 54]; [36; 69]; [86; 79; 75]; [64; 42]; [8]; [44; 58]; [11]; [22; 90]; [13]; [26; 88]; [7]; [9]; [24; 87]; [21; 93]; [78; 46]; [10]; [30; 81]; [16; 97]; [89; 68; 94]; [12]; [19; 98]; [2]; [34; 72]; [31; 80]; [71; 40]; [23; 91]; [51; 50]; [27]; [66; 39]; [57; 47]; [33; 83]; [41; 65]; [14]; [1]; [74; 38]; [29; 92]; [55; 60]; [25]; [62; 43]; [45; 59]; [6]; [5]; [4]; [20]; [37; 73]; [48; 61]; [85; 67]; [77]; [15; 99]; [28; 82]; [84]; [0]; [56; 63]; [70; 35]; [17; 96]; [32; 76]; [3]],[12000; 11800; 12000; 11800; 12000; 12000; 9400; 12000; 9300; 12000; 9100; 11900; 9600; 9400; 12000; 11900; 10400; 9300; 11800; 11900; 11500; 9300; 11800; 9900; 11800; 11800; 11400; 11900; 12000; 8300; 12000; 12000; 11600; 12000; 8900; 9900; 11400; 11200; 11400; 8500; 12000; 11900; 9700; 9700; 9700; 8700; 11500; 11800; 8600; 4200; 11900; 11900; 3800; 10000; 11200; 11900; 11900; 11900; 9800],7106,7107,0.6721150875091553
6,82,58,0.8413900862068964,[4; 35; 71; 29; 82; 11; 72; 37; 68; 38; 12; 98; 67; 80; 9; 66; 40; 44; 61; 54; 51; 42; 64; 93; 27; 99; 19; 49; 53; 76; 41; 2; 8; 26; 88; 1; 31; 83; 50; 52; 39; 73; 78; 30; 10; 6; 20; 94; 13; 58; 46; 77; 87; 5; 65; 60; 3; 21; 92; 16; 95; 59; 45; 62; 55; 56; 47; 36; 70; 86; 24; 89; 25; 0; 84; 23; 90; 91; 85; 69; 75; 32; 96; 15; 22; 74; 34; 28; 81; 14; 79; 33; 57; 48; 7; 43; 63; 18; 17; 97],[[4]; [35; 71]; [29; 82]; [11]; [72; 37]; [68; 38]; [12]; [98; 67; 80]; [9]; [66; 40]; [44; 61]; [54; 51]; [42; 64]; [93; 27]; [99; 19]; [49; 53]; [76; 41]; [2]; [8]; [26; 88]; [1]; [31; 83]; [50; 52]; [39; 73]; [78; 30]; [10]; [6]; [20; 94]; [13]; [58; 46]; [77; 87]; [5]; [65; 60]; [3]; [21; 92]; [16; 95]; [59; 45]; [62; 55]; [56; 47]; [36; 70]; [86; 24]; [89; 25]; [0]; [84]; [23; 90]; [91; 85; 69]; [75; 32]; [96; 15]; [22]; [74; 34]; [28; 81]; [14]; [79; 33]; [57; 48]; [7]; [43; 63]; [18]; [17; 97]],[9700; 11800; 11800; 9300; 11500; 11800; 9300; 12000; 9400; 12000; 11900; 11900; 12000; 11500; 11800; 12000; 11000; 9900; 9400; 11900; 9900; 11600; 11900; 11400; 12000; 9300; 9700; 11900; 9100; 11900; 7700; 9700; 10800; 9800; 12000; 12000; 11900; 11300; 12000; 11700; 12000; 12000; 10000; 3800; 12000; 11700; 12000; 11900; 8600; 11700; 12000; 8900; 11900; 12000; 9600; 11900; 8900; 11900],8206,8207,0.7351648807525635
6,61,58,0.8367899904214559,[62; 45; 3; 64; 43; 52; 50; 60; 46; 13; 6; 34; 71; 16; 98; 94; 20; 21; 91; 73; 39; 26; 89; 30; 83; 29; 80; 76; 88; 86; 63; 57; 0; 9; 19; 93; 65; 49; 24; 28; 81; 27; 8; 18; 95; 44; 58; 15; 97; 7; 74; 68; 5; 38; 67; 17; 99; 47; 59; 69; 36; 56; 84; 31; 77; 12; 14; 53; 61; 10; 23; 92; 40; 66; 82; 32; 37; 85; 1; 35; 72; 75; 33; 96; 25; 54; 51; 2; 55; 48; 11; 22; 90; 41; 70; 4; 78; 79; 87; 42],[[62; 45]; [3]; [64; 43]; [52; 50]; [60; 46]; [13]; [6]; [34; 71]; [16; 98]; [94; 20]; [21; 91]; [73; 39]; [26; 89]; [30; 83]; [29; 80]; [76; 88; 86]; [63; 57]; [0]; [9]; [19; 93]; [65; 49]; [24]; [28; 81]; [27]; [8]; [18; 95]; [44; 58]; [15; 97]; [7]; [74; 68]; [5]; [38; 67]; [17; 99]; [47; 59]; [69; 36]; [56; 84]; [31; 77]; [12]; [14]; [53; 61]; [10]; [23; 92]; [40; 66]; [82; 32]; [37; 85]; [1]; [35; 72]; [75; 33]; [96; 25]; [54; 51]; [2]; [55; 48]; [11]; [22; 90]; [41; 70]; [4]; [78; 79; 87]; [42]],[11700; 9800; 11800; 11900; 11800; 9100; 9700; 11800; 11900; 11900; 12000; 11400; 11900; 11700; 12000; 11200; 11200; 10000; 9400; 12000; 11300; 8500; 12000; 8300; 9400; 12000; 12000; 11900; 9600; 9200; 9700; 11900; 11900; 11900; 11800; 9600; 11900; 9300; 8900; 11500; 9300; 11900; 12000; 11600; 10700; 9900; 11800; 12000; 11500; 11900; 9900; 12000; 9300; 12000; 11400; 9700; 11900; 6700],6106,6107,0.5626740455627441
6,64,59,0.8159781073446329,[14; 97; 0; 2; 69; 36; 5; 83; 31; 32; 79; 41; 6; 54; 59; 50; 52; 91; 18; 98; 75; 40; 27; 66; 39; 29; 80; 8; 51; 53; 12; 10; 88; 24; 82; 34; 89; 72; 85; 21; 94; 64; 76; 48; 58; 57; 45; 47; 56; 11; 22; 90; 16; 95; 13; 46; 55; 19; 93; 43; 62; 17; 99; 7; 81; 28; 3; 1; 73; 60; 15; 33; 78; 4; 70; 37; 96; 26; 38; 71; 68; 42; 44; 63; 23; 49; 65; 87; 25; 20; 35; 74; 86; 61; 77; 30; 9; 67; 92; 84],[[14; 97]; [0]; [2]; [69; 36]; [5]; [83; 31]; [32; 79]; [41]; [6]; [54; 59]; [50; 52]; [91]; [18; 98]; [75; 40]; [27]; [66; 39]; [29; 80]; [8]; [51; 53]; [12]; [10]; [88; 24]; [82; 34]; [89; 72; 85]; [21; 94]; [64; 76]; [48; 58]; [57; 45]; [47; 56]; [11]; [22; 90]; [16; 95]; [13]; [46; 55]; [19; 93]; [43; 62]; [17; 99]; [7]; [81; 28]; [3]; [1]; [73; 60]; [15]; [33; 78]; [4]; [70; 37]; [96; 26]; [38; 71]; [68; 42]; [44; 63]; [23]; [49; 65]; [87; 25]; [20]; [35; 74]; [86; 61]; [77; 30]; [9]; [67; 92; 84]],[11900; 10000; 9900; 11800; 9700; 11600; 11900; 6800; 9700; 11600; 11900; 3300; 11900; 11200; 8300; 12000; 12000; 9400; 11900; 9300; 9300; 12000; 11200; 11700; 11900; 9500; 11900; 12000; 12000; 9300; 12000; 12000; 9100; 12000; 12000; 12000; 11900; 9600; 12000; 9800; 9900; 10100; 8900; 11900; 9700; 11600; 11400; 11500; 11500; 11700; 8600; 11300; 12000; 8700; 11700; 9100; 12000; 9400; 12000],6406,6407,0.6140189170837402
6,85,58,0.8461841475095785,[5; 57; 47; 98; 16; 59; 65; 29; 81; 54; 63; 37; 67; 27; 87; 34; 73; 18; 99; 46; 60; 9; 35; 69; 84; 6; 1; 45; 55; 0; 43; 62; 90; 22; 51; 53; 26; 2; 74; 41; 72; 94; 79; 85; 28; 82; 8; 56; 50; 58; 44; 38; 71; 20; 92; 36; 68; 83; 88; 70; 96; 14; 19; 93; 52; 49; 10; 42; 64; 25; 89; 61; 48; 80; 33; 7; 77; 32; 23; 40; 66; 91; 21; 31; 76; 39; 75; 4; 12; 97; 15; 78; 30; 3; 13; 86; 24; 17; 95; 11],[[5]; [57; 47]; [98; 16]; [59; 65]; [29; 81]; [54; 63]; [37; 67]; [27; 87]; [34; 73]; [18; 99]; [46; 60]; [9]; [35; 69]; [84]; [6]; [1]; [45; 55]; [0]; [43; 62]; [90; 22]; [51; 53]; [26]; [2]; [74; 41]; [72; 94; 79]; [85; 28]; [82]; [8]; [56; 50]; [58; 44]; [38; 71]; [20; 92]; [36; 68]; [83; 88; 70]; [96; 14]; [19; 93]; [52; 49]; [10]; [42; 64]; [25; 89]; [61; 48]; [80; 33]; [7]; [77; 32]; [23]; [40; 66]; [91; 21]; [31; 76]; [39; 75]; [4]; [12]; [97; 15]; [78; 30]; [3]; [13]; [86; 24]; [17; 95]; [11]],[9700; 12000; 11900; 10900; 11900; 11300; 11900; 11800; 11800; 11900; 11800; 9400; 12000; 3800; 9700; 9900; 12000; 10000; 12000; 12000; 11900; 8400; 9900; 11200; 11900; 11700; 3900; 9400; 11800; 12000; 11500; 12000; 11900; 12000; 11900; 12000; 12000; 9300; 12000; 12000; 11800; 11800; 9600; 11900; 8600; 12000; 12000; 11900; 11200; 9700; 9300; 11900; 12000; 9800; 9100; 12000; 12000; 9300],8506,8507,0.8132784366607666
6,63,59,0.8190642655367231,[52; 56; 3; 18; 98; 69; 48; 15; 97; 49; 58; 10; 92; 20; 44; 8; 36; 72; 2; 39; 68; 16; 95; 54; 37; 67; 59; 60; 64; 42; 66; 40; 28; 82; 33; 77; 12; 4; 24; 89; 96; 17; 74; 35; 6; 38; 70; 43; 62; 9; 76; 73; 22; 90; 87; 25; 71; 78; 91; 51; 53; 85; 75; 84; 46; 55; 79; 31; 21; 93; 1; 14; 63; 47; 86; 0; 45; 61; 99; 23; 94; 19; 65; 41; 13; 29; 32; 83; 5; 11; 7; 26; 88; 81; 34; 57; 50; 27; 30; 80],[[52; 56]; [3]; [18; 98]; [69; 48]; [15; 97]; [49; 58]; [10]; [92; 20]; [44]; [8]; [36; 72]; [2]; [39; 68]; [16; 95]; [54]; [37; 67]; [59; 60]; [64; 42]; [66; 40]; [28; 82]; [33; 77]; [12]; [4]; [24; 89]; [96; 17]; [74; 35]; [6]; [38; 70]; [43; 62]; [9]; [76; 73]; [22; 90]; [87; 25]; [71; 78; 91]; [51; 53]; [85; 75; 84]; [46; 55]; [79; 31]; [21; 93]; [1]; [14]; [63; 47]; [86]; [0]; [45; 61]; [99; 23]; [94; 19]; [65; 41]; [13]; [29]; [32; 83]; [5]; [11]; [7]; [26; 88]; [81; 34]; [57; 50]; [27]; [30; 80]],[11700; 9800; 11900; 10900; 11900; 11800; 9300; 12000; 6300; 9400; 11600; 9900; 11700; 12000; 5900; 11900; 11300; 12000; 12000; 11900; 11900; 9300; 9700; 12000; 11900; 11700; 9700; 11600; 12000; 9400; 8700; 12000; 12000; 12000; 11900; 11800; 12000; 11900; 11900; 9900; 8900; 11600; 3500; 10000; 11800; 11600; 12000; 12000; 9100; 7900; 11600; 9700; 9300; 9600; 11900; 11300; 11800; 8300; 11900],6306,6307,0.629847526550293
