Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
6,75,46,0.8886260869565218,[89; 69; 54; 31; 90; 43; 34; 7; 77; 56; 14; 40; 37; 70; 28; 10; 66; 49; 27; 15; 59; 68; 6; 75; 29; 33; 94; 81; 19; 53; 71; 3; 60; 9; 1; 74; 51; 20; 86; 4; 64; 72; 63; 84; 23; 26; 47; 67; 5; 32; 85; 93; 30; 98; 88; 78; 92; 41; 12; 62; 11; 58; 35; 44; 73; 46; 91; 52; 18; 16; 55; 48; 24; 17; 65; 61; 8; 38; 39; 42; 36; 0; 76; 96; 97; 22; 50; 21; 25; 99; 87; 82; 83; 80; 45; 2; 79; 13; 57; 95],[[89; 69; 54]; [31; 90]; [43; 34]; [7; 77]; [56; 14]; [40; 37]; [70; 28]; [10; 66]; [49; 27]; [15; 59]; [68; 6]; [75; 29]; [33; 94; 81]; [19; 53]; [71; 3]; [60; 9]; [1; 74]; [51; 20]; [86; 4]; [64; 72; 63]; [84; 23]; [26; 47]; [67; 5]; [32; 85; 93]; [30; 98; 88]; [78; 92; 41]; [12; 62]; [11; 58]; [35; 44]; [73; 46; 91]; [52; 18]; [16; 55]; [48; 24]; [17; 65]; [61; 8]; [38; 39]; [42; 36]; [0; 76]; [96; 97; 22]; [50; 21]; [25; 99; 87]; [82; 83; 80]; [45]; [2; 79]; [13; 57]; [95]],[14800; 11400; 15000; 13400; 15000; 15000; 12700; 14000; 14800; 14600; 14500; 12300; 15000; 14800; 14300; 14700; 14400; 15000; 13400; 15000; 12000; 14900; 14900; 15000; 14700; 15000; 14400; 14800; 15000; 14800; 15000; 14900; 15000; 13900; 14700; 15000; 15000; 14200; 14900; 15000; 14800; 11700; 7000; 14100; 14900; 3300],7506,7507,0.6718089580535889
6,65,45,0.9154350617283953,[35; 43; 57; 12; 26; 60; 59; 10; 25; 47; 40; 39; 91; 38; 98; 16; 53; 1; 74; 83; 99; 24; 67; 90; 54; 55; 17; 42; 36; 28; 49; 13; 64; 29; 96; 85; 20; 71; 23; 92; 50; 21; 78; 84; 88; 87; 63; 6; 80; 37; 69; 7; 95; 41; 79; 73; 0; 46; 34; 52; 18; 30; 45; 44; 3; 76; 11; 65; 89; 48; 70; 9; 61; 72; 22; 15; 62; 8; 58; 31; 97; 81; 33; 82; 94; 68; 27; 32; 93; 86; 2; 75; 51; 19; 77; 4; 5; 66; 14; 56],[[35; 43]; [57; 12]; [26; 60]; [59; 10]; [25; 47]; [40; 39]; [91; 38; 98]; [16; 53]; [1; 74]; [83; 99; 24]; [67; 90; 54]; [55; 17]; [42; 36]; [28; 49]; [13; 64]; [29; 96; 85]; [20; 71]; [23; 92]; [50; 21]; [78; 84; 88; 87]; [63; 6]; [80; 37]; [69; 7]; [95; 41; 79]; [73; 0]; [46; 34]; [52; 18]; [30; 45]; [44]; [3; 76]; [11; 65]; [89; 48; 70]; [9; 61]; [72; 22]; [15; 62]; [8; 58]; [31; 97; 81]; [33; 82; 94]; [68; 27]; [32; 93; 86]; [2; 75]; [51; 19]; [77; 4]; [5; 66]; [14; 56]],[15000; 14900; 13700; 14700; 15000; 14900; 14200; 15000; 14400; 15000; 14800; 14800; 15000; 14800; 14200; 15000; 12900; 11800; 15000; 15000; 14800; 11600; 14200; 14800; 14400; 14700; 15000; 14900; 7200; 14100; 14200; 15000; 14700; 12800; 14300; 15000; 15000; 15000; 13100; 14900; 14300; 15000; 14000; 14900; 15000],6506,6507,0.658982515335083
6,77,46,0.8832270531400966,[65; 15; 47; 24; 68; 2; 35; 90; 54; 21; 36; 25; 18; 53; 51; 20; 26; 46; 19; 52; 1; 76; 63; 23; 72; 66; 64; 40; 84; 82; 41; 98; 73; 55; 75; 74; 60; 9; 44; 34; 67; 8; 27; 97; 85; 77; 92; 42; 28; 50; 78; 0; 4; 79; 62; 6; 14; 59; 29; 93; 86; 57; 13; 33; 43; 61; 58; 95; 89; 83; 37; 17; 56; 48; 32; 38; 94; 91; 7; 71; 5; 69; 3; 10; 70; 80; 12; 16; 39; 81; 96; 31; 45; 87; 11; 22; 88; 99; 49; 30],[[65; 15]; [47; 24]; [68; 2]; [35; 90]; [54; 21]; [36]; [25]; [18; 53]; [51; 20]; [26; 46]; [19; 52]; [1; 76]; [63; 23]; [72; 66; 64]; [40; 84; 82]; [41; 98; 73]; [55; 75; 74]; [60; 9]; [44; 34]; [67; 8]; [27; 97; 85]; [77; 92; 42]; [28; 50]; [78; 0]; [4; 79]; [62; 6]; [14; 59]; [29; 93; 86]; [57; 13]; [33; 43]; [61; 58; 95]; [89; 83; 37]; [17; 56]; [48; 32]; [38; 94; 91]; [7; 71]; [5; 69]; [3]; [10; 70]; [80; 12]; [16]; [39; 81; 96]; [31; 45]; [87; 11]; [22; 88; 99]; [49; 30]],[14100; 15000; 15000; 11300; 14600; 7700; 8200; 14900; 15000; 15000; 14900; 14200; 13600; 14800; 15000; 15000; 14900; 14700; 15000; 14200; 15000; 15000; 14700; 14100; 13900; 15000; 14600; 15000; 14900; 15000; 14800; 15000; 14800; 14700; 14300; 13600; 14800; 9900; 13500; 12900; 8700; 14700; 14900; 12500; 15000; 14600],7706,7707,0.6769897937774658
6,51,46,0.8792850241545892,[74; 83; 49; 91; 27; 94; 75; 3; 70; 10; 35; 44; 77; 6; 41; 37; 17; 54; 31; 46; 53; 19; 56; 15; 80; 11; 99; 21; 2; 73; 25; 86; 98; 1; 62; 71; 23; 50; 85; 4; 20; 67; 95; 78; 38; 18; 52; 55; 16; 39; 88; 89; 42; 92; 79; 7; 66; 76; 81; 51; 65; 12; 68; 24; 48; 34; 45; 32; 36; 22; 72; 57; 13; 90; 29; 97; 61; 28; 60; 59; 96; 0; 69; 26; 47; 43; 33; 58; 8; 5; 82; 84; 40; 14; 64; 87; 93; 30; 9; 63],[[74; 83; 49]; [91; 27; 94]; [75; 3]; [70; 10]; [35; 44]; [77; 6]; [41; 37]; [17; 54]; [31; 46]; [53; 19]; [56; 15]; [80; 11]; [99; 21]; [2; 73]; [25; 86; 98]; [1]; [62; 71]; [23; 50]; [85; 4]; [20; 67]; [95; 78; 38]; [18; 52]; [55; 16]; [39; 88; 89]; [42; 92; 79]; [7; 66]; [76; 81; 51]; [65; 12]; [68; 24]; [48; 34]; [45; 32]; [36]; [22; 72]; [57; 13]; [90; 29; 97]; [61; 28]; [60; 59; 96]; [0; 69]; [26; 47]; [43; 33]; [58; 8]; [5; 82]; [84; 40]; [14; 64]; [87; 93; 30]; [9; 63]],[14900; 14900; 14200; 13500; 15000; 13700; 15000; 14800; 14800; 14800; 15000; 12900; 11400; 14400; 15000; 10000; 9900; 14900; 13500; 13600; 14900; 15000; 14900; 14700; 14900; 14300; 14600; 14200; 13200; 14600; 14900; 7700; 12800; 14900; 14700; 13700; 14700; 15000; 14900; 15000; 15000; 13700; 11100; 14100; 14900; 14400],5106,5107,0.5013391971588135
6,57,46,0.8814550724637682,[19; 6; 64; 23; 49; 11; 57; 28; 52; 40; 98; 71; 16; 90; 63; 85; 59; 75; 39; 99; 74; 18; 14; 54; 92; 37; 0; 77; 29; 84; 96; 68; 83; 69; 27; 50; 73; 1; 55; 24; 9; 58; 17; 56; 93; 22; 97; 62; 10; 81; 30; 15; 61; 32; 7; 70; 95; 38; 76; 53; 21; 26; 46; 72; 2; 25; 47; 35; 43; 86; 82; 45; 44; 36; 67; 8; 12; 79; 80; 3; 42; 41; 34; 89; 88; 5; 66; 51; 20; 13; 31; 91; 87; 65; 60; 78; 4; 94; 48; 33],[[19]; [6; 64]; [23; 49]; [11; 57]; [28; 52]; [40; 98; 71]; [16; 90]; [63; 85; 59]; [75; 39; 99]; [74; 18]; [14; 54]; [92; 37]; [0; 77]; [29; 84; 96]; [68; 83; 69]; [27; 50]; [73; 1]; [55; 24]; [9; 58]; [17; 56]; [93; 22; 97]; [62; 10]; [81; 30]; [15; 61]; [32]; [7; 70]; [95; 38; 76]; [53; 21]; [26; 46]; [72; 2]; [25; 47]; [35; 43]; [86; 82; 45]; [44; 36]; [67; 8]; [12; 79]; [80; 3]; [42; 41]; [34; 89; 88]; [5; 66]; [51; 20]; [13]; [31; 91; 87]; [65; 60; 78]; [4; 94]; [48; 33]],[8500; 14800; 15000; 14900; 14500; 15000; 12200; 14800; 14800; 13000; 15000; 11100; 14200; 15000; 13800; 14700; 14400; 14400; 15000; 14800; 15000; 14400; 11800; 14400; 7900; 13800; 15000; 14700; 15000; 14400; 15000; 15000; 14500; 14900; 14200; 13000; 13900; 14700; 15000; 14900; 15000; 8900; 15000; 15000; 13100; 14600],5706,5707,0.49078893661499023
6,87,45,0.9160888888888888,[39; 42; 87; 40; 80; 4; 66; 31; 96; 19; 76; 93; 94; 23; 71; 3; 98; 90; 25; 21; 50; 6; 62; 20; 85; 8; 63; 59; 7; 91; 43; 77; 38; 88; 82; 52; 18; 84; 36; 86; 15; 54; 61; 13; 67; 11; 27; 49; 9; 58; 46; 29; 17; 53; 45; 32; 28; 47; 74; 5; 51; 78; 75; 35; 1; 69; 30; 97; 64; 22; 89; 92; 81; 83; 41; 37; 34; 44; 14; 56; 12; 57; 99; 26; 95; 60; 73; 72; 2; 68; 79; 33; 16; 55; 24; 48; 65; 10; 70; 0],[[39; 42]; [87; 40; 80]; [4; 66]; [31; 96]; [19; 76]; [93; 94; 23]; [71; 3]; [98; 90; 25]; [21; 50]; [6; 62]; [20; 85]; [8; 63]; [59; 7]; [91; 43; 77]; [38; 88; 82]; [52; 18]; [84; 36; 86]; [15; 54]; [61; 13]; [67; 11]; [27; 49]; [9; 58]; [46; 29]; [17; 53]; [45; 32]; [28; 47]; [74; 5]; [51; 78; 75]; [35]; [1; 69]; [30; 97]; [64; 22]; [89; 92; 81; 83]; [41; 37]; [34; 44]; [14; 56]; [12; 57]; [99; 26; 95]; [60; 73; 72]; [2; 68]; [79; 33]; [16; 55]; [24; 48]; [65; 10]; [70; 0]],[14800; 15000; 14900; 11200; 12700; 15000; 14300; 14900; 15000; 15000; 12200; 14400; 15000; 14900; 15000; 15000; 15000; 15000; 14500; 14000; 14800; 15000; 14900; 14900; 14900; 14900; 14200; 14900; 7800; 15000; 11100; 13700; 14800; 15000; 15000; 15000; 14900; 14400; 14400; 15000; 11900; 14900; 15000; 14200; 14600],8706,8707,0.834775447845459
6,59,46,0.8820830917874395,[73; 1; 23; 52; 76; 13; 14; 58; 31; 49; 74; 3; 12; 64; 24; 48; 17; 54; 87; 36; 51; 19; 93; 82; 37; 33; 43; 32; 95; 66; 44; 30; 11; 62; 92; 78; 40; 56; 15; 85; 26; 69; 89; 53; 77; 4; 63; 6; 72; 0; 21; 94; 60; 7; 99; 80; 91; 71; 98; 83; 28; 47; 55; 20; 81; 34; 96; 16; 61; 68; 2; 70; 10; 79; 27; 50; 22; 25; 97; 90; 57; 18; 46; 29; 9; 65; 5; 67; 38; 42; 45; 84; 75; 8; 59; 86; 35; 88; 39; 41],[[73; 1]; [23; 52]; [76; 13]; [14; 58]; [31; 49]; [74; 3]; [12; 64]; [24; 48]; [17; 54]; [87; 36]; [51; 19]; [93; 82; 37]; [33; 43]; [32; 95]; [66; 44]; [30]; [11; 62]; [92; 78; 40]; [56; 15]; [85; 26]; [69; 89; 53]; [77; 4]; [63; 6]; [72; 0]; [21; 94]; [60; 7]; [99; 80; 91; 71]; [98; 83]; [28; 47]; [55; 20]; [81; 34; 96]; [16; 61]; [68; 2]; [70; 10]; [79; 27]; [50; 22]; [25; 97; 90]; [57; 18]; [46; 29]; [9; 65]; [5; 67]; [38; 42]; [45; 84; 75]; [8; 59]; [86; 35; 88]; [39; 41]],[14400; 14700; 13100; 14700; 14600; 14300; 14200; 15000; 14800; 11300; 15000; 14900; 15000; 11200; 12300; 7900; 14400; 15000; 15000; 11800; 14900; 14000; 14800; 14400; 11700; 14800; 14900; 7000; 14900; 14700; 15000; 14300; 15000; 13500; 12200; 15000; 14900; 14600; 14900; 14400; 14900; 14800; 15000; 14900; 15000; 14900],5906,5907,0.5939145088195801
6,87,47,0.8558524822695036,[10; 63; 67; 27; 42; 96; 71; 16; 55; 98; 94; 85; 70; 5; 84; 0; 72; 52; 83; 74; 25; 47; 57; 13; 28; 1; 68; 89; 32; 2; 69; 12; 59; 9; 61; 45; 30; 11; 65; 31; 35; 14; 97; 99; 4; 75; 62; 7; 15; 58; 80; 8; 60; 18; 39; 77; 95; 91; 41; 78; 19; 53; 73; 56; 79; 29; 46; 44; 34; 37; 24; 48; 3; 66; 64; 6; 88; 93; 76; 90; 20; 17; 54; 86; 38; 81; 33; 36; 43; 26; 92; 23; 49; 21; 51; 40; 82; 87; 50; 22],[[10; 63]; [67; 27]; [42; 96; 71]; [16; 55]; [98; 94; 85; 70]; [5; 84]; [0; 72]; [52; 83; 74]; [25; 47]; [57; 13]; [28]; [1; 68]; [89; 32]; [2; 69]; [12; 59]; [9; 61]; [45; 30]; [11; 65]; [31]; [35]; [14; 97; 99]; [4; 75]; [62; 7]; [15; 58]; [80; 8]; [60; 18]; [39; 77; 95]; [91; 41; 78]; [19; 53]; [73; 56; 79]; [29; 46]; [44; 34]; [37]; [24; 48]; [3; 66]; [64; 6]; [88; 93; 76; 90]; [20]; [17; 54]; [86; 38; 81]; [33]; [36; 43]; [26; 92]; [23; 49]; [21; 51]; [40; 82; 87]; [50; 22]],[14200; 13200; 15000; 14900; 14800; 13500; 14400; 14600; 15000; 14900; 8100; 15000; 11500; 15000; 14700; 14700; 14900; 14200; 7900; 7800; 15000; 14100; 14700; 14700; 13100; 14200; 15000; 15000; 14800; 14700; 14900; 15000; 7600; 15000; 15000; 14800; 14700; 8500; 14800; 15000; 7800; 14900; 11600; 15000; 14900; 14900; 15000],8706,8707,0.7969391345977783
6,58,46,0.8847594202898551,[6; 70; 91; 94; 26; 47; 31; 66; 3; 89; 43; 90; 8; 60; 40; 74; 30; 48; 45; 36; 17; 24; 7; 61; 97; 18; 99; 1; 75; 83; 95; 32; 4; 68; 15; 77; 25; 98; 87; 19; 55; 52; 21; 78; 93; 38; 39; 14; 54; 5; 71; 13; 64; 35; 81; 96; 10; 58; 59; 9; 37; 41; 72; 0; 62; 63; 76; 16; 27; 85; 57; 20; 29; 46; 28; 50; 65; 12; 2; 69; 11; 80; 86; 67; 56; 53; 22; 23; 49; 33; 92; 84; 79; 73; 51; 34; 44; 82; 88; 42],[[6; 70]; [91; 94; 26]; [47; 31]; [66; 3]; [89; 43; 90]; [8; 60]; [40; 74]; [30; 48]; [45; 36]; [17]; [24]; [7; 61]; [97; 18; 99]; [1; 75]; [83; 95; 32]; [4; 68]; [15; 77]; [25; 98; 87]; [19; 55]; [52; 21]; [78; 93; 38]; [39]; [14; 54]; [5; 71]; [13; 64]; [35; 81; 96]; [10; 58]; [59; 9]; [37; 41]; [72; 0]; [62; 63; 76]; [16]; [27; 85]; [57; 20]; [29; 46]; [28; 50]; [65; 12]; [2; 69]; [11; 80]; [86; 67; 56]; [53; 22]; [23; 49]; [33; 92; 84]; [79; 73; 51]; [34; 44]; [82; 88; 42]],[14100; 14900; 14700; 15000; 14300; 14700; 11800; 14700; 14700; 8600; 8200; 14800; 14800; 14300; 15000; 14800; 13000; 15000; 14700; 14800; 15000; 7500; 15000; 14200; 14200; 15000; 14800; 14900; 15000; 14400; 15000; 8700; 11800; 14500; 14900; 14700; 14200; 15000; 12900; 14900; 14700; 15000; 15000; 15000; 15000; 14800],5806,5807,0.4999551773071289
6,67,47,0.8577966903073285,[75; 11; 62; 6; 28; 95; 88; 60; 8; 54; 90; 64; 37; 40; 47; 85; 71; 0; 70; 13; 79; 9; 65; 67; 4; 45; 29; 33; 34; 94; 83; 66; 5; 20; 51; 7; 59; 48; 30; 18; 58; 1; 74; 36; 80; 97; 55; 14; 31; 12; 78; 98; 92; 26; 41; 39; 77; 2; 53; 25; 24; 82; 81; 38; 86; 43; 73; 96; 72; 63; 69; 61; 16; 35; 19; 52; 10; 57; 49; 23; 42; 21; 87; 27; 46; 91; 84; 32; 3; 68; 89; 44; 76; 50; 22; 93; 17; 99; 15; 56],[[75; 11]; [62; 6]; [28; 95; 88]; [60; 8]; [54; 90; 64]; [37; 40]; [47; 85; 71]; [0; 70]; [13; 79]; [9; 65]; [67; 4]; [45; 29]; [33]; [34; 94; 83]; [66; 5]; [20; 51]; [7; 59]; [48; 30]; [18; 58]; [1; 74]; [36; 80; 97]; [55; 14]; [31]; [12; 78]; [98; 92; 26]; [41; 39]; [77; 2]; [53; 25]; [24; 82]; [81; 38; 86]; [43; 73; 96]; [72; 63; 69]; [61; 16]; [35]; [19; 52]; [10; 57]; [49; 23]; [42]; [21; 87]; [27; 46]; [91; 84]; [32]; [3; 68]; [89; 44; 76]; [50; 22]; [93; 17; 99]; [15; 56]],[13200; 15000; 15000; 14700; 15000; 15000; 14900; 14600; 13000; 14400; 14900; 15000; 7800; 14900; 14900; 15000; 15000; 14700; 14500; 14400; 14900; 15000; 7900; 13000; 14800; 14900; 14200; 14500; 12100; 15000; 14900; 14700; 14300; 7800; 14900; 14900; 15000; 7300; 12000; 15000; 7200; 7900; 14900; 15000; 15000; 15000; 15000],6706,6707,0.5945298671722412
