Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
6,72,21,0.9245949047619045,[16; 57; 23; 79; 77; 14; 20; 30; 66; 7; 88; 27; 68; 52; 93; 29; 42; 73; 8; 86; 72; 85; 70; 56; 31; 10; 36; 22; 26; 2; 61; 32; 96; 54; 17; 5; 67; 28; 81; 18; 43; 11; 94; 25; 55; 12; 3; 78; 95; 1; 65; 13; 6; 19; 47; 21; 37; 35; 50; 44; 75; 46; 45; 9; 49; 92; 91; 38; 53; 4; 60; 15; 39; 63; 74; 33; 62; 24; 41; 97; 0; 59; 98; 84; 76; 83; 69; 64; 89; 34; 51; 90; 80; 87; 48; 58; 40; 82; 71; 99],[[16; 57; 23; 79; 77]; [14; 20; 30; 66]; [7; 88; 27; 68; 52]; [93; 29; 42; 73; 8]; [86; 72; 85; 70; 56; 31]; [10; 36; 22; 26]; [2; 61; 32; 96; 54]; [17; 5; 67; 28]; [81; 18; 43; 11; 94]; [25; 55; 12; 3]; [78; 95; 1; 65; 13]; [6; 19; 47; 21]; [37; 35; 50; 44; 75]; [46; 45; 9; 49; 92]; [91; 38; 53; 4; 60]; [15; 39; 63; 74]; [33; 62; 24; 41; 97]; [0; 59; 98; 84; 76; 83]; [69; 64; 89; 34; 51; 90]; [80; 87; 48; 58; 40; 82]; [71; 99]],[99900; 93300; 99900; 99800; 99900; 99500; 99800; 96200; 99500; 100000; 99800; 99400; 99900; 99300; 99300; 82600; 98100; 99900; 99500; 99900; 26400],7206,7207,0.6128880977630615
6,63,21,0.9088421428571427,[91; 99; 32; 45; 79; 22; 78; 0; 1; 34; 54; 42; 67; 48; 20; 30; 33; 95; 66; 74; 52; 69; 17; 53; 84; 64; 12; 73; 25; 77; 16; 75; 76; 93; 68; 10; 61; 19; 5; 47; 62; 41; 92; 80; 7; 89; 13; 60; 36; 44; 81; 51; 27; 46; 71; 35; 82; 6; 21; 26; 37; 23; 18; 15; 40; 3; 39; 11; 97; 63; 57; 28; 4; 14; 87; 59; 2; 85; 29; 31; 9; 88; 86; 56; 8; 38; 90; 49; 83; 94; 72; 43; 58; 50; 24; 65; 70; 55; 96; 98],[[91; 99; 32; 45; 79]; [22; 78; 0; 1]; [34; 54; 42; 67; 48]; [20; 30; 33; 95; 66]; [74; 52; 69; 17; 53]; [84; 64; 12; 73; 25]; [77; 16; 75; 76; 93; 68]; [10; 61; 19]; [5; 47; 62; 41; 92]; [80; 7; 89; 13; 60]; [36; 44; 81; 51; 27]; [46; 71; 35; 82]; [6; 21; 26; 37]; [23; 18; 15]; [40; 3; 39; 11]; [97; 63; 57; 28; 4]; [14; 87; 59; 2; 85]; [29; 31; 9; 88; 86]; [56; 8; 38; 90; 49]; [83; 94; 72; 43; 58; 50]; [24; 65; 70; 55; 96; 98]],[80000; 99500; 99400; 100000; 96700; 99000; 100000; 71400; 99500; 99600; 100000; 72000; 100000; 78600; 99800; 99800; 100000; 99100; 100000; 98700; 98800],6306,6307,0.49233508110046387
6,63,21,0.9084514761904762,[25; 41; 74; 63; 49; 64; 27; 85; 28; 73; 40; 47; 52; 78; 24; 56; 70; 77; 23; 79; 34; 20; 26; 91; 14; 18; 95; 89; 17; 8; 21; 46; 62; 9; 22; 5; 19; 53; 11; 10; 57; 99; 83; 37; 86; 31; 0; 84; 38; 29; 92; 30; 45; 1; 15; 93; 72; 3; 75; 76; 90; 97; 61; 81; 48; 96; 4; 6; 16; 80; 58; 2; 65; 55; 69; 7; 82; 42; 71; 33; 88; 43; 68; 12; 98; 44; 50; 13; 36; 35; 39; 66; 54; 51; 32; 60; 67; 87; 59; 94],[[25; 41; 74; 63; 49]; [64; 27; 85; 28; 73]; [40; 47; 52; 78]; [24; 56; 70; 77; 23]; [79; 34; 20; 26; 91]; [14; 18; 95; 89]; [17; 8; 21; 46]; [62; 9; 22; 5]; [19; 53; 11; 10]; [57; 99; 83; 37; 86; 31]; [0; 84; 38; 29; 92]; [30; 45; 1]; [15; 93; 72; 3; 75]; [76; 90; 97; 61; 81; 48; 96]; [4; 6; 16; 80]; [58; 2; 65; 55; 69]; [7; 82; 42; 71]; [33; 88; 43; 68; 12]; [98; 44; 50; 13; 36]; [35; 39; 66; 54; 51]; [32; 60; 67; 87; 59; 94]],[100000; 95000; 75300; 100000; 99300; 76200; 100000; 99800; 99700; 99900; 99900; 73100; 99100; 99800; 97800; 100000; 78500; 99800; 99800; 99000; 99900],6306,6307,0.4889094829559326
6,53,21,0.907090238095238,[33; 78; 44; 36; 47; 60; 42; 84; 19; 97; 52; 15; 63; 21; 4; 59; 14; 57; 5; 30; 91; 61; 68; 48; 16; 85; 37; 90; 58; 17; 12; 71; 9; 66; 76; 2; 93; 62; 74; 3; 43; 69; 65; 49; 96; 70; 67; 54; 6; 40; 35; 8; 34; 38; 11; 7; 80; 46; 29; 72; 20; 55; 13; 88; 83; 23; 45; 87; 10; 50; 41; 28; 86; 82; 81; 26; 18; 51; 92; 32; 25; 1; 39; 53; 0; 79; 98; 24; 27; 94; 22; 75; 31; 64; 73; 99; 56; 77; 95; 89],[[33; 78; 44; 36]; [47; 60; 42; 84; 19]; [97; 52; 15; 63]; [21; 4; 59; 14]; [57; 5; 30; 91; 61]; [68; 48; 16; 85; 37]; [90; 58; 17; 12; 71]; [9; 66; 76; 2; 93]; [62; 74; 3; 43; 69]; [65; 49; 96; 70; 67; 54]; [6; 40; 35; 8]; [34; 38; 11]; [7; 80; 46; 29]; [72; 20; 55; 13; 88]; [83; 23; 45; 87; 10]; [50; 41; 28; 86; 82]; [81; 26; 18; 51; 92]; [32; 25; 1; 39]; [53; 0; 79; 98; 24]; [27; 94; 22; 75; 31]; [64; 73; 99; 56; 77; 95; 89]],[80400; 98300; 74600; 99600; 100000; 98400; 100000; 100000; 100000; 99800; 100000; 72400; 85800; 99800; 98800; 90900; 95000; 99600; 99000; 99700; 99800],5306,5307,0.43743348121643066
6,56,21,0.9031095714285714,[72; 18; 42; 50; 74; 8; 58; 21; 41; 56; 69; 0; 20; 7; 6; 86; 2; 16; 53; 14; 17; 31; 28; 4; 35; 12; 32; 81; 85; 48; 15; 24; 96; 46; 25; 98; 1; 40; 36; 67; 62; 73; 22; 80; 68; 87; 61; 51; 59; 45; 60; 26; 57; 47; 13; 33; 3; 99; 91; 64; 52; 94; 66; 44; 75; 78; 90; 88; 23; 92; 37; 10; 97; 55; 5; 38; 54; 19; 27; 30; 84; 79; 83; 95; 77; 39; 63; 65; 76; 82; 9; 34; 43; 71; 89; 93; 49; 11; 29; 70],[[72; 18; 42; 50; 74]; [8; 58; 21; 41]; [56; 69; 0; 20]; [7; 6; 86; 2]; [16; 53; 14; 17]; [31; 28; 4; 35]; [12; 32; 81; 85; 48]; [15; 24; 96; 46]; [25; 98; 1; 40]; [36; 67; 62; 73; 22]; [80; 68; 87; 61; 51; 59]; [45; 60; 26; 57]; [47; 13; 33; 3]; [99; 91; 64; 52; 94; 66]; [44; 75; 78; 90; 88; 23]; [92; 37; 10; 97; 55]; [5; 38; 54; 19]; [27; 30; 84; 79; 83; 95]; [77; 39; 63; 65; 76; 82]; [9; 34; 43; 71; 89]; [93; 49; 11; 29; 70]],[98400; 93100; 90600; 97800; 99200; 98500; 97600; 83100; 86800; 98300; 98600; 81200; 99200; 86500; 100000; 90300; 95200; 99700; 100000; 99300; 98500],5606,5607,0.4233818054199219
6,49,21,0.9081931904761902,[47; 91; 88; 96; 32; 41; 23; 93; 77; 95; 27; 87; 50; 51; 12; 61; 70; 69; 9; 65; 56; 48; 73; 3; 2; 13; 44; 19; 6; 90; 67; 1; 82; 94; 25; 49; 38; 39; 52; 40; 81; 54; 20; 83; 99; 33; 14; 21; 34; 15; 43; 8; 89; 18; 46; 31; 60; 92; 26; 58; 57; 7; 28; 36; 86; 85; 24; 5; 80; 59; 53; 35; 0; 17; 68; 16; 29; 63; 76; 37; 66; 64; 4; 78; 10; 62; 84; 22; 75; 55; 11; 30; 97; 72; 42; 74; 45; 71; 98; 79],[[47; 91; 88; 96; 32; 41]; [23; 93; 77; 95; 27; 87]; [50; 51; 12; 61; 70]; [69; 9; 65; 56; 48]; [73; 3; 2]; [13; 44; 19]; [6; 90; 67; 1; 82]; [94; 25; 49; 38; 39]; [52; 40; 81; 54; 20]; [83; 99; 33; 14; 21]; [34; 15; 43; 8]; [89; 18; 46; 31; 60]; [92; 26; 58; 57]; [7; 28; 36; 86; 85]; [24; 5; 80; 59]; [53; 35; 0; 17]; [68; 16; 29; 63; 76]; [37; 66; 64; 4; 78]; [10; 62; 84; 22; 75]; [55; 11; 30; 97; 72]; [42; 74; 45; 71; 98; 79]],[99000; 99000; 99900; 100000; 74000; 73700; 99600; 99800; 99000; 99300; 98600; 99600; 72500; 100000; 86300; 97500; 99600; 99900; 99900; 96200; 98500],4906,4907,0.39084744453430176
6,71,21,0.9092379523809523,[61; 83; 67; 57; 77; 55; 63; 15; 85; 80; 4; 68; 19; 79; 81; 51; 75; 89; 29; 17; 23; 42; 6; 5; 31; 18; 40; 26; 14; 36; 20; 41; 27; 21; 3; 13; 30; 52; 71; 32; 11; 74; 45; 22; 43; 47; 86; 56; 58; 88; 97; 39; 54; 2; 66; 28; 60; 92; 62; 76; 48; 37; 25; 24; 33; 70; 34; 87; 50; 72; 1; 73; 53; 9; 82; 12; 49; 93; 10; 0; 46; 35; 38; 7; 94; 96; 8; 90; 69; 65; 64; 98; 78; 91; 95; 59; 44; 84; 99; 16],[[61; 83; 67; 57; 77; 55]; [63; 15; 85; 80]; [4; 68; 19; 79; 81]; [51; 75; 89; 29; 17]; [23; 42; 6]; [5; 31; 18; 40]; [26; 14; 36; 20]; [41; 27; 21]; [3; 13; 30; 52]; [71; 32; 11; 74]; [45; 22; 43; 47; 86]; [56; 58; 88; 97; 39; 54]; [2; 66; 28; 60; 92]; [62; 76; 48; 37; 25]; [24; 33; 70; 34; 87]; [50; 72; 1; 73; 53]; [9; 82; 12; 49; 93]; [10; 0; 46; 35]; [38; 7; 94; 96; 8]; [90; 69; 65; 64; 98; 78; 91]; [95; 59; 44; 84; 99; 16]],[100000; 72400; 99900; 96600; 74500; 99700; 99400; 71200; 98500; 82600; 99000; 99900; 100000; 99700; 99700; 99700; 99700; 99900; 99700; 99900; 99900],7106,7107,0.5594990253448486
6,68,21,0.908938619047619,[2; 72; 97; 90; 51; 87; 38; 16; 49; 28; 88; 45; 85; 39; 37; 95; 0; 94; 65; 63; 46; 69; 47; 26; 32; 74; 22; 64; 98; 6; 56; 12; 52; 75; 93; 21; 84; 91; 30; 81; 40; 80; 61; 3; 50; 53; 78; 17; 14; 96; 44; 1; 27; 36; 41; 24; 57; 4; 10; 66; 58; 86; 92; 25; 83; 7; 48; 33; 13; 18; 70; 42; 99; 23; 9; 77; 89; 68; 8; 73; 34; 35; 60; 55; 54; 62; 31; 67; 11; 43; 19; 29; 82; 15; 59; 20; 79; 71; 5; 76],[[2; 72; 97; 90; 51; 87]; [38; 16; 49; 28]; [88; 45; 85; 39; 37; 95]; [0; 94; 65; 63; 46]; [69; 47; 26; 32; 74]; [22; 64; 98; 6; 56]; [12; 52; 75; 93; 21]; [84; 91; 30; 81; 40; 80]; [61; 3; 50; 53; 78]; [17; 14; 96; 44]; [1; 27; 36; 41]; [24; 57; 4; 10]; [66; 58; 86; 92; 25; 83]; [7; 48; 33; 13]; [18; 70; 42; 99; 23]; [9; 77; 89; 68; 8]; [73; 34; 35; 60; 55]; [54; 62; 31; 67]; [11; 43; 19; 29]; [82; 15; 59; 20; 79]; [71; 5; 76]],[98900; 92800; 100000; 96200; 100000; 100000; 98900; 98000; 99600; 85100; 97400; 99800; 97800; 98100; 99200; 99000; 98200; 76700; 97500; 99100; 59600],6806,6807,0.5635793209075928
6,74,21,0.909267857142857,[66; 53; 28; 33; 67; 61; 99; 18; 65; 84; 77; 10; 17; 20; 45; 34; 23; 2; 54; 6; 50; 79; 70; 39; 37; 63; 96; 13; 69; 73; 16; 82; 11; 3; 29; 49; 30; 52; 48; 57; 51; 98; 15; 85; 46; 5; 27; 24; 90; 59; 44; 9; 56; 58; 81; 36; 80; 94; 4; 32; 43; 93; 7; 91; 8; 64; 47; 38; 76; 21; 14; 26; 25; 31; 19; 0; 68; 12; 42; 89; 71; 41; 1; 22; 74; 72; 86; 35; 60; 78; 40; 97; 87; 83; 75; 55; 88; 62; 95; 92],[[66; 53; 28; 33; 67]; [61; 99; 18; 65; 84; 77]; [10; 17; 20; 45]; [34; 23; 2; 54]; [6; 50; 79; 70]; [39; 37; 63; 96; 13]; [69; 73; 16; 82]; [11; 3; 29; 49]; [30; 52; 48; 57; 51]; [98; 15; 85; 46; 5]; [27; 24; 90; 59; 44]; [9; 56; 58; 81]; [36; 80; 94; 4; 32]; [43; 93; 7; 91; 8]; [64; 47; 38; 76; 21]; [14; 26; 25; 31]; [19; 0; 68; 12]; [42; 89; 71; 41]; [1; 22; 74; 72; 86]; [35; 60; 78; 40; 97; 87]; [83; 75; 55; 88; 62; 95; 92]],[99900; 99800; 100000; 96000; 78300; 99800; 72700; 99800; 99600; 99600; 99900; 78500; 99400; 99400; 99700; 99800; 99700; 70500; 99600; 99900; 100000],7406,7407,0.5788223743438721
6,71,21,0.9205185238095238,[47; 34; 13; 94; 60; 61; 92; 97; 56; 74; 20; 45; 84; 48; 95; 44; 76; 5; 59; 66; 87; 38; 70; 32; 1; 2; 26; 4; 15; 51; 22; 67; 49; 88; 19; 8; 17; 29; 36; 10; 82; 14; 54; 85; 43; 31; 27; 77; 68; 37; 75; 73; 52; 6; 30; 18; 35; 9; 3; 58; 24; 0; 12; 78; 7; 25; 57; 72; 64; 33; 39; 80; 71; 91; 96; 23; 21; 11; 89; 28; 53; 55; 69; 50; 16; 40; 83; 65; 42; 81; 86; 62; 98; 41; 63; 46; 90; 79; 99; 93],[[47; 34; 13; 94; 60]; [61; 92; 97; 56; 74; 20]; [45; 84; 48; 95; 44; 76]; [5; 59; 66; 87; 38]; [70; 32; 1; 2]; [26; 4; 15; 51]; [22; 67; 49; 88; 19]; [8; 17; 29; 36]; [10; 82; 14; 54; 85]; [43; 31; 27; 77; 68]; [37; 75; 73; 52]; [6; 30; 18; 35]; [9; 3; 58; 24]; [0; 12; 78; 7]; [25; 57; 72; 64; 33]; [39; 80; 71; 91; 96; 23]; [21; 11; 89; 28]; [53; 55; 69; 50; 16]; [40; 83; 65; 42; 81; 86]; [62; 98; 41; 63; 46; 90]; [79; 99; 93]],[99500; 100000; 99600; 98400; 98200; 99200; 99900; 100000; 100000; 99700; 72700; 100000; 100000; 99800; 99900; 99900; 89100; 100000; 100000; 99700; 36300],7106,7107,0.546940803527832
