Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
0,0,15,0.8797447999999999,[40; 54; 17; 41; 59; 79; 26; 25; 23; 55; 34; 95; 86; 85; 84; 71; 73; 1; 90; 29; 67; 61; 5; 24; 72; 15; 74; 66; 21; 78; 31; 88; 10; 76; 57; 43; 92; 51; 96; 30; 36; 75; 18; 50; 58; 6; 60; 46; 68; 22; 3; 87; 64; 52; 69; 93; 82; 19; 48; 14; 53; 38; 20; 2; 47; 45; 39; 44; 80; 81; 56; 33; 0; 9; 13; 8; 16; 35; 12; 99; 63; 42; 49; 7; 62; 77; 28; 37; 11; 97; 4; 89; 98; 27; 65; 70; 32; 91; 94; 83],[[40; 54; 17; 41; 59; 79; 26]; [25; 23; 55; 34; 95; 86; 85]; [84; 71; 73; 1; 90; 29; 67]; [61; 5; 24; 72; 15; 74; 66]; [21; 78; 31; 88; 10; 76; 57]; [43; 92; 51; 96; 30; 36; 75]; [18; 50; 58; 6; 60; 46]; [68; 22; 3; 87; 64; 52; 69]; [93; 82; 19; 48; 14; 53; 38]; [20; 2; 47; 45; 39; 44]; [80; 81; 56; 33; 0; 9]; [13; 8; 16; 35; 12; 99]; [63; 42; 49; 7; 62; 77; 28]; [37; 11; 97; 4; 89; 98; 27]; [65; 70; 32; 91; 94; 83]],[100000; 95100; 93800; 99700; 97300; 94200; 87700; 97100; 98300; 90000; 86300; 91300; 99000; 97800; 76200],0,1,0.015629053115844727
1,1,15,0.8780062666666667,[99; 46; 16; 11; 14; 31; 1; 53; 56; 13; 39; 34; 67; 8; 64; 73; 6; 52; 26; 79; 7; 63; 72; 85; 0; 28; 82; 41; 65; 25; 38; 76; 80; 12; 89; 68; 19; 9; 77; 18; 33; 37; 84; 74; 94; 44; 36; 98; 71; 69; 10; 95; 66; 90; 86; 75; 49; 45; 21; 88; 5; 32; 59; 3; 87; 91; 51; 15; 78; 4; 92; 60; 50; 40; 97; 48; 2; 93; 96; 35; 54; 61; 57; 58; 62; 17; 70; 29; 24; 47; 23; 43; 55; 30; 42; 20; 83; 22; 81; 27],[[99; 46; 16; 11; 14; 31]; [1; 53; 56; 13; 39; 34]; [67; 8; 64; 73; 6; 52]; [26; 79; 7; 63; 72; 85; 0]; [28; 82; 41; 65; 25; 38; 76]; [80; 12; 89; 68; 19; 9; 77]; [18; 33; 37; 84; 74; 94; 44]; [36; 98; 71; 69; 10; 95; 66]; [90; 86; 75; 49; 45; 21; 88]; [5; 32; 59; 3; 87; 91; 51]; [15; 78; 4; 92; 60; 50; 40]; [97; 48; 2; 93; 96; 35; 54]; [61; 57; 58; 62; 17; 70; 29]; [24; 47; 23; 43; 55; 30]; [42; 20; 83; 22; 81; 27]],[89300; 90100; 85700; 98700; 97600; 97500; 96200; 93000; 91900; 99300; 98300; 94100; 97900; 88800; 85400],101,102,0.0
0,0,15,0.8784299999999999,[73; 3; 78; 20; 61; 74; 10; 54; 65; 45; 42; 75; 72; 53; 86; 68; 0; 29; 93; 46; 15; 97; 11; 7; 16; 48; 88; 90; 77; 89; 96; 87; 82; 33; 31; 63; 37; 19; 12; 98; 22; 24; 91; 56; 83; 58; 62; 41; 43; 34; 18; 13; 55; 25; 26; 81; 47; 59; 17; 40; 85; 27; 50; 95; 66; 30; 4; 64; 21; 52; 6; 71; 70; 92; 69; 99; 28; 67; 23; 79; 8; 80; 2; 76; 57; 60; 39; 44; 14; 1; 35; 5; 38; 36; 32; 9; 94; 51; 84; 49],[[73; 3; 78; 20; 61; 74; 10]; [54; 65; 45; 42; 75; 72; 53]; [86; 68; 0; 29; 93; 46; 15]; [97; 11; 7; 16; 48; 88; 90]; [77; 89; 96; 87; 82; 33; 31]; [63; 37; 19; 12; 98; 22]; [24; 91; 56; 83; 58; 62; 41]; [43; 34; 18; 13; 55; 25]; [26; 81; 47; 59; 17; 40; 85]; [27; 50; 95; 66; 30; 4; 64]; [21; 52; 6; 71; 70; 92; 69]; [99; 28; 67; 23; 79; 8; 80]; [2; 76; 57; 60; 39; 44]; [14; 1; 35; 5; 38; 36]; [32; 9; 94; 51; 84; 49]],[99600; 94900; 98600; 97900; 89800; 87400; 94300; 90500; 97700; 98800; 96000; 96300; 85000; 94000; 83000],0,1,0.0
1,1,15,0.8801181333333332,[25; 74; 86; 53; 83; 29; 28; 14; 20; 71; 68; 46; 12; 92; 84; 54; 65; 91; 9; 50; 10; 32; 33; 49; 1; 36; 78; 61; 93; 27; 48; 34; 96; 89; 40; 77; 72; 43; 80; 0; 13; 55; 45; 98; 85; 59; 87; 88; 22; 75; 82; 60; 42; 66; 18; 6; 26; 76; 62; 70; 67; 97; 30; 94; 58; 47; 16; 39; 90; 8; 19; 7; 44; 5; 11; 73; 79; 52; 15; 69; 51; 3; 23; 38; 64; 99; 57; 24; 4; 37; 63; 41; 81; 2; 95; 17; 35; 56; 31; 21],[[25; 74; 86; 53; 83; 29; 28]; [14; 20; 71; 68; 46; 12; 92]; [84; 54; 65; 91; 9; 50; 10]; [32; 33; 49; 1; 36; 78]; [61; 93; 27; 48; 34; 96; 89]; [40; 77; 72; 43; 80; 0; 13]; [55; 45; 98; 85; 59; 87; 88]; [22; 75; 82; 60; 42; 66; 18]; [6; 26; 76; 62; 70; 67; 97]; [30; 94; 58; 47; 16; 39; 90]; [8; 19; 7; 44; 5; 11]; [73; 79; 52; 15; 69; 51; 3]; [23; 38; 64; 99; 57; 24]; [4; 37; 63; 41; 81; 2; 95]; [17; 35; 56; 31; 21]],[96100; 99500; 97600; 88200; 92500; 98900; 88600; 97200; 94500; 97000; 96000; 98300; 84400; 99500; 75500],101,102,0.01569390296936035
0,0,15,0.8773248000000001,[34; 17; 72; 7; 0; 35; 21; 30; 36; 28; 2; 96; 59; 53; 91; 86; 82; 15; 81; 41; 92; 93; 25; 88; 39; 84; 71; 32; 67; 45; 51; 49; 46; 38; 4; 43; 90; 54; 42; 78; 50; 18; 29; 10; 9; 80; 60; 56; 65; 94; 22; 8; 73; 31; 77; 13; 11; 52; 27; 79; 12; 57; 33; 99; 66; 37; 62; 3; 26; 64; 19; 98; 68; 69; 5; 55; 24; 75; 6; 87; 40; 14; 70; 76; 89; 47; 74; 85; 48; 97; 23; 83; 58; 44; 20; 1; 95; 16; 63; 61],[[34; 17; 72; 7; 0; 35]; [21; 30; 36; 28; 2; 96]; [59; 53; 91; 86; 82; 15; 81]; [41; 92; 93; 25; 88; 39; 84]; [71; 32; 67; 45; 51; 49; 46]; [38; 4; 43; 90; 54; 42; 78]; [50; 18; 29; 10; 9; 80]; [60; 56; 65; 94; 22; 8; 73]; [31; 77; 13; 11; 52; 27]; [79; 12; 57; 33; 99; 66; 37]; [62; 3; 26; 64; 19; 98; 68]; [69; 5; 55; 24; 75; 6; 87]; [40; 14; 70; 76; 89; 47; 74]; [85; 48; 97; 23; 83; 58; 44]; [20; 1; 95; 16; 63; 61]],[91900; 89200; 91400; 91600; 97300; 98000; 90100; 96600; 89200; 96800; 98600; 99400; 94000; 93000; 86700],0,1,0.0
0,0,15,0.8772686666666666,[72; 34; 97; 99; 94; 37; 33; 58; 46; 61; 59; 93; 15; 81; 38; 91; 88; 51; 57; 52; 9; 56; 98; 68; 74; 71; 23; 70; 28; 0; 36; 82; 40; 43; 48; 2; 77; 65; 55; 63; 62; 17; 6; 45; 85; 20; 19; 39; 14; 5; 95; 96; 13; 67; 1; 25; 41; 89; 75; 16; 26; 8; 21; 29; 31; 32; 78; 42; 24; 80; 64; 54; 84; 44; 7; 66; 4; 30; 53; 22; 35; 69; 87; 12; 47; 50; 73; 3; 90; 79; 10; 27; 86; 11; 92; 60; 76; 83; 18; 49],[[72; 34; 97; 99; 94; 37; 33]; [58; 46; 61; 59; 93; 15; 81]; [38; 91; 88; 51; 57; 52; 9]; [56; 98; 68; 74; 71; 23; 70]; [28; 0; 36; 82; 40; 43]; [48; 2; 77; 65; 55; 63; 62]; [17; 6; 45; 85; 20; 19]; [39; 14; 5; 95; 96; 13; 67]; [1; 25; 41; 89; 75; 16]; [26; 8; 21; 29; 31; 32]; [78; 42; 24; 80; 64; 54; 84]; [44; 7; 66; 4; 30; 53]; [22; 35; 69; 87; 12; 47; 50]; [73; 3; 90; 79; 10; 27; 86]; [11; 92; 60; 76; 83; 18; 49]],[92200; 94600; 96400; 91700; 88000; 96400; 90300; 99200; 86800; 92900; 93500; 89500; 99900; 96800; 95600],0,1,0.0
0,0,15,0.8780177333333333,[94; 21; 64; 17; 47; 27; 43; 62; 29; 37; 99; 10; 46; 93; 11; 18; 31; 30; 89; 72; 52; 76; 28; 63; 95; 48; 1; 50; 87; 80; 84; 38; 8; 77; 40; 96; 83; 70; 32; 16; 34; 25; 35; 81; 14; 20; 24; 9; 45; 22; 75; 88; 0; 60; 4; 44; 66; 92; 39; 42; 54; 85; 61; 7; 59; 51; 67; 82; 33; 26; 86; 73; 49; 3; 56; 97; 69; 74; 12; 19; 55; 65; 2; 57; 5; 36; 58; 23; 41; 6; 91; 78; 15; 13; 98; 90; 71; 53; 79; 68],[[94; 21; 64; 17; 47; 27]; [43; 62; 29; 37; 99; 10; 46]; [93; 11; 18; 31; 30; 89; 72]; [52; 76; 28; 63; 95; 48; 1]; [50; 87; 80; 84; 38; 8; 77]; [40; 96; 83; 70; 32; 16; 34]; [25; 35; 81; 14; 20; 24]; [9; 45; 22; 75; 88; 0]; [60; 4; 44; 66; 92; 39; 42]; [54; 85; 61; 7; 59; 51; 67]; [82; 33; 26; 86; 73; 49; 3]; [56; 97; 69; 74; 12; 19; 55]; [65; 2; 57; 5; 36; 58]; [23; 41; 6; 91; 78; 15]; [13; 98; 90; 71; 53; 79; 68]],[86000; 100000; 98600; 97000; 93700; 96800; 89900; 87400; 98000; 96100; 97700; 96200; 88600; 86700; 91100],0,1,0.0
0,0,15,0.8781178666666666,[91; 23; 27; 48; 26; 65; 38; 74; 79; 17; 95; 72; 56; 60; 64; 2; 1; 58; 62; 83; 96; 29; 69; 87; 71; 44; 59; 15; 73; 63; 53; 89; 16; 41; 30; 36; 34; 37; 47; 28; 42; 18; 82; 57; 9; 40; 98; 78; 51; 43; 55; 88; 61; 81; 12; 46; 4; 90; 35; 14; 54; 3; 21; 86; 76; 24; 13; 22; 68; 77; 11; 52; 66; 19; 33; 70; 20; 31; 49; 39; 10; 25; 99; 45; 32; 92; 97; 5; 94; 93; 7; 50; 8; 67; 85; 84; 6; 75; 80; 0],[[91; 23; 27; 48; 26; 65; 38]; [74; 79; 17; 95; 72; 56; 60]; [64; 2; 1; 58; 62; 83; 96]; [29; 69; 87; 71; 44; 59; 15]; [73; 63; 53; 89; 16; 41; 30]; [36; 34; 37; 47; 28; 42]; [18; 82; 57; 9; 40; 98; 78]; [51; 43; 55; 88; 61; 81; 12]; [46; 4; 90; 35; 14; 54]; [3; 21; 86; 76; 24; 13]; [22; 68; 77; 11; 52; 66]; [19; 33; 70; 20; 31; 49]; [39; 10; 25; 99; 45; 32; 92]; [97; 5; 94; 93; 7; 50; 8]; [67; 85; 84; 6; 75; 80; 0]],[100000; 92100; 96900; 96400; 97200; 88800; 96500; 95700; 87400; 88100; 84400; 88500; 99000; 98100; 94700],0,1,0.0
0,0,15,0.8778173333333332,[27; 0; 65; 78; 69; 89; 72; 93; 10; 14; 21; 82; 46; 16; 29; 51; 8; 77; 84; 56; 81; 12; 58; 23; 31; 52; 9; 95; 41; 6; 48; 4; 37; 32; 67; 83; 64; 30; 88; 17; 1; 71; 2; 62; 15; 43; 13; 87; 50; 42; 80; 39; 5; 61; 38; 76; 24; 63; 45; 97; 7; 26; 73; 53; 96; 49; 18; 40; 70; 86; 98; 54; 22; 60; 75; 25; 19; 47; 91; 11; 44; 99; 66; 36; 34; 92; 85; 59; 20; 3; 68; 90; 79; 55; 33; 74; 35; 94; 57; 28],[[27; 0; 65; 78; 69; 89; 72]; [93; 10; 14; 21; 82; 46]; [16; 29; 51; 8; 77; 84; 56]; [81; 12; 58; 23; 31; 52]; [9; 95; 41; 6; 48; 4]; [37; 32; 67; 83; 64; 30; 88]; [17; 1; 71; 2; 62; 15]; [43; 13; 87; 50; 42; 80; 39]; [5; 61; 38; 76; 24; 63]; [45; 97; 7; 26; 73; 53; 96]; [49; 18; 40; 70; 86; 98; 54]; [22; 60; 75; 25; 19; 47; 91]; [11; 44; 99; 66; 36; 34; 92]; [85; 59; 20; 3; 68; 90; 79]; [55; 33; 74; 35; 94; 57; 28]],[94700; 86200; 99700; 86800; 89400; 95100; 91300; 97700; 85800; 95600; 94400; 98800; 96900; 94700; 96700],0,1,0.0
1,2,15,0.8796172,[10; 43; 8; 26; 40; 12; 35; 34; 33; 63; 90; 73; 14; 11; 16; 84; 48; 82; 0; 75; 65; 83; 99; 95; 32; 56; 39; 78; 19; 81; 47; 29; 80; 67; 57; 86; 30; 97; 64; 25; 4; 87; 98; 49; 53; 60; 31; 23; 21; 55; 50; 18; 72; 13; 58; 20; 15; 27; 61; 5; 37; 74; 71; 17; 36; 77; 9; 59; 1; 3; 2; 96; 85; 42; 46; 24; 68; 51; 45; 44; 7; 28; 6; 62; 93; 52; 88; 22; 76; 79; 54; 94; 41; 91; 69; 66; 89; 38; 70; 92],[[10; 43; 8; 26; 40; 12]; [35; 34; 33; 63; 90; 73; 14]; [11; 16; 84; 48; 82; 0; 75]; [65; 83; 99; 95; 32; 56; 39]; [78; 19; 81; 47; 29; 80; 67]; [57; 86; 30; 97; 64; 25; 4]; [87; 98; 49; 53; 60; 31; 23]; [21; 55; 50; 18; 72; 13]; [58; 20; 15; 27; 61; 5]; [37; 74; 71; 17; 36; 77; 9]; [59; 1; 3; 2; 96; 85]; [42; 46; 24; 68; 51; 45; 44]; [7; 28; 6; 62; 93; 52; 88]; [22; 76; 79; 54; 94; 41; 91]; [69; 66; 89; 38; 70; 92]],[93300; 98700; 99800; 91700; 94900; 97400; 95500; 88100; 90600; 99800; 86800; 99700; 98900; 91900; 76700],201,202,0.015670061111450195
