Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
1,17,11,0.9702520909090908,[30; 93; 27; 21; 7; 55; 40; 85; 10; 64; 26; 98; 20; 48; 59; 99; 2; 18; 97; 4; 62; 51; 83; 82; 46; 77; 60; 28; 38; 15; 70; 19; 41; 14; 54; 31; 24; 96; 9; 80; 86; 29; 89; 87; 36; 43; 42; 94; 75; 49; 12; 6; 37; 71; 5; 35; 32; 45; 0; 25; 73; 58; 13; 76; 53; 95; 90; 65; 68; 56; 81; 63; 74; 61; 23; 69; 44; 11; 50; 34; 1; 78; 66; 79; 17; 92; 47; 16; 33; 3; 8; 52; 72; 88; 22; 57; 39; 84; 67; 91],[[30; 93; 27; 21; 7; 55; 40; 85]; [10; 64; 26; 98; 20; 48; 59; 99; 2]; [18; 97; 4; 62; 51; 83; 82; 46; 77; 60]; [28; 38; 15; 70; 19; 41; 14; 54]; [31; 24; 96; 9; 80; 86; 29; 89; 87; 36]; [43; 42; 94; 75; 49; 12; 6; 37; 71]; [5; 35; 32; 45; 0; 25; 73; 58]; [13; 76; 53; 95; 90; 65; 68; 56; 81; 63; 74]; [61; 23; 69; 44; 11; 50; 34; 1]; [78; 66; 79; 17; 92; 47; 16; 33; 3]; [8; 52; 72; 88; 22; 57; 39; 84; 67; 91]],[90000; 100000; 99900; 99300; 98700; 99800; 99800; 99300; 99200; 98300; 98800],1701,1702,0.1229240894317627
1,7,11,0.9696831818181817,[72; 47; 63; 70; 90; 74; 35; 0; 12; 92; 19; 86; 84; 59; 58; 54; 45; 68; 21; 13; 71; 66; 65; 38; 56; 17; 88; 48; 55; 1; 46; 81; 96; 34; 11; 61; 49; 40; 99; 69; 25; 50; 30; 3; 43; 89; 18; 8; 53; 16; 32; 41; 20; 94; 7; 83; 4; 97; 2; 31; 36; 93; 67; 77; 33; 44; 75; 60; 76; 24; 64; 51; 98; 52; 95; 62; 80; 28; 85; 10; 9; 5; 26; 37; 29; 73; 22; 23; 27; 82; 91; 14; 87; 57; 78; 79; 15; 6; 42; 39],[[72; 47; 63; 70; 90; 74; 35; 0; 12]; [92; 19; 86; 84; 59; 58; 54; 45; 68; 21]; [13; 71; 66; 65; 38; 56; 17; 88; 48]; [55; 1; 46; 81; 96; 34; 11; 61; 49]; [40; 99; 69; 25; 50; 30; 3; 43; 89]; [18; 8; 53; 16; 32; 41; 20; 94]; [7; 83; 4; 97; 2; 31; 36; 93; 67]; [77; 33; 44; 75; 60; 76; 24; 64; 51; 98]; [52; 95; 62; 80; 28; 85; 10; 9; 5]; [26; 37; 29; 73; 22; 23; 27; 82; 91]; [14; 87; 57; 78; 79; 15; 6; 42; 39]],[95900; 99300; 96300; 100000; 98100; 98600; 99800; 97500; 98700; 99400; 99500],701,702,0.04687166213989258
1,9,11,0.9697524545454544,[5; 47; 98; 64; 83; 95; 12; 94; 26; 63; 42; 50; 13; 59; 0; 80; 39; 9; 28; 43; 48; 57; 74; 70; 49; 20; 61; 29; 78; 35; 99; 56; 44; 88; 19; 77; 60; 58; 87; 46; 21; 27; 14; 45; 96; 41; 6; 89; 55; 68; 65; 53; 8; 25; 51; 54; 85; 3; 10; 66; 36; 17; 30; 15; 7; 67; 76; 1; 33; 92; 75; 52; 23; 22; 79; 38; 91; 62; 73; 34; 4; 69; 37; 18; 32; 16; 71; 93; 82; 11; 86; 90; 84; 40; 24; 97; 81; 2; 31; 72],[[5; 47; 98; 64; 83; 95; 12; 94; 26; 63]; [42; 50; 13; 59; 0; 80; 39; 9]; [28; 43; 48; 57; 74; 70; 49; 20; 61]; [29; 78; 35; 99; 56; 44; 88; 19; 77; 60]; [58; 87; 46; 21; 27; 14; 45; 96; 41]; [6; 89; 55; 68; 65; 53; 8; 25; 51]; [54; 85; 3; 10; 66; 36; 17; 30]; [15; 7; 67; 76; 1; 33; 92; 75; 52]; [23; 22; 79; 38; 91; 62; 73; 34; 4]; [69; 37; 18; 32; 16; 71; 93; 82; 11]; [86; 90; 84; 40; 24; 97; 81; 2; 31; 72]],[98500; 98800; 98400; 99100; 99500; 100000; 96300; 100000; 99400; 98500; 94600],901,902,0.07820963859558105
1,8,11,0.9697357272727273,[36; 24; 25; 15; 81; 35; 63; 1; 44; 22; 19; 9; 26; 88; 20; 52; 46; 7; 58; 16; 85; 12; 95; 45; 67; 43; 78; 6; 89; 74; 28; 4; 92; 3; 50; 11; 48; 49; 75; 8; 62; 56; 80; 55; 21; 30; 5; 31; 10; 18; 84; 98; 39; 91; 93; 97; 53; 99; 96; 69; 40; 27; 61; 86; 66; 70; 57; 94; 47; 87; 79; 32; 54; 42; 23; 37; 2; 0; 76; 51; 64; 68; 71; 83; 59; 17; 60; 41; 38; 14; 29; 34; 82; 77; 33; 90; 13; 72; 73; 65],[[36; 24; 25; 15; 81; 35; 63; 1]; [44; 22; 19; 9; 26; 88; 20; 52]; [46; 7; 58; 16; 85; 12; 95; 45; 67]; [43; 78; 6; 89; 74; 28; 4; 92; 3]; [50; 11; 48; 49; 75; 8; 62; 56; 80]; [55; 21; 30; 5; 31; 10; 18]; [84; 98; 39; 91; 93; 97; 53; 99; 96; 69; 40; 27]; [61; 86; 66; 70; 57; 94; 47; 87; 79; 32; 54]; [42; 23; 37; 2; 0; 76; 51; 64]; [68; 71; 83; 59; 17; 60; 41; 38; 14]; [29; 34; 82; 77; 33; 90; 13; 72; 73; 65]],[98600; 98300; 99400; 99100; 99300; 94100; 100000; 99500; 98400; 97800; 98600],801,802,0.062439918518066406
1,10,11,0.9697362727272728,[38; 36; 44; 21; 35; 25; 14; 99; 91; 75; 13; 33; 72; 54; 45; 2; 63; 4; 47; 53; 34; 94; 90; 74; 85; 79; 15; 17; 29; 87; 56; 24; 52; 59; 37; 66; 32; 11; 22; 65; 70; 93; 18; 83; 23; 43; 98; 40; 60; 82; 26; 28; 50; 7; 62; 77; 3; 1; 49; 61; 20; 73; 95; 16; 31; 10; 96; 51; 78; 71; 69; 8; 0; 19; 9; 48; 64; 80; 76; 89; 41; 27; 6; 67; 12; 5; 58; 97; 92; 57; 81; 84; 46; 86; 42; 55; 39; 30; 68; 88],[[38; 36; 44; 21; 35; 25; 14; 99]; [91; 75; 13; 33; 72; 54; 45; 2; 63]; [4; 47; 53; 34; 94; 90; 74; 85; 79; 15]; [17; 29; 87; 56; 24; 52; 59; 37; 66]; [32; 11; 22; 65; 70; 93; 18; 83; 23]; [43; 98; 40; 60; 82; 26; 28; 50; 7]; [62; 77; 3; 1; 49; 61; 20; 73; 95]; [16; 31; 10; 96; 51; 78; 71; 69; 8]; [0; 19; 9; 48; 64; 80; 76; 89; 41]; [27; 6; 67; 12; 5; 58; 97; 92; 57]; [81; 84; 46; 86; 42; 55; 39; 30; 68; 88]],[96200; 97400; 99000; 99200; 99900; 98900; 98900; 98700; 99900; 99900; 95100],1001,1002,0.062429189682006836
1,7,11,0.9697089999999999,[88; 65; 76; 54; 30; 50; 55; 7; 23; 67; 59; 22; 27; 83; 49; 69; 45; 31; 53; 94; 84; 81; 43; 46; 33; 73; 41; 99; 96; 5; 34; 89; 21; 98; 17; 91; 51; 20; 35; 1; 82; 15; 13; 47; 85; 95; 70; 79; 24; 44; 37; 38; 52; 26; 86; 28; 32; 77; 74; 57; 4; 18; 14; 2; 87; 92; 64; 36; 3; 39; 48; 58; 6; 72; 62; 71; 78; 66; 42; 63; 12; 19; 93; 75; 10; 11; 90; 9; 0; 29; 40; 97; 25; 61; 16; 8; 80; 56; 68; 60],[[88; 65; 76; 54; 30; 50; 55; 7; 23]; [67; 59; 22; 27; 83; 49; 69; 45; 31]; [53; 94; 84; 81; 43; 46; 33; 73; 41; 99; 96]; [5; 34; 89; 21; 98; 17; 91; 51; 20]; [35; 1; 82; 15; 13; 47; 85; 95; 70]; [79; 24; 44; 37; 38; 52; 26; 86; 28]; [32; 77; 74; 57; 4; 18; 14; 2]; [87; 92; 64; 36; 3; 39; 48; 58; 6]; [72; 62; 71; 78; 66; 42; 63; 12; 19; 93]; [75; 10; 11; 90; 9; 0; 29; 40]; [97; 25; 61; 16; 8; 80; 56; 68; 60]],[97400; 97700; 98700; 99800; 97400; 99700; 98300; 99400; 99700; 99900; 95100],701,702,0.04682207107543945
1,22,11,0.9701600909090909,[7; 3; 31; 38; 48; 67; 28; 59; 15; 25; 50; 34; 19; 21; 44; 18; 53; 83; 39; 73; 10; 45; 22; 95; 1; 79; 47; 85; 9; 60; 32; 76; 30; 24; 49; 62; 77; 64; 71; 93; 65; 20; 52; 4; 8; 26; 23; 84; 46; 56; 16; 29; 12; 42; 61; 41; 69; 11; 92; 98; 37; 68; 57; 90; 0; 63; 75; 54; 2; 74; 82; 14; 87; 88; 86; 51; 35; 17; 80; 94; 13; 36; 5; 66; 72; 6; 40; 27; 33; 58; 43; 55; 96; 99; 89; 70; 81; 78; 97; 91],[[7; 3; 31; 38; 48; 67; 28; 59]; [15; 25; 50; 34; 19; 21; 44]; [18; 53; 83; 39; 73; 10; 45; 22; 95]; [1; 79; 47; 85; 9; 60; 32; 76; 30]; [24; 49; 62; 77; 64; 71; 93; 65; 20; 52]; [4; 8; 26; 23; 84; 46; 56; 16]; [29; 12; 42; 61; 41; 69; 11; 92; 98]; [37; 68; 57; 90; 0; 63; 75; 54; 2]; [74; 82; 14; 87; 88; 86; 51; 35; 17; 80; 94]; [13; 36; 5; 66; 72; 6; 40; 27]; [33; 58; 43; 55; 96; 99; 89; 70; 81; 78; 97; 91]],[99400; 90900; 98200; 100000; 100000; 100000; 97100; 98600; 99900; 99900; 99100],2201,2202,0.17186689376831055
6,51,12,0.8797942499999999,[37; 11; 41; 60; 57; 15; 80; 91; 45; 56; 9; 35; 73; 28; 16; 31; 23; 24; 94; 1; 22; 90; 32; 18; 42; 25; 59; 64; 49; 86; 79; 33; 52; 51; 67; 5; 29; 3; 48; 93; 6; 21; 99; 14; 50; 78; 13; 54; 95; 58; 2; 75; 61; 97; 7; 8; 43; 4; 47; 92; 39; 74; 77; 34; 82; 12; 17; 38; 46; 69; 55; 65; 63; 36; 20; 10; 40; 76; 30; 70; 71; 81; 19; 72; 84; 27; 89; 26; 83; 68; 62; 66; 44; 53; 85; 0; 87; 98; 88; 96],[[37; 11; 41; 60; 57; 15; 80; 91; 45]; [56; 9; 35; 73; 28; 16; 31; 23]; [24; 94; 1; 22; 90; 32; 18; 42]; [25; 59; 64; 49; 86; 79; 33; 52; 51]; [67; 5; 29; 3; 48; 93; 6; 21]; [99; 14; 50; 78; 13; 54; 95; 58; 2]; [75; 61; 97; 7; 8; 43; 4; 47; 92]; [39; 74; 77; 34; 82; 12; 17; 38; 46]; [69; 55; 65; 63; 36; 20; 10; 40; 76]; [30; 70; 71; 81; 19; 72; 84; 27; 89; 26]; [83; 68; 62; 66; 44; 53; 85; 0; 87; 98; 88]; [96]],[99600; 99100; 94100; 92100; 99900; 96000; 99000; 99900; 100000; 98100; 99300; 6000],5106,5107,0.37490034103393555
1,5,11,0.9697602727272727,[33; 85; 42; 7; 65; 24; 29; 19; 21; 40; 92; 91; 61; 90; 75; 69; 58; 47; 98; 49; 45; 4; 26; 88; 72; 74; 51; 76; 82; 78; 34; 39; 86; 13; 99; 38; 60; 8; 9; 17; 36; 93; 62; 53; 6; 95; 55; 94; 30; 3; 20; 35; 12; 46; 48; 57; 84; 80; 67; 23; 25; 63; 66; 70; 68; 89; 81; 37; 64; 41; 5; 10; 97; 2; 22; 56; 96; 27; 14; 11; 83; 54; 73; 44; 16; 0; 28; 87; 79; 1; 18; 50; 59; 52; 31; 15; 43; 32; 71; 77],[[33; 85; 42; 7; 65; 24; 29; 19]; [21; 40; 92; 91; 61; 90; 75; 69; 58; 47; 98]; [49; 45; 4; 26; 88; 72; 74; 51; 76; 82]; [78; 34; 39; 86; 13; 99; 38; 60; 8]; [9; 17; 36; 93; 62; 53; 6; 95; 55]; [94; 30; 3; 20; 35; 12; 46; 48]; [57; 84; 80; 67; 23; 25; 63; 66; 70; 68]; [89; 81; 37; 64; 41; 5; 10; 97; 2]; [22; 56; 96; 27; 14; 11; 83; 54; 73]; [44; 16; 0; 28; 87; 79; 1; 18]; [50; 59; 52; 31; 15; 43; 32; 71; 77]],[95200; 99700; 99900; 96500; 99900; 98700; 97200; 99800; 97200; 99100; 99900],501,502,0.03122401237487793
1,9,11,0.9697342727272726,[47; 70; 14; 92; 5; 33; 61; 25; 78; 32; 9; 22; 0; 51; 50; 69; 60; 27; 48; 34; 86; 46; 57; 65; 95; 90; 45; 11; 21; 67; 63; 56; 64; 19; 3; 1; 39; 41; 75; 28; 55; 17; 18; 44; 98; 7; 79; 29; 16; 62; 58; 40; 38; 74; 53; 31; 37; 24; 6; 82; 71; 15; 30; 89; 96; 66; 99; 87; 80; 93; 10; 59; 26; 91; 54; 73; 72; 2; 88; 76; 81; 4; 8; 83; 35; 52; 49; 42; 13; 36; 12; 43; 97; 23; 94; 77; 20; 85; 84; 68],[[47; 70; 14; 92; 5; 33; 61; 25; 78]; [32; 9; 22; 0; 51; 50; 69; 60]; [27; 48; 34; 86; 46; 57; 65; 95; 90; 45]; [11; 21; 67; 63; 56; 64; 19; 3]; [1; 39; 41; 75; 28; 55; 17; 18]; [44; 98; 7; 79; 29; 16; 62; 58; 40]; [38; 74; 53; 31; 37; 24; 6; 82; 71]; [15; 30; 89; 96; 66; 99; 87; 80; 93; 10; 59]; [26; 91; 54; 73; 72; 2; 88; 76; 81; 4]; [8; 83; 35; 52; 49; 42; 13; 36]; [12; 43; 97; 23; 94; 77; 20; 85; 84; 68]],[99500; 99300; 99000; 97000; 99900; 99200; 99400; 99700; 98600; 95100; 96400],901,902,0.06266593933105469
