Iteración VNS,Iteraciones totales,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
1,3,11,0.9327092727272728,[83; 89; 55; 57; 41; 15; 88; 79; 73; 4; 42; 32; 85; 19; 64; 75; 10; 63; 81; 56; 11; 31; 59; 48; 8; 61; 27; 21; 72; 25; 78; 60; 3; 70; 9; 77; 23; 7; 38; 67; 22; 1; 99; 6; 18; 96; 95; 52; 40; 87; 28; 20; 76; 34; 91; 46; 2; 14; 98; 69; 71; 30; 29; 33; 43; 84; 37; 62; 51; 26; 82; 74; 36; 86; 68; 97; 47; 39; 24; 16; 58; 54; 94; 49; 92; 90; 44; 12; 53; 17; 66; 50; 45; 0; 5; 35; 93; 13; 65; 80],[[83; 89; 55; 57; 41; 15; 88; 79; 73; 4]; [42; 32; 85; 19; 64; 75; 10; 63; 81; 56]; [11; 31; 59; 48; 8; 61; 27]; [21; 72; 25; 78; 60; 3; 70; 9]; [77; 23; 7; 38; 67; 22; 1]; [99; 6; 18; 96; 95; 52; 40; 87; 28; 20]; [76; 34; 91; 46; 2; 14; 98; 69; 71; 30]; [29; 33; 43; 84; 37; 62; 51; 26; 82; 74]; [36; 86; 68; 97; 47; 39; 24; 16; 58; 54]; [94; 49; 92; 90; 44; 12; 53; 17; 66; 50]; [45; 0; 5; 35; 93; 13; 65; 80]],[88500; 98500; 93200; 98200; 99800; 98700; 98900; 99100; 98000; 91000; 97700],301,302,0.015624523162841797
1,2,11,0.9324029090909091,[52; 8; 26; 20; 48; 18; 79; 14; 49; 13; 17; 3; 28; 75; 82; 55; 85; 63; 21; 46; 44; 51; 93; 67; 99; 61; 30; 77; 27; 81; 59; 57; 1; 25; 73; 96; 16; 11; 42; 29; 24; 37; 72; 38; 97; 4; 33; 91; 2; 89; 6; 12; 70; 64; 47; 90; 76; 9; 95; 69; 23; 92; 19; 83; 32; 15; 54; 66; 36; 34; 74; 43; 10; 65; 31; 35; 45; 58; 0; 7; 60; 50; 84; 22; 39; 80; 88; 40; 86; 98; 56; 78; 62; 5; 53; 68; 94; 41; 71; 87],[[52; 8; 26; 20; 48; 18; 79]; [14; 49; 13; 17; 3; 28]; [75; 82; 55; 85; 63; 21; 46; 44; 51; 93; 67; 99; 61]; [30; 77; 27; 81; 59; 57; 1; 25; 73]; [96; 16; 11; 42; 29; 24; 37; 72]; [38; 97; 4; 33; 91; 2; 89; 6]; [12; 70; 64; 47; 90; 76; 9; 95; 69; 23; 92]; [19; 83; 32; 15; 54; 66; 36; 34]; [74; 43; 10; 65; 31; 35; 45; 58]; [0; 7; 60; 50; 84; 22; 39; 80]; [88; 40; 86; 98; 56; 78; 62; 5; 53; 68; 94; 41; 71; 87]],[95400; 99300; 96900; 98900; 99100; 92800; 97900; 95500; 88700; 97400; 99700],201,202,0.01571512222290039
1,1,11,0.9334336363636364,[52; 4; 63; 7; 1; 28; 49; 58; 78; 67; 12; 3; 97; 92; 53; 23; 73; 47; 14; 91; 89; 18; 8; 90; 82; 30; 76; 80; 64; 17; 95; 66; 69; 54; 9; 6; 39; 29; 21; 32; 86; 34; 41; 75; 62; 26; 46; 35; 61; 57; 36; 55; 99; 65; 16; 20; 22; 77; 85; 31; 83; 60; 70; 72; 93; 0; 94; 48; 19; 2; 44; 42; 25; 56; 45; 59; 27; 74; 33; 87; 37; 10; 51; 5; 79; 50; 13; 81; 40; 84; 68; 88; 96; 24; 15; 11; 98; 71; 43; 38],[[52; 4; 63; 7; 1; 28]; [49; 58; 78; 67; 12; 3; 97; 92; 53; 23]; [73; 47; 14; 91; 89; 18; 8; 90; 82; 30]; [76; 80; 64; 17; 95; 66; 69; 54; 9; 6]; [39; 29; 21; 32; 86; 34; 41; 75; 62]; [26; 46; 35; 61; 57; 36; 55; 99; 65]; [16; 20; 22; 77; 85; 31; 83; 60; 70; 72]; [93; 0; 94; 48; 19; 2; 44; 42]; [25; 56; 45; 59; 27; 74; 33; 87; 37]; [10; 51; 5; 79; 50; 13; 81; 40]; [84; 68; 88; 96; 24; 15; 11; 98; 71; 43; 38]],[91900; 99500; 98000; 99900; 98600; 85000; 99800; 96400; 93100; 99500; 99900],101,102,0.0
1,3,11,0.9330887272727272,[45; 78; 80; 90; 99; 91; 17; 23; 49; 76; 41; 9; 67; 34; 72; 48; 39; 68; 13; 71; 47; 1; 20; 40; 22; 46; 26; 37; 12; 43; 86; 28; 21; 95; 88; 79; 50; 42; 31; 57; 29; 0; 59; 55; 69; 70; 4; 87; 8; 14; 19; 35; 98; 7; 92; 32; 63; 52; 6; 82; 73; 36; 53; 56; 58; 84; 54; 18; 44; 61; 96; 94; 64; 60; 24; 89; 25; 83; 62; 5; 65; 15; 2; 11; 27; 77; 81; 30; 3; 10; 74; 38; 75; 66; 16; 33; 97; 93; 51; 85],[[45; 78; 80; 90; 99; 91; 17; 23; 49; 76; 41]; [9; 67; 34; 72; 48; 39; 68; 13; 71]; [47; 1; 20; 40; 22; 46]; [26; 37; 12; 43; 86; 28; 21; 95; 88]; [79; 50; 42; 31; 57; 29; 0; 59]; [55; 69; 70; 4; 87; 8; 14; 19]; [35; 98; 7; 92; 32; 63; 52; 6; 82; 73]; [36; 53; 56; 58; 84; 54; 18; 44; 61; 96; 94; 64]; [60; 24; 89; 25; 83; 62; 5; 65; 15]; [2; 11; 27; 77; 81; 30; 3]; [10; 74; 38; 75; 66; 16; 33; 97; 93; 51; 85]],[90200; 99500; 87800; 97700; 92300; 100000; 97400; 99100; 99400; 99600; 98600],301,302,0.03129839897155762
1,2,11,0.9332529090909091,[8; 44; 90; 12; 32; 94; 69; 34; 65; 83; 49; 23; 71; 63; 36; 0; 29; 50; 15; 22; 97; 48; 75; 60; 93; 26; 46; 3; 40; 61; 43; 16; 37; 13; 79; 76; 96; 55; 6; 30; 81; 18; 80; 74; 56; 5; 53; 47; 66; 33; 7; 78; 28; 92; 86; 21; 51; 10; 98; 67; 59; 9; 1; 58; 19; 4; 2; 42; 87; 85; 72; 17; 35; 89; 70; 45; 84; 62; 27; 57; 14; 11; 82; 77; 38; 41; 68; 54; 64; 95; 20; 99; 24; 39; 52; 91; 88; 73; 31; 25],[[8; 44; 90; 12; 32; 94; 69; 34; 65; 83]; [49; 23; 71; 63; 36; 0; 29; 50]; [15; 22; 97; 48; 75; 60; 93; 26; 46]; [3; 40; 61; 43; 16; 37; 13]; [79; 76; 96; 55; 6; 30; 81; 18; 80; 74; 56]; [5; 53; 47; 66; 33; 7; 78; 28]; [92; 86; 21; 51; 10; 98; 67; 59; 9]; [1; 58; 19; 4; 2; 42]; [87; 85; 72; 17; 35; 89; 70; 45; 84; 62; 27; 57]; [14; 11; 82; 77; 38; 41; 68; 54; 64; 95]; [20; 99; 24; 39; 52; 91; 88; 73; 31; 25]],[98600; 99000; 88700; 99900; 98300; 99900; 86600; 98500; 98400; 96700; 97000],201,202,0.015611410140991211
1,4,11,0.9335165454545454,[42; 83; 57; 54; 38; 5; 18; 6; 45; 50; 90; 93; 34; 96; 62; 94; 76; 48; 74; 59; 0; 41; 20; 39; 29; 37; 47; 75; 10; 53; 49; 1; 35; 11; 26; 44; 85; 64; 31; 87; 8; 3; 27; 7; 68; 9; 72; 91; 84; 73; 80; 81; 52; 12; 79; 43; 16; 32; 30; 19; 60; 13; 56; 88; 98; 86; 22; 40; 67; 36; 65; 33; 21; 97; 78; 46; 69; 14; 4; 77; 63; 89; 24; 92; 2; 51; 15; 17; 66; 61; 28; 70; 95; 23; 25; 55; 99; 58; 71; 82],[[42; 83; 57; 54; 38; 5; 18]; [6; 45; 50; 90; 93; 34; 96; 62; 94; 76; 48; 74; 59]; [0; 41; 20; 39; 29; 37; 47]; [75; 10; 53; 49; 1; 35; 11]; [26; 44; 85; 64; 31; 87; 8; 3]; [27; 7; 68; 9; 72; 91; 84; 73; 80; 81; 52]; [12; 79; 43; 16; 32; 30; 19]; [60; 13; 56; 88; 98; 86; 22; 40; 67; 36; 65]; [33; 21; 97; 78; 46; 69; 14; 4; 77]; [63; 89; 24; 92; 2; 51; 15; 17]; [66; 61; 28; 70; 95; 23; 25; 55; 99; 58; 71; 82]],[83500; 99900; 99400; 96600; 93600; 99600; 98600; 97700; 98700; 94300; 99700],401,402,0.03126955032348633
1,1,11,0.9320038181818181,[63; 23; 50; 81; 87; 75; 32; 26; 90; 61; 37; 78; 9; 60; 2; 27; 21; 49; 83; 13; 80; 46; 65; 99; 89; 35; 41; 16; 43; 38; 31; 34; 44; 95; 86; 67; 66; 88; 39; 19; 36; 71; 28; 62; 40; 94; 85; 12; 74; 10; 92; 69; 56; 58; 57; 0; 25; 5; 48; 20; 97; 7; 22; 29; 76; 53; 54; 91; 42; 55; 72; 73; 6; 79; 96; 59; 33; 30; 14; 47; 93; 84; 17; 8; 77; 52; 3; 82; 1; 24; 11; 15; 4; 45; 98; 18; 51; 64; 68; 70],[[63; 23; 50; 81; 87; 75; 32; 26; 90; 61; 37]; [78; 9; 60; 2; 27; 21; 49]; [83; 13; 80; 46; 65; 99; 89; 35; 41; 16]; [43; 38; 31; 34; 44; 95; 86; 67; 66; 88; 39]; [19; 36; 71; 28; 62; 40; 94; 85; 12]; [74; 10; 92; 69; 56; 58; 57; 0; 25]; [5; 48; 20; 97; 7; 22; 29]; [76; 53; 54; 91; 42; 55; 72; 73; 6; 79; 96; 59]; [33; 30; 14; 47; 93; 84; 17; 8]; [77; 52; 3; 82; 1; 24; 11]; [15; 4; 45; 98; 18; 51; 64; 68; 70]],[99800; 95900; 92400; 96500; 94600; 95100; 100000; 94100; 99900; 95400; 97900],101,102,0.015562057495117188
1,4,11,0.9326269090909091,[4; 18; 1; 32; 20; 14; 39; 79; 19; 93; 50; 66; 44; 89; 42; 73; 21; 56; 17; 10; 77; 61; 25; 31; 80; 26; 41; 54; 8; 11; 9; 63; 88; 98; 16; 57; 35; 6; 84; 46; 13; 49; 45; 33; 74; 75; 22; 0; 5; 59; 62; 3; 15; 91; 92; 71; 47; 7; 81; 51; 83; 55; 58; 76; 64; 28; 68; 69; 99; 67; 94; 95; 85; 97; 78; 87; 40; 43; 52; 34; 30; 70; 86; 82; 12; 23; 37; 65; 53; 2; 38; 36; 29; 96; 24; 60; 72; 48; 90; 27],[[4; 18; 1; 32; 20]; [14; 39; 79; 19; 93; 50; 66; 44; 89; 42]; [73; 21; 56; 17; 10; 77; 61; 25]; [31; 80; 26; 41; 54; 8; 11]; [9; 63; 88; 98; 16; 57; 35; 6; 84]; [46; 13; 49; 45; 33; 74; 75; 22]; [0; 5; 59; 62; 3; 15; 91; 92]; [71; 47; 7; 81; 51; 83; 55; 58; 76; 64; 28]; [68; 69; 99; 67; 94; 95; 85; 97; 78; 87; 40; 43; 52; 34; 30]; [70; 86; 82; 12; 23; 37; 65; 53; 2]; [38; 36; 29; 96; 24; 60; 72; 48; 90; 27]],[89300; 98200; 97400; 93400; 93800; 92200; 99300; 99600; 99700; 99200; 99500],401,402,0.03127145767211914
1,1,11,0.9337830909090911,[65; 33; 86; 14; 57; 94; 60; 77; 96; 20; 73; 76; 93; 79; 78; 66; 1; 23; 15; 21; 56; 46; 81; 98; 95; 71; 2; 38; 36; 83; 24; 80; 34; 87; 75; 51; 6; 84; 26; 74; 70; 39; 85; 5; 0; 12; 54; 55; 69; 44; 99; 27; 3; 42; 50; 88; 13; 16; 37; 7; 22; 64; 48; 59; 43; 31; 18; 4; 62; 67; 19; 40; 25; 10; 97; 29; 11; 8; 41; 35; 68; 47; 17; 28; 63; 72; 91; 58; 53; 89; 49; 90; 30; 9; 92; 45; 52; 61; 82; 32],[[65; 33; 86; 14; 57; 94; 60; 77; 96; 20; 73; 76; 93]; [79; 78; 66; 1; 23; 15; 21; 56]; [46; 81; 98; 95; 71; 2; 38; 36; 83; 24; 80]; [34; 87; 75; 51; 6; 84; 26; 74; 70; 39; 85]; [5; 0; 12; 54; 55; 69; 44; 99]; [27; 3; 42; 50; 88; 13; 16]; [37; 7; 22; 64; 48; 59; 43; 31]; [18; 4; 62; 67; 19; 40; 25]; [10; 97; 29; 11; 8; 41; 35]; [68; 47; 17; 28; 63; 72; 91; 58; 53; 89; 49; 90]; [30; 9; 92; 45; 52; 61; 82; 32]],[98700; 99500; 96800; 99400; 96500; 96500; 99800; 97600; 97600; 97700; 81500],101,102,0.015600919723510742
1,2,11,0.9331598181818183,[15; 8; 62; 90; 81; 31; 40; 69; 7; 33; 36; 16; 59; 39; 94; 48; 51; 75; 3; 78; 14; 63; 25; 97; 27; 17; 67; 73; 49; 43; 32; 42; 0; 57; 88; 6; 4; 83; 35; 26; 54; 68; 80; 46; 37; 58; 82; 10; 76; 74; 85; 98; 2; 50; 56; 95; 79; 60; 72; 64; 61; 55; 22; 9; 53; 13; 45; 47; 21; 41; 44; 93; 84; 71; 5; 65; 70; 92; 34; 96; 18; 1; 12; 29; 91; 38; 86; 19; 89; 66; 30; 87; 99; 20; 28; 77; 11; 52; 24; 23],[[15; 8; 62; 90; 81; 31; 40; 69]; [7; 33; 36; 16; 59; 39; 94; 48]; [51; 75; 3; 78; 14; 63; 25; 97; 27]; [17; 67; 73; 49; 43; 32; 42; 0]; [57; 88; 6; 4; 83; 35; 26; 54; 68]; [80; 46; 37; 58; 82; 10; 76; 74; 85; 98; 2]; [50; 56; 95; 79; 60; 72; 64; 61; 55; 22; 9]; [53; 13; 45; 47; 21; 41; 44; 93; 84]; [71; 5; 65; 70; 92; 34; 96; 18; 1]; [12; 29; 91; 38; 86; 19; 89; 66; 30; 87; 99]; [20; 28; 77; 11; 52; 24; 23]],[84300; 96600; 99500; 98500; 99700; 97500; 100000; 94900; 95400; 96600; 98600],201,202,0.01561880111694336
